generation,id,fitness,species,parent1,parent2
0,1,9.4,1,-1,-1
0,2,9.4,1,-1,-1
0,3,9.4,1,-1,-1
0,4,9.4,1,-1,-1
0,5,9.4,1,-1,-1
0,6,31.4,1,-1,-1
0,7,13.2,1,-1,-1
0,8,9.4,1,-1,-1
0,9,9.4,1,-1,-1
0,10,9.4,1,-1,-1
0,11,9.4,1,-1,-1
0,12,18.4,1,-1,-1
0,13,9.5,1,-1,-1
0,14,9.4,1,-1,-1
0,15,9.4,1,-1,-1
0,16,11.5,1,-1,-1
0,17,9.4,1,-1,-1
0,18,9.4,1,-1,-1
0,19,9.4,1,-1,-1
0,20,9.4,1,-1,-1
0,21,17.5,1,-1,-1
0,22,9.4,1,-1,-1
0,23,9.0,1,-1,-1
0,24,9.4,1,-1,-1
0,25,16.7,1,-1,-1
0,26,9.4,1,-1,-1
0,27,9.4,1,-1,-1
0,28,9.4,1,-1,-1
0,29,9.4,1,-1,-1
0,30,9.4,1,-1,-1
0,31,9.4,1,-1,-1
0,32,37.7,1,-1,-1
0,33,9.4,1,-1,-1
0,34,10.9,1,-1,-1
0,35,9.4,1,-1,-1
0,36,43.3,1,-1,-1
0,37,24.9,1,-1,-1
0,38,9.4,1,-1,-1
0,39,9.4,1,-1,-1
0,40,9.4,1,-1,-1
0,41,9.4,1,-1,-1
0,42,9.4,1,-1,-1
0,43,9.4,1,-1,-1
0,44,12.4,1,-1,-1
0,45,9.4,1,-1,-1
0,46,48.2,1,-1,-1
0,47,9.4,1,-1,-1
0,48,9.4,1,-1,-1
0,49,9.4,1,-1,-1
0,50,9.4,1,-1,-1
1,46,48.2,1,-1,-1
1,36,43.3,1,-1,-1
1,51,39.6,1,37,32
1,52,9.4,1,32,46
1,53,61.5,1,46,44
1,54,9.4,1,36,44
1,55,9.4,1,21,12
1,56,17.5,1,36,6
1,57,21.3,1,32,32
1,58,40.3,1,46,32
1,59,20.6,1,12,36
1,60,35.3,1,32,12
1,61,55.4,1,6,12
1,62,10.6,1,12,44
1,63,245.6,1,6,32
1,64,43.6,1,36,46
1,65,28.4,1,6,12
1,66,11.7,1,21,7
1,67,13.2,1,46,7
1,68,9.4,1,36,44
1,69,9.4,1,36,37
1,70,13.3,1,7,25
1,71,18.7,1,36,21
1,72,9.4,1,25,44
1,73,28.0,1,25,21
1,74,11.1,1,44,36
1,75,20.6,1,12,36
1,76,9.4,1,12,44
1,77,31.5,1,6,12
1,78,37.6,1,21,32
1,79,9.4,1,7,21
1,80,30.7,1,37,37
1,81,46.8,1,21,37
1,82,9.4,1,46,6
1,83,24.7,1,32,37
1,84,11.2,1,44,6
1,85,10.2,1,44,25
1,86,19.7,1,6,12
1,87,241.2,1,6,7
1,88,9.5,1,7,7
1,89,34.2,1,46,25
1,90,105.0,1,6,46
1,91,16.7,1,37,6
1,92,23.5,1,36,6
1,93,34.4,1,7,6
1,94,34.6,1,37,46
1,95,9.4,1,21,36
1,96,28.4,1,37,44
1,97,48.1,1,44,6
1,98,9.4,1,25,44
2,63,245.6,1,6,32
2,87,241.2,1,6,7
2,99,43.8,1,97,46
2,100,51.8,1,46,46
2,101,21.4,1,36,87
2,102,34.7,1,64,87
2,103,47.0,1,81,53
2,104,21.8,1,61,90
2,105,14.9,1,53,63
2,106,15.0,1,97,87
2,107,62.4,1,46,61
2,108,76.3,1,61,87
2,109,22.6,1,90,36
2,110,208.4,1,81,97
2,111,15.3,1,64,97
2,112,51.2,1,81,61
2,113,11.9,1,61,63
2,114,191.0,1,90,46
2,115,14.6,1,87,64
2,116,15.3,1,53,97
2,117,9.4,1,61,81
2,118,11.3,1,87,36
2,119,27.9,1,64,53
2,120,22.3,1,63,63
2,121,231.8,1,61,90
2,122,40.6,1,87,81
2,123,37.7,1,87,36
2,124,24.5,1,97,97
2,125,42.8,1,53,36
2,126,101.9,1,97,90
2,127,44.7,1,97,81
2,128,22.3,1,46,64
2,129,9.4,1,63,64
2,130,20.6,1,64,87
2,131,38.9,1,87,64
2,132,234.5,1,87,63
2,133,51.4,1,53,36
2,134,9.4,1,63,36
2,135,42.7,1,36,63
2,136,48.0,1,61,97
2,137,20.0,1,97,64
2,138,38.3,1,53,97
2,139,48.8,1,81,64
2,140,79.3,1,53,87
2,141,22.3,1,46,87
2,142,21.3,1,53,81
2,143,37.5,1,87,87
2,144,15.8,1,53,97
2,145,15.5,1,90,64
2,146,36.8,1,97,36
3,63,245.6,1,6,32
3,87,241.2,1,6,7
3,147,90.3,1,121,140
3,148,253.2,1,63,126
3,149,76.0,1,108,132
3,150,69.9,1,140,140
3,151,46.2,1,107,140
3,152,14.8,1,63,132
3,153,79.8,1,63,108
3,154,281.4,1,114,63
3,155,9.4,1,114,110
3,156,32.8,1,108,108
