generation,id,fitness,species,parent1,parent2
0,88,0.7468779394523966,1,-1,-1
1,184,0.7474185789957859,1,111,61
2,370,0.7498374592185117,1,175,204
3,492,0.7977296425980669,1,340,399
4,492,0.7977296425980669,1,340,399
5,492,0.7977296425980669,1,340,399
6,1023,0.8276686179439592,1,886,806
7,1023,0.8276686179439592,1,886,806
8,1278,0.8319621687836762,1,1084,1085
9,1395,0.8703872613072869,1,1273,1315
10,1395,0.8703872613072869,1,1273,1315
11,1395,0.8703872613072869,1,1273,1315
12,1395,0.8703872613072869,1,1273,1315
13,1395,0.8703872613072869,1,1273,1315
14,1395,0.8703872613072869,1,1273,1315
15,1395,0.8703872613072869,1,1273,1315
16,1395,0.8703872613072869,2,1273,1315
17,2635,0.8703879322021438,2,1950,1395
18,2635,0.8703879322021438,1,1950,1395
19,2635,0.8703879322021438,1,1950,1395
20,2635,0.8703879322021438,1,1950,1395
21,2635,0.8703879322021438,1,1950,1395
22,2635,0.8703879322021438,1,1950,1395
23,2635,0.8703879322021438,1,1950,1395
24,3653,0.9222417574811782,1,3518,1395
25,3653,0.9222417574811782,1,3518,1395
26,3956,0.9344655333860004,1,3653,2635
27,3956,0.9344655333860004,2,3653,2635
28,3956,0.9344655333860004,1,3653,2635
29,4349,0.9802129704146686,2,3956,3625
30,4491,0.9970041491284976,1,4370,4309
