generation,id,fitness,species,parent1,parent2
0,94,0.43027613387145713,1,-1,-1
1,242,0.7214058023121632,1,130,33
2,314,0.7295955616543871,1,287,242
3,552,0.8889666832596593,1,435,395
4,636,0.912873827752265,1,571,552
5,797,0.9165881884294549,1,711,645
6,1038,0.9246957469542216,1,879,636
7,1090,0.9247831574637708,1,904,930
8,1195,0.9693317655479577,1,1127,1150
9,1195,0.9693317655479577,1,1127,1150
10,1195,0.9693317655479577,1,1127,1150
11,1763,0.9834679164429223,1,1621,1496
12,1861,0.9886408401447068,1,1621,1719
13,1861,0.9886408401447068,1,1621,1719
14,1861,0.9886408401447068,1,1621,1719
15,1861,0.9886408401447068,1,1621,1719
16,1861,0.9886408401447068,1,1621,1719
17,1861,0.9886408401447068,1,1621,1719
18,1861,0.9886408401447068,1,1621,1719
19,1861,0.9886408401447068,1,1621,1719
20,3032,0.9899909616274614,1,2902,1861
21,3032,0.9899909616274614,1,2902,1861
22,3032,0.9899909616274614,1,2902,1861
23,3032,0.9899909616274614,2,2902,1861
24,3680,0.992085865020015,2,3464,3529
