generation,id,fitness,species,parent1,parent2
0,87,0.43039520072175685,1,-1,-1
1,157,0.6430715806339917,1,146,10
2,379,0.6564049124087734,1,296,168
3,516,0.7345392754984863,1,336,376
4,713,0.8767752677085253,1,533,516
5,752,0.8967652674792979,1,516,723
6,943,0.9241318611773562,1,752,748
7,943,0.9241318611773562,1,752,748
8,1300,0.9461220431149268,1,1171,1048
9,1300,0.9461220431149268,1,1171,1048
10,1588,0.9476079369654555,1,1362,1439
11,1741,0.9487515688448822,1,1592,1533
12,1741,0.9487515688448822,1,1592,1533
13,1993,0.9503479354293726,1,1860,1832
14,2094,0.9614956383348334,1,2059,1993
15,2336,0.9694509214761318,1,2082,1741
16,2336,0.9694509214761318,1,2082,1741
17,2336,0.9694509214761318,1,2082,1741
18,2717,0.9748340271405087,1,2538,2573
19,2931,0.9937003813833402,1,2683,2573
