generation,id,fitness,species,parent1,parent2
0,143,101.2613265253454,2,-1,-1
1,250,131.90724477246752,5,88,134
2,391,148.9203643816989,2,218,274
3,555,153.30527492236274,2,323,334
4,627,208.37156375054005,2,490,495
5,627,208.37156375054005,2,490,495
6,627,208.37156375054005,2,490,495
7,627,208.37156375054005,2,490,495
8,627,208.37156375054005,5,490,495
9,627,208.37156375054005,5,490,495
10,1502,216.2236315714419,2,1359,1364
11,1645,310.8768429875484,2,956,1103
12,1645,310.8768429875484,2,956,1103
13,1645,310.8768429875484,2,956,1103
14,2038,360.7180374158437,6,1859,1588
15,2194,433.25280963501336,6,2032,2038
16,2322,475.32215895054014,4,2019,1645
17,2322,475.32215895054014,4,2019,1645
18,2322,475.32215895054014,4,2019,1645
19,2722,610.0796119645161,6,2560,2194
20,2722,610.0796119645161,6,2560,2194
21,2722,610.0796119645161,6,2560,2194
22,2722,610.0796119645161,6,2560,2194
23,2722,610.0796119645161,6,2560,2194
24,2722,610.0796119645161,6,2560,2194
25,3564,1510.50382931599,4,3409,3418
26,3564,1510.50382931599,4,3409,3418
27,3564,1510.50382931599,4,3409,3418
28,3564,1510.50382931599,4,3409,3418
29,3564,1510.50382931599,4,3409,3418
30,3564,1510.50382931599,4,3409,3418
31,3564,1510.50382931599,4,3409,3418
32,3564,1510.50382931599,4,3409,3418
33,3564,1510.50382931599,4,3409,3418
34,3564,1510.50382931599,4,3409,3418
35,3564,1510.50382931599,4,3409,3418
36,3564,1510.50382931599,4,3409,3418
37,3564,1510.50382931599,4,3409,3418
38,3564,1510.50382931599,4,3409,3418
39,3564,1510.50382931599,4,3409,3418
40,3564,1510.50382931599,4,3409,3418
41,3564,1510.50382931599,4,3409,3418
42,3564,1510.50382931599,4,3409,3418
43,3564,1510.50382931599,4,3409,3418
44,3564,1510.50382931599,4,3409,3418
45,3564,1510.50382931599,4,3409,3418
46,3564,1510.50382931599,4,3409,3418
47,6626,1727.3075939662442,4,3564,3564
48,6626,1727.3075939662442,4,3564,3564
49,6912,2889.2586729977443,4,6757,6770
50,6912,2889.2586729977443,4,6757,6770
51,6912,2889.2586729977443,4,6757,6770
52,6912,2889.2586729977443,4,6757,6770
53,6912,2889.2586729977443,4,6757,6770
54,6912,2889.2586729977443,4,6757,6770
55,6912,2889.2586729977443,4,6757,6770
56,6912,2889.2586729977443,4,6757,6770
57,6912,2889.2586729977443,4,6757,6770
58,6912,2889.2586729977443,4,6757,6770
59,6912,2889.2586729977443,4,6757,6770
60,6912,2889.2586729977443,4,6757,6770
61,6912,2889.2586729977443,4,6757,6770
62,6912,2889.2586729977443,4,6757,6770
63,6912,2889.2586729977443,4,6757,6770
64,6912,2889.2586729977443,4,6757,6770
65,6912,2889.2586729977443,4,6757,6770
66,6912,2889.2586729977443,4,6757,6770
67,6912,2889.2586729977443,4,6757,6770
68,6912,2889.2586729977443,4,6757,6770
69,6912,2889.2586729977443,4,6757,6770
70,6912,2889.2586729977443,4,6757,6770
71,6912,2889.2586729977443,4,6757,6770
72,6912,2889.2586729977443,4,6757,6770
73,6912,2889.2586729977443,4,6757,6770
74,6912,2889.2586729977443,4,6757,6770
75,6912,2889.2586729977443,4,6757,6770
76,6912,2889.2586729977443,4,6757,6770
77,6912,2889.2586729977443,4,6757,6770
78,6912,2889.2586729977443,4,6757,6770
79,6912,2889.2586729977443,4,6757,6770
80,6912,2889.2586729977443,4,6757,6770
81,6912,2889.2586729977443,4,6757,6770
82,6912,2889.2586729977443,4,6757,6770
83,6912,2889.2586729977443,4,6757,6770
84,6912,2889.2586729977443,4,6757,6770
85,6912,2889.2586729977443,4,6757,6770
86,6912,2889.2586729977443,4,6757,6770
87,6912,2889.2586729977443,4,6757,6770
88,6912,2889.2586729977443,4,6757,6770
89,6912,2889.2586729977443,4,6757,6770
90,6912,2889.2586729977443,4,6757,6770
91,6912,2889.2586729977443,4,6757,6770
92,6912,2889.2586729977443,4,6757,6770
93,6912,2889.2586729977443,4,6757,6770
94,6912,2889.2586729977443,4,6757,6770
95,6912,2889.2586729977443,4,6757,6770
96,6912,2889.2586729977443,4,6757,6770
97,6912,2889.2586729977443,4,6757,6770
98,6912,2889.2586729977443,4,6757,6770
99,6912,2889.2586729977443,4,6757,6770
100,6912,2889.2586729977443,4,6757,6770
101,6912,2889.2586729977443,4,6757,6770
102,6912,2889.2586729977443,4,6757,6770
103,6912,2889.2586729977443,4,6757,6770
104,6912,2889.2586729977443,4,6757,6770
105,6912,2889.2586729977443,4,6757,6770
106,6912,2889.2586729977443,4,6757,6770
107,14961,6021.3973031478745,4,14798,14822
108,14961,6021.3973031478745,4,14798,14822
109,14961,6021.3973031478745,4,14798,14822
110,14961,6021.3973031478745,4,14798,14822
111,14961,6021.3973031478745,4,14798,14822
112,14961,6021.3973031478745,4,14798,14822
113,14961,6021.3973031478745,4,14798,14822
114,14961,6021.3973031478745,4,14798,14822
115,14961,6021.3973031478745,4,14798,14822
116,14961,6021.3973031478745,4,14798,14822
117,14961,6021.3973031478745,4,14798,14822
118,14961,6021.3973031478745,4,14798,14822
119,14961,6021.3973031478745,4,14798,14822
120,14961,6021.3973031478745,4,14798,14822
121,14961,6021.3973031478745,4,14798,14822
122,14961,6021.3973031478745,4,14798,14822
123,14961,6021.3973031478745,4,14798,14822
124,14961,6021.3973031478745,4,14798,14822
125,14961,6021.3973031478745,4,14798,14822
126,14961,6021.3973031478745,4,14798,14822
127,14961,6021.3973031478745,4,14798,14822
128,17906,8013.441685123294,4,14961,14961
129,17906,8013.441685123294,4,14961,14961
130,17906,8013.441685123294,4,14961,14961
131,17906,8013.441685123294,4,14961,14961
132,17906,8013.441685123294,4,14961,14961
133,17906,8013.441685123294,4,14961,14961
134,17906,8013.441685123294,4,14961,14961
135,17906,8013.441685123294,4,14961,14961
136,17906,8013.441685123294,4,14961,14961
137,17906,8013.441685123294,4,14961,14961
138,17906,8013.441685123294,4,14961,14961
139,17906,8013.441685123294,4,14961,14961
140,17906,8013.441685123294,4,14961,14961
141,17906,8013.441685123294,4,14961,14961
142,17906,8013.441685123294,4,14961,14961
143,17906,8013.441685123294,4,14961,14961
144,17906,8013.441685123294,4,14961,14961
145,17906,8013.441685123294,4,14961,14961
146,17906,8013.441685123294,4,14961,14961
147,17906,8013.441685123294,4,14961,14961
148,17906,8013.441685123294,4,14961,14961
149,17906,8013.441685123294,4,14961,14961
150,17906,8013.441685123294,4,14961,14961
151,17906,8013.441685123294,4,14961,14961
152,17906,8013.441685123294,4,14961,14961
153,17906,8013.441685123294,4,14961,14961
154,17906,8013.441685123294,4,14961,14961
155,17906,8013.441685123294,4,14961,14961
156,17906,8013.441685123294,4,14961,14961
157,17906,8013.441685123294,4,14961,14961
158,17906,8013.441685123294,4,14961,14961
159,17906,8013.441685123294,4,14961,14961
160,17906,8013.441685123294,4,14961,14961
161,17906,8013.441685123294,4,14961,14961
162,17906,8013.441685123294,4,14961,14961
163,17906,8013.441685123294,4,14961,14961
164,17906,8013.441685123294,4,14961,14961
165,17906,8013.441685123294,4,14961,14961
166,17906,8013.441685123294,4,14961,14961
167,17906,8013.441685123294,4,14961,14961
168,17906,8013.441685123294,4,14961,14961
169,17906,8013.441685123294,4,14961,14961
170,17906,8013.441685123294,4,14961,14961
171,17906,8013.441685123294,4,14961,14961
172,17906,8013.441685123294,4,14961,14961
173,17906,8013.441685123294,4,14961,14961
174,17906,8013.441685123294,4,14961,14961
175,17906,8013.441685123294,4,14961,14961
176,17906,8013.441685123294,4,14961,14961
177,17906,8013.441685123294,4,14961,14961
178,17906,8013.441685123294,4,14961,14961
179,17906,8013.441685123294,4,14961,14961
180,17906,8013.441685123294,4,14961,14961
181,17906,8013.441685123294,4,14961,14961
182,17906,8013.441685123294,4,14961,14961
183,17906,8013.441685123294,4,14961,14961
184,17906,8013.441685123294,4,14961,14961
185,17906,8013.441685123294,4,14961,14961
186,17906,8013.441685123294,4,14961,14961
187,17906,8013.441685123294,4,14961,14961
188,17906,8013.441685123294,4,14961,14961
189,17906,8013.441685123294,4,14961,14961
190,17906,8013.441685123294,4,14961,14961
191,17906,8013.441685123294,4,14961,14961
192,17906,8013.441685123294,4,14961,14961
193,17906,8013.441685123294,4,14961,14961
194,17906,8013.441685123294,4,14961,14961
195,17906,8013.441685123294,4,14961,14961
196,17906,8013.441685123294,4,14961,14961
197,17906,8013.441685123294,4,14961,14961
198,17906,8013.441685123294,4,14961,14961
199,17906,8013.441685123294,4,14961,14961
200,17906,8013.441685123294,4,14961,14961
201,28486,9328.255062091423,4,22341,28316
202,28486,9328.255062091423,4,22341,28316
203,28486,9328.255062091423,4,22341,28316
204,28486,9328.255062091423,4,22341,28316
205,28486,9328.255062091423,4,22341,28316
206,28486,9328.255062091423,4,22341,28316
207,28486,9328.255062091423,4,22341,28316
208,28486,9328.255062091423,4,22341,28316
209,28486,9328.255062091423,4,22341,28316
210,28486,9328.255062091423,4,22341,28316
211,28486,9328.255062091423,4,22341,28316
212,28486,9328.255062091423,4,22341,28316
213,28486,9328.255062091423,4,22341,28316
214,28486,9328.255062091423,4,22341,28316
215,28486,9328.255062091423,4,22341,28316
216,28486,9328.255062091423,4,22341,28316
217,28486,9328.255062091423,4,22341,28316
218,28486,9328.255062091423,4,22341,28316
219,28486,9328.255062091423,4,22341,28316
220,28486,9328.255062091423,4,22341,28316
221,28486,9328.255062091423,4,22341,28316
222,28486,9328.255062091423,4,22341,28316
223,28486,9328.255062091423,4,22341,28316
224,28486,9328.255062091423,4,22341,28316
225,28486,9328.255062091423,4,22341,28316
226,28486,9328.255062091423,4,22341,28316
227,28486,9328.255062091423,4,22341,28316
228,28486,9328.255062091423,4,22341,28316
229,28486,9328.255062091423,4,22341,28316
230,28486,9328.255062091423,4,22341,28316
231,28486,9328.255062091423,4,22341,28316
232,28486,9328.255062091423,4,22341,28316
233,28486,9328.255062091423,4,22341,28316
234,28486,9328.255062091423,4,22341,28316
235,28486,9328.255062091423,4,22341,28316
236,28486,9328.255062091423,4,22341,28316
237,28486,9328.255062091423,4,22341,28316
238,28486,9328.255062091423,4,22341,28316
239,28486,9328.255062091423,4,22341,28316
240,28486,9328.255062091423,4,22341,28316
241,28486,9328.255062091423,4,22341,28316
242,28486,9328.255062091423,4,22341,28316
243,28486,9328.255062091423,4,22341,28316
244,28486,9328.255062091423,4,22341,28316
245,28486,9328.255062091423,4,22341,28316
246,28486,9328.255062091423,4,22341,28316
247,28486,9328.255062091423,4,22341,28316
248,28486,9328.255062091423,4,22341,28316
249,28486,9328.255062091423,4,22341,28316
250,28486,9328.255062091423,4,22341,28316
251,28486,9328.255062091423,4,22341,28316
252,28486,9328.255062091423,4,22341,28316
253,28486,9328.255062091423,4,22341,28316
254,28486,9328.255062091423,4,22341,28316
255,28486,9328.255062091423,4,22341,28316
256,28486,9328.255062091423,4,22341,28316
257,28486,9328.255062091423,4,22341,28316
258,28486,9328.255062091423,4,22341,28316
259,28486,9328.255062091423,4,22341,28316
260,36965,9331.792412052073,4,36820,36407
261,36965,9331.792412052073,4,36820,36407
262,36965,9331.792412052073,4,36820,36407
263,36965,9331.792412052073,4,36820,36407
264,36965,9331.792412052073,4,36820,36407
265,36965,9331.792412052073,4,36820,36407
266,36965,9331.792412052073,4,36820,36407
267,36965,9331.792412052073,4,36820,36407
268,36965,9331.792412052073,4,36820,36407
269,36965,9331.792412052073,4,36820,36407
270,36965,9331.792412052073,4,36820,36407
271,36965,9331.792412052073,4,36820,36407
272,36965,9331.792412052073,4,36820,36407
273,36965,9331.792412052073,4,36820,36407
274,36965,9331.792412052073,4,36820,36407
275,36965,9331.792412052073,4,36820,36407
276,36965,9331.792412052073,4,36820,36407
277,36965,9331.792412052073,4,36820,36407
278,36965,9331.792412052073,4,36820,36407
279,36965,9331.792412052073,4,36820,36407
280,36965,9331.792412052073,4,36820,36407
281,36965,9331.792412052073,4,36820,36407
282,36965,9331.792412052073,4,36820,36407
283,36965,9331.792412052073,4,36820,36407
284,36965,9331.792412052073,4,36820,36407
285,36965,9331.792412052073,4,36820,36407
286,36965,9331.792412052073,4,36820,36407
287,36965,9331.792412052073,4,36820,36407
288,36965,9331.792412052073,4,36820,36407
289,36965,9331.792412052073,4,36820,36407
290,36965,9331.792412052073,4,36820,36407
291,36965,9331.792412052073,4,36820,36407
292,36965,9331.792412052073,4,36820,36407
293,36965,9331.792412052073,4,36820,36407
294,36965,9331.792412052073,4,36820,36407
295,36965,9331.792412052073,4,36820,36407
296,36965,9331.792412052073,4,36820,36407
297,36965,9331.792412052073,4,36820,36407
298,36965,9331.792412052073,4,36820,36407
299,36965,9331.792412052073,4,36820,36407
300,36965,9331.792412052073,4,36820,36407
301,36965,9331.792412052073,4,36820,36407
302,36965,9331.792412052073,4,36820,36407
303,36965,9331.792412052073,4,36820,36407
304,36965,9331.792412052073,4,36820,36407
305,36965,9331.792412052073,4,36820,36407
306,36965,9331.792412052073,4,36820,36407
307,36965,9331.792412052073,4,36820,36407
308,36965,9331.792412052073,4,36820,36407
309,36965,9331.792412052073,4,36820,36407
310,36965,9331.792412052073,4,36820,36407
311,36965,9331.792412052073,4,36820,36407
312,36965,9331.792412052073,4,36820,36407
313,36965,9331.792412052073,4,36820,36407
314,36965,9331.792412052073,4,36820,36407
315,36965,9331.792412052073,4,36820,36407
316,36965,9331.792412052073,4,36820,36407
317,36965,9331.792412052073,4,36820,36407
318,36965,9331.792412052073,4,36820,36407
319,36965,9331.792412052073,4,36820,36407
320,36965,9331.792412052073,4,36820,36407
321,36965,9331.792412052073,4,36820,36407
322,36965,9331.792412052073,4,36820,36407
323,36965,9331.792412052073,4,36820,36407
324,36965,9331.792412052073,4,36820,36407
325,36965,9331.792412052073,4,36820,36407
326,36965,9331.792412052073,4,36820,36407
327,36965,9331.792412052073,4,36820,36407
328,36965,9331.792412052073,4,36820,36407
329,36965,9331.792412052073,4,36820,36407
330,36965,9331.792412052073,4,36820,36407
331,36965,9331.792412052073,4,36820,36407
332,36965,9331.792412052073,4,36820,36407
333,36965,9331.792412052073,4,36820,36407
334,36965,9331.792412052073,4,36820,36407
335,36965,9331.792412052073,4,36820,36407
336,36965,9331.792412052073,4,36820,36407
337,36965,9331.792412052073,4,36820,36407
338,36965,9331.792412052073,4,36820,36407
339,36965,9331.792412052073,4,36820,36407
340,36965,9331.792412052073,4,36820,36407
341,36965,9331.792412052073,4,36820,36407
342,36965,9331.792412052073,4,36820,36407
343,36965,9331.792412052073,4,36820,36407
344,36965,9331.792412052073,4,36820,36407
345,36965,9331.792412052073,4,36820,36407
346,36965,9331.792412052073,4,36820,36407
347,36965,9331.792412052073,4,36820,36407
348,36965,9331.792412052073,4,36820,36407
349,36965,9331.792412052073,4,36820,36407
350,36965,9331.792412052073,4,36820,36407
351,36965,9331.792412052073,4,36820,36407
352,36965,9331.792412052073,4,36820,36407
353,36965,9331.792412052073,4,36820,36407
354,36965,9331.792412052073,4,36820,36407
355,36965,9331.792412052073,4,36820,36407
356,36965,9331.792412052073,4,36820,36407
357,36965,9331.792412052073,4,36820,36407
358,36965,9331.792412052073,4,36820,36407
359,36965,9331.792412052073,4,36820,36407
360,36965,9331.792412052073,4,36820,36407
361,36965,9331.792412052073,4,36820,36407
362,36965,9331.792412052073,4,36820,36407
