generation,id,fitness,species,parent1,parent2
0,44,135.10768721548322,2,-1,-1
1,44,135.10768721548322,2,-1,-1
2,423,150.23792945825133,2,247,247
3,503,151.65379130380512,2,188,407
4,653,187.5814965262855,2,489,493
5,653,187.5814965262855,2,489,493
6,653,187.5814965262855,2,489,493
7,653,187.5814965262855,2,489,493
8,653,187.5814965262855,2,489,493
9,653,187.5814965262855,2,489,493
10,653,187.5814965262855,2,489,493
11,653,187.5814965262855,2,489,493
12,653,187.5814965262855,2,489,493
13,1966,194.33420867023034,5,1833,1819
14,2025,204.98625128237404,2,1942,1956
15,2249,207.3181063085677,2,2025,2025
16,2301,218.58315292971537,3,2018,2156
17,2301,218.58315292971537,3,2018,2156
18,2594,224.71591365438803,2,1947,2443
19,2802,228.5680995386797,2,2594,2644
20,2802,228.5680995386797,5,2594,2644
21,3091,237.25066357147375,5,2594,2594
22,3091,237.25066357147375,5,2594,2594
23,3091,237.25066357147375,5,2594,2594
24,3091,237.25066357147375,5,2594,2594
25,3576,316.7111551931671,2,3194,3442
26,3576,316.7111551931671,2,3194,3442
27,3576,316.7111551931671,2,3194,3442
