generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,141,1.470280408859253,61.414425692699105,1,-1,-1,2,12,12,0
1,185,1.2663675546646118,34.55311664297484,3,145,125,1,6,6,0
2,447,1.5719441175460815,64.03509593203519,3,288,52,3,13,12,1
3,488,1.5299179553985596,66.44467368207715,2,41,283,2,8,8,0
4,623,1.2021543979644775,83.89895613052929,4,428,322,2,11,11,0
5,805,1.3159725666046143,69.61786468404776,3,746,338,3,14,12,2
6,961,1.13799250125885,33.685962626872204,5,593,339,2,11,11,0
7,1148,1.6740373373031616,62.004275942252626,6,841,202,1,4,4,0
8,1211,1.178375482559204,108.5990177727105,1,1181,1176,2,11,11,0
9,1431,1.1411195993423462,74.67198597101904,3,1303,1301,1,7,6,1
10,1593,1.3103351593017578,77.79025358389416,6,1148,750,1,5,4,1
11,1725,1.4445997476577759,57.702912801961965,4,1100,112,3,13,12,1
12,1816,1.4765419960021973,65.81448842412328,7,1100,1100,1,5,4,1
13,2084,1.3685121536254883,73.23565068220486,7,1939,1766,1,2,2,0
14,2216,1.619333267211914,65.47511483297316,8,1882,1725,2,11,11,0
15,2275,1.1242159605026245,60.54831230065506,3,2109,1882,2,12,11,1
16,2450,1.3867098093032837,65.95992710699278,2,2175,2244,4,15,14,1
17,2682,1.1538480520248413,75.31320593528457,5,1913,2219,2,10,10,0
18,2730,1.2215021848678589,70.51862716174968,4,2510,733,2,10,10,0
19,2950,1.2485098838806152,87.8265388706071,4,2730,1616,2,8,8,0
20,3009,1.3563086986541748,59.53526125337963,4,2450,1148,2,6,5,1
21,3221,1.1820582151412964,76.86629050227602,2,1242,2216,2,12,12,0
22,3345,1.253017544746399,66.42680241222581,8,1100,2450,1,4,4,0
23,3459,1.1064302921295166,66.18916366838917,2,1593,2730,3,7,6,1
24,3730,1.1521660089492798,72.13380032674051,1,3189,2121,1,5,4,1
25,3879,1.1105374097824097,77.01205402206823,5,2730,1593,2,7,7,0
26,3988,1.2472655773162842,66.75881871057297,6,1744,3326,2,8,7,1
