generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,150,0.6009650230407715,157.6744214455901,6,-1,-1,2,12,12,0
1,271,0.4561521112918854,117.14787175587792,1,84,105,1,6,6,0
2,345,0.47060897946357727,113.37640757476979,3,122,283,3,13,12,1
3,594,0.5060305595397949,137.39316965082858,2,438,299,2,8,8,0
4,650,0.9333247542381287,150.59532688741993,3,447,427,2,11,11,0
5,841,1.0275673866271973,135.5307835346958,2,733,296,3,14,12,2
6,948,0.8179720044136047,171.70237545807225,4,730,423,2,11,11,0
7,1098,0.7402462959289551,198.63511123183116,4,662,948,1,4,4,0
8,1242,0.3858987092971802,170.43607743902544,2,594,403,2,11,11,0
9,1469,0.4405152499675751,185.80396491590704,4,818,184,1,7,6,1
10,1611,0.5620656609535217,218.43699722423554,6,1098,760,1,5,4,1
11,1783,0.41579946875572205,346.9027864578519,6,1611,1616,3,13,12,1
12,1939,0.5646125078201294,260.3765073576875,6,1783,529,1,5,4,1
13,2002,0.4326803386211395,147.60631013284126,2,271,1098,1,2,2,0
14,2200,0.7580375075340271,345.8785169612292,8,141,2084,2,11,11,0
15,2330,0.6200295686721802,181.39223855294205,6,2076,1844,2,12,11,1
16,2485,0.5909252762794495,247.00577324778465,4,1851,338,4,15,14,1
17,2603,0.7014818787574768,151.46688740093785,4,1593,1816,2,10,10,0
18,2795,0.4373069107532501,174.1192734307711,8,2394,2121,2,10,10,0
19,2993,0.4251119792461395,249.17449476171163,4,1098,2292,2,8,8,0
20,3021,0.8377481698989868,305.3985611650662,4,1939,1863,2,6,5,1
21,3246,0.44205063581466675,221.6503643589661,8,2175,2096,2,12,12,0
22,3350,0.5137454271316528,183.21928680107294,4,2486,2096,1,4,4,0
23,3587,0.36433544754981995,292.5760928325836,8,2573,2353,3,7,6,1
24,3670,0.3128189146518707,255.70461475360713,5,2993,1939,1,5,4,1
25,3881,0.32306650280952454,257.671215662706,4,948,3021,2,7,7,0
26,3973,0.4734346866607666,262.76468177566727,4,2406,3879,2,8,7,1
27,4056,0.47978174686431885,261.85056633401507,8,2732,1533,3,13,12,1
28,4219,0.39246147871017456,311.95575800155945,5,3912,2545,2,11,9,2
29,4366,0.9369553923606873,591.9422882532109,4,3881,2968,1,4,3,1
30,4592,0.5115734934806824,405.6555162411172,1,4366,2242,5,15,12,3
31,4749,0.40019097924232483,328.1249363595725,6,3974,2454,4,14,12,2
32,4877,0.7003937363624573,522.7434789580161,4,2242,4627,3,14,13,1
