generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,121,0.5186412930488586,115.3640504086429,3,-1,-1,2,12,12,0
1,264,0.5874557495117188,174.70420197245542,7,19,78,2,5,5,0
2,325,0.895280659198761,155.93304525719765,3,180,197,1,5,5,0
3,529,0.8770805597305298,178.07029443318274,1,264,90,2,10,10,0
4,742,0.7717775702476501,165.23780743308103,1,286,131,1,6,6,0
5,786,0.9136077761650085,118.7210383172689,6,722,669,1,5,5,0
6,1008,0.6435716152191162,228.920553303761,6,875,592,2,10,9,1
7,1125,0.6840298175811768,246.6403168359356,6,786,592,2,8,7,1
8,1330,0.6648685932159424,162.0476580422689,2,215,737,1,6,6,0
9,1370,0.890203595161438,166.4637687494345,1,1178,1224,2,9,8,1
10,1570,0.7311524152755737,179.2830504957999,5,1148,1328,2,9,9,0
11,1661,0.6852487325668335,171.97936479858322,3,1570,1569,2,9,9,0
12,1810,0.8031748533248901,177.89574705030122,7,1249,1424,2,13,12,1
13,1953,0.5920637845993042,155.41652062806983,6,994,1578,1,7,7,0
14,2125,0.6129103302955627,246.33587035975341,2,341,1919,4,10,6,4
15,2396,0.5561733245849609,242.89868798648877,1,1008,812,4,17,14,3
16,2494,0.4522497057914734,226.022168094384,4,1919,2346,3,13,11,2
17,2582,1.2831165790557861,165.8923511237605,4,2167,2516,2,11,11,0
18,2713,0.723327100276947,215.3365447453382,7,2588,2433,1,5,5,0
19,2869,0.583398699760437,383.4262056656654,6,2144,2230,2,9,8,1
20,3106,0.5607126355171204,220.88866654603052,1,2470,1621,2,11,11,0
21,3258,0.5845466256141663,211.43802943620403,1,1496,2230,3,13,11,2
22,3436,0.45065945386886597,364.27180327738097,1,2251,1334,1,4,4,0
23,3594,0.5983585119247437,494.87892084710364,1,2391,1704,1,7,7,0
24,3668,0.5132462978363037,239.0502491671141,1,3205,2803,1,4,4,0
25,3806,0.5781404376029968,232.60986597713753,6,3183,325,2,8,7,1
26,4015,0.7032026052474976,208.68950864793447,3,3623,3542,1,6,6,0
27,4187,0.7168081402778625,289.790884686444,4,1810,3688,1,5,4,1
28,4221,1.2775163650512695,332.9358425272174,4,3068,3873,2,9,8,1
29,4398,0.6554263830184937,264.2740583510786,4,3948,3410,1,3,3,0
30,4560,0.6709092259407043,251.11545102340128,7,2125,4221,1,5,4,1
31,4697,0.5823971033096313,248.3263803815113,3,1810,4158,2,7,7,0
32,4944,0.7283532023429871,229.42043435996692,3,1919,3387,2,7,6,1
33,4968,0.6171483397483826,236.86864232181765,3,4670,4944,1,5,4,1
34,5193,0.6720577478408813,238.79746160467295,3,3910,2494,1,5,4,1
