generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,51,1.4697943925857544,31.864235598849454,1,-1,-1,2,12,12,0
1,297,1.49899160861969,34.60683595923539,1,91,55,1,6,6,0
2,345,1.7484891414642334,61.01194986424025,5,216,138,2,10,9,1
3,576,3.202317476272583,62.72903586201221,1,436,402,2,12,11,1
4,713,3.53837251663208,74.00197970049638,1,61,453,2,11,11,0
5,819,3.702610969543457,74.33132285526602,1,685,673,3,11,10,1
6,1025,3.0849013328552246,66.23703809758294,1,685,260,3,16,15,1
7,1159,2.871647834777832,75.27276759572827,1,979,309,3,14,13,1
8,1307,1.91880202293396,33.63748650718662,7,804,478,2,12,12,0
9,1445,1.8641928434371948,60.39180327933303,6,1296,1242,1,8,8,0
10,1509,1.7551443576812744,31.864235533110428,7,1233,292,2,10,9,1
11,1653,1.8783098459243774,32.73468037004705,4,453,1612,2,13,13,0
12,1859,2.4919912815093994,63.19725308220198,6,1222,988,4,14,12,2
13,1956,2.74772047996521,68.77773899921729,6,1540,1819,2,11,10,1
14,2158,3.6852381229400635,65.3818697231437,2,1572,1458,1,4,3,1
15,2327,2.4081296920776367,62.36753758324918,2,1214,2141,2,12,9,3
16,2426,2.747498035430908,65.92326987147683,7,2189,2380,3,7,7,0
17,2629,2.697267532348633,55.65954890263706,5,2114,1956,1,5,5,0
18,2830,2.4754691123962402,82.23390668345164,6,1733,2574,1,6,6,0
19,2970,2.500519037246704,55.88111416222991,6,2108,2629,3,12,12,0
20,3022,2.4538326263427734,84.79158431366633,4,2629,2413,1,6,6,0
21,3293,2.151052713394165,67.80333277509709,5,2924,2980,3,13,11,2
22,3304,1.9589074850082397,74.20782752864213,6,2544,2853,4,16,15,1
23,3494,2.2643306255340576,66.85851680826947,6,1867,2585,1,5,4,1
24,3682,2.4308860301971436,65.66446851515505,1,3473,3210,3,12,12,0
25,3793,2.213322162628174,54.894026019589134,2,2999,3302,5,17,15,2
26,3929,2.0623862743377686,71.92402130681556,1,2273,3586,2,9,9,0
27,4197,2.691263198852539,66.76731420560176,6,3727,3823,2,7,7,0
28,4343,2.5335144996643066,67.02446186006038,2,3636,3474,2,9,9,0
29,4448,2.1922824382781982,70.5069014505708,2,2947,3687,2,7,5,2
30,4508,2.2626471519470215,59.03080719079992,3,4210,2987,3,13,11,2
31,4671,2.447949171066284,57.562344483519134,3,4100,4100,2,10,10,0
32,4820,2.3185088634490967,59.1074859136985,3,3450,4310,3,8,8,0
33,4995,2.222747564315796,60.56418569014786,4,4835,4759,3,5,3,2
34,5225,2.288463592529297,63.78485954978046,5,4834,4721,3,13,11,2
35,5387,2.714401960372925,60.072515177377966,3,4903,1974,4,12,10,2
36,5449,2.4446206092834473,58.13752819134753,2,2155,3612,3,13,13,0
37,5584,2.3142080307006836,67.79743756387072,3,3180,5498,3,10,8,2
38,5741,2.394275426864624,58.5982416419612,3,5204,5562,4,14,12,2
39,5998,2.0958220958709717,59.6649556228365,7,3571,3293,4,10,8,2
40,6057,2.175408363342285,33.59156399527705,7,4949,5313,2,12,11,1
41,6296,2.168973684310913,62.798353019399336,6,2808,3720,3,12,11,1
42,6310,2.0894227027893066,31.864235533110428,4,5995,4230,4,15,13,2
43,6515,2.127492904663086,31.864235533110428,7,5710,5584,4,15,13,2
44,6719,2.2997844219207764,34.55919018145905,1,5995,5836,2,9,9,0
45,6864,2.456509590148926,33.636373640721374,3,5204,6686,4,12,9,3
46,7031,2.7820963859558105,33.58290316888707,4,6293,6597,4,14,13,1
47,7054,2.4118285179138184,31.864235533909273,7,6835,7039,1,6,6,0
48,7231,2.5644938945770264,32.72420183211799,2,7031,7074,4,15,11,4
49,7426,2.209961414337158,32.76888259885402,3,5226,5993,5,17,13,4
50,7606,2.2145299911499023,193.77603443124949,2,6833,6867,4,15,13,2
51,7693,2.56634521484375,340.0499897520471,6,6827,7096,4,15,13,2
52,7827,2.0813205242156982,64.1945446375327,4,7031,6959,4,12,12,0
53,8025,2.444870948791504,420.2602148295967,7,6059,6205,2,11,9,2
54,8236,2.2060093879699707,54.73694881339752,4,7039,6973,1,5,5,0
55,8314,2.4126904010772705,450.05410714238616,6,7857,7693,1,5,4,1
56,8516,2.152911424636841,257.5850918550439,7,7184,5645,2,10,10,0
57,8611,2.0868313312530518,54.85836097095417,4,8140,7677,2,8,6,2
58,8707,2.4378979206085205,313.7368653052446,4,6827,8516,3,13,13,0
59,8962,1.714240312576294,76.80047043933124,6,8786,8088,1,5,5,0
60,9094,2.6519157886505127,216.1193273220685,6,7811,8314,1,5,4,1
61,9243,2.682361602783203,341.5466205095546,6,8516,6205,4,15,13,2
62,9301,2.196441173553467,322.3716189526207,1,9001,8562,4,12,11,1
63,9515,2.522515058517456,476.92170888543643,2,6650,8025,1,3,3,0
64,9676,2.2975432872772217,274.728318506915,4,9362,9298,1,5,4,1
65,9889,2.094863176345825,268.2681614845991,2,9675,8088,1,2,2,0
66,9925,2.204643487930298,313.0709471815395,4,8187,9889,3,11,10,1
67,10087,2.520768642425537,32.72994195548274,3,9504,9277,1,5,5,0
68,10227,2.506685733795166,31.864235533110428,4,5353,5995,1,8,6,2
69,10375,2.6820616722106934,31.864235533110428,1,10092,10131,1,4,3,1
70,10578,3.0300114154815674,33.62079750107726,6,9616,9543,2,10,7,3
71,10683,3.1085050106048584,32.725779397864066,6,9231,10087,1,3,3,0
72,10949,3.1566286087036133,33.62771378533099,5,10361,6864,2,6,6,0
73,10951,2.4387528896331787,31.864235533110428,5,10592,9818,4,11,10,1
74,11102,2.230550765991211,31.864235533110428,1,6650,9856,2,10,9,1
75,11322,2.2518935203552246,329.71376227284816,3,11097,4879,2,11,11,0
76,11534,2.1307575702667236,32.72423607019881,5,10227,10152,2,7,6,1
77,11666,1.9636329412460327,77.5908742634117,3,7290,6755,1,5,3,2
78,11794,1.9290224313735962,259.94687769284803,1,4879,10826,2,9,8,1
79,11931,1.6876949071884155,75.25463977068958,5,8230,9746,1,4,4,0
80,12053,1.8832389116287231,62.5906239495156,5,9350,11849,1,5,3,2
81,12200,2.187061071395874,56.97781289865659,7,10854,10486,1,5,5,0
82,12374,1.80940580368042,373.32409528972255,5,11567,12252,1,3,3,0
83,12585,2.3823556900024414,272.3041469647222,6,8314,12122,1,5,4,1
84,12655,2.14652943611145,226.41321823994207,5,10295,11567,1,4,4,0
85,12843,1.9537009000778198,260.1816001629093,5,9925,12053,4,10,9,1
86,12990,2.1211113929748535,463.93024102700593,1,12273,11737,1,5,4,1
87,13129,1.7629616260528564,91.20110605775352,3,12164,12196,1,7,7,0
88,13213,2.873713731765747,303.9054390190315,5,11284,12879,1,5,4,1
89,13392,2.344358205795288,290.85562765769134,5,13103,12509,1,5,3,2
90,13588,2.5837087631225586,295.85485634847333,3,12540,12585,2,11,10,1
91,13793,1.890710473060608,665.1897658995723,1,11737,11567,1,3,2,1
92,13947,2.5606534481048584,276.5035252266579,5,9491,11097,2,9,9,0
93,13951,2.425769090652466,31.864235533110428,7,9925,13942,3,12,12,0
94,14219,2.999331474304199,32.72855710273457,1,9600,13858,1,4,4,0
95,14350,2.9566922187805176,31.864235533110428,1,11794,13725,1,5,4,1
96,14445,3.1077957153320312,31.864235533110428,5,14198,14248,2,6,5,1
97,14618,3.3623504638671875,32.74149572309957,1,9600,13749,1,4,3,1
98,14747,3.0816762447357178,32.7448502558613,4,14452,14449,1,3,3,0
99,14884,2.723653554916382,31.864235533110428,3,7828,14008,1,4,4,0
100,15141,2.432509660720825,242.13756996925176,7,12769,11599,4,11,11,0
101,15232,2.4328269958496094,274.71051186978514,7,10109,14103,1,6,6,0
102,15380,2.033963441848755,505.90393411402266,5,14532,11649,1,5,3,2
103,15592,1.9904307126998901,62.01380618179919,3,14284,14008,4,14,12,2
104,15696,1.9188181161880493,227.47939821579666,4,14532,14690,1,6,4,2
105,15849,2.3359591960906982,325.4743460595396,2,9243,14183,4,11,9,2
106,15955,1.9050037860870361,64.6959828734108,4,15694,13305,1,6,5,1
107,16122,2.301171064376831,283.0333738040179,2,13446,11909,2,7,5,2
108,16335,2.123457431793213,514.9482966772233,4,16095,15927,3,9,8,1
