generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,33,0.9261733293533325,63.693338892345956,1,-1,-1,2,12,12,0
1,177,1.6851228475570679,66.2360243357197,2,83,30,1,7,7,0
2,344,1.9793334007263184,68.09007847611437,2,170,177,2,13,13,0
3,459,2.2964816093444824,109.66102620171505,4,65,249,3,11,10,1
4,669,2.5823235511779785,65.08228101143398,1,168,353,2,11,11,0
5,751,2.1759939193725586,74.54341185985807,1,476,556,3,16,16,0
6,936,1.479490876197815,61.478969654645915,3,65,3,1,5,5,0
7,1109,1.343996286392212,69.10496824004414,2,505,744,2,10,10,0
8,1287,1.987633228302002,75.39382857791168,4,898,946,2,13,13,0
9,1499,2.2381832599639893,65.36550312165261,5,321,1057,2,11,9,2
10,1611,2.0518035888671875,62.06871621395186,3,326,459,3,14,13,1
11,1661,1.892491102218628,54.1672448599159,5,1232,1552,2,7,7,0
12,1802,1.744624376296997,63.47982942287227,5,751,914,2,6,6,0
13,2053,1.5339175462722778,64.96195228153661,2,1380,1125,5,19,16,3
14,2136,1.649467945098877,65.24104158162885,2,2064,940,1,6,6,0
15,2274,1.5285940170288086,98.82919950100437,5,2195,1863,2,8,7,1
16,2538,1.6081786155700684,58.46301284900835,3,2064,2232,2,6,6,0
17,2621,1.725969910621643,57.46688198410093,5,1826,2232,2,11,11,0
18,2795,1.783982753753662,71.31751629772614,5,2629,2378,2,9,8,1
19,2949,1.9250376224517822,64.45612339846328,2,2162,2064,3,12,12,0
20,3016,2.0497939586639404,91.60749084467106,1,2718,2740,4,18,15,3
21,3269,1.872192621231079,55.54994005975078,2,2136,2806,4,18,17,1
22,3366,1.9168058633804321,74.80841957539297,1,2949,3262,3,12,11,1
23,3529,1.7116265296936035,60.61398693290893,3,3240,3177,3,18,17,1
24,3678,1.5493725538253784,70.2671015160087,1,2992,2100,3,7,5,2
25,3783,1.5166354179382324,65.1185430887734,4,3697,2897,4,19,16,3
26,3930,1.5679081678390503,62.16685020848555,1,3227,2964,4,18,16,2
27,4093,1.3593668937683105,81.78887443894841,4,3712,1419,3,16,15,1
28,4206,1.2946802377700806,106.9231631446376,2,3016,3371,1,4,4,0
29,4428,1.7752501964569092,68.72159760236795,3,3269,2064,2,5,4,1
30,4513,1.7881503105163574,61.41574930472832,2,2877,3909,3,11,9,2
31,4775,1.8165004253387451,70.55210230477066,3,3529,3269,2,11,10,1
32,4888,1.8767491579055786,56.60068266020596,1,2795,4428,3,8,8,0
33,4999,1.7811943292617798,307.6696445395708,1,2892,2957,3,11,11,0
34,5248,1.7152689695358276,69.5197300843893,3,4637,4888,3,14,12,2
