generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,73,0.7301933169364929,153.46159184322153,4,-1,-1,2,12,12,0
1,203,0.5855177640914917,109.93169770852035,2,10,47,2,11,11,0
2,304,0.7200599312782288,111.43183137475083,1,16,255,2,12,12,0
3,581,1.4099998474121094,122.06831296641246,2,83,386,1,5,5,0
4,709,1.458785891532898,126.04151795871572,2,456,584,1,6,6,0
5,815,1.3310729265213013,133.32868917220227,2,350,709,1,6,6,0
6,972,0.5202776193618774,150.09594823282052,2,467,649,2,7,7,0
7,1171,1.5548282861709595,131.07625694834323,2,507,612,2,12,11,1
8,1219,1.5218491554260254,124.09158116460185,1,925,792,1,5,4,1
9,1471,1.4660793542861938,134.74943250756127,5,1049,924,3,13,13,0
10,1594,1.0614433288574219,167.93948816895195,3,1492,33,2,11,11,0
11,1790,0.9838423728942871,135.9298360635035,2,923,1602,1,4,4,0
12,1861,0.8464335203170776,137.97049317164604,1,1371,938,2,9,9,0
13,2063,0.9806063771247864,153.75727573730265,1,1597,1466,1,5,5,0
14,2179,0.7815232872962952,151.6711734409055,2,1764,1594,2,9,8,1
15,2367,0.8570373058319092,163.91301631916946,3,1399,1819,1,6,6,0
16,2513,0.7807471752166748,141.73066430218518,3,2292,1790,1,6,6,0
17,2561,0.7452483773231506,156.15549965722798,4,1861,2419,2,7,6,1
18,2849,0.8720222115516663,142.7824030695504,5,2253,1539,2,12,12,0
19,2935,0.7971748113632202,144.0294223065029,1,1764,1861,1,6,6,0
20,3106,0.9175730347633362,168.26862189619112,4,2296,1578,5,16,15,1
21,3285,0.8456704616546631,217.11485153524586,4,3106,3084,2,8,8,0
22,3431,0.8293807506561279,180.92620570989462,5,3091,1373,1,7,6,1
23,3600,0.8591987490653992,149.67075540007244,1,1171,1121,2,11,11,0
24,3726,0.7549425959587097,166.18862851372882,5,2428,2414,2,9,9,0
25,3813,0.8825843334197998,174.69095763221767,4,2510,1738,3,15,13,2
26,4028,0.7754675149917603,160.33913510317433,4,3008,2561,1,5,5,0
27,4120,0.8088663816452026,156.46875514977086,3,2090,2155,3,10,9,1
28,4285,0.8071075677871704,171.8815053438462,2,3008,2489,4,15,13,2
29,4427,0.7831754088401794,141.3015439109991,4,2081,1561,3,13,11,2
30,4617,0.948131263256073,186.16129076169912,5,3064,4408,3,14,13,1
31,4701,0.808110237121582,168.04400228490053,3,4311,4430,2,9,9,0
32,4914,0.9124089479446411,142.5947508251714,4,2481,2179,2,9,9,0
33,5061,0.714237630367279,164.63823385599844,2,4264,3064,5,13,11,2
34,5104,0.8577717542648315,190.5599280538538,2,4021,4720,3,7,7,0
35,5273,0.8694248199462891,159.97375264874853,2,2179,4399,5,14,13,1
36,5528,0.7635374665260315,155.607033158984,2,3193,5047,2,9,9,0
37,5561,1.0197340250015259,168.69003121051597,3,4476,5427,2,10,9,1
38,5776,0.8048917055130005,181.85371837050172,1,2629,4974,2,12,12,0
39,5889,0.9197415709495544,169.9565077764236,1,4285,3405,1,4,4,0
40,6149,0.6980969905853271,190.12806072486592,1,5081,3405,1,5,5,0
41,6223,0.788754403591156,188.13701161503064,5,4622,4653,1,6,5,1
42,6302,0.6224884390830994,223.66681045751824,1,5100,5994,4,18,18,0
43,6524,0.7668681740760803,170.43226621230605,5,6149,6223,1,6,6,0
44,6655,0.6936835646629333,156.87787540494816,1,6388,2063,1,6,6,0
45,6788,0.9929469227790833,170.70367884723447,5,4617,5260,2,11,11,0
46,6924,0.8356336355209351,163.18610216483174,5,5061,4980,3,10,9,1
47,7056,0.6650457382202148,172.27666300775473,5,6025,5081,2,10,10,0
48,7230,1.1455248594284058,160.57737713758493,1,6894,6961,2,7,7,0
49,7435,0.7580029368400574,176.21149642943027,2,5561,6643,2,6,5,1
50,7547,0.8546813130378723,169.356685649676,5,5528,5889,2,11,11,0
51,7739,0.6384246349334717,172.69152266523668,5,3008,2179,3,14,13,1
52,7807,1.0368467569351196,192.02079079472236,5,7230,65,4,16,13,3
53,7955,0.9418495297431946,172.34809132920753,5,7322,6223,3,14,12,2
54,8193,0.7632588744163513,215.08689723944616,5,6200,5081,2,9,8,1
55,8304,0.9533247351646423,187.45579998102033,2,5104,7870,2,7,6,1
56,8531,1.0440452098846436,176.86220528699556,5,6379,3813,2,9,9,0
57,8553,1.0890098810195923,176.88202480240648,4,6196,8160,3,15,14,1
58,8758,0.7468920350074768,199.81774139049912,1,6267,3106,1,6,6,0
59,8933,1.0420335531234741,204.89906612451477,3,3008,6465,1,7,7,0
60,9131,0.6537742018699646,164.02536368660776,5,2561,3343,1,4,4,0
61,9236,0.7232375144958496,172.39371503341627,2,8791,8010,4,13,12,1
62,9432,0.6828206181526184,258.1512190296388,3,5889,4622,1,6,6,0
63,9586,0.6238251328468323,200.79773934100749,5,5273,2753,3,12,10,2
64,9606,0.5526714324951172,198.64675524256276,5,9586,7802,3,11,9,2
65,9836,0.7547892928123474,200.15308226360216,1,7955,8933,2,7,7,0
66,9925,0.7934633493423462,180.473725143884,3,9675,9071,1,7,6,1
67,10067,0.8661899566650391,165.95685959768568,3,9442,7454,2,9,8,1
68,10349,0.8569679260253906,185.5276406893247,4,7547,4653,4,17,15,2
69,10416,0.9681452512741089,227.75328436297644,5,10079,10074,2,8,6,2
70,10529,0.8472913503646851,211.55388052347502,2,7435,9570,3,13,10,3
71,10665,0.8085074424743652,207.76434039763194,2,3431,10529,3,10,8,2
72,10813,0.6589193940162659,218.68220033440338,2,10479,7454,1,5,5,0
73,11053,0.7286226153373718,200.0233016936806,3,10665,8862,3,11,8,3
74,11153,0.9529943466186523,218.86309143125519,5,8193,10288,5,18,15,3
75,11263,0.5412470698356628,220.52007515331383,1,7886,3285,1,4,4,0
76,11450,0.5856269001960754,198.2096605657525,5,9586,5561,1,5,5,0
77,11661,0.9344151020050049,196.2682806583637,2,3431,11263,1,8,8,0
78,11729,0.9873257875442505,190.63947947078708,3,10349,11177,1,6,4,2
79,11970,0.7850332856178284,232.20104276346473,5,10416,11639,2,10,8,2
80,12012,0.824826180934906,216.06963076647457,3,11078,11729,1,6,5,1
81,12166,0.837253749370575,251.8248527571126,3,11329,3887,2,9,6,3
82,12335,0.6258794069290161,204.16560264176115,2,6200,4630,2,8,8,0
83,12520,0.5806289315223694,225.11020348498195,4,11067,7739,1,7,7,0
84,12688,0.8489646315574646,248.39406002404584,2,11890,10529,1,7,6,1
85,12854,0.8669015765190125,197.49368931394014,3,6200,12257,1,6,6,0
86,13028,0.7497940063476562,253.63767075414148,3,12278,11970,1,4,3,1
87,13182,0.46187663078308105,199.20459358032798,1,12694,11872,1,7,6,1
88,13247,0.6146897077560425,195.6705906441508,3,11053,12087,1,6,6,0
89,13392,0.8304343223571777,279.1758607225335,1,3431,10349,4,12,11,1
