generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,33,0.8396651148796082,63.693338892345956,1,-1,-1,2,12,12,0
1,226,1.0201480388641357,77.47552425038603,1,27,7,2,12,12,0
2,344,1.17714524269104,75.13690672483622,1,16,247,1,6,6,0
3,565,1.2052891254425049,99.34466808436193,2,443,321,1,6,6,0
4,711,1.5730721950531006,34.527844725910256,2,268,468,2,10,10,0
5,757,1.3775862455368042,33.74076373593775,5,94,77,2,10,10,0
6,1003,1.3632510900497437,32.718295818409224,1,195,622,2,7,7,0
7,1191,1.306929349899292,65.4581384625225,1,819,515,2,11,10,1
8,1218,1.506883978843689,35.476719097924956,2,676,75,3,13,12,1
9,1427,1.6453777551651,34.53543980987182,5,757,1263,4,13,12,1
10,1622,1.5306342840194702,32.78075022590566,1,713,1487,4,15,13,2
11,1700,1.557995319366455,33.684249666859685,4,490,1375,2,10,9,1
12,1801,1.6937140226364136,35.455833450787054,4,1042,515,3,13,12,1
13,2088,1.8296725749969482,35.41288698865067,1,384,1622,1,6,6,0
14,2155,1.7733867168426514,33.6332556385389,4,1958,550,2,5,5,0
15,2358,1.7682549953460693,35.435338720275546,2,917,73,2,11,7,4
16,2525,2.239811897277832,64.79608652879581,1,1780,451,4,13,12,1
17,2666,1.629815936088562,33.66186085797468,5,1387,490,1,3,3,0
18,2726,1.6049164533615112,31.86423554250548,6,2607,2566,1,6,6,0
19,2862,1.7664463520050049,31.864235533509735,6,2134,2747,3,14,13,1
20,3085,1.986448049545288,33.68307608857445,5,1058,2906,1,7,6,1
21,3157,1.93873131275177,31.86423554443897,4,3070,3021,1,6,5,1
22,3444,2.1480817794799805,34.52139864066735,2,3140,1427,2,8,8,0
23,3451,1.8446083068847656,31.864235533110428,7,2943,3052,2,6,6,0
24,3670,2.159428596496582,65.50943761115104,6,1179,3187,3,6,5,1
25,3895,1.8349205255508423,72.74030638769962,4,2806,3225,3,12,11,1
26,4017,2.207984209060669,64.35528897741003,1,3666,3414,4,15,13,2
27,4185,1.2166367769241333,53.48362401912069,1,3336,3178,2,8,7,1
28,4289,1.7000614404678345,98.38518060316454,2,3783,3985,4,15,12,3
29,4479,1.290959119796753,60.040171400662224,7,4344,3227,3,10,7,3
30,4501,1.7330689430236816,69.30354762285967,6,493,4315,1,6,5,1
31,4678,1.843346118927002,69.8612070657059,2,3783,441,1,3,3,0
32,4908,1.6195762157440186,85.33591231417034,6,1183,4281,4,16,14,2
33,4952,1.4854042530059814,57.33091235060817,5,4566,4794,3,12,10,2
34,5165,1.7646287679672241,325.6707542431056,5,4795,5018,2,11,10,1
35,5311,1.535861849784851,61.92256507892364,4,4268,4771,1,4,4,0
36,5474,1.6147313117980957,61.912836463502686,8,5260,5315,3,12,11,1
37,5647,1.5991885662078857,131.5927556577813,8,4664,4713,3,7,6,1
38,5747,1.5844818353652954,65.66688063200641,5,5565,5475,4,17,15,2
39,5925,1.7556902170181274,61.972867733836424,8,1615,4479,3,15,13,2
40,6036,2.016744613647461,59.63796426358616,6,5940,5969,3,10,8,2
41,6293,1.9268485307693481,64.73416926229532,1,4570,5947,4,7,7,0
42,6348,2.0255484580993652,59.943674847076785,5,6198,6052,3,9,8,1
43,6507,2.237468957901001,61.862706560637356,8,5013,6422,1,4,4,0
44,6607,2.5841457843780518,69.20726425265335,7,5582,6309,1,4,4,0
45,6788,2.229133129119873,66.93619361499094,1,4595,6741,4,14,12,2
46,7019,2.103245735168457,61.881323708616705,8,4479,6759,2,9,8,1
47,7111,1.952311635017395,61.93965914738477,5,5417,4570,2,4,3,1
48,7325,1.8520280122756958,61.964742445617354,3,6739,6674,2,7,6,1
49,7476,1.6835960149765015,61.878324295634116,2,7096,7075,2,11,10,1
50,7514,1.6343566179275513,58.11199319729034,8,7297,6230,3,10,9,1
51,7683,1.6718882322311401,80.6029027751172,7,7570,5119,4,16,14,2
52,7950,1.5330480337142944,148.95996487279746,3,7053,4829,1,5,4,1
53,7972,1.7427242994308472,68.29500780645715,2,6358,6793,4,17,15,2
54,8179,1.4657516479492188,75.3730060796375,7,6741,7771,4,15,12,3
55,8306,1.887298345565796,66.08154336493085,6,7879,4653,3,6,6,0
56,8482,1.7293565273284912,65.04047055838114,2,7071,6358,3,13,10,3
57,8670,1.8207272291183472,32.73899916008312,3,7073,6609,6,19,17,2
58,8747,2.0385923385620117,62.01762310402707,2,7305,8670,2,11,8,3
59,8862,2.101348638534546,31.864235533858505,5,8816,8647,3,13,12,1
60,9116,2.2449519634246826,33.63157671261915,1,8584,8802,4,7,6,1
61,9280,2.1972391605377197,32.75206634966814,3,8670,9143,3,12,11,1
62,9309,2.5673553943634033,35.352808462769865,3,6301,9025,6,17,14,3
63,9515,2.195265293121338,58.0635371862238,7,9098,9225,2,6,6,0
64,9669,2.0594546794891357,57.074169436826175,5,9298,9177,1,5,4,1
65,9877,2.27567720413208,57.9606809564019,5,5284,9173,4,10,8,2
66,10010,2.2653114795684814,58.05747845363044,5,9056,9880,2,9,7,2
67,10101,2.412055730819702,50.56562548925833,7,8682,8899,2,12,11,1
68,10322,2.207986831665039,57.973057702567544,5,8917,10080,5,18,15,3
69,10363,2.071910858154297,58.00862638353235,4,9084,9123,1,4,1,3
70,10548,2.113546848297119,61.881096615597336,4,6358,9938,2,7,7,0
71,10761,1.9003887176513672,58.01238801627981,5,8910,10300,2,6,6,0
72,10923,1.849027156829834,58.04947614323129,7,10151,10129,4,8,8,0
73,10987,1.7689948081970215,57.99895663695679,2,10290,10158,2,7,7,0
74,11213,2.9164223670959473,264.1388908094796,4,9328,11031,5,18,15,3
75,11329,2.444767951965332,237.43583354440187,1,5811,10548,3,11,10,1
76,11412,2.659144163131714,286.4538674000432,8,7658,11329,6,22,19,3
