generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,81,3.813565731048584,69.35921698999783,,-1,-1,2,12,12,0
0,117,2.9683380126953125,72.2254033956549,,-1,-1,2,12,12,0
0,23,2.6715409755706787,78.70721324648392,,-1,-1,2,12,12,0
0,62,2.527341365814209,92.60223556427256,,-1,-1,2,12,12,0
0,146,2.3619091510772705,81.66096189467274,,-1,-1,2,12,12,0
0,47,2.268439292907715,72.35264861501142,,-1,-1,2,12,12,0
0,93,2.0241973400115967,47.007299277717095,,-1,-1,2,12,12,0
0,137,1.999869704246521,76.97487947092294,,-1,-1,2,12,12,0
0,42,1.997760534286499,80.73019607039802,,-1,-1,2,12,12,0
0,77,1.992598533630371,80.78040258326304,,-1,-1,2,12,12,0
0,11,1.8990273475646973,58.109808674340776,,-1,-1,2,12,12,0
0,82,1.8634804487228394,104.99929817893789,,-1,-1,2,12,12,0
0,72,1.860094666481018,37.88017352989043,,-1,-1,2,12,12,0
0,143,1.8557358980178833,71.39154557314623,,-1,-1,2,12,12,0
0,114,1.830848217010498,38.69495424292758,,-1,-1,2,12,12,0
0,150,1.7908339500427246,83.55138177230742,,-1,-1,2,12,12,0
0,64,1.7874733209609985,44.93923653265951,,-1,-1,2,12,12,0
0,32,1.7833770513534546,36.74745032211476,,-1,-1,2,12,12,0
0,92,1.7784627676010132,36.87108943940862,,-1,-1,2,12,12,0
0,131,1.7708806991577148,33.647673209782184,,-1,-1,2,12,12,0
0,123,1.7543789148330688,37.779306027621566,,-1,-1,2,12,12,0
0,127,1.7436997890472412,38.507366517406695,,-1,-1,2,12,12,0
0,13,1.7417685985565186,35.49529009974175,,-1,-1,2,12,12,0
0,52,1.700256586074829,37.75203317114791,,-1,-1,2,12,12,0
0,31,1.6343308687210083,35.60211044949456,,-1,-1,2,12,12,0
0,115,1.6172393560409546,32.825324716822095,,-1,-1,2,12,12,0
0,149,1.613784909248352,32.84476855171608,,-1,-1,2,12,12,0
0,38,1.6054024696350098,31.864235533127818,,-1,-1,2,12,12,0
0,87,1.6054021120071411,31.86423586061659,,-1,-1,2,12,12,0
0,91,1.605399489402771,31.86423751955932,,-1,-1,2,12,12,0
0,100,1.6053978204727173,31.864238650392572,,-1,-1,2,12,12,0
0,133,1.6053574085235596,31.864245947280615,,-1,-1,2,12,12,0
0,148,1.6053526401519775,31.864256718371372,,-1,-1,2,12,12,0
