generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,64,1.166203260421753,185.07925427226687,3,-1,-1,2,12,12,0
1,295,0.5259890556335449,118.23567730549186,7,74,6,2,12,12,0
2,314,0.39117974042892456,152.76935637822535,7,67,131,2,10,9,1
3,600,0.8509124517440796,180.85620833351817,3,242,64,2,11,11,0
4,743,0.6192636489868164,131.33484183485083,6,562,542,1,8,8,0
5,764,0.8860819339752197,200.88529235029438,9,64,562,2,9,9,0
6,1042,0.7779878973960876,200.1712096877912,9,294,764,3,14,13,1
7,1123,0.5829247832298279,287.6176377385132,9,1042,3,2,11,11,0
8,1254,0.7519837617874146,212.48352641643433,9,1107,335,2,12,11,1
9,1429,0.6673526167869568,231.0299139781569,3,1065,426,3,13,12,1
10,1587,0.4269113540649414,210.16276256386453,9,1434,764,3,15,14,1
11,1730,0.8070616126060486,183.1531516859817,7,1429,739,2,12,12,0
12,1887,0.4855175018310547,145.0270856449161,9,1576,1699,2,10,9,1
13,2081,0.42156675457954407,203.24193730176063,4,1730,757,2,11,11,0
14,2135,0.2026129812002182,164.47093699588902,9,1042,546,1,4,4,0
15,2334,0.9375142455101013,480.1336086532997,4,1691,2066,1,7,6,1
16,2541,0.5640579462051392,305.5857456222185,4,1083,1852,1,7,7,0
17,2576,0.5013615489006042,181.42855671289414,4,1455,764,1,6,6,0
18,2753,0.7872450351715088,285.5378042821149,8,2547,2066,2,7,7,0
19,2899,0.5904718041419983,325.69985070882115,7,2753,1482,1,7,7,0
20,3026,0.28017520904541016,426.0694730801166,9,1958,314,1,6,6,0
21,3231,0.6321882009506226,384.46677576585233,4,3097,1091,4,17,14,3
22,3422,0.25016969442367554,263.3428389477388,3,1486,2723,3,8,8,0
23,3507,0.5787249803543091,330.3375311544105,8,2861,2740,2,8,5,3
24,3666,0.4940829575061798,261.03966145614424,2,2550,3158,1,4,4,0
25,3797,0.28015533089637756,319.84135217856357,7,3321,3348,1,5,5,0
26,3974,0.35721462965011597,301.15489206516895,8,1968,2740,1,4,4,0
27,4140,0.895750105381012,414.6480345125162,8,3931,2753,2,7,7,0
28,4275,0.6405013203620911,639.8840854148891,1,3978,3526,2,8,7,1
29,4474,0.6934667825698853,509.7471397877136,9,3869,2723,1,6,6,0
30,4621,0.6173484325408936,570.9956271461718,3,4292,3526,2,13,12,1
31,4786,0.6334773302078247,418.365521909117,7,4415,4209,2,5,5,0
32,4949,0.5226926207542419,677.5449744779999,8,4390,4638,1,3,3,0
33,5031,0.6515393853187561,405.26769543948996,9,4898,3666,2,8,7,1
34,5120,0.13760285079479218,351.18406687504984,5,3865,4873,3,7,6,1
35,5377,0.5533571839332581,966.75317370138,4,4854,5232,1,6,6,0
36,5489,0.2411424070596695,438.3611131091917,5,5373,4949,1,4,4,0
37,5641,0.7331946492195129,379.02018860614737,9,5106,4344,1,4,4,0
38,5778,0.7439410090446472,448.18486511199023,1,5111,3129,1,5,5,0
39,5962,0.470947802066803,501.7106389814502,5,4949,4471,1,5,4,1
40,6041,0.5990123152732849,312.0919516768458,1,5205,4786,1,4,4,0
41,6223,0.42422109842300415,411.01589076764355,2,4786,5531,4,12,10,2
42,6394,0.6343872547149658,354.78510140432354,6,5076,5076,1,6,6,0
43,6488,0.784889817237854,657.6152157993292,9,3129,4344,2,6,5,1
44,6651,0.45037418603897095,383.40519467181457,8,5847,4638,1,5,5,0
45,6872,0.43845680356025696,581.8241589767706,8,6230,4275,1,4,4,0
46,6948,0.7021127343177795,401.91940924360233,1,4274,5377,2,8,8,0
47,7112,0.721632719039917,554.693906566855,8,4303,6230,3,8,7,1
48,7314,0.7840418815612793,556.4240548951382,9,4875,4344,1,6,6,0
49,7397,0.7681220173835754,414.99480506272295,9,4344,6824,1,6,6,0
50,7587,0.59506756067276,510.318255944698,4,5962,2753,1,4,4,0
51,7800,0.5228938460350037,634.7560758648441,2,4456,7112,2,10,9,1
52,7889,0.4282582104206085,473.5107340673605,3,7223,6951,1,3,3,0
53,8063,0.5442028641700745,518.4909619975754,3,3197,4474,1,4,3,1
54,8160,0.3909432291984558,618.978580855767,2,7557,4471,1,3,2,1
55,8325,0.36920949816703796,587.1109937329812,3,7447,8180,2,10,9,1
56,8429,0.6555507183074951,381.4085542891723,2,5238,4786,1,4,2,2
57,8637,0.556442141532898,738.3746071924804,4,5377,4786,3,10,10,0
58,8848,0.6049983501434326,371.70608344834005,1,6292,7305,2,4,4,0
59,8929,0.6432573199272156,519.1207537993345,4,5377,8063,1,7,7,0
60,9061,0.25906312465667725,554.7205766582881,1,6522,7112,1,5,5,0
