generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,101,2.968547821044922,93.24354016789295,4,-1,-1,2,12,12,0
1,212,3.299731731414795,66.1984185241253,2,101,64,1,3,3,0
2,365,2.8154163360595703,69.08803439975986,2,268,115,2,8,7,1
3,566,2.7757811546325684,57.47523662337734,7,410,412,2,12,12,0
4,628,1.9828048944473267,55.77410940144559,2,346,346,3,14,13,1
5,840,1.5386600494384766,62.388636163746675,3,598,548,2,7,7,0
6,982,1.1577019691467285,31.86423560175359,7,596,661,3,14,13,1
7,1058,1.0775614976882935,57.2897830512491,7,783,367,3,14,13,1
8,1279,0.9340198040008545,74.35735048677783,7,931,843,3,12,11,1
9,1491,0.9282094240188599,61.14211295170853,7,1063,1162,2,7,7,0
10,1586,1.1448334455490112,62.75853955107478,1,888,695,2,14,14,0
11,1737,0.9083913564682007,97.17891488203244,3,1219,1024,3,14,12,2
12,1862,0.7927550077438354,68.6260774173061,2,1224,1797,2,6,6,0
13,1955,0.7461041212081909,60.89193396280009,4,10,621,1,5,3,2
14,2143,0.7817859649658203,43.93584663438928,5,1801,1823,2,8,6,2
15,2373,0.7813445329666138,58.41815731891622,7,2218,2222,1,5,4,1
16,2451,0.7667291164398193,42.324810666175225,2,1663,1491,1,4,4,0
17,2646,0.7016103267669678,40.59318958896247,6,2467,1109,1,6,6,0
18,2821,0.71817547082901,62.93003516505728,6,2285,2690,1,6,6,0
19,2919,0.623507559299469,60.905016689247624,6,2669,1379,2,11,9,2
20,3046,0.6339101195335388,61.79544856226114,5,621,1058,1,7,7,0
21,3296,0.6438798308372498,66.08625920943328,7,2834,1379,1,6,6,0
22,3382,0.6656545400619507,153.97352033412426,4,1613,1683,2,14,13,1
23,3484,0.6273021101951599,57.27720699111122,2,3380,3425,2,7,7,0
24,3727,0.7597590684890747,158.59402168660705,6,1492,2503,1,6,6,0
25,3796,0.5988752841949463,63.70608555809467,2,3705,1609,2,12,12,0
26,3910,0.8518903851509094,158.0628640313568,6,3185,3796,2,8,6,2
27,4168,0.6052379608154297,61.95758879006847,1,3223,2919,2,10,9,1
28,4216,0.5641987323760986,58.200671229224724,2,3255,2821,1,5,4,1
29,4420,0.552608072757721,49.58909533075285,5,3910,1609,1,6,6,0
30,4543,0.5465033650398254,60.25378470217963,6,1623,4402,1,6,4,2
31,4758,0.4721444249153137,61.873503835084406,2,3519,4439,1,5,5,0
32,4806,0.4873978793621063,61.83491480394599,5,4341,4420,1,5,5,0
33,4974,0.49537599086761475,69.49129811134165,3,1492,856,1,8,8,0
34,5209,0.4772135615348816,73.27738808729943,6,3861,3727,1,8,7,1
35,5300,0.44873571395874023,58.18881501213972,7,4503,3125,2,10,10,0
36,5504,0.5470483303070068,120.19723153339109,3,3233,5334,2,9,8,1
37,5668,0.5560019016265869,192.14775328913788,3,4204,3318,2,12,11,1
38,5803,0.552374541759491,135.4123382388962,7,2834,3317,2,10,10,0
39,5994,0.538826584815979,144.36460038507624,1,2832,4173,1,6,6,0
40,6113,0.4077591001987457,75.38413871172953,2,5719,2789,2,8,7,1
41,6224,0.4292205274105072,95.90475122497557,7,4620,3382,1,4,4,0
42,6389,0.463261216878891,63.35079588638966,3,3318,5871,2,9,9,0
43,6557,0.548799991607666,61.93406391542716,1,3934,5905,2,9,8,1
44,6646,0.4951672852039337,195.24192032640383,6,4080,6556,2,9,9,0
45,6756,0.4379231035709381,57.3368533508513,4,5877,6607,2,7,7,0
46,6957,0.43649011850357056,60.475099505792244,2,6514,6113,1,4,4,0
47,7107,0.5001993179321289,61.39268921274855,6,6838,6389,1,4,4,0
48,7229,0.39586690068244934,194.71495645657197,3,6627,5564,1,5,4,1
49,7425,0.5250595211982727,151.81859214572393,1,6201,6646,1,5,5,0
50,7537,0.6502179503440857,158.41547426179005,6,6646,6984,1,6,5,1
51,7699,0.9483110308647156,204.7759756194651,1,6627,3910,1,4,3,1
52,7923,0.5408520698547363,159.97465710752977,1,6184,7699,1,5,4,1
53,8092,0.40471217036247253,62.933446713623724,1,7023,6756,1,7,6,1
54,8104,0.9966059327125549,307.1493302800284,6,4420,3910,2,8,7,1
55,8351,0.4521072804927826,132.1225471439281,1,6986,5592,1,4,3,1
56,8543,0.7999680042266846,584.7424759005232,1,6627,8104,1,4,4,0
57,8637,0.5264462232589722,172.48115346012565,1,8543,8440,1,6,6,0
58,8802,0.7627377510070801,230.7486441726253,6,8268,8543,2,8,7,1
59,8886,0.3813009262084961,55.55913623613925,2,6775,8013,2,6,5,1
60,9050,0.45579901337623596,176.92420655702713,2,4089,8104,1,7,6,1
61,9234,0.38002079725265503,245.55251859585013,6,8371,7003,1,5,5,0
62,9428,0.7604073882102966,369.30393293432223,2,9050,6638,1,6,6,0
63,9547,0.6030332446098328,538.3480264357138,3,8276,6534,2,9,8,1
64,9717,0.3925681710243225,144.32951163760856,6,7698,4543,1,6,5,1
65,9784,0.765031099319458,354.0715751866678,2,8873,8543,1,6,6,0
66,9913,0.7033671736717224,205.01198726354056,3,8104,8802,1,5,3,2
67,10147,0.4735207259654999,267.063170103982,2,8368,5592,1,6,4,2
68,10318,0.6537470817565918,380.2701592056231,1,8104,3910,1,5,4,1
69,10486,0.4344567358493805,56.58170688044997,6,8432,6557,1,5,5,0
70,10614,0.7135507464408875,492.98508751491624,7,8031,9784,1,6,6,0
71,10776,0.5262280106544495,359.3893116380544,5,6759,10318,1,3,2,1
72,10926,0.5181044936180115,292.4245495895476,1,10147,10776,1,6,6,0
73,11026,0.4238455891609192,452.42302476830537,5,5994,9547,1,6,5,1
74,11135,0.6287040710449219,216.38853171231685,1,8913,9924,1,6,6,0
75,11361,0.43188461661338806,310.0649884394542,1,9547,11118,2,8,5,3
76,11466,0.4325169324874878,261.79955245047654,1,10279,10279,1,7,7,0
77,11613,0.5243818163871765,397.37908604952855,3,11118,9784,1,5,5,0
78,11850,0.4363285005092621,447.7003592818854,3,10925,8543,1,6,3,3
79,11904,0.37913376092910767,694.8885774720559,1,10096,10545,2,5,4,1
80,12037,0.33716022968292236,58.32633434704182,2,9050,11776,1,6,6,0
81,12215,0.49207770824432373,156.90332205907433,4,9428,10925,1,5,4,1
82,12414,0.47785037755966187,450.6733493280996,5,11597,11361,1,4,3,1
83,12589,0.5456418395042419,458.3023682360441,4,10545,10545,1,6,5,1
84,12673,0.33914902806282043,63.958625767031116,3,8634,8637,2,6,5,1
85,12767,0.29855942726135254,56.186807091958066,1,12215,11135,1,5,4,1
86,13010,0.3456602692604065,54.79413607621699,2,11207,12215,1,6,5,1
87,13161,0.4414811432361603,385.0514409048863,5,11613,11613,2,6,5,1
88,13334,0.3074764013290405,44.8481460379918,5,11870,8913,1,3,2,1
89,13375,0.3319014310836792,59.786927980625634,7,4420,11732,1,4,4,0
90,13554,0.3319662809371948,370.4983363454225,3,11118,11943,2,7,6,1
91,13757,0.2771100401878357,61.931457120683284,6,12589,12214,1,5,3,2
92,13948,0.3200085163116455,59.209572316200365,2,10608,11118,1,4,2,2
93,13973,0.3737238049507141,55.66731762803067,7,7802,10486,1,5,3,2
94,14132,0.32135429978370667,56.20805280320887,3,7870,11477,1,3,3,0
95,14261,0.32765665650367737,504.1043303481977,7,11613,11613,1,3,2,1
96,14529,0.32909345626831055,62.81863460220181,5,13295,10614,2,7,6,1
97,14619,0.38669702410697937,506.8718797148731,2,10614,14017,1,4,4,0
98,14811,0.3405987322330475,147.02338468601383,3,11471,13747,2,5,3,2
99,14994,0.3213633894920349,59.209572316200365,4,13948,11207,1,3,3,0
100,15102,0.35181528329849243,60.05580716484775,1,8634,14529,2,7,4,3
101,15205,0.4181790351867676,51.592581592824374,1,10096,12214,2,6,5,1
102,15350,0.2851433753967285,83.48195772001966,7,8634,15274,1,5,4,1
103,15581,0.3493308424949646,52.26712577536298,1,12414,11361,2,9,7,2
104,15646,0.3230513632297516,60.026368946644105,5,8634,15205,1,4,2,2
105,15777,0.32656240463256836,53.53584944165211,4,12589,12214,1,3,3,0
106,16039,0.32146793603897095,64.67439807032915,2,14132,12215,1,3,3,0
107,16176,0.3276982307434082,54.37571321334501,6,15581,6534,2,8,5,3
108,16267,0.3211742639541626,73.82994367231235,5,13010,14811,1,4,3,1
109,16478,0.28672078251838684,66.59222080489397,6,15754,16267,2,6,5,1
110,16505,0.2917010188102722,65.7131411737412,4,13415,16176,1,6,4,2
