generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,21,1.6380069255828857,109.71052393005493,2,-1,-1,2,12,12,0
1,220,1.6114073991775513,64.96058612340943,1,38,111,2,11,11,0
2,327,1.0758519172668457,60.45818396963888,1,44,135,3,13,12,1
3,461,0.8129464983940125,85.7485835154285,5,359,21,2,11,11,0
4,691,0.950684130191803,58.374953906460064,3,230,461,2,10,10,0
5,793,1.2515555620193481,64.84861740692193,5,635,324,3,14,13,1
6,1009,1.2374435663223267,67.6370470369805,4,865,230,3,13,12,1
7,1170,1.1620506048202515,59.56395836425405,2,1036,1044,1,6,5,1
8,1248,1.1852490901947021,69.4372070671275,3,470,1166,2,11,11,0
9,1441,1.1185580492019653,67.52116291603458,3,467,878,1,5,5,0
10,1588,0.9620129466056824,54.75841048901218,4,1023,1290,3,14,14,0
11,1710,0.9902742505073547,58.66763704512848,2,1539,1555,4,13,12,1
12,1897,1.057347059249878,64.93311789145949,1,1656,1391,1,8,8,0
13,2051,0.77159184217453,83.46415676172681,1,1594,1095,1,9,9,0
14,2223,0.6837399005889893,61.26193783714727,5,1999,1852,1,6,5,1
15,2320,0.7432805895805359,60.21053251476049,2,1919,1888,1,7,5,2
16,2527,0.6759499311447144,132.65183592912788,1,1968,1966,1,5,5,0
17,2680,0.7716319561004639,154.2400220430944,1,1496,1979,1,4,3,1
18,2837,0.7725825905799866,237.60797339281248,3,1864,1105,1,4,4,0
19,2932,1.2491185665130615,290.405996140489,3,1979,2710,1,5,5,0
20,3047,1.2280068397521973,259.19544542202516,3,2562,2932,1,4,4,0
21,3202,0.7245923280715942,216.80945197591763,3,2553,3002,2,7,6,1
22,3304,0.9447450041770935,190.71358545759458,3,2411,2932,1,7,7,0
23,3561,1.5678741931915283,248.75697138741725,3,2363,3202,1,4,3,1
24,3620,1.0943940877914429,232.5621280856642,3,1864,3052,4,10,7,3
25,3851,1.5478063821792603,451.51028780714626,2,2812,2932,3,12,9,3
26,4035,1.7043501138687134,264.68928113865115,5,3773,3052,4,12,10,2
27,4075,1.2759264707565308,273.8620313175389,3,4035,1441,3,12,9,3
28,4206,1.3868004083633423,226.4862054436149,1,4189,3952,3,10,9,1
29,4388,1.4925788640975952,265.53552216355047,1,4035,4035,5,15,11,4
