generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,21,1.6380069255828857,109.71052393005493,,-1,-1,2,12,12,0
0,45,1.5324602127075195,63.41035250299217,,-1,-1,2,12,12,0
0,123,1.497099757194519,35.37763533047298,,-1,-1,2,12,12,0
0,13,1.306569218635559,67.36281642975085,,-1,-1,2,12,12,0
0,46,1.293121576309204,36.48270843604897,,-1,-1,2,12,12,0
0,61,1.281539797782898,35.57804171460138,,-1,-1,2,12,12,0
0,41,1.2745717763900757,35.53406099767487,,-1,-1,2,12,12,0
0,96,1.2564952373504639,70.26641481251104,,-1,-1,2,12,12,0
0,3,1.243552327156067,33.73275835541333,,-1,-1,2,12,12,0
0,64,1.2380993366241455,31.86423570500375,,-1,-1,2,12,12,0
0,17,1.2380980253219604,31.864236631347573,,-1,-1,2,12,12,0
0,111,1.2380867004394531,31.8642443757796,,-1,-1,2,12,12,0
0,85,1.2380571365356445,31.86426469269001,,-1,-1,2,12,12,0
0,67,1.2379536628723145,31.86433696410923,,-1,-1,2,12,12,0
0,133,1.2374756336212158,31.864658014898964,,-1,-1,2,12,12,0
0,103,1.2367935180664062,31.86518307841551,,-1,-1,2,12,12,0
0,100,1.2354423999786377,31.86604166859213,,-1,-1,2,12,12,0
0,15,1.233364462852478,31.867566968331055,,-1,-1,2,12,12,0
0,140,1.2241973876953125,31.873653429621744,,-1,-1,2,12,12,0
0,20,1.2199876308441162,31.876970847103415,,-1,-1,2,12,12,0
0,104,1.2193317413330078,31.87771222121956,,-1,-1,2,12,12,0
0,148,1.2153401374816895,31.87873172453099,,-1,-1,2,12,12,0
0,36,1.207808017730713,31.88143582198891,,-1,-1,2,12,12,0
0,47,1.195834755897522,65.65121074990383,,-1,-1,2,12,12,0
0,78,1.190346598625183,31.896435511373078,,-1,-1,2,12,12,0
0,44,1.189253807067871,135.1076872154832,,-1,-1,2,12,12,0
0,124,1.1890751123428345,33.71912530841635,,-1,-1,2,12,12,0
0,93,1.1709911823272705,31.910214785459715,,-1,-1,2,12,12,0
0,127,1.1512383222579956,32.862177099880526,,-1,-1,2,12,12,0
0,128,1.1482796669006348,31.973858945092637,,-1,-1,2,12,12,0
0,97,1.148036003112793,31.8922216005687,,-1,-1,2,12,12,0
0,55,1.128798246383667,32.86955132064115,,-1,-1,2,12,12,0
0,4,1.1175873279571533,33.78085666508268,,-1,-1,2,12,12,0
0,65,1.1099956035614014,31.997869729585563,,-1,-1,2,12,12,0
0,74,1.0820908546447754,34.739094113529845,,-1,-1,2,12,12,0
0,63,1.0729681253433228,32.90726061208022,,-1,-1,2,12,12,0
0,31,1.071559190750122,33.89848154808003,,-1,-1,2,12,12,0
0,34,1.0709551572799683,31.986583331920627,,-1,-1,2,12,12,0
0,10,1.0678032636642456,35.73346065946975,,-1,-1,2,12,12,0
0,108,1.060288667678833,31.109866381515452,,-1,-1,2,12,12,0
0,1,1.0600335597991943,31.11279243295764,,-1,-1,2,12,12,0
0,130,1.0405066013336182,35.71514302251909,,-1,-1,2,12,12,0
0,144,1.0251364707946777,34.900119979426734,,-1,-1,2,12,12,0
0,121,1.0250749588012695,31.13776694507615,,-1,-1,2,12,12,0
0,70,1.0205639600753784,32.03229942870578,,-1,-1,2,12,12,0
0,51,1.0102092027664185,31.998687120850366,,-1,-1,2,12,12,0
0,49,0.999268114566803,37.79221661972124,,-1,-1,2,12,12,0
0,112,0.9978843331336975,67.5768817272894,,-1,-1,2,12,12,0
0,109,0.9835470914840698,34.910149911582025,,-1,-1,2,12,12,0
0,143,0.9816824197769165,32.98492776493979,,-1,-1,2,12,12,0
1,220,1.6114073991775513,64.96058612340943,,38,111,2,11,11,0
1,21,1.3179315328598022,109.71052393005493,,-1,-1,2,12,12,0
1,45,1.2118964195251465,63.41035250299217,,-1,-1,2,12,12,0
1,123,1.1646440029144287,35.37763533047298,,-1,-1,2,12,12,0
1,261,1.0328798294067383,67.55895620669155,,45,127,2,12,12,0
1,13,1.026475429534912,67.36281642975085,,-1,-1,2,12,12,0
1,46,0.9970394372940063,36.48270843604897,,-1,-1,2,12,12,0
1,221,0.9937253594398499,33.70048440048704,,135,44,2,13,13,0
1,193,0.9925444722175598,37.401553784353446,,53,61,3,13,13,0
1,61,0.9888613820075989,35.57804171460138,,-1,-1,2,12,12,0
