generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,44,1.189253807067871,135.1076872154832,2,-1,-1,2,12,12,0
1,222,0.48465898633003235,123.13563411996805,2,55,124,2,11,11,0
2,349,0.5854537487030029,108.62582662611746,2,120,102,3,13,12,1
3,575,0.602920651435852,132.64943177863478,5,358,358,2,11,11,0
4,670,0.4761859178543091,175.64717356801592,2,511,590,2,10,10,0
5,854,0.5303875207901001,141.32342987393469,2,575,613,3,14,13,1
6,902,0.6299982070922852,146.87934139820328,5,889,880,3,13,12,1
7,1105,0.4711284935474396,175.78454674556383,2,217,932,1,6,5,1
8,1327,0.3410257399082184,168.67255188364203,2,21,691,2,11,11,0
9,1417,0.18193019926548004,306.90038807372366,5,878,220,1,5,5,0
10,1630,0.22507309913635254,147.99168629184072,1,1448,222,3,14,14,0
11,1656,0.4357233941555023,208.16172575148366,1,1539,1441,4,13,12,1
12,1899,0.39758968353271484,223.71378509938208,1,1656,1327,1,8,8,0
13,2065,0.3832812011241913,274.1776553642827,4,1868,793,1,9,9,0
14,2138,0.2280815690755844,171.65975951612435,4,1067,1868,1,6,5,1
15,2363,0.27488526701927185,193.52115528882513,1,1847,900,1,7,5,2
16,2542,0.3248530328273773,227.0448090379885,4,959,2065,1,5,5,0
17,2593,0.20461291074752808,208.57153061769705,4,2542,2324,1,4,3,1
18,2716,0.43107467889785767,261.8944875176227,3,2326,2562,1,4,4,0
19,2932,1.2491185665130615,290.405996140489,3,1979,2710,1,5,5,0
20,3047,1.2280068397521973,259.19544542202516,3,2562,2932,1,4,4,0
21,3297,0.23100076615810394,348.42393679370804,4,3023,2837,2,7,6,1
22,3366,0.5562871694564819,303.98368982680324,3,1966,3047,1,7,7,0
23,3530,0.45342516899108887,282.11994752416274,3,2122,3177,1,4,3,1
24,3745,0.3003651201725006,242.62483981385395,4,2715,3029,4,10,7,3
25,3851,1.5478063821792603,451.51028780714626,2,2812,2932,3,12,9,3
26,3963,1.4375497102737427,401.7830458724803,5,3889,3842,4,12,10,2
27,4160,1.240430235862732,384.15170744283427,2,3566,3889,3,12,9,3
28,4215,1.0928131341934204,553.8958649190278,3,3851,3961,3,10,9,1
29,4355,1.0702576637268066,706.1508929915751,1,3851,4035,5,15,11,4
30,4567,0.7931708693504333,581.7691067154706,1,2593,4388,2,11,9,2
31,4689,0.2260534018278122,517.1625216242744,1,3963,4318,1,5,5,0
