generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,21,36.01261400189687,57.65187291416164,3,-1,-1,2,12,12,0
1,193,25.55675978869068,117.78556857793967,4,123,10,3,14,13,1
2,343,20.11764648100734,61.58191163719545,5,162,193,3,15,14,1
3,522,19.666364989711607,81.01538717350756,4,30,19,2,13,12,1
4,691,17.101445474901688,72.98325628103149,4,484,123,2,10,10,0
5,834,29.208011108284445,55.29525152557477,4,389,310,3,15,14,1
6,927,15.644025905101042,179.41372717165592,4,771,90,3,13,11,2
7,1065,17.162359249882847,168.75580285755655,5,1018,534,2,12,12,0
8,1257,17.293992778042433,69.59390925441966,3,986,665,3,13,12,1
9,1477,18.024095439040412,81.44938285273943,2,522,522,2,11,11,0
10,1589,16.518799930202853,130.56292828721283,4,472,742,2,12,12,0
11,1749,14.556372106988606,45.001523035527306,4,167,952,2,12,12,0
12,1866,27.80456851120762,69.57879883955734,4,1369,1709,2,7,7,0
13,2076,23.082355520309196,59.25014738937492,1,414,1644,3,9,8,1
14,2184,22.81526948734883,64.25317402636486,4,900,770,1,7,6,1
15,2338,22.240336253743543,73.04896306816008,4,2162,1801,3,14,13,1
16,2467,18.732977347175026,61.53462985156631,2,2226,771,2,11,9,2
17,2677,18.41971477316334,153.08507417659825,3,310,2103,3,10,10,0
18,2825,24.178169570276626,412.21325345102343,1,952,2103,3,7,5,2
19,2878,14.361242860487216,136.0598702213585,4,2162,1715,2,7,6,1
20,3098,16.61292736788811,82.65209156665775,4,2717,576,4,15,12,3
21,3287,33.637651752156444,71.20139951905671,5,1866,7,3,16,13,3
22,3390,14.365098834536733,59.314920953786476,1,843,861,1,4,4,0
23,3489,18.170874162048293,214.80054411321635,4,2825,3278,1,5,5,0
24,3672,25.5201410815654,417.903936593705,4,867,2825,3,11,10,1
25,3767,16.505314426431163,52.38859304302174,4,2633,3104,2,11,11,0
26,3927,18.48147625113084,259.16730073966085,4,36,2825,1,5,4,1
27,4105,17.920504310149546,322.288274548864,1,3927,663,1,5,5,0
28,4244,20.09447059752811,230.51909466341894,4,3090,3775,3,11,10,1
29,4459,17.032556075802194,60.60537803808287,2,3587,3278,2,8,8,0
30,4625,18.303621792951663,140.6514762116097,4,3775,2184,4,16,15,1
31,4796,18.107319947285085,44.12578340677969,4,304,2338,4,16,14,2
32,4846,20.563468157665127,63.94191373834066,4,3104,3287,1,7,7,0
33,5084,19.15342693170426,357.58910419240385,4,3281,4873,2,10,9,1
34,5238,26.250514633825667,251.99105229770893,5,4180,7,2,7,7,0
35,5256,15.048426201320504,81.82772678606192,5,3926,2182,4,14,11,3
36,5489,16.974275810215083,180.5679164833174,2,4320,118,3,10,7,3
37,5696,16.64339745975768,478.36490677121094,3,5223,5,3,7,6,1
38,5727,19.815998630487744,154.0393876336825,1,2994,5133,3,10,8,2
39,5932,13.928680602389338,231.85781831338772,3,4897,50,3,13,11,2
40,6135,18.2714197713324,137.03417723362813,3,5017,5017,2,11,11,0
41,6219,16.764320859776337,619.8345871356694,4,4012,3927,3,12,11,1
42,6439,19.965321001720998,277.91414275792084,1,5223,6137,2,11,11,0
43,6503,20.020433097959927,321.217329314711,1,5133,4320,1,5,5,0
44,6669,19.371533336002802,265.2330280682659,1,6377,6495,2,10,10,0
45,6752,24.54166483215733,326.13250330383556,3,4105,5238,2,8,7,1
46,7013,17.640374666735372,313.121893478233,1,4866,665,2,4,3,1
47,7104,17.323377136795475,653.224968823812,4,5786,3927,7,24,18,6
48,7276,24.99950327401636,58.033473762010296,5,4866,7116,3,14,11,3
49,7447,18.486824776572508,302.73031099942375,4,6752,321,2,13,13,0
50,7516,23.947356022887256,208.5509443245674,5,4866,62,3,9,9,0
51,7752,16.26251790392633,64.03691861109522,4,576,2103,3,13,9,4
52,7805,20.37585380808405,66.57169751956376,5,7269,7081,2,8,7,1
53,7971,26.24303785829809,316.4463455619188,5,5736,7302,3,14,12,2
54,8124,16.100296293016807,315.1383256166198,4,6871,2103,2,8,7,1
55,8264,21.07366046882381,339.79438652695967,4,5974,6899,3,11,7,4
56,8548,14.772704733718701,441.6856540724142,5,5727,248,4,16,12,4
57,8560,16.780588407554244,297.197993253362,4,6195,230,4,13,12,1
58,8701,18.24684254945873,71.30364680160123,3,4873,720,1,5,5,0
59,8857,23.624541431763813,303.8895933806341,2,14,1325,3,12,11,1
60,9117,19.197872605543555,83.07056408827506,3,5038,5238,3,13,12,1
61,9265,15.605351138210318,306.342701019831,5,8517,9106,2,12,11,1
62,9389,15.704835305765926,243.1127165791811,5,8570,8264,6,19,15,4
63,9574,18.585341546015677,75.95118809685837,4,3617,2677,2,9,6,3
64,9646,25.921114138844423,179.618337425374,5,9183,1946,3,13,12,1
