generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,44,22.464938265048612,135.1076872154832,2,-1,-1,2,12,12,0
1,192,12.774538885886928,203.26429983064742,2,8,28,2,12,12,0
2,399,12.349438899566499,121.19012130511275,3,112,123,2,12,12,0
3,456,13.065034266093894,151.73885148424534,3,352,298,2,11,11,0
4,601,5.794271709207468,130.86001322486936,4,593,447,3,14,13,1
5,840,12.49980101648966,144.653700674827,2,556,152,1,6,6,0
6,1032,12.618583303057981,170.25952931542938,2,8,192,4,18,15,3
7,1075,7.206000197880058,178.60273050591906,5,699,860,2,9,8,1
8,1217,7.826500641507007,149.5261645133988,3,381,542,1,6,6,0
9,1450,5.887818155406781,169.38214870350276,3,86,1044,2,12,11,1
10,1580,6.026125344260964,155.4911741699595,3,865,1417,1,4,4,0
11,1697,8.633666347731781,182.1421813051765,5,1201,1400,3,17,16,1
12,1935,5.999600022758464,182.52734688915274,1,1390,942,2,13,13,0
13,2094,7.147198364166482,191.97556937723664,1,1739,1044,2,11,11,0
14,2239,15.03608530958344,222.99648019373572,5,192,840,2,10,9,1
15,2351,4.843319644468992,202.15151917539546,1,1516,1631,3,15,13,2
16,2429,7.711132698762831,167.3773941880739,1,784,1862,1,5,5,0
17,2625,8.74945149270767,192.3987388262753,1,1735,22,3,13,12,1
18,2818,11.362294836011872,178.08359786830422,2,2526,2450,2,7,6,1
19,2914,9.608668754830328,181.5121797097831,2,1495,1590,2,9,7,2
20,3134,6.092562017347556,273.52841002241587,4,1280,1516,1,6,6,0
21,3243,6.356012044421626,248.9426862219992,2,2649,47,3,12,12,0
22,3365,13.993536925024852,381.9986102407,2,1697,1149,1,3,3,0
23,3556,6.061347842995395,220.5132819710228,2,3182,1132,1,4,4,0
24,3642,6.85379838530829,222.8821047607737,2,3182,3440,3,14,12,2
25,3788,6.357224022326251,273.4522107801554,2,3556,3591,1,6,5,1
26,3949,8.481205425374434,369.56158379274905,4,1697,3656,2,10,10,0
27,4078,7.999871755194664,223.9762396664483,4,3180,3788,2,7,7,0
28,4283,7.044874417751539,261.8942412850382,1,2727,3243,3,11,10,1
29,4389,8.74203101006623,291.875608161805,4,3216,2818,1,2,2,0
30,4568,10.022163765326054,334.5928736364679,4,3888,3788,2,11,10,1
31,4768,13.27017272394175,294.5424538730487,4,3084,1267,3,7,6,1
32,4815,18.343104258075492,335.05259559055884,5,3464,444,2,12,12,0
