generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,21,36.01261400189687,57.65187291416164,3,-1,-1,2,12,12,0
1,193,25.55675978869068,117.78556857793967,4,123,10,3,14,13,1
2,343,20.11764648100734,61.58191163719545,5,162,193,3,15,14,1
3,522,19.666364989711607,81.01538717350756,4,30,19,2,13,12,1
4,691,17.101445474901688,72.98325628103149,4,484,123,2,10,10,0
5,834,29.208011108284445,55.29525152557477,4,389,310,3,15,14,1
6,1040,49.13244882414329,62.59167675044107,4,625,822,2,10,10,0
7,1086,17.394263468694103,63.107869937004885,4,49,173,4,16,15,1
8,1246,19.383143668624708,70.63173107595364,4,892,778,3,7,6,1
9,1481,26.44780465679603,62.88248329912334,4,869,1157,3,8,6,2
10,1513,13.667370872281953,43.437160572480195,4,472,956,2,12,12,0
11,1791,21.340614669171327,61.92909507448295,4,1063,1529,4,15,13,2
12,1871,22.10289986032829,61.88963143696966,4,917,867,3,16,15,1
13,2091,14.7630880533728,121.53203737013996,2,1633,855,3,12,11,1
14,2139,22.102577768072624,235.2429835677361,3,1381,1529,3,14,13,1
15,2367,14.016389464367737,115.36957820129892,1,2028,423,3,13,11,2
16,2520,14.656624783453806,214.8483639489287,5,2139,163,3,14,12,2
17,2661,27.38400376515107,291.60962014804556,5,2463,177,2,10,9,1
18,2782,15.66355484641672,117.99065002002445,1,1478,1815,3,14,12,2
19,2973,16.865833221197185,62.82830030172605,4,689,2030,2,8,8,0
20,3052,18.02565387704014,63.67700295874912,1,1931,134,3,11,10,1
21,3230,17.440731584311745,247.65057244786482,5,2180,2661,4,16,13,3
22,3406,12.40644630199173,78.78507226965668,3,917,522,4,15,12,3
23,3524,11.903905074893768,70.35079211353917,4,2549,2893,1,5,4,1
24,3631,12.821293821769636,72.36873359758093,1,2897,1162,1,8,7,1
25,3877,15.929686714747694,61.14169867732168,5,167,2451,3,13,12,1
26,3924,11.257192125936221,41.03782275628577,5,3582,3863,3,11,11,0
27,4076,20.126513150356427,249.3882205329483,3,4038,3439,3,13,12,1
28,4255,15.614788590561483,49.32882541843141,4,4087,2455,3,11,9,2
29,4445,17.033535274360244,312.6309109426858,3,3232,1913,3,13,12,1
30,4625,14.238758025297882,200.69012040098374,1,4276,3870,1,5,5,0
31,4677,16.704533154799105,38.145692514971344,1,3240,4614,4,14,12,2
32,4948,15.422253207686342,303.73879397511257,5,4767,4668,2,5,4,1
33,5057,23.152852816834802,376.8709056539832,5,904,4232,1,7,7,0
34,5184,14.328801971328055,286.2126038989885,1,4614,4545,2,7,7,0
35,5365,13.454157582683695,74.28612121215453,3,10,912,3,11,9,2
36,5477,12.837699812628403,217.22171085323467,2,3230,5184,1,5,5,0
37,5631,17.67954751608903,348.48516209006175,2,5314,4625,3,12,11,1
38,5704,14.239831309101495,281.17046066050773,5,4701,4766,1,6,5,1
39,5924,22.316750785508223,348.7038137762486,1,3398,3264,1,4,4,0
40,6010,14.20998205737158,454.5107667408867,5,5924,5924,4,17,15,2
41,6209,14.989859471408673,273.7311270700382,2,5250,2978,2,10,10,0
42,6315,17.28423047275735,55.74525879474767,4,1157,90,1,5,5,0
43,6530,12.158260538334108,110.54276924585756,3,5623,21,2,7,7,0
44,6637,15.348101413010776,381.2174467327551,3,6572,5768,1,6,6,0
45,6886,20.29784456859253,372.8744536160342,5,6375,6136,4,13,12,1
46,7012,16.974686808056056,203.47238601594705,1,2661,2378,2,7,6,1
47,7076,16.020072484085105,357.92703974834535,3,5057,2169,1,6,6,0
48,7223,28.382684939835563,196.58811863988075,4,6375,5184,3,7,6,1
49,7447,16.55018135829026,285.7636400745433,3,6792,1815,2,6,5,1
50,7539,22.5645918799432,506.28666490512296,3,7076,5561,2,11,11,0
51,7750,20.91889289255655,382.5285224193849,2,7208,6375,2,9,9,0
52,7919,12.461138893789435,53.82837635154657,2,7363,6886,1,7,7,0
53,8044,13.998343651583857,288.7896642449429,2,6886,2379,1,4,4,0
54,8242,13.27145647023256,195.80916095418513,5,3707,4545,3,10,7,3
55,8355,13.787885570662631,54.03825178495191,1,5184,7190,2,10,10,0
56,8447,12.676538748429632,43.14311015014606,5,1838,5107,2,5,4,1
57,8695,14.248413922107995,356.5951111144779,1,5184,2520,4,16,13,3
58,8842,18.473269793112365,291.5276582374964,2,8159,8360,3,14,13,1
59,8856,13.34534418803822,47.770455792631786,3,8386,7214,4,9,8,1
60,9131,22.653302123414484,364.4135954237145,5,8056,7599,3,14,13,1
61,9254,17.272126381791907,485.18221567849224,1,8848,4701,3,9,7,2
62,9307,16.32934613668477,226.26323117984944,1,192,6307,3,11,9,2
63,9493,23.230886821436822,265.483246469208,1,7208,8673,4,12,11,1
64,9693,13.443240709937873,64.53225436523152,3,9532,1228,2,7,7,0
