generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,44,21.435800068920155,135.1076872154832,2,-1,-1,2,12,12,0
1,166,18.12541732888155,205.7635436757633,1,49,13,2,11,11,0
2,412,13.252611096156107,135.0388633551413,3,21,94,3,15,14,1
3,467,7.466442075016954,128.01058178365503,1,432,334,2,12,12,0
4,714,6.345802441144206,129.7805659795469,1,561,407,1,5,5,0
5,857,4.518091730926657,183.24319231073468,2,238,169,4,15,13,2
6,1011,5.788909460691195,228.07101836963494,1,694,788,3,14,12,2
7,1061,11.25299372837237,133.434149395848,4,1038,614,1,5,5,0
8,1309,6.859505222358432,163.9871767411721,1,1100,306,1,2,2,0
9,1381,6.975954517648611,271.820625650921,1,86,857,3,12,11,1
10,1610,4.6397164746179715,207.8105884707637,4,306,1004,1,4,4,0
11,1704,4.9456984834183455,203.64011210295308,3,1005,1610,2,10,10,0
12,1814,6.065033233946063,266.74288040424574,3,1745,1102,3,12,12,0
13,1955,7.2895076704317425,288.7294038461233,2,1823,106,3,12,11,1
14,2194,7.508582541929096,160.6492041813915,2,714,1887,1,6,6,0
15,2266,7.734903655252808,243.3830618570039,2,1309,44,3,8,7,1
16,2472,6.274625812132316,276.9193837105314,2,1143,2248,2,8,8,0
17,2630,7.830326830877817,297.36534864247596,3,1814,894,3,12,12,0
18,2764,11.269167800895412,216.7453333243418,3,2014,2079,5,16,13,3
19,2910,5.669392509576659,219.1047644558634,3,1209,2621,2,12,12,0
20,3006,11.168249323019362,220.89785609738252,2,2745,2273,1,4,4,0
21,3195,7.349746249887402,220.71461096665584,5,3100,2450,3,9,8,1
22,3448,7.072524075178779,281.25970150707246,4,1995,3241,4,8,8,0
23,3485,6.798584121158722,315.0868007397431,5,3339,2469,2,5,4,1
24,3631,5.50517814924478,269.2054923061462,5,2805,490,2,12,11,1
25,3797,3.8086911857032555,374.0579274186795,1,1704,268,5,17,14,3
26,4026,6.070267649342019,293.476272114255,1,3789,1463,3,9,6,3
27,4183,3.5021410515938665,268.5080352335144,2,3158,2294,3,10,9,1
28,4265,5.589099658442792,231.65074295171797,3,4100,1814,1,6,6,0
29,4376,10.673079676217691,330.50118172910095,3,4183,717,4,14,11,3
30,4529,17.878884812828506,349.54269576911906,2,2630,3485,5,16,14,2
31,4651,18.26308731730993,435.54302487420244,1,4639,1551,3,10,8,2
32,4886,7.169355111888196,274.3777060872911,4,4288,1381,2,9,8,1
33,5093,8.43930259630115,326.99212081381967,5,4638,492,1,4,4,0
34,5115,11.875780239415795,377.15210538444694,5,4381,4651,3,12,11,1
35,5265,8.60334655918667,311.29471848911857,5,4571,3808,3,12,12,0
36,5542,12.09183420046964,382.7007361249213,5,4571,4102,5,15,11,4
37,5562,6.32859764905136,343.3823619915629,2,2294,47,1,6,6,0
38,5744,17.869299564114225,619.6252139556509,2,4376,5115,3,9,7,2
39,5970,5.255267240412747,343.2091858553154,4,3823,2472,3,10,9,1
40,6140,14.034899714045098,383.1848495216972,3,5744,3490,4,13,11,2
41,6235,9.877867973595356,611.8186044803559,4,5542,4376,4,15,13,2
42,6343,14.322203665568457,283.84430590981924,2,5744,5336,6,18,17,1
43,6542,6.252807860311072,322.0737125962281,3,4026,6291,1,4,4,0
44,6672,15.194146395230614,346.5939969132942,2,4580,5741,1,6,5,1
45,6897,12.075213573429874,593.9369932093665,4,6291,6560,3,11,9,2
46,7022,7.091127785448874,413.744709518689,3,5741,5809,3,13,12,1
47,7109,13.037515032748656,610.6952827539656,3,3318,6897,1,7,7,0
48,7214,10.696527702754054,365.3673767688991,1,5017,4479,2,6,5,1
49,7463,11.788575999548367,473.01904898357634,4,6752,7239,5,14,11,3
50,7587,11.43243357443902,455.9496577769945,4,6651,6752,5,16,14,2
51,7686,5.461317769927437,353.1534250726397,2,6261,5744,2,6,6,0
52,7832,7.6289724172622515,306.6437075301275,2,5492,6291,6,16,13,3
53,8074,11.37517338632833,352.53408455114857,2,5789,7214,2,8,7,1
54,8162,9.08709187851522,498.41125391238484,4,7333,6336,3,14,13,1
55,8270,10.993204456228636,393.9722568566746,5,7681,8246,3,15,14,1
56,8529,16.415407105166476,598.4113432526756,1,7662,972,3,11,10,1
57,8588,10.824572239741176,573.3188402244732,2,7239,5744,2,11,11,0
58,8748,9.91666737381242,495.4358610859014,4,6235,5492,2,9,8,1
59,8980,11.992897429898632,390.6192616520135,1,6343,5093,2,7,7,0
60,9069,5.184238623866277,293.965375034193,1,5093,7248,4,14,11,3
61,9250,15.475375538813058,346.781562749601,1,8285,8529,1,5,4,1
62,9301,14.160621790501441,417.91210827084814,2,7209,2252,3,11,10,1
63,9451,8.91643036263443,533.6746487820922,2,7248,7162,6,18,16,2
64,9611,8.572603123491392,506.3254480355075,2,8246,9451,4,10,9,1
65,9816,12.168160454564527,448.85240354472,1,5970,8162,1,4,3,1
66,10015,7.304341131548047,369.43536575619265,2,5562,1247,3,9,8,1
67,10157,11.957287775736381,782.2096304502375,5,9520,6118,1,7,7,0
68,10337,9.411742656687636,680.2409708241909,4,7248,9520,5,13,12,1
69,10387,10.453232446188442,520.1742147253457,4,9816,10172,3,13,12,1
70,10602,11.028610717394953,499.8791042687666,2,6989,359,1,8,8,0
71,10768,13.339180921286292,570.4615224235944,2,8916,6235,2,6,6,0
72,10939,9.092516954653467,409.4637935971219,4,8605,717,3,11,10,1
73,10976,14.21870263945345,623.971455473098,3,10054,8162,6,17,15,2
74,11133,10.614897963342829,587.5114861405308,4,7109,10099,4,11,8,3
75,11256,12.424640287390398,427.5750515532538,4,10976,8908,6,14,12,2
76,11456,12.88070057304932,591.2578419640731,1,6751,4070,4,12,11,1
77,11629,10.502590326590719,437.3491328512393,1,9301,8270,5,15,13,2
78,11760,13.000309558601666,400.7954125662516,3,9611,8850,4,9,6,3
79,11973,8.641096892280475,666.7581418510827,5,7109,8669,2,7,7,0
80,12075,10.811298622982891,563.642717124671,1,11973,10767,2,10,9,1
81,12298,11.581302018490533,490.2193315247473,1,10157,10157,1,6,6,0
82,12359,12.14493626060371,470.0459170069324,1,4651,10402,5,13,12,1
83,12524,9.556445025413478,551.0956847432461,2,9520,10691,1,7,7,0
84,12615,11.382226832028694,538.3057285514561,2,7463,7109,3,13,13,0
85,12854,11.962634091672832,684.1039976086455,2,10794,8108,6,15,12,3
86,12998,8.007073398631803,555.5197174646006,2,12524,10157,5,12,10,2
87,13054,9.082773970022691,681.836065478932,2,10157,12961,3,7,6,1
88,13325,11.018084359181769,622.0116657860833,5,5542,538,4,15,14,1
89,13407,12.757757691018773,516.8376149907488,2,12803,12013,6,15,14,1
90,13632,9.981168284420361,623.494474712094,4,12075,277,3,11,10,1
91,13736,18.90236589884926,694.5028674869496,2,1686,6989,5,12,11,1
92,13876,7.312150500481647,671.582039404516,3,13516,11973,6,19,17,2
93,14078,11.213405170598197,461.03224805300215,4,9816,11973,3,11,10,1
94,14249,11.981462387686296,460.277857880745,5,6751,12343,5,13,9,4
95,14325,9.481874485221201,453.01621852483015,4,13432,306,2,7,6,1
96,14516,12.30954264552951,523.1505243140131,3,10976,10387,5,11,8,3
97,14611,9.633762571825603,607.4915449470095,4,12576,13451,3,9,7,2
98,14846,9.938131583474489,353.3107174863195,5,12184,10470,2,9,7,2
99,14917,11.847683624147006,736.2975773468924,1,11629,13658,5,12,11,1
100,15068,8.504196456639347,543.7120213367914,4,13814,11853,4,12,10,2
101,15292,12.346249145321796,513.1398738537116,3,12298,10099,6,15,13,2
102,15332,10.027961735047812,584.2061520576186,3,15176,13516,2,6,6,0
103,15558,11.797395891593881,669.3926633185343,2,11456,7587,5,16,13,3
104,15742,9.740904865211121,749.3512190708695,4,10387,14917,5,12,11,1
105,15851,10.625533135590645,766.7758549157774,4,15695,182,4,11,11,0
106,15984,12.456298330961442,610.6108817196888,2,14516,13814,5,14,11,3
107,16168,8.447350778808795,796.8535393429527,2,14078,8748,2,5,4,1
108,16239,9.510560075785678,618.9680093982086,3,15292,4639,3,12,10,2
109,16407,10.370006701143469,560.0650650258453,2,12556,11456,5,10,9,1
110,16504,10.215392660261857,663.6958376988689,1,9451,16344,2,6,5,1
111,16683,10.881163160707654,602.188372910941,4,15623,5744,1,5,5,0
112,16898,9.374094433829205,732.4136785070916,1,12947,15558,3,9,8,1
113,17078,7.518060337869325,615.8401798822345,2,13672,13054,5,13,12,1
114,17226,10.769442329430209,543.4483738397187,1,16624,7685,5,12,10,2
115,17282,10.609139866855637,809.5767206458207,2,17078,1681,4,15,13,2
116,17469,10.317869564317881,646.042000162491,3,10602,16239,3,12,11,1
117,17610,11.450751636489004,554.313788046054,3,7109,1485,5,9,9,0
118,17722,11.22611924130765,616.9414737022031,2,12556,11456,6,13,12,1
119,17865,11.256504848490149,586.420700713568,2,17722,2736,4,11,10,1
