generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,131,22.424877374423907,74.98741958302806,1,-1,-1,2,12,12,0
1,209,55.946188986464875,69.2610231778445,4,39,135,2,13,13,0
2,442,22.215308641799858,68.14003485567528,6,300,256,2,12,12,0
3,577,12.765025968217648,103.6397279908939,1,328,22,1,5,5,0
4,730,18.753712851282465,58.58350015367031,6,26,193,3,13,12,1
5,892,14.828602349613076,89.43828818375144,2,71,369,2,13,13,0
6,985,17.770683941477344,63.51912514424761,4,866,575,3,14,13,1
7,1150,25.616708848761206,69.91066941964462,5,315,193,1,3,3,0
8,1281,15.048867783855389,74.45226325839536,3,201,729,1,4,4,0
9,1498,13.11479526012116,62.96072270922349,3,1348,131,2,10,10,0
10,1629,14.212786701402887,43.7804685697623,4,1351,1384,3,8,7,1
11,1702,19.913240423986984,65.89839312835275,6,1500,1246,1,4,4,0
12,1811,14.402584302060628,44.65857951236167,5,1344,395,1,6,6,0
13,2052,12.179543367967439,59.510120637838966,1,653,1833,2,7,6,1
14,2172,13.658449428816413,52.61471855358384,4,1982,1357,2,9,8,1
15,2345,12.327690780924607,52.79948473013077,1,1544,927,1,3,3,0
16,2506,26.749875803266832,63.06499294064472,4,1066,960,2,12,11,1
17,2645,11.903540632757004,83.8513632366764,4,1873,1127,4,17,15,2
18,2726,11.472415181782647,126.6341926988853,2,457,2542,2,10,10,0
19,2898,19.649741323472316,60.13847707670018,4,1873,2251,1,4,4,0
20,3050,14.699965001799034,61.406120389813836,1,1448,757,4,18,16,2
21,3191,16.965511729395715,61.119750160548186,5,2833,568,2,9,9,0
22,3327,15.556045301829188,69.5242414603593,3,3162,629,2,5,5,0
23,3491,12.733515746566555,85.45996941339277,1,2994,2056,1,4,4,0
24,3721,15.23239856908739,107.41896829006689,3,3485,336,1,5,5,0
25,3848,13.198229580475056,125.49636158468441,3,599,1503,1,6,5,1
26,4045,14.65129665222732,146.64937702299557,7,2652,2874,5,19,16,3
27,4103,11.536817949541396,93.45750939198926,2,1681,521,1,7,5,2
28,4314,12.796918771918994,59.208542874627746,2,2299,3304,3,12,11,1
29,4446,15.102039636710025,163.18652909655788,5,4338,1393,2,10,10,0
30,4645,16.052398877272104,202.12465962146862,5,2779,4276,1,6,6,0
31,4800,19.36668244477467,169.11732859045472,1,4150,114,2,11,9,2
