generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,33,43.02856255709493,63.693338892345956,,-1,-1,2,12,12,0
0,78,31.95135366241315,47.88834983326906,,-1,-1,2,12,12,0
0,60,30.403989695558028,60.3705163403445,,-1,-1,2,12,12,0
0,21,29.56759548962764,34.99337422068853,,-1,-1,2,12,12,0
0,65,25.524386598423753,150.25950597219745,,-1,-1,2,12,12,0
0,16,25.347089923666857,101.81783236913881,,-1,-1,2,12,12,0
0,50,24.477051824200252,58.16701743828146,,-1,-1,2,12,12,0
0,10,24.22740342122012,60.08693369672494,,-1,-1,2,12,12,0
0,23,23.592542083077596,66.72491952279265,,-1,-1,2,12,12,0
0,108,23.273537059644422,62.84643632238506,,-1,-1,2,12,12,0
0,6,23.137570900506653,101.32107131227102,,-1,-1,2,12,12,0
1,270,33.170353880922335,77.25779091550268,,6,21,3,14,13,1
1,266,27.836717671021695,84.71862628505914,,140,65,3,14,12,2
1,183,26.462030746767695,109.25852667135368,,33,6,1,4,4,0
1,33,24.728545137399877,63.693338892345956,,-1,-1,2,12,12,0
1,108,24.116009921331894,62.84643632238506,,-1,-1,2,12,12,0
1,276,23.902397194148463,61.475199392140986,,108,6,2,11,11,0
1,178,23.682054165383203,180.55086433796447,,21,78,2,11,11,0
1,23,22.902646590157467,66.72491952279265,,-1,-1,2,12,12,0
1,10,22.87839873219964,60.08693369672494,,-1,-1,2,12,12,0
1,296,21.601807489965427,49.568197952987035,,60,130,2,12,12,0
1,60,21.436851215863552,60.3705163403445,,-1,-1,2,12,12,0
1,16,21.308307544211722,101.81783236913881,,-1,-1,2,12,12,0
1,50,21.0479343013146,58.16701743828146,,-1,-1,2,12,12,0
1,172,20.485803808696087,66.49700811214585,,106,65,3,13,12,1
1,213,20.405795055998865,70.26893407690467,,87,6,2,12,12,0
1,218,20.362565799757014,98.836304986353,,10,33,2,12,12,0
1,6,20.244611611547324,101.32107131227102,,-1,-1,2,12,12,0
1,65,20.006880575115012,150.25950597219745,,-1,-1,2,12,12,0
1,78,19.556969224759296,47.88834983326906,,-1,-1,2,12,12,0
1,204,19.37555691142445,75.9528478414293,,65,6,2,11,11,0
1,200,18.46409054782902,33.65626946145558,,78,33,2,12,12,0
1,234,17.473928466171085,34.801165810035926,,60,50,2,12,12,0
1,170,17.392415570961642,33.689072260717204,,33,16,2,12,12,0
1,294,17.37516166820701,38.63766719213138,,102,83,2,12,12,0
1,281,17.24929969705563,37.68466102007147,,78,6,1,6,6,0
1,158,16.8044599426854,32.814513988067766,,82,88,3,14,13,1
1,203,16.243122706808307,31.87030105508062,,122,78,2,12,12,0
1,192,15.168899298337978,35.85964469162711,,19,16,2,11,11,0
1,284,15.01707990498371,35.553138574855424,,86,73,1,4,4,0
1,174,14.86601803667167,35.869364040044,,130,58,3,15,14,1
1,21,14.294708141190537,34.99337422068853,,-1,-1,2,12,12,0
1,181,14.104626494958218,34.79603017442463,,110,108,2,12,12,0
1,176,13.586772924273145,35.79299194242607,,6,78,2,11,11,0
1,197,13.560758859122148,32.943992286904994,,130,60,2,11,11,0
1,198,13.282651563583277,30.27685376705392,,70,21,2,11,11,0
2,178,20.457772660901504,180.55086433796447,,21,78,2,11,11,0
2,438,20.263035391453645,69.01155267269122,,266,174,2,13,12,1
2,16,20.07555004928206,101.81783236913881,,-1,-1,2,12,12,0
2,270,19.91675558165027,77.25779091550268,,6,21,3,14,13,1
2,6,18.339986461286525,101.32107131227102,,-1,-1,2,12,12,0
2,23,17.922103048761368,66.72491952279265,,-1,-1,2,12,12,0
2,266,17.87428602008184,84.71862628505914,,140,65,3,14,12,2
2,60,17.76319854861701,60.3705163403445,,-1,-1,2,12,12,0
2,65,17.58895585516798,150.25950597219745,,-1,-1,2,12,12,0
2,296,16.679791151018748,49.568197952987035,,60,130,2,12,12,0
2,108,16.45875523633429,62.84643632238506,,-1,-1,2,12,12,0
2,390,16.341577129286875,67.37971457898709,,294,281,2,11,11,0
2,330,16.261932040222156,62.86049010901619,,258,209,3,16,15,1
2,313,16.221366551297155,41.67721932731505,,227,158,4,17,14,3
2,304,16.198979710614775,95.68962434738974,,202,266,4,16,13,3
2,183,16.19759970496646,109.25852667135368,,33,6,1,4,4,0
2,172,16.024048725053,66.49700811214585,,106,65,3,13,12,1
2,200,15.878597621028979,33.65626946145558,,78,33,2,12,12,0
2,403,15.874377342033199,63.812968093960635,,277,217,1,6,6,0
2,354,15.29487230927963,44.92751831617003,,218,176,1,5,5,0
2,294,15.253308714702275,38.63766719213138,,102,83,2,12,12,0
2,78,15.153542385426146,47.88834983326906,,-1,-1,2,12,12,0
2,316,15.123221246112207,105.4211998442036,,270,213,3,15,15,0
2,10,15.070252787919811,60.08693369672494,,-1,-1,2,12,12,0
2,234,14.847279726434826,34.801165810035926,,60,50,2,12,12,0
2,170,14.807626218972727,33.689072260717204,,33,16,2,12,12,0
2,348,14.618451338258858,76.51605295493195,,270,204,3,15,14,1
2,204,14.397864505972477,75.9528478414293,,65,6,2,11,11,0
2,303,14.283965266083886,59.929741580821975,,117,23,1,5,5,0
2,366,14.269269265380585,48.116088109480465,,277,162,2,11,11,0
2,158,14.241214501489113,32.814513988067766,,82,88,3,14,13,1
2,435,14.237260534309648,67.81935103843236,,293,15,3,13,11,2
2,33,14.14403769169333,63.693338892345956,,-1,-1,2,12,12,0
2,284,13.925892906779017,35.553138574855424,,86,73,1,4,4,0
2,333,13.90800467426997,55.231030509763954,,290,50,2,12,12,0
2,50,13.756791049667276,58.16701743828146,,-1,-1,2,12,12,0
2,203,13.585587817657442,31.87030105508062,,122,78,2,12,12,0
2,335,13.573049677328875,39.37634785160215,,65,276,2,12,12,0
2,281,13.563185998785343,37.68466102007147,,78,6,1,6,6,0
2,359,13.399400951282912,38.49864382054288,,234,234,2,11,11,0
2,429,13.225841070480032,66.48927882077479,,263,253,2,11,11,0
2,276,12.925280916742054,61.475199392140986,,108,6,2,11,11,0
2,218,12.754505322336147,98.836304986353,,10,33,2,12,12,0
2,352,12.211202984662902,73.91743129765295,,108,65,1,5,5,0
2,213,12.204563436512426,70.26893407690467,,87,6,2,12,12,0
2,406,12.085172617266638,33.776343422300194,,117,194,2,12,12,0
2,192,12.071524672791936,35.85964469162711,,19,16,2,11,11,0
2,197,12.05432924643502,32.943992286904994,,130,60,2,11,11,0
2,174,11.923390421525136,35.869364040044,,130,58,3,15,14,1
2,176,11.672324163188184,35.79299194242607,,6,78,2,11,11,0
2,21,11.667143492233832,34.99337422068853,,-1,-1,2,12,12,0
2,198,11.494447149176368,30.27685376705392,,70,21,2,11,11,0
2,181,11.42305236455932,34.79603017442463,,110,108,2,12,12,0
3,499,23.683540196334757,71.81321402526116,,417,348,2,12,11,1
3,178,19.75464250972369,180.55086433796447,,21,78,2,11,11,0
3,16,19.240249572693116,101.81783236913881,,-1,-1,2,12,12,0
3,6,17.578100205842755,101.32107131227102,,-1,-1,2,12,12,0
3,546,17.30420209006419,47.02357844657537,,181,313,4,17,14,3
3,511,16.21355083262393,83.65483826102579,,227,332,3,13,12,1
3,60,16.15628190868446,60.3705163403445,,-1,-1,2,12,12,0
3,296,16.036195773384552,49.568197952987035,,60,130,2,12,12,0
3,266,16.01388196086303,84.71862628505914,,140,65,3,14,12,2
3,438,15.972393514965006,69.01155267269122,,266,174,2,13,12,1
3,270,15.644071379381897,77.25779091550268,,6,21,3,14,13,1
3,454,15.511194376566937,56.48408671515417,,313,200,4,17,14,3
3,200,15.476729592907597,33.65626946145558,,78,33,2,12,12,0
3,65,15.301135407502594,150.25950597219745,,-1,-1,2,12,12,0
3,390,15.003184942800832,67.37971457898709,,294,281,2,11,11,0
3,294,14.894239298486355,38.63766719213138,,102,83,2,12,12,0
3,23,14.881996183411255,66.72491952279265,,-1,-1,2,12,12,0
3,459,14.853979208127708,39.58373083392861,,188,52,2,12,12,0
3,354,14.648987362644277,44.92751831617003,,218,176,1,5,5,0
3,78,14.58730588239048,47.88834983326906,,-1,-1,2,12,12,0
3,600,14.497892564335668,152.37670762864042,,6,213,2,11,11,0
3,10,14.43155243214249,60.08693369672494,,-1,-1,2,12,12,0
3,313,14.405434383202113,41.67721932731505,,227,158,4,17,14,3
