generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,141,54.08254812282038,61.414425692699105,1,-1,-1,2,12,12,0
1,264,53.28583693426159,66.98829154917118,6,130,42,3,13,12,1
2,366,18.891473114807575,132.87274332192703,1,102,192,2,12,11,1
3,518,42.753361693924326,59.43432412973173,5,196,213,2,11,11,0
4,725,39.0654870980931,65.07180142181525,1,471,518,2,12,12,0
5,845,15.368500717526011,69.99301604198372,6,705,264,2,12,12,0
6,940,31.399929325595288,63.1823201155418,1,821,725,1,5,5,0
7,1114,32.15866386831765,243.58508405899357,2,150,325,3,8,8,0
8,1285,22.189543813243276,122.57019837780085,2,958,947,2,4,3,1
9,1396,24.15976274978242,44.670163477802404,1,1209,151,1,5,5,0
10,1602,12.90899854807591,72.76149263515154,1,1401,366,2,7,6,1
11,1742,26.961421942566638,57.52896479260903,1,518,328,2,11,11,0
12,1802,19.89571441842827,92.40103737332595,1,1587,1279,1,6,5,1
13,2045,21.20516548021262,123.30232574581342,5,471,940,3,10,9,1
14,2200,18.986329433011655,69.79403119413554,1,1831,1587,3,9,8,1
15,2292,16.405787431997968,58.242897760927235,6,192,1804,2,12,12,0
16,2471,22.30681077225861,55.80796582158263,6,343,725,2,5,5,0
17,2598,18.058716390313375,72.45434869911422,1,321,141,3,14,13,1
18,2727,15.6531663649499,62.51158604078988,1,518,518,1,4,4,0
19,2895,15.245973920116674,67.99965482638962,5,289,321,2,6,5,1
20,3043,15.905990593461153,297.32888408418705,3,2768,1114,3,9,8,1
21,3165,15.863162543550867,78.06532199929069,4,343,2045,3,14,13,1
22,3377,17.463145960325615,64.762599686237,2,78,1396,5,17,15,2
23,3584,15.207078980984935,63.882024176408,6,3321,1105,2,7,7,0
24,3717,14.147798108062961,65.93463537793613,1,3496,736,4,10,9,1
25,3820,16.164379907487678,57.86734032317613,6,1656,1105,3,15,13,2
26,3955,21.935355317163264,43.991416351447015,6,2698,350,2,6,6,0
27,4061,17.483956834885532,68.00568960178492,2,1656,3043,2,11,10,1
28,4297,17.113845264548686,86.05260188046344,7,423,940,3,7,6,1
29,4480,15.028518147957667,64.39390639687863,6,4086,289,2,8,8,0
30,4598,16.485384819938794,66.7266772184868,6,4086,669,4,15,13,2
31,4708,16.5740843630263,78.11563927385517,4,946,1130,2,12,12,0
32,4902,23.836988789452185,79.83251234664176,4,3863,4370,1,3,3,0
33,5001,14.534761470531505,49.554667630642165,5,2934,2230,2,13,11,2
34,5204,15.269684711706144,67.32008322936797,5,151,940,1,6,6,0
35,5395,18.339633104855356,85.5758610375153,5,940,159,2,6,6,0
36,5548,15.393294058412872,70.77760712496038,6,3955,289,1,4,4,0
37,5575,15.568647361225212,64.90866554952439,3,1049,4137,1,4,4,0
38,5775,18.69643737130393,82.80051603750624,1,3719,4952,2,2,2,0
39,5953,16.10000873903507,47.6642459855752,1,946,3748,2,10,10,0
40,6141,16.566504151726473,74.42921506085064,3,3719,4627,2,5,5,0
41,6161,14.330533190779901,66.27019452034736,5,272,2045,1,3,3,0
42,6341,15.251130849295437,83.42074742589162,5,6105,940,4,15,13,2
43,6456,23.43442666205861,75.21518901160483,7,171,518,1,3,3,0
44,6699,40.53222785629279,57.59351306614333,4,423,940,1,4,4,0
45,6778,16.415331692193746,166.78103989229322,8,4325,6403,2,5,5,0
46,6985,20.250815001353633,49.6790219509576,6,155,940,2,6,5,1
47,7061,17.54780774508975,58.42228570542693,8,5079,139,2,10,9,1
48,7321,22.898033663475292,74.43397646109224,1,725,213,2,13,12,1
49,7446,23.06450379377985,55.50779623251192,6,725,2045,3,13,12,1
50,7536,18.50487587697932,85.27585055027586,4,5667,3955,1,3,3,0
51,7755,23.227268160088858,57.82591660436735,1,171,940,1,6,6,0
52,7823,24.339590031573405,58.3088632736014,3,518,171,4,14,10,4
53,8052,17.058265493831538,70.55412650042857,1,5743,5612,2,4,4,0
54,8209,18.378956035371754,75.20989463764116,5,7105,3221,1,4,4,0
55,8287,28.71376234880797,64.75513091568708,5,6699,1285,3,7,6,1
56,8420,21.667191651046778,65.16121477609423,5,213,164,1,5,4,1
57,8657,20.69689815897494,71.52773081163005,2,8294,8420,1,3,2,1
58,8757,19.809312479704705,62.47886354389819,5,940,940,2,5,4,1
