generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,150,23.56155962869837,157.6744214455901,6,-1,-1,2,12,12,0
1,192,8.695492903388272,169.08832304090043,6,29,31,3,13,12,1
2,366,18.891473114807575,132.87274332192703,1,102,192,2,12,11,1
3,523,4.7900029706326785,203.02198623757857,1,318,366,2,11,11,0
4,615,7.096790611323888,163.05886220946155,7,150,151,2,12,12,0
5,895,5.445958081625054,135.49428322532802,7,413,150,2,12,12,0
6,1019,8.290663016775632,186.07780254956845,5,892,366,1,5,5,0
7,1114,32.15866386831765,243.58508405899357,2,150,325,3,8,8,0
8,1209,5.838549482875667,171.2564930343493,1,754,523,2,4,3,1
9,1358,5.425696669155863,150.4638137043362,4,42,264,1,5,5,0
10,1636,5.295149008556949,200.40666787962851,6,1348,192,2,7,6,1
11,1700,5.396642408131302,180.4944073655761,7,743,150,2,11,11,0
12,1890,4.243381572358617,197.48531311705892,5,536,523,1,6,5,1
13,2007,5.0431339997381786,188.85126856863798,1,458,536,3,10,9,1
14,2230,7.165893123220045,179.34199058952544,1,958,458,3,9,8,1
15,2299,6.175173971600693,149.00922488361408,6,1279,603,2,12,12,0
16,2505,5.1504561837118406,164.0792025097855,5,2317,366,2,5,5,0
17,2615,4.520417831810156,170.58350478145485,1,1943,155,3,14,13,1
18,2774,5.501620899648024,226.3028712853133,6,2605,725,1,4,4,0
19,2939,9.09278132352354,195.93392745286286,6,523,1890,2,6,5,1
20,3043,15.905990593461153,297.32888408418705,3,2768,1114,3,9,8,1
21,3221,7.858758419136979,187.87620722273948,5,458,3049,3,14,13,1
22,3321,6.8558985251147515,206.50892950070178,5,1621,1831,5,17,15,2
23,3520,4.943040015671712,204.93834729627497,6,2205,2447,2,7,7,0
24,3748,5.054104331879284,227.8893690102941,6,2774,1621,4,10,9,1
25,3863,7.290795724575906,190.77456430215824,5,2647,3221,3,15,13,2
26,3910,8.847035477756771,376.6165411911949,2,3771,2244,2,6,6,0
27,4099,8.336154097221096,166.57805111968142,5,2774,2934,2,11,10,1
28,4350,4.762840463855891,217.287238894035,1,2615,536,3,7,6,1
29,4452,5.043917251779172,202.34234278302787,7,1209,3221,2,8,8,0
30,4627,4.372671455213657,209.62904532777537,1,3701,3520,4,15,13,2
31,4772,11.6993021273719,166.18707747789819,4,4452,3955,2,12,12,0
32,4818,4.22909118991922,168.23853472938904,4,1890,4350,1,3,3,0
33,4952,7.570509849482482,222.26068641211987,5,4772,2768,2,13,11,2
34,5233,7.201498468581824,183.9061511330779,1,3255,2707,1,6,6,0
35,5254,4.732497076131005,200.3860642462014,1,2605,4772,2,6,6,0
36,5435,10.352973563258493,224.92054288053504,2,3925,1114,1,4,4,0
37,5566,4.3354271534507545,210.69953198216317,1,3567,2007,1,4,4,0
38,5743,5.42898417464959,278.4749473824043,3,3599,486,2,2,2,0
39,5865,5.0397803349682,271.2625431735751,1,5079,411,2,10,10,0
40,6105,4.257016752369721,217.21951893510854,7,4001,4001,2,5,5,0
41,6222,4.25261014323709,183.30746040372637,5,5743,3321,1,3,3,0
42,6356,11.034612763659364,257.4714194347001,5,1114,1114,4,15,13,2
43,6537,4.3283611637387445,226.70780885964467,3,4772,3684,1,3,3,0
44,6629,9.313570164916161,223.6025250544604,5,4547,1114,1,4,4,0
45,6893,3.5808498290333475,169.7945934222744,8,4627,3652,2,5,5,0
46,6964,5.800565031529582,226.89857869555266,8,2230,523,2,6,5,1
47,7166,8.188110094407804,207.75303570806045,8,3520,3221,2,10,9,1
48,7270,9.673709864179223,206.0007399955536,7,3221,5233,2,13,12,1
49,7500,5.112811567148905,206.64698417991045,5,3049,303,3,13,12,1
50,7570,6.558701661435322,209.9707129624061,8,1209,423,1,3,3,0
51,7704,3.587099690671491,217.24659452653881,5,5794,5667,1,6,6,0
52,7947,3.910260663817488,185.53245463018828,2,2615,3955,4,14,10,4
53,8088,9.050436029427704,170.56507630931497,2,6739,7294,2,4,4,0
54,8193,4.4232119902121205,231.21552488272522,4,7500,1621,1,4,4,0
55,8254,7.209709840443836,224.82383054189987,3,2707,6105,3,7,6,1
56,8526,9.978000875597395,227.28024679975488,6,5858,303,1,5,4,1
57,8603,8.30791846958144,371.9999814109725,7,13,1114,1,3,2,1
58,8722,8.401078251259362,234.73501637589334,1,3719,185,2,5,4,1
59,8957,11.065087416823966,275.01230677943965,5,6356,323,2,10,10,0
60,9096,5.954971462379882,201.31730756644464,7,6597,523,2,9,8,1
61,9231,6.9210511726101895,320.4004462581638,5,3043,8603,2,9,8,1
62,9319,4.339824246055284,200.32070606848285,3,9238,3652,4,16,14,2
63,9546,5.268483168422624,211.88618645286692,5,8415,272,1,4,4,0
