generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,106,7.916147515060008,116.0970225385892,2,-1,-1,2,12,12,0
1,194,8.565315164160742,123.66210105073087,1,49,59,2,12,12,0
2,394,23.923194433539138,219.9645970307863,6,107,284,2,11,10,1
3,561,7.859870658128894,123.88151822781228,1,10,179,1,8,8,0
4,720,20.951453880005804,131.93033031058948,1,527,246,3,11,10,1
5,855,2.3419452953711106,110.55602783245237,1,469,243,1,5,5,0
6,977,14.486948360988917,134.07993438337942,3,412,59,2,12,11,1
7,1171,7.863799085968544,151.99925860232423,3,394,977,1,6,6,0
8,1325,5.777099982458305,184.59929438297883,7,895,408,2,13,13,0
9,1439,3.2821585253304915,142.1100928884782,7,408,1165,2,7,7,0
10,1649,6.7720570214926274,139.6366705854477,5,1208,393,1,7,6,1
11,1673,7.73300117984078,193.9391147173788,7,1325,207,1,5,5,0
12,1858,6.269582957325269,242.680160148932,3,1679,341,2,11,11,0
13,2059,14.925679578862393,291.52877140726594,2,977,1904,2,11,11,0
14,2179,21.42520505144883,166.86361637957597,2,2059,1867,1,7,7,0
15,2384,7.805067584095918,326.2873364598471,6,1858,1011,2,11,10,1
16,2470,18.817788875370873,212.09958738133543,7,1644,2255,3,12,12,0
17,2566,11.379041567039518,215.03951046794563,4,2275,1479,3,13,12,1
18,2732,3.7428994900935932,167.9682191127532,1,2603,2310,3,10,9,1
19,2990,6.207476551610703,174.76045908158383,6,1867,2384,3,10,10,0
20,3086,7.543585261489241,162.90034968459213,4,2302,1026,3,10,9,1
21,3287,4.48353223409216,218.93123997650582,1,2897,3100,1,4,3,1
22,3412,23.770617213800335,236.86753832097074,5,2400,394,3,11,10,1
23,3538,11.61845063790068,212.53603032908882,2,2059,2470,3,12,12,0
24,3681,6.273445572203236,213.3793460844106,4,3412,2165,2,12,12,0
25,3837,8.218958944470891,211.33873366788197,1,2008,1165,3,10,9,1
26,3909,7.252177409436721,227.1648340287524,4,2139,2577,5,14,11,3
27,4068,17.262456958710793,338.9187348498679,6,2566,2566,2,10,10,0
28,4333,3.73369258590698,257.0155643843522,3,3837,3100,1,6,6,0
29,4442,7.413855915383172,243.16717398359862,4,1222,1929,2,6,4,2
30,4617,6.006651224190413,213.16843395085317,7,4442,3020,3,14,13,1
31,4756,11.665036232313218,285.128171524164,3,1673,368,1,5,5,0
32,4886,4.1583749549352005,322.8239388603548,3,1858,4442,2,12,11,1
33,5059,11.811686367142734,457.8840023118295,1,4768,265,2,11,10,1
34,5152,9.373407846880717,215.4379964346759,5,3497,4675,3,13,12,1
35,5288,5.301835291488185,227.7949390890024,6,2380,1262,4,13,13,0
36,5431,7.466271775814464,304.15266480732345,4,2327,2384,3,10,9,1
37,5627,8.017519365835787,261.70425933665996,6,5024,236,4,15,14,1
38,5829,19.174611130468772,284.9334500582588,4,5031,4473,2,10,9,1
39,5853,10.489778294601416,279.04997944998706,6,1902,5660,3,10,8,2
40,6002,6.395378195405946,247.17835984552985,3,5031,5295,3,8,6,2
41,6209,6.384483753882675,308.49053468143063,2,3909,5059,3,13,12,1
42,6343,5.8749816102562615,222.3228290762569,4,5295,1117,4,14,13,1
43,6568,20.107449034468207,333.0570656192075,1,2327,3513,3,8,7,1
44,6611,5.621944026821164,221.53560617081035,2,6580,6544,1,4,4,0
45,6795,10.250911820932373,482.34516366895605,6,5627,3521,2,13,12,1
46,6940,9.248101570203476,264.51507306476844,4,6002,5152,4,15,14,1
47,7110,18.899333149225832,273.6011348226029,4,5872,2470,4,13,11,2
48,7313,13.085599386618252,379.90630101988955,4,5872,3857,1,5,5,0
