generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,33,43.02856255709493,63.693338892345956,1,-1,-1,2,12,12,0
1,270,33.170353880922335,77.25779091550268,3,6,21,2,11,10,1
2,438,20.263035391453645,69.01155267269122,1,266,174,1,4,4,0
3,499,23.683540196334757,71.81321402526116,5,417,348,2,11,11,0
4,637,19.87590992719805,79.05618187165419,5,183,304,1,5,5,0
5,872,15.476171253836378,72.49831726241669,5,636,183,1,6,6,0
6,984,46.50319458648607,63.42838211564216,5,546,603,2,12,11,1
7,1090,20.192837980137696,134.08675721871475,1,78,984,3,13,12,1
8,1272,27.379049909323403,63.0460122570846,3,1095,524,2,11,11,0
9,1497,17.184641147837578,61.978054922141574,3,1272,172,1,7,5,2
10,1558,20.875099415272167,60.488100662394984,2,1300,947,3,15,14,1
11,1659,15.08742694906473,80.22780549744569,3,944,780,2,5,4,1
12,1941,12.496068231038455,61.36147850175651,2,1335,1193,3,12,10,2
13,2095,16.53957546141047,57.423704746834304,4,1663,1321,3,13,12,1
14,2188,22.405085823169525,43.62858555020385,4,1036,1385,1,7,5,2
15,2393,18.446407547223785,132.8752945124838,3,690,1716,2,12,12,0
16,2458,16.254547421877998,146.86656477791195,5,1597,1216,3,15,14,1
17,2654,14.739482944964145,47.029750232479216,1,1477,33,1,4,3,1
18,2804,11.726731093216257,57.833392143418926,4,1090,1559,2,11,11,0
19,2854,13.712021024452778,142.51937282018358,3,2458,108,1,6,4,2
20,3084,16.15602546477516,58.38222001113654,1,1248,2099,3,11,9,2
21,3257,15.909926409918464,57.38630582847261,2,1248,2804,4,14,13,1
22,3430,14.230306874435206,48.37664216495515,1,3061,213,2,10,10,0
23,3577,16.59493279196806,45.56714036033042,1,565,2723,2,9,7,2
24,3629,14.037998760036254,46.528277622853764,1,2074,1577,2,7,7,0
25,3813,26.414648050258915,64.55688810950399,5,2243,464,1,4,4,0
26,3904,18.395317735165932,59.32916829468191,2,2201,3813,3,9,8,1
27,4123,13.499079628474343,64.0435357951608,5,2838,2494,2,11,11,0
28,4206,13.61435123129737,131.67171318819072,5,2486,2975,4,14,13,1
29,4459,14.373134756352263,43.74293171821321,1,3807,3241,2,13,11,2
30,4625,14.48854428508285,130.08416482386377,2,2494,2723,3,13,12,1
31,4715,11.739358288830914,74.28439957697536,2,4568,2916,2,11,10,1
32,4808,11.357624731050786,152.51939447909825,2,2109,390,1,5,4,1
33,5027,13.879194932696636,64.1238125741568,2,4462,860,2,7,6,1
34,5241,11.281863330709983,83.45793759693993,2,4551,3981,2,6,5,1
35,5400,11.156341438775334,133.56679172597367,2,5095,5208,3,8,5,3
36,5422,24.797915877023076,170.00185389315274,1,4477,2265,2,10,10,0
37,5556,13.47188182131828,45.6517900678175,3,5095,2448,2,9,7,2
38,5727,12.047169378415772,63.87455115539624,3,2864,1991,3,13,12,1
39,5997,13.712746608231202,89.97600572888487,5,4376,5760,4,17,17,0
40,6005,27.0121666174874,242.31240895536968,3,3604,2393,2,13,11,2
41,6191,11.609011525222591,126.24534383570445,2,204,1570,4,16,15,1
42,6406,14.185180473098358,52.26478233809214,1,4837,1178,2,6,5,1
43,6475,20.795420409875145,60.87159626009791,4,2099,354,2,11,11,0
44,6624,11.778618354001798,56.21141691688716,4,5497,5345,2,7,6,1
45,6877,16.86375099433263,63.84462445172311,4,2530,1609,4,12,9,3
46,7017,12.215286279562148,96.3297464598924,2,5760,5827,1,5,5,0
47,7098,13.89995873724108,126.79927010184542,2,2470,2916,3,15,12,3
48,7276,11.589322091521593,75.84919383566724,5,3074,891,1,5,4,1
49,7404,11.496666449433397,57.24418041955696,1,7001,5085,4,16,13,3
50,7629,14.773518075082215,101.60365612886991,5,6238,176,4,17,15,2
51,7724,13.167098531049543,55.72521666694472,3,4551,5055,3,15,15,0
52,7839,22.698036953438997,254.2610854824176,1,6603,50,2,7,6,1
53,8068,13.282424217466751,65.5806087461904,5,6455,5760,3,9,7,2
54,8174,12.56772815343673,54.89025991727449,3,7899,6142,1,6,4,2
55,8328,13.20439724018446,96.9545225219959,3,7470,524,3,9,7,2
56,8458,12.11167234548211,129.79368774141187,3,2185,467,5,18,16,2
57,8620,26.855575676483273,218.44866621675777,3,7839,8421,2,12,11,1
58,8819,13.89641536902147,168.17124907863055,4,5497,8151,4,16,13,3
59,8981,15.22214064796024,562.7391305516941,1,7839,8107,2,5,5,0
60,9057,28.22530429701794,165.1462301873913,1,8981,4206,1,5,5,0
61,9163,19.472594540866393,63.52517654704294,2,1275,3257,2,4,4,0
62,9331,14.946459137833614,113.35286760002812,5,1558,304,2,12,9,3
63,9489,26.045648489117134,278.924727203649,1,7606,8981,3,15,14,1
64,9713,21.401120587624742,210.19237417240703,3,6005,7839,2,6,4,2
65,9819,20.294779201181978,194.31230470901053,1,8910,6005,2,13,11,2
66,9935,15.086795715204348,283.1773893989157,3,5497,9773,4,15,14,1
67,10089,12.077351576105677,152.32767285045557,4,9923,626,2,4,4,0
68,10264,20.907515114433036,207.73287675265883,3,6279,9773,3,7,5,2
69,10475,11.727963374663288,302.8071780612223,4,10034,9935,2,6,5,1
70,10541,14.301322889177005,54.80702580712898,4,9450,8620,5,17,14,3
71,10652,13.084702315364527,48.02023930416552,3,9736,9940,3,14,12,2
72,10855,12.726659464543918,68.30743161714481,1,1216,8981,4,17,15,2
73,11040,12.262450573727103,74.89955323123898,1,2115,176,4,9,7,2
74,11156,17.21383509680494,161.44048043230637,5,9711,9935,3,8,7,1
75,11311,14.450915747683663,63.93488476486375,4,9233,10574,3,12,12,0
76,11511,15.424570350437694,157.15669916061296,2,10572,3685,4,15,13,2
77,11639,12.581232382182554,53.10047957527693,3,2185,6573,2,8,6,2
78,11765,12.20435371877046,51.108679465209526,3,10552,10240,3,8,7,1
79,11888,11.757104517291113,109.81968000562108,5,4337,2185,2,4,4,0
80,12094,12.199482896698429,66.7870866700998,4,860,1248,3,7,7,0
81,12153,21.761961588822327,171.5988244389531,2,3781,9819,5,12,10,2
82,12392,14.834307934218206,187.68580812682632,3,10984,984,1,5,5,0
83,12540,12.825930022592454,241.84352742917252,3,10798,3080,4,7,6,1
84,12735,12.764823780528591,95.58338098180369,5,950,170,3,6,5,1
85,12813,12.910668121317213,50.23906024778887,1,467,1275,1,4,3,1
86,13032,11.95981273503056,76.25539715459608,4,459,1055,3,7,5,2
87,13185,13.220833702908442,60.51523418192737,5,10240,3781,3,14,12,2
88,13318,12.566762221850457,147.78993305644977,3,8319,11775,1,6,6,0
89,13471,10.99449672583648,97.01498081125236,1,5997,3865,3,8,6,2
90,13650,13.017508585249084,87.11078290302201,1,3062,2477,2,9,9,0
91,13664,13.515573232657522,150.7449708886398,2,296,9764,2,5,4,1
92,13842,15.79843378433974,125.62423150378747,3,10765,13449,2,12,9,3
93,14094,17.159385055446116,184.0975062437371,3,13751,13873,3,9,5,4
94,14120,11.859714129954638,111.20759015264969,4,12740,11682,4,9,7,2
95,14306,11.779256668038261,43.756514206618775,5,519,2436,3,13,11,2
96,14524,13.204197087909076,45.71095306720181,1,9331,296,3,14,13,1
97,14563,13.298183779931618,42.80650831678512,1,1776,2599,3,15,14,1
98,14826,16.223365069443155,111.1183823782557,2,12740,6573,2,14,10,4
99,14986,12.615406476308742,51.96583613626599,1,1765,3157,3,7,5,2
100,15002,11.501634465166722,78.87448647508148,3,6603,1272,3,7,6,1
101,15267,12.711175371354196,227.54785189985637,3,170,14082,2,4,3,1
102,15418,12.772466874204977,56.75724126822587,5,459,2088,6,13,12,1
103,15469,12.233006572279397,66.76522375230797,1,14057,2654,3,7,7,0
104,15731,13.812288643914211,167.5639777459761,3,13873,13751,3,15,15,0
105,15810,11.276767902877795,76.20534284649766,4,13759,12368,2,12,11,1
106,16038,15.352360854584871,121.3236423978907,5,11315,9711,4,8,8,0
107,16152,14.161612832308661,178.5333811614124,3,13513,13864,3,13,12,1
108,16299,13.644953985205705,70.38101771319853,1,33,1559,3,14,14,0
109,16376,13.413931696194972,198.41304865127344,3,10475,294,3,6,5,1
110,16598,18.802171479480144,148.4833986207497,2,11816,15425,2,7,6,1
111,16703,18.987322630218596,222.97593059888905,3,14252,16270,3,15,13,2
112,16802,14.217177636327607,44.73442408893283,1,3257,5085,5,11,8,3
113,17029,14.868702190440422,94.21738055091092,3,11145,1411,1,4,3,1
114,17177,13.253147062280087,56.90785603998809,1,2115,6573,1,3,2,1
