generation,id,fitness,species,parent1,parent2
0,64,185.07925427226644,3,-1,-1
1,64,185.07925427226644,8,-1,-1
2,64,185.07925427226644,4,-1,-1
3,64,185.07925427226644,8,-1,-1
4,64,185.07925427226644,8,-1,-1
5,64,185.07925427226644,8,-1,-1
6,64,185.07925427226644,1,-1,-1
7,64,185.07925427226644,1,-1,-1
8,64,185.07925427226644,7,-1,-1
9,64,185.07925427226644,7,-1,-1
10,1454,201.33115672448622,5,1139,1013
11,1583,286.6859689942682,4,1422,828
12,1583,286.6859689942682,6,1422,828
13,1583,286.6859689942682,6,1422,828
14,1583,286.6859689942682,8,1422,828
15,2111,304.39347098626615,8,1911,1567
16,2224,541.4189005185025,2,2016,1603
17,2224,541.4189005185025,2,2016,1603
18,2224,541.4189005185025,2,2016,1603
19,2224,541.4189005185025,2,2016,1603
20,2224,541.4189005185025,2,2016,1603
21,2224,541.4189005185025,2,2016,1603
22,2224,541.4189005185025,2,2016,1603
23,2224,541.4189005185025,2,2016,1603
24,2224,541.4189005185025,2,2016,1603
25,2224,541.4189005185025,2,2016,1603
26,2224,541.4189005185025,2,2016,1603
27,2224,541.4189005185025,2,2016,1603
28,2224,541.4189005185025,2,2016,1603
29,2224,541.4189005185025,2,2016,1603
30,2224,541.4189005185025,2,2016,1603
31,2224,541.4189005185025,2,2016,1603
32,2224,541.4189005185025,2,2016,1603
33,2224,541.4189005185025,2,2016,1603
34,2224,541.4189005185025,2,2016,1603
35,2224,541.4189005185025,2,2016,1603
36,2224,541.4189005185025,2,2016,1603
37,2224,541.4189005185025,2,2016,1603
38,2224,541.4189005185025,2,2016,1603
39,2224,541.4189005185025,2,2016,1603
40,2224,541.4189005185025,2,2016,1603
41,2224,541.4189005185025,2,2016,1603
42,2224,541.4189005185025,2,2016,1603
43,5740,785.3457271218304,8,2675,5547
44,5966,830.6583659206792,3,5740,5813
45,5966,830.6583659206792,9,5740,5813
46,5966,830.6583659206792,3,5740,5813
47,5966,830.6583659206792,9,5740,5813
48,5966,830.6583659206792,9,5740,5813
49,5966,830.6583659206792,9,5740,5813
50,5966,830.6583659206792,9,5740,5813
51,5966,830.6583659206792,9,5740,5813
52,5966,830.6583659206792,9,5740,5813
53,5966,830.6583659206792,9,5740,5813
54,5966,830.6583659206792,9,5740,5813
55,5966,830.6583659206792,9,5740,5813
56,5966,830.6583659206792,9,5740,5813
57,5966,830.6583659206792,9,5740,5813
58,5966,830.6583659206792,9,5740,5813
59,5966,830.6583659206792,9,5740,5813
60,5966,830.6583659206792,9,5740,5813
61,5966,830.6583659206792,9,5740,5813
62,5966,830.6583659206792,9,5740,5813
63,5966,830.6583659206792,9,5740,5813
64,5966,830.6583659206792,9,5740,5813
65,5966,830.6583659206792,9,5740,5813
66,5966,830.6583659206792,9,5740,5813
67,5966,830.6583659206792,9,5740,5813
68,5966,830.6583659206792,9,5740,5813
69,5966,830.6583659206792,9,5740,5813
70,5966,830.6583659206792,9,5740,5813
71,5966,830.6583659206792,9,5740,5813
72,5966,830.6583659206792,9,5740,5813
73,5966,830.6583659206792,9,5740,5813
74,5966,830.6583659206792,9,5740,5813
75,5966,830.6583659206792,9,5740,5813
76,5966,830.6583659206792,9,5740,5813
77,5966,830.6583659206792,9,5740,5813
78,5966,830.6583659206792,9,5740,5813
79,5966,830.6583659206792,9,5740,5813
80,10722,931.3714113270564,9,10298,10595
81,10722,931.3714113270564,9,10298,10595
82,10722,931.3714113270564,9,10298,10595
83,10722,931.3714113270564,9,10298,10595
84,10722,931.3714113270564,9,10298,10595
85,10722,931.3714113270564,9,10298,10595
86,10722,931.3714113270564,9,10298,10595
87,10722,931.3714113270564,5,10298,10595
88,10722,931.3714113270564,5,10298,10595
89,10722,931.3714113270564,5,10298,10595
90,10722,931.3714113270564,5,10298,10595
91,10722,931.3714113270564,5,10298,10595
92,10722,931.3714113270564,5,10298,10595
93,10722,931.3714113270564,5,10298,10595
94,10722,931.3714113270564,5,10298,10595
95,12705,1618.7931072109163,2,12568,12555
96,12705,1618.7931072109163,2,12568,12555
97,12705,1618.7931072109163,2,12568,12555
98,12705,1618.7931072109163,2,12568,12555
99,12705,1618.7931072109163,2,12568,12555
100,12705,1618.7931072109163,2,12568,12555
101,12705,1618.7931072109163,2,12568,12555
102,12705,1618.7931072109163,2,12568,12555
103,12705,1618.7931072109163,2,12568,12555
104,12705,1618.7931072109163,2,12568,12555
105,12705,1618.7931072109163,2,12568,12555
106,12705,1618.7931072109163,2,12568,12555
107,12705,1618.7931072109163,2,12568,12555
108,12705,1618.7931072109163,2,12568,12555
109,12705,1618.7931072109163,2,12568,12555
110,12705,1618.7931072109163,2,12568,12555
111,12705,1618.7931072109163,2,12568,12555
112,12705,1618.7931072109163,2,12568,12555
113,12705,1618.7931072109163,2,12568,12555
114,12705,1618.7931072109163,2,12568,12555
115,12705,1618.7931072109163,2,12568,12555
116,12705,1618.7931072109163,2,12568,12555
117,12705,1618.7931072109163,2,12568,12555
118,12705,1618.7931072109163,2,12568,12555
119,12705,1618.7931072109163,2,12568,12555
120,12705,1618.7931072109163,2,12568,12555
121,12705,1618.7931072109163,2,12568,12555
122,12705,1618.7931072109163,2,12568,12555
123,12705,1618.7931072109163,2,12568,12555
124,12705,1618.7931072109163,2,12568,12555
125,12705,1618.7931072109163,2,12568,12555
126,12705,1618.7931072109163,2,12568,12555
127,12705,1618.7931072109163,2,12568,12555
128,12705,1618.7931072109163,2,12568,12555
129,12705,1618.7931072109163,2,12568,12555
130,12705,1618.7931072109163,2,12568,12555
131,12705,1618.7931072109163,2,12568,12555
132,12705,1618.7931072109163,2,12568,12555
133,12705,1618.7931072109163,2,12568,12555
134,12705,1618.7931072109163,2,12568,12555
135,12705,1618.7931072109163,2,12568,12555
136,12705,1618.7931072109163,2,12568,12555
137,12705,1618.7931072109163,2,12568,12555
