generation,id,fitness,species,parent1,parent2
0,73,153.46159184322153,4,-1,-1
1,73,153.46159184322153,4,-1,-1
2,73,153.46159184322153,4,-1,-1
3,486,167.74829209438283,3,301,160
4,673,429.416725429486,2,528,439
5,673,429.416725429486,2,528,439
6,673,429.416725429486,2,528,439
7,673,429.416725429486,2,528,439
8,673,429.416725429486,2,528,439
9,673,429.416725429486,2,528,439
10,673,429.416725429486,2,528,439
11,673,429.416725429486,2,528,439
12,1719,552.5921140148992,3,73,673
13,1719,552.5921140148992,3,73,673
14,1719,552.5921140148992,3,73,673
15,1719,552.5921140148992,3,73,673
16,1719,552.5921140148992,3,73,673
17,1719,552.5921140148992,3,73,673
18,1719,552.5921140148992,3,73,673
19,1719,552.5921140148992,3,73,673
20,1719,552.5921140148992,3,73,673
21,1719,552.5921140148992,3,73,673
22,3128,571.5392089097451,2,2688,2979
23,3128,571.5392089097451,1,2688,2979
24,3128,571.5392089097451,5,2688,2979
25,3128,571.5392089097451,5,2688,2979
26,3737,603.8465205102979,5,3632,3128
27,3831,651.3124594936097,2,3778,3191
28,4044,731.0368257560997,2,3816,3816
29,4205,733.0121881233584,2,3831,3831
30,4205,733.0121881233584,2,3831,3831
31,4205,733.0121881233584,2,3831,3831
32,4205,733.0121881233584,2,3831,3831
33,4717,915.3635337794873,5,4431,4205
34,4717,915.3635337794873,1,4431,4205
35,4717,915.3635337794873,2,4431,4205
36,4717,915.3635337794873,3,4431,4205
37,4717,915.3635337794873,3,4431,4205
38,4717,915.3635337794873,1,4431,4205
39,4717,915.3635337794873,3,4431,4205
40,4717,915.3635337794873,1,4431,4205
41,4717,915.3635337794873,2,4431,4205
42,4717,915.3635337794873,2,4431,4205
43,4717,915.3635337794873,2,4431,4205
44,4717,915.3635337794873,1,4431,4205
45,4717,915.3635337794873,2,4431,4205
46,4717,915.3635337794873,1,4431,4205
47,4717,915.3635337794873,2,4431,4205
48,4717,915.3635337794873,1,4431,4205
49,4717,915.3635337794873,1,4431,4205
50,4717,915.3635337794873,1,4431,4205
51,4717,915.3635337794873,1,4431,4205
52,4717,915.3635337794873,1,4431,4205
53,7493,1116.8720074395676,5,5684,6881
54,7493,1116.8720074395676,5,5684,6881
55,7493,1116.8720074395676,1,5684,6881
56,7493,1116.8720074395676,5,5684,6881
57,7493,1116.8720074395676,5,5684,6881
58,7493,1116.8720074395676,5,5684,6881
59,7493,1116.8720074395676,5,5684,6881
60,7493,1116.8720074395676,5,5684,6881
61,7493,1116.8720074395676,5,5684,6881
62,7493,1116.8720074395676,5,5684,6881
63,7493,1116.8720074395676,5,5684,6881
64,7493,1116.8720074395676,5,5684,6881
65,7493,1116.8720074395676,5,5684,6881
66,7493,1116.8720074395676,5,5684,6881
67,7493,1116.8720074395676,5,5684,6881
68,7493,1116.8720074395676,5,5684,6881
69,7493,1116.8720074395676,5,5684,6881
70,7493,1116.8720074395676,5,5684,6881
71,7493,1116.8720074395676,5,5684,6881
72,7493,1116.8720074395676,5,5684,6881
73,7493,1116.8720074395676,5,5684,6881
74,7493,1116.8720074395676,5,5684,6881
75,10626,1443.5262188853449,5,7493,10440
76,10626,1443.5262188853449,5,7493,10440
77,10626,1443.5262188853449,5,7493,10440
78,10626,1443.5262188853449,5,7493,10440
79,10626,1443.5262188853449,5,7493,10440
80,10626,1443.5262188853449,5,7493,10440
81,10626,1443.5262188853449,5,7493,10440
82,10626,1443.5262188853449,5,7493,10440
83,10626,1443.5262188853449,5,7493,10440
84,10626,1443.5262188853449,5,7493,10440
85,10626,1443.5262188853449,5,7493,10440
86,10626,1443.5262188853449,5,7493,10440
87,10626,1443.5262188853449,5,7493,10440
88,10626,1443.5262188853449,5,7493,10440
89,12608,2070.9911130494643,5,12137,10626
90,12608,2070.9911130494643,5,12137,10626
91,12608,2070.9911130494643,5,12137,10626
92,12608,2070.9911130494643,5,12137,10626
93,12608,2070.9911130494643,5,12137,10626
94,12608,2070.9911130494643,5,12137,10626
95,13444,3425.5479251679076,1,12608,10868
96,13444,3425.5479251679076,5,12608,10868
97,13444,3425.5479251679076,5,12608,10868
98,13444,3425.5479251679076,5,12608,10868
99,13444,3425.5479251679076,5,12608,10868
100,13444,3425.5479251679076,5,12608,10868
101,13444,3425.5479251679076,5,12608,10868
102,13444,3425.5479251679076,5,12608,10868
103,13444,3425.5479251679076,5,12608,10868
104,13444,3425.5479251679076,5,12608,10868
105,13444,3425.5479251679076,5,12608,10868
106,13444,3425.5479251679076,5,12608,10868
107,13444,3425.5479251679076,5,12608,10868
108,13444,3425.5479251679076,5,12608,10868
109,13444,3425.5479251679076,5,12608,10868
110,13444,3425.5479251679076,5,12608,10868
111,13444,3425.5479251679076,5,12608,10868
112,13444,3425.5479251679076,5,12608,10868
113,15999,4861.665155122539,5,13444,13444
114,15999,4861.665155122539,5,13444,13444
115,15999,4861.665155122539,5,13444,13444
116,15999,4861.665155122539,5,13444,13444
117,15999,4861.665155122539,5,13444,13444
118,15999,4861.665155122539,5,13444,13444
119,15999,4861.665155122539,5,13444,13444
120,15999,4861.665155122539,5,13444,13444
121,15999,4861.665155122539,5,13444,13444
122,15999,4861.665155122539,5,13444,13444
123,15999,4861.665155122539,5,13444,13444
124,15999,4861.665155122539,5,13444,13444
125,15999,4861.665155122539,5,13444,13444
126,15999,4861.665155122539,5,13444,13444
127,15999,4861.665155122539,5,13444,13444
128,15999,4861.665155122539,5,13444,13444
129,15999,4861.665155122539,5,13444,13444
130,15999,4861.665155122539,5,13444,13444
131,15999,4861.665155122539,5,13444,13444
132,15999,4861.665155122539,5,13444,13444
133,15999,4861.665155122539,5,13444,13444
134,15999,4861.665155122539,5,13444,13444
135,15999,4861.665155122539,5,13444,13444
136,15999,4861.665155122539,5,13444,13444
137,15999,4861.665155122539,5,13444,13444
138,15999,4861.665155122539,5,13444,13444
139,15999,4861.665155122539,5,13444,13444
140,15999,4861.665155122539,5,13444,13444
141,15999,4861.665155122539,5,13444,13444
142,15999,4861.665155122539,5,13444,13444
143,15999,4861.665155122539,5,13444,13444
144,15999,4861.665155122539,5,13444,13444
145,15999,4861.665155122539,5,13444,13444
146,15999,4861.665155122539,5,13444,13444
147,15999,4861.665155122539,5,13444,13444
148,20882,6430.78114843964,5,19909,15999
149,20882,6430.78114843964,5,19909,15999
150,20882,6430.78114843964,5,19909,15999
151,21439,7123.881515369559,5,15999,21299
152,21439,7123.881515369559,5,15999,21299
153,21439,7123.881515369559,5,15999,21299
154,21439,7123.881515369559,5,15999,21299
155,21439,7123.881515369559,5,15999,21299
156,21439,7123.881515369559,5,15999,21299
157,21439,7123.881515369559,5,15999,21299
158,21439,7123.881515369559,5,15999,21299
159,21439,7123.881515369559,5,15999,21299
160,21439,7123.881515369559,5,15999,21299
161,21439,7123.881515369559,5,15999,21299
162,21439,7123.881515369559,5,15999,21299
163,21439,7123.881515369559,5,15999,21299
164,21439,7123.881515369559,5,15999,21299
165,21439,7123.881515369559,5,15999,21299
166,21439,7123.881515369559,5,15999,21299
167,21439,7123.881515369559,5,15999,21299
168,21439,7123.881515369559,5,15999,21299
169,21439,7123.881515369559,5,15999,21299
170,21439,7123.881515369559,5,15999,21299
171,21439,7123.881515369559,5,15999,21299
