generation,id,fitness,species,parent1,parent2
0,149,110.67883800501188,1,-1,-1
1,286,143.26620884259583,1,48,149
2,399,169.3463696817143,3,286,286
3,399,169.3463696817143,3,286,286
4,627,192.43867641931124,1,565,503
5,777,321.62515988890317,2,671,681
6,856,408.92799585007873,2,124,777
7,1104,475.4140273293835,3,856,856
8,1193,564.1442391414896,2,1122,988
9,1193,564.1442391414896,2,1122,988
10,1549,596.26919380702,2,1197,1397
11,1549,596.26919380702,2,1197,1397
12,1549,596.26919380702,3,1197,1397
13,1942,598.2253916126872,3,1193,1776
14,2035,599.4638943963923,4,1980,1723
15,2263,611.9940936257176,4,1549,2095
16,2263,611.9940936257176,3,1549,2095
17,2501,614.7683473646725,2,2159,2355
18,2501,614.7683473646725,2,2159,2355
19,2723,762.4133268262751,4,1942,2554
20,2912,839.6818188592027,3,2707,2804
21,2912,839.6818188592027,3,2707,2804
22,2912,839.6818188592027,1,2707,2804
23,3279,918.6695365737917,4,2723,3114
24,3279,918.6695365737917,4,2723,3114
25,3279,918.6695365737917,4,2723,3114
26,3279,918.6695365737917,4,2723,3114
27,3914,948.6783626785975,4,3718,3277
28,4059,1152.4425500802429,1,3279,3895
29,4059,1152.4425500802429,2,3279,3895
30,4059,1152.4425500802429,2,3279,3895
31,4059,1152.4425500802429,2,3279,3895
32,4059,1152.4425500802429,4,3279,3895
33,4059,1152.4425500802429,4,3279,3895
34,4059,1152.4425500802429,4,3279,3895
35,4059,1152.4425500802429,4,3279,3895
36,4059,1152.4425500802429,1,3279,3895
37,4059,1152.4425500802429,2,3279,3895
38,4059,1152.4425500802429,3,3279,3895
39,4059,1152.4425500802429,2,3279,3895
40,5575,1152.4425500802429,2,5429,4059
41,5575,1152.4425500802429,2,5429,4059
42,5575,1152.4425500802429,2,5429,4059
43,5575,1152.4425500802429,1,5429,4059
44,5575,1152.4425500802429,4,5429,4059
45,5575,1152.4425500802429,4,5429,4059
46,6527,1217.4308208716698,1,6403,5575
47,6727,1454.1644213072673,2,6527,5575
48,6727,1454.1644213072673,2,6527,5575
49,6727,1454.1644213072673,2,6527,5575
50,6727,1454.1644213072673,4,6527,5575
51,6727,1454.1644213072673,4,6527,5575
52,6727,1454.1644213072673,4,6527,5575
53,6727,1454.1644213072673,4,6527,5575
54,6727,1454.1644213072673,4,6527,5575
55,6727,1454.1644213072673,1,6527,5575
56,6727,1454.1644213072673,4,6527,5575
57,8132,1966.3142291961897,4,8001,6727
58,8132,1966.3142291961897,3,8001,6727
59,8350,2744.3989620952043,2,8228,6727
60,8350,2744.3989620952043,2,8228,6727
61,8350,2744.3989620952043,4,8228,6727
62,8350,2744.3989620952043,4,8228,6727
63,8350,2744.3989620952043,4,8228,6727
64,8350,2744.3989620952043,4,8228,6727
65,8350,2744.3989620952043,4,8228,6727
66,8350,2744.3989620952043,2,8228,6727
67,8350,2744.3989620952043,2,8228,6727
68,8350,2744.3989620952043,4,8228,6727
