generation,id,fitness,species,parent1,parent2
0,44,135.10768721548322,2,-1,-1
1,234,162.41747793617418,2,24,53
2,234,162.41747793617418,2,24,53
3,234,162.41747793617418,2,24,53
4,594,184.83465299111182,2,437,234
5,594,184.83465299111182,2,437,234
6,594,184.83465299111182,1,437,234
7,594,184.83465299111182,2,437,234
8,594,184.83465299111182,1,437,234
9,594,184.83465299111182,2,437,234
10,1469,188.40938593231303,1,1379,1379
11,1469,188.40938593231303,5,1379,1379
12,1469,188.40938593231303,1,1379,1379
13,1469,188.40938593231303,5,1379,1379
14,1469,188.40938593231303,1,1379,1379
15,1469,188.40938593231303,5,1379,1379
16,1469,188.40938593231303,1,1379,1379
17,1469,188.40938593231303,5,1379,1379
18,1469,188.40938593231303,5,1379,1379
19,1469,188.40938593231303,5,1379,1379
20,1469,188.40938593231303,5,1379,1379
21,1469,188.40938593231303,5,1379,1379
22,1469,188.40938593231303,1,1379,1379
23,3350,205.02083750773872,2,3170,3170
24,3350,205.02083750773872,2,3170,3170
25,3654,220.5040267273319,2,3170,3489
26,3654,220.5040267273319,2,3170,3489
27,3654,220.5040267273319,2,3170,3489
28,3654,220.5040267273319,2,3170,3489
29,3654,220.5040267273319,2,3170,3489
30,3654,220.5040267273319,2,3170,3489
31,3654,220.5040267273319,2,3170,3489
32,3654,220.5040267273319,2,3170,3489
33,3654,220.5040267273319,2,3170,3489
34,3654,220.5040267273319,2,3170,3489
35,3654,220.5040267273319,2,3170,3489
36,3654,220.5040267273319,2,3170,3489
37,3654,220.5040267273319,2,3170,3489
38,3654,220.5040267273319,2,3170,3489
39,3654,220.5040267273319,2,3170,3489
40,3654,220.5040267273319,2,3170,3489
41,3654,220.5040267273319,2,3170,3489
42,3654,220.5040267273319,2,3170,3489
43,3654,220.5040267273319,2,3170,3489
44,3654,220.5040267273319,2,3170,3489
45,3654,220.5040267273319,2,3170,3489
46,3654,220.5040267273319,2,3170,3489
47,3654,220.5040267273319,2,3170,3489
48,3654,220.5040267273319,2,3170,3489
49,3654,220.5040267273319,2,3170,3489
50,3654,220.5040267273319,2,3170,3489
51,3654,220.5040267273319,2,3170,3489
52,3654,220.5040267273319,2,3170,3489
53,3654,220.5040267273319,2,3170,3489
54,3654,220.5040267273319,2,3170,3489
55,3654,220.5040267273319,2,3170,3489
56,3654,220.5040267273319,2,3170,3489
57,3654,220.5040267273319,2,3170,3489
58,3654,220.5040267273319,2,3170,3489
59,3654,220.5040267273319,2,3170,3489
60,3654,220.5040267273319,2,3170,3489
61,3654,220.5040267273319,2,3170,3489
62,3654,220.5040267273319,2,3170,3489
63,8949,220.5354450987799,2,5871,3654
64,8949,220.5354450987799,2,5871,3654
65,8949,220.5354450987799,2,5871,3654
66,9393,263.95959625765676,2,8949,3654
67,9393,263.95959625765676,2,8949,3654
68,9393,263.95959625765676,2,8949,3654
69,9393,263.95959625765676,2,8949,3654
70,9393,263.95959625765676,2,8949,3654
71,9393,263.95959625765676,2,8949,3654
72,9393,263.95959625765676,2,8949,3654
73,10363,294.9560937790643,2,9393,9526
74,10363,294.9560937790643,2,9393,9526
75,10363,294.9560937790643,2,9393,9526
76,10363,294.9560937790643,2,9393,9526
77,10363,294.9560937790643,2,9393,9526
78,10363,294.9560937790643,2,9393,9526
