generation,id,fitness,species,parent1,parent2
0,44,135.10768721548322,2,-1,-1
1,206,157.205940556634,2,12,21
2,347,163.03774015044647,3,279,44
3,347,163.03774015044647,3,279,44
4,347,163.03774015044647,3,279,44
5,742,172.87080304671392,3,549,347
6,742,172.87080304671392,3,549,347
7,1073,241.64645641977785,5,917,861
8,1073,241.64645641977785,5,917,861
9,1073,241.64645641977785,5,917,861
10,1531,274.2909263528866,5,1389,1389
11,1531,274.2909263528866,5,1389,1389
12,1826,329.45032814159214,5,1531,1493
13,1957,369.1079207101497,5,1780,1780
14,1957,369.1079207101497,5,1780,1780
15,1957,369.1079207101497,5,1780,1780
16,1957,369.1079207101497,5,1780,1780
17,1957,369.1079207101497,5,1780,1780
18,1957,369.1079207101497,3,1780,1780
19,1957,369.1079207101497,5,1780,1780
20,2931,554.1904461430055,5,2412,2422
21,2931,554.1904461430055,5,2412,2422
22,2931,554.1904461430055,5,2412,2422
23,2931,554.1904461430055,3,2412,2422
24,2931,554.1904461430055,5,2412,2422
25,2931,554.1904461430055,5,2412,2422
26,2931,554.1904461430055,2,2412,2422
27,3868,574.6790767184689,2,3718,3718
28,3868,574.6790767184689,5,3718,3718
29,3868,574.6790767184689,3,3718,3718
30,3868,574.6790767184689,3,3718,3718
31,3868,574.6790767184689,3,3718,3718
32,3868,574.6790767184689,2,3718,3718
33,3868,574.6790767184689,2,3718,3718
34,3868,574.6790767184689,2,3718,3718
35,3868,574.6790767184689,5,3718,3718
36,3868,574.6790767184689,2,3718,3718
37,3868,574.6790767184689,5,3718,3718
38,3868,574.6790767184689,2,3718,3718
39,3868,574.6790767184689,3,3718,3718
40,3868,574.6790767184689,3,3718,3718
41,3868,574.6790767184689,1,3718,3718
42,3868,574.6790767184689,2,3718,3718
43,3868,574.6790767184689,5,3718,3718
44,3868,574.6790767184689,3,3718,3718
45,3868,574.6790767184689,3,3718,3718
46,3868,574.6790767184689,2,3718,3718
47,3868,574.6790767184689,3,3718,3718
48,3868,574.6790767184689,5,3718,3718
49,3868,574.6790767184689,1,3718,3718
50,3868,574.6790767184689,1,3718,3718
51,3868,574.6790767184689,3,3718,3718
52,3868,574.6790767184689,3,3718,3718
53,3868,574.6790767184689,5,3718,3718
54,3868,574.6790767184689,5,3718,3718
55,3868,574.6790767184689,3,3718,3718
56,7974,577.5338054360424,3,2931,2931
57,7974,577.5338054360424,1,2931,2931
58,7974,577.5338054360424,1,2931,2931
59,7974,577.5338054360424,1,2931,2931
60,7974,577.5338054360424,1,2931,2931
61,7974,577.5338054360424,3,2931,2931
62,7974,577.5338054360424,5,2931,2931
63,7974,577.5338054360424,3,2931,2931
64,7974,577.5338054360424,3,2931,2931
65,9188,607.6619421429249,1,9043,8598
66,9188,607.6619421429249,1,9043,8598
67,9519,878.7270269063126,1,8600,9290
68,9519,878.7270269063126,1,8600,9290
69,9519,878.7270269063126,1,8600,9290
70,9519,878.7270269063126,1,8600,9290
71,9519,878.7270269063126,1,8600,9290
72,9519,878.7270269063126,5,8600,9290
73,9519,878.7270269063126,5,8600,9290
74,9519,878.7270269063126,1,8600,9290
75,10663,1000.1417908964717,5,10526,10526
76,10663,1000.1417908964717,5,10526,10526
77,10663,1000.1417908964717,5,10526,10526
78,11080,1121.5534710602674,1,10663,10663
79,11080,1121.5534710602674,1,10663,10663
80,11080,1121.5534710602674,1,10663,10663
81,11080,1121.5534710602674,1,10663,10663
82,11080,1121.5534710602674,1,10663,10663
83,11080,1121.5534710602674,1,10663,10663
84,11080,1121.5534710602674,1,10663,10663
85,11080,1121.5534710602674,1,10663,10663
86,11080,1121.5534710602674,1,10663,10663
87,11080,1121.5534710602674,1,10663,10663
88,12458,2454.977622324147,5,11080,12346
89,12458,2454.977622324147,1,11080,12346
90,12458,2454.977622324147,1,11080,12346
91,12458,2454.977622324147,5,11080,12346
92,12458,2454.977622324147,1,11080,12346
93,12458,2454.977622324147,3,11080,12346
94,12458,2454.977622324147,3,11080,12346
95,12458,2454.977622324147,1,11080,12346
96,12458,2454.977622324147,1,11080,12346
97,12458,2454.977622324147,1,11080,12346
98,12458,2454.977622324147,1,11080,12346
99,12458,2454.977622324147,1,11080,12346
100,12458,2454.977622324147,1,11080,12346
101,12458,2454.977622324147,1,11080,12346
102,12458,2454.977622324147,1,11080,12346
103,12458,2454.977622324147,3,11080,12346
104,12458,2454.977622324147,1,11080,12346
105,12458,2454.977622324147,3,11080,12346
106,12458,2454.977622324147,3,11080,12346
107,12458,2454.977622324147,3,11080,12346
108,12458,2454.977622324147,3,11080,12346
109,12458,2454.977622324147,3,11080,12346
110,12458,2454.977622324147,3,11080,12346
111,12458,2454.977622324147,3,11080,12346
112,12458,2454.977622324147,3,11080,12346
113,12458,2454.977622324147,3,11080,12346
114,12458,2454.977622324147,3,11080,12346
115,12458,2454.977622324147,3,11080,12346
116,12458,2454.977622324147,3,11080,12346
117,12458,2454.977622324147,3,11080,12346
118,12458,2454.977622324147,3,11080,12346
119,12458,2454.977622324147,3,11080,12346
120,12458,2454.977622324147,3,11080,12346
121,12458,2454.977622324147,3,11080,12346
122,12458,2454.977622324147,3,11080,12346
123,12458,2454.977622324147,3,11080,12346
124,12458,2454.977622324147,3,11080,12346
125,12458,2454.977622324147,3,11080,12346
126,12458,2454.977622324147,3,11080,12346
127,12458,2454.977622324147,3,11080,12346
128,12458,2454.977622324147,3,11080,12346
129,12458,2454.977622324147,3,11080,12346
130,12458,2454.977622324147,3,11080,12346
131,12458,2454.977622324147,3,11080,12346
132,12458,2454.977622324147,3,11080,12346
133,12458,2454.977622324147,3,11080,12346
134,12458,2454.977622324147,3,11080,12346
135,12458,2454.977622324147,3,11080,12346
136,12458,2454.977622324147,3,11080,12346
137,12458,2454.977622324147,3,11080,12346
138,12458,2454.977622324147,3,11080,12346
139,19660,6168.919705121258,1,13868,13868
140,19660,6168.919705121258,1,13868,13868
