generation,id,fitness,species,parent1,parent2
0,17,97.6246300377617,4,-1,-1
1,232,105.01401507569076,1,59,59
2,397,105.28150558863072,6,237,237
3,537,107.93326810443668,6,393,393
4,644,108.07091603716006,6,523,523
5,729,112.34742229411893,3,598,598
6,729,112.34742229411893,3,598,598
7,729,112.34742229411893,3,598,598
8,1175,114.81677719748873,2,1042,1042
9,1312,117.50925952235396,2,1176,1176
10,1449,117.59432484291828,2,1175,1175
11,1576,121.20223319890545,2,1449,1449
12,1576,121.20223319890545,2,1449,1449
13,1801,122.93028353112103,1,1671,1671
14,1957,124.01514527903983,2,1576,1576
15,1957,124.01514527903983,3,1576,1576
16,1957,124.01514527903983,2,1576,1576
17,2290,125.56322215551488,1,1981,1981
18,2290,125.56322215551488,1,1981,1981
19,2290,125.56322215551488,1,1981,1981
20,2290,125.56322215551488,1,1981,1981
21,2903,126.61843187798476,10,2735,2735
22,2903,126.61843187798476,10,2735,2735
23,2903,126.61843187798476,10,2735,2735
24,3239,130.45308738081653,7,2576,2576
25,3239,130.45308738081653,7,2576,2576
26,3239,130.45308738081653,7,2576,2576
27,3239,130.45308738081653,7,2576,2576
28,3239,130.45308738081653,7,2576,2576
29,3239,130.45308738081653,7,2576,2576
30,3239,130.45308738081653,7,2576,2576
31,3239,130.45308738081653,7,2576,2576
32,3239,130.45308738081653,7,2576,2576
33,3239,130.45308738081653,7,2576,2576
34,4533,131.31787742795342,3,4286,4286
35,4731,134.95290780096553,3,4536,4536
36,4731,134.95290780096553,3,4536,4536
37,4731,134.95290780096553,10,4536,4536
38,4731,134.95290780096553,3,4536,4536
39,4731,134.95290780096553,3,4536,4536
40,4731,134.95290780096553,3,4536,4536
41,4731,134.95290780096553,3,4536,4536
42,5660,136.02288955289993,3,5133,5133
43,5660,136.02288955289993,3,5133,5133
44,5875,139.51199867530033,7,5735,5735
45,5875,139.51199867530033,7,5735,5735
46,6177,145.0951712309045,7,6054,6054
47,6177,145.0951712309045,7,6054,6054
48,6177,145.0951712309045,7,6054,6054
49,6177,145.0951712309045,10,6054,6054
50,6177,145.0951712309045,7,6054,6054
51,6177,145.0951712309045,7,6054,6054
52,6177,145.0951712309045,7,6054,6054
53,6177,145.0951712309045,7,6054,6054
54,6177,145.0951712309045,3,6054,6054
55,6177,145.0951712309045,1,6054,6054
56,6177,145.0951712309045,7,6054,6054
57,6177,145.0951712309045,7,6054,6054
58,6177,145.0951712309045,3,6054,6054
59,7856,147.18782889371394,10,7763,7763
60,7856,147.18782889371394,10,7763,7763
