generation,id,fitness,species,parent1,parent2
0,135,101.26023133485674,3,-1,-1
1,266,153.1083809409168,6,135,135
2,266,153.1083809409168,6,135,135
3,266,153.1083809409168,3,135,135
4,266,153.1083809409168,3,135,135
5,266,153.1083809409168,6,135,135
6,266,153.1083809409168,6,135,135
7,266,153.1083809409168,3,135,135
8,1215,185.46661675285299,1,944,944
9,1215,185.46661675285299,1,944,944
10,1438,213.27946673569232,3,1352,1352
11,1602,237.58648288968615,1,1471,1471
12,1602,237.58648288968615,1,1471,1471
13,1906,335.86653749551795,6,1602,1602
14,2045,1072.1028787058312,6,1754,1754
15,2045,1072.1028787058312,6,1754,1754
16,2045,1072.1028787058312,1,1754,1754
17,2045,1072.1028787058312,1,1754,1754
18,2045,1072.1028787058312,1,1754,1754
19,2045,1072.1028787058312,1,1754,1754
20,2045,1072.1028787058312,1,1754,1754
21,2045,1072.1028787058312,1,1754,1754
22,2045,1072.1028787058312,1,1754,1754
23,2045,1072.1028787058312,1,1754,1754
24,2045,1072.1028787058312,1,1754,1754
25,2045,1072.1028787058312,1,1754,1754
26,2045,1072.1028787058312,1,1754,1754
27,2045,1072.1028787058312,1,1754,1754
28,2045,1072.1028787058312,1,1754,1754
29,2045,1072.1028787058312,1,1754,1754
30,2045,1072.1028787058312,1,1754,1754
31,2045,1072.1028787058312,1,1754,1754
32,2045,1072.1028787058312,1,1754,1754
33,2045,1072.1028787058312,1,1754,1754
34,2045,1072.1028787058312,1,1754,1754
35,2045,1072.1028787058312,1,1754,1754
36,2045,1072.1028787058312,1,1754,1754
37,2045,1072.1028787058312,1,1754,1754
38,2045,1072.1028787058312,1,1754,1754
39,2045,1072.1028787058312,1,1754,1754
40,2045,1072.1028787058312,1,1754,1754
41,2045,1072.1028787058312,1,1754,1754
42,2045,1072.1028787058312,1,1754,1754
43,2045,1072.1028787058312,1,1754,1754
44,2045,1072.1028787058312,1,1754,1754
45,2045,1072.1028787058312,1,1754,1754
46,2045,1072.1028787058312,1,1754,1754
47,2045,1072.1028787058312,1,1754,1754
48,6668,1106.4034202178323,1,2045,2045
49,6668,1106.4034202178323,1,2045,2045
50,6915,1220.370171220671,2,6803,6803
51,6915,1220.370171220671,2,6803,6803
