generation,id,fitness,species,parent1,parent2
0,64,185.07925427226644,3,-1,-1
1,64,185.07925427226644,3,-1,-1
2,64,185.07925427226644,9,-1,-1
3,64,185.07925427226644,6,-1,-1
4,64,185.07925427226644,6,-1,-1
5,64,185.07925427226644,6,-1,-1
6,934,248.9714904145767,9,801,64
7,934,248.9714904145767,9,801,64
8,934,248.9714904145767,9,801,64
9,1312,273.41256507423486,6,1200,1164
10,1312,273.41256507423486,6,1200,1164
11,1312,273.41256507423486,6,1200,1164
12,1628,358.45635946693176,8,1433,1433
13,1628,358.45635946693176,3,1433,1433
14,1628,358.45635946693176,3,1433,1433
15,2101,365.1534779076858,6,1957,1957
16,2219,456.2130768152997,9,2114,2092
17,2375,768.6452365720421,6,2210,2209
18,2375,768.6452365720421,8,2210,2209
19,2375,768.6452365720421,8,2210,2209
20,2375,768.6452365720421,6,2210,2209
21,2375,768.6452365720421,6,2210,2209
22,2375,768.6452365720421,9,2210,2209
23,2375,768.6452365720421,8,2210,2209
24,2375,768.6452365720421,9,2210,2209
25,2375,768.6452365720421,6,2210,2209
26,2375,768.6452365720421,9,2210,2209
27,2375,768.6452365720421,9,2210,2209
28,2375,768.6452365720421,6,2210,2209
29,2375,768.6452365720421,6,2210,2209
30,2375,768.6452365720421,9,2210,2209
31,2375,768.6452365720421,6,2210,2209
32,2375,768.6452365720421,9,2210,2209
33,2375,768.6452365720421,6,2210,2209
34,2375,768.6452365720421,9,2210,2209
35,2375,768.6452365720421,9,2210,2209
36,2375,768.6452365720421,9,2210,2209
37,2375,768.6452365720421,9,2210,2209
38,2375,768.6452365720421,9,2210,2209
39,2375,768.6452365720421,9,2210,2209
40,2375,768.6452365720421,9,2210,2209
41,2375,768.6452365720421,6,2210,2209
42,2375,768.6452365720421,6,2210,2209
43,5768,1299.2161093968691,9,5553,5371
44,5768,1299.2161093968691,9,5553,5371
45,5768,1299.2161093968691,9,5553,5371
46,5768,1299.2161093968691,9,5553,5371
47,5768,1299.2161093968691,9,5553,5371
48,5768,1299.2161093968691,9,5553,5371
49,5768,1299.2161093968691,9,5553,5371
50,5768,1299.2161093968691,9,5553,5371
51,5768,1299.2161093968691,9,5553,5371
52,5768,1299.2161093968691,9,5553,5371
53,5768,1299.2161093968691,9,5553,5371
54,5768,1299.2161093968691,9,5553,5371
55,5768,1299.2161093968691,9,5553,5371
56,5768,1299.2161093968691,9,5553,5371
57,5768,1299.2161093968691,9,5553,5371
58,5768,1299.2161093968691,9,5553,5371
59,5768,1299.2161093968691,9,5553,5371
60,5768,1299.2161093968691,9,5553,5371
61,5768,1299.2161093968691,9,5553,5371
62,5768,1299.2161093968691,9,5553,5371
63,5768,1299.2161093968691,9,5553,5371
64,5768,1299.2161093968691,9,5553,5371
65,5768,1299.2161093968691,9,5553,5371
66,5768,1299.2161093968691,9,5553,5371
67,5768,1299.2161093968691,9,5553,5371
68,5768,1299.2161093968691,9,5553,5371
69,5768,1299.2161093968691,9,5553,5371
70,5768,1299.2161093968691,9,5553,5371
71,5768,1299.2161093968691,9,5553,5371
72,5768,1299.2161093968691,9,5553,5371
73,5768,1299.2161093968691,9,5553,5371
74,5768,1299.2161093968691,9,5553,5371
75,5768,1299.2161093968691,9,5553,5371
76,5768,1299.2161093968691,9,5553,5371
77,5768,1299.2161093968691,9,5553,5371
78,5768,1299.2161093968691,9,5553,5371
79,5768,1299.2161093968691,9,5553,5371
80,5768,1299.2161093968691,9,5553,5371
81,5768,1299.2161093968691,9,5553,5371
82,5768,1299.2161093968691,9,5553,5371
83,5768,1299.2161093968691,9,5553,5371
84,5768,1299.2161093968691,9,5553,5371
85,5768,1299.2161093968691,9,5553,5371
86,11601,1327.0078567344085,9,5768,11452
87,11601,1327.0078567344085,9,5768,11452
88,11601,1327.0078567344085,9,5768,11452
89,11601,1327.0078567344085,9,5768,11452
90,11601,1327.0078567344085,9,5768,11452
91,11601,1327.0078567344085,9,5768,11452
92,11601,1327.0078567344085,9,5768,11452
93,11601,1327.0078567344085,9,5768,11452
94,11601,1327.0078567344085,9,5768,11452
95,11601,1327.0078567344085,9,5768,11452
96,11601,1327.0078567344085,9,5768,11452
97,11601,1327.0078567344085,9,5768,11452
98,11601,1327.0078567344085,9,5768,11452
99,11601,1327.0078567344085,9,5768,11452
100,11601,1327.0078567344085,9,5768,11452
101,11601,1327.0078567344085,9,5768,11452
102,11601,1327.0078567344085,9,5768,11452
103,11601,1327.0078567344085,9,5768,11452
104,11601,1327.0078567344085,9,5768,11452
105,11601,1327.0078567344085,9,5768,11452
106,11601,1327.0078567344085,9,5768,11452
107,11601,1327.0078567344085,9,5768,11452
108,11601,1327.0078567344085,9,5768,11452
109,11601,1327.0078567344085,9,5768,11452
110,11601,1327.0078567344085,9,5768,11452
111,11601,1327.0078567344085,9,5768,11452
112,11601,1327.0078567344085,9,5768,11452
113,11601,1327.0078567344085,9,5768,11452
114,11601,1327.0078567344085,9,5768,11452
115,11601,1327.0078567344085,9,5768,11452
116,11601,1327.0078567344085,9,5768,11452
117,11601,1327.0078567344085,9,5768,11452
118,11601,1327.0078567344085,9,5768,11452
119,11601,1327.0078567344085,9,5768,11452
120,11601,1327.0078567344085,9,5768,11452
121,11601,1327.0078567344085,9,5768,11452
122,11601,1327.0078567344085,9,5768,11452
123,11601,1327.0078567344085,9,5768,11452
124,11601,1327.0078567344085,9,5768,11452
125,11601,1327.0078567344085,9,5768,11452
126,11601,1327.0078567344085,9,5768,11452
127,11601,1327.0078567344085,9,5768,11452
128,11601,1327.0078567344085,9,5768,11452
129,11601,1327.0078567344085,9,5768,11452
130,11601,1327.0078567344085,9,5768,11452
131,11601,1327.0078567344085,9,5768,11452
132,11601,1327.0078567344085,9,5768,11452
133,11601,1327.0078567344085,9,5768,11452
134,11601,1327.0078567344085,9,5768,11452
135,11601,1327.0078567344085,9,5768,11452
136,11601,1327.0078567344085,9,5768,11452
137,11601,1327.0078567344085,9,5768,11452
138,11601,1327.0078567344085,9,5768,11452
139,11601,1327.0078567344085,9,5768,11452
140,11601,1327.0078567344085,9,5768,11452
141,11601,1327.0078567344085,9,5768,11452
142,11601,1327.0078567344085,9,5768,11452
143,11601,1327.0078567344085,9,5768,11452
144,11601,1327.0078567344085,9,5768,11452
145,11601,1327.0078567344085,9,5768,11452
146,11601,1327.0078567344085,9,5768,11452
147,11601,1327.0078567344085,9,5768,11452
148,11601,1327.0078567344085,9,5768,11452
