generation,id,novelty,score,species,parent1,parent2
0,123,22.1904002164303,115.34620815135197,3,-1,-1
1,289,34.77671124284566,157.46599507137512,3,69,123
2,408,86.88613804725087,215.57814223208212,3,227,274
3,535,91.2454558337884,250.71566586688874,3,408,274
4,535,79.66676622756778,250.71566586688874,3,408,274
5,818,108.7720728236251,283.1801663618002,3,681,708
6,994,193.06209326920973,392.44213022302824,3,851,855
7,994,184.0341611652179,392.44213022302824,3,851,855
8,1234,189.38955822445095,409.6825871715088,3,1108,1071
9,1358,210.0997521233593,496.7096777203079,3,1245,1262
10,1358,242.4623388840358,496.7096777203079,4,1245,1262
11,1358,237.3264360663432,496.7096777203079,4,1245,1262
12,1358,215.42609699246972,496.7096777203079,4,1245,1262
13,1358,201.8671135343439,496.7096777203079,4,1245,1262
14,1358,191.39511290646348,496.7096777203079,4,1245,1262
15,1358,194.34411629586293,496.7096777203079,4,1245,1262
16,1358,184.7254351693018,496.7096777203079,4,1245,1262
17,1358,205.9936212215989,496.7096777203079,4,1245,1262
18,1358,177.58193778023727,496.7096777203079,4,1245,1262
19,1358,163.4207151683942,496.7096777203079,4,1245,1262
20,1358,149.28507553108452,496.7096777203079,4,1245,1262
21,3060,146.37008608698818,502.84470728761136,3,2917,2612
22,3060,150.28106137455683,502.84470728761136,3,2917,2612
23,3380,237.51669910663287,602.7115671612994,3,3191,3155
24,3517,336.2503057648972,721.1406282477792,3,3359,3331
25,3517,349.32990527207613,721.1406282477792,3,3359,3331
26,3517,350.49452800804397,721.1406282477792,3,3359,3331
27,3517,358.7014697078602,721.1406282477792,3,3359,3331
28,3517,332.84836474532597,721.1406282477792,3,3359,3331
29,3517,357.2082663948714,721.1406282477792,3,3359,3331
30,3517,349.6624601711517,721.1406282477792,3,3359,3331
31,3517,334.1091261542858,721.1406282477792,3,3359,3331
32,3517,343.4459335213895,721.1406282477792,3,3359,3331
33,3517,290.6830388190593,721.1406282477792,3,3359,3331
34,3517,298.0643758046802,721.1406282477792,3,3359,3331
35,3517,283.83331476990315,721.1406282477792,3,3359,3331
36,3517,284.7144341767431,721.1406282477792,3,3359,3331
37,3517,293.04080451587276,721.1406282477792,3,3359,3331
38,3517,280.349352499906,721.1406282477792,3,3359,3331
39,3517,261.23721750157665,721.1406282477792,3,3359,3331
40,3517,269.7017346562218,721.1406282477792,3,3359,3331
41,3517,280.9784598929815,721.1406282477792,3,3359,3331
42,3517,282.2957844782675,721.1406282477792,3,3359,3331
43,3517,262.6728534729381,721.1406282477792,3,3359,3331
44,6315,260.418543920976,733.2962970999754,3,6142,5461
45,6315,285.93015531445883,733.2962970999754,3,6142,5461
46,6315,289.7766825780814,733.2962970999754,3,6142,5461
47,6315,273.2097474397182,733.2962970999754,3,6142,5461
48,6315,266.4419611890667,733.2962970999754,3,6142,5461
49,6315,264.1998254730301,733.2962970999754,3,6142,5461
50,6315,265.0912050775189,733.2962970999754,3,6142,5461
51,6315,218.28044164015606,733.2962970999754,3,6142,5461
52,6315,254.5152740817763,733.2962970999754,3,6142,5461
53,6315,268.91004473140225,733.2962970999754,3,6142,5461
54,6315,256.96836363838224,733.2962970999754,3,6142,5461
55,6315,269.7632249374327,733.2962970999754,3,6142,5461
56,6315,253.46890952113682,733.2962970999754,3,6142,5461
57,6315,258.17154484033983,733.2962970999754,3,6142,5461
58,6315,227.61225632186841,733.2962970999754,3,6142,5461
59,6315,266.97204988765367,733.2962970999754,3,6142,5461
60,8493,781.3345693561529,1292.8950013923688,4,1358,8340
61,8493,802.2546154783539,1292.8950013923688,4,1358,8340
62,8493,780.0850437387841,1292.8950013923688,3,1358,8340
63,8493,783.4027603085252,1292.8950013923688,4,1358,8340
64,8493,775.5102177273618,1292.8950013923688,4,1358,8340
65,8493,789.3191731618548,1292.8950013923688,3,1358,8340
66,8493,792.7824948706394,1292.8950013923688,3,1358,8340
67,8493,793.3798314042823,1292.8950013923688,3,1358,8340
68,8493,793.3798314042823,1292.8950013923688,3,1358,8340
69,8493,784.034892706459,1292.8950013923688,3,1358,8340
70,8493,779.3289231028109,1292.8950013923688,3,1358,8340
71,8493,759.2712057852233,1292.8950013923688,3,1358,8340
72,8493,788.9625675131839,1292.8950013923688,3,1358,8340
73,8493,748.7870863775682,1292.8950013923688,3,1358,8340
74,8493,748.3052090720214,1292.8950013923688,3,1358,8340
75,8493,723.5655015837426,1292.8950013923688,3,1358,8340
76,8493,737.432420559868,1292.8950013923688,3,1358,8340
77,8493,738.1586308402691,1292.8950013923688,3,1358,8340
78,8493,734.4390789450048,1292.8950013923688,3,1358,8340
79,8493,711.4146668195317,1292.8950013923688,3,1358,8340
80,8493,711.4146668195317,1292.8950013923688,3,1358,8340
