generation,id,novelty,score,species,parent1,parent2
0,135,13.636232717439531,101.26023133485671,3,-1,-1
1,256,23.16532226993592,124.5628038013192,1,75,86
2,321,50.407055646674344,159.9034165396989,6,189,189
3,479,53.1938867914038,175.94065752576176,6,356,324
4,479,47.57174198354322,175.94065752576176,1,356,324
5,479,41.026851775323465,175.94065752576176,4,356,324
6,894,58.65548695677767,218.57193815631507,6,795,679
7,1099,71.34572419440451,263.8971074934258,6,907,894
8,1203,93.52640354424621,288.79661589113044,6,1095,1097
9,1360,82.9832827366149,290.01146909432566,6,1203,1194
10,1492,91.32240315498993,338.89693822589663,6,1367,1360
11,1492,99.08653126477138,338.89693822589663,6,1367,1360
12,1763,120.34321479670548,355.3139642986155,6,1593,1642
13,1875,338.15902552414553,615.2835227239202,6,1763,1773
14,1875,291.30204348037034,615.2835227239202,6,1763,1773
15,1875,266.21141959137174,615.2835227239202,1,1763,1773
16,1875,250.42376067368494,615.2835227239202,1,1763,1773
17,1875,233.27282637773112,615.2835227239202,1,1763,1773
18,2592,232.6964566044574,638.5639709498679,1,2450,2419
19,2592,255.28674233272503,638.5639709498679,1,2450,2419
20,2817,312.9113564870774,756.2280734326473,1,2713,2703
21,2817,284.2779164033316,756.2280734326473,1,2713,2703
22,2817,259.54971167665366,756.2280734326473,1,2713,2703
23,2817,231.83171601245016,756.2280734326473,1,2713,2703
24,2817,254.2306326123788,756.2280734326473,1,2713,2703
25,2817,250.77232728767586,756.2280734326473,1,2713,2703
26,2817,227.08265698873038,756.2280734326473,1,2713,2703
27,2817,246.65532566010359,756.2280734326473,6,2713,2703
28,2817,218.2801221204525,756.2280734326473,6,2713,2703
29,2817,254.6579927488218,756.2280734326473,6,2713,2703
30,2817,205.50514913497713,756.2280734326473,6,2713,2703
31,2817,199.05884083680783,756.2280734326473,6,2713,2703
32,2817,204.02976314763052,756.2280734326473,6,2713,2703
33,2817,195.87382998034934,756.2280734326473,6,2713,2703
34,2817,201.9813445545286,756.2280734326473,6,2713,2703
35,2817,185.84645382547387,756.2280734326473,6,2713,2703
36,2817,165.5948483213457,756.2280734326473,6,2713,2703
37,2817,162.71170500283947,756.2280734326473,6,2713,2703
38,5286,286.96860680974777,912.3094351658767,6,2817,5173
39,5286,271.9189333903809,912.3094351658767,5,2817,5173
40,5578,277.34029752240843,922.1485918719075,5,5038,5429
41,5578,295.20688783089014,922.1485918719075,5,5038,5429
42,5578,295.20688783089014,922.1485918719075,1,5038,5429
43,5578,305.6809675447197,922.1485918719075,1,5038,5429
44,5578,305.6809675447197,922.1485918719075,6,5038,5429
45,5578,305.63244124497004,922.1485918719075,6,5038,5429
46,5578,279.59701295435684,922.1485918719075,6,5038,5429
47,5578,279.59701295435684,922.1485918719075,6,5038,5429
48,5578,279.358121549061,922.1485918719075,6,5038,5429
49,5578,279.358121549061,922.1485918719075,6,5038,5429
50,5578,279.59701295435684,922.1485918719075,6,5038,5429
51,5578,279.59701295435684,922.1485918719075,1,5038,5429
52,5578,275.13520475495653,922.1485918719075,6,5038,5429
53,5578,278.60027112688,922.1485918719075,6,5038,5429
54,5578,259.78314471786985,922.1485918719075,1,5038,5429
55,5578,254.73268523164262,922.1485918719075,6,5038,5429
56,5578,268.2348982146463,922.1485918719075,6,5038,5429
57,5578,279.59701295435684,922.1485918719075,5,5038,5429
58,5578,240.4069974069485,922.1485918719075,1,5038,5429
59,5578,241.60489691206595,922.1485918719075,1,5038,5429
60,5578,240.46759649791485,922.1485918719075,1,5038,5429
61,5578,279.59701295435684,922.1485918719075,1,5038,5429
62,5578,248.98433246666517,922.1485918719075,1,5038,5429
63,5578,279.59701295435684,922.1485918719075,1,5038,5429
64,5578,276.57206390362137,922.1485918719075,1,5038,5429
65,5578,279.59701295435684,922.1485918719075,1,5038,5429
66,5578,269.447717622208,922.1485918719075,1,5038,5429
67,5578,259.24017026869217,922.1485918719075,1,5038,5429
68,5578,279.59701295435684,922.1485918719075,1,5038,5429
69,5578,218.80078701457623,922.1485918719075,1,5038,5429
70,5578,245.78098187336573,922.1485918719075,1,5038,5429
71,5578,279.59701295435684,922.1485918719075,1,5038,5429
72,5578,260.0077536745322,922.1485918719075,1,5038,5429
73,5578,279.59701295435684,922.1485918719075,2,5038,5429
74,5578,272.1985372755278,922.1485918719075,2,5038,5429
75,5578,272.1985372755278,922.1485918719075,2,5038,5429
76,10595,248.64268600761585,928.5785220080073,2,5578,10445
77,10595,248.64268600761585,928.5785220080073,2,5578,10445
78,10595,234.51614095817123,928.5785220080073,2,5578,10445
79,11027,214.10947580862376,930.8688129860132,2,5578,10861
80,11027,237.37377690673082,930.8688129860132,2,5578,10861
81,11027,222.2791207493027,930.8688129860132,2,5578,10861
