generation,id,novelty,score,species,parent1,parent2
0,21,40.26794386679072,109.71052393005493,2,-1,-1
1,275,28.038329273032375,67.15045992373574,2,135,21
2,275,23.603490195979337,67.15045992373574,2,135,21
3,567,45.54569914411375,57.84689389600796,5,285,396
4,567,32.135410825055246,57.84689389600796,2,285,396
5,567,31.21642237852963,57.84689389600796,3,285,396
6,989,22.384073104077256,58.36484511163011,5,567,567
7,567,23.00948167595989,57.84689389600796,5,285,396
8,989,20.737718920410124,58.36484511163011,5,567,567
9,989,25.327451807442472,58.36484511163011,5,567,567
10,1463,20.20681506298715,90.33041207447062,1,1314,1325
11,567,22.089162320834888,57.84689389600796,5,285,396
12,1463,23.950158730044574,90.33041207447062,1,1314,1325
13,1463,19.16124504313058,90.33041207447062,1,1314,1325
14,1463,17.5207473901055,90.33041207447062,1,1314,1325
15,1463,17.945868470232572,90.33041207447062,5,1314,1325
16,2342,19.92343115746154,60.58769239645428,5,2183,2151
17,2517,28.69663724893066,349.51057043344673,2,2196,2379
18,2487,29.171729857607094,60.83624934619196,2,2346,2342
19,2487,25.447633232949467,60.83624934619196,2,2346,2342
20,2517,27.348714855612915,349.51057043344673,1,2196,2379
21,2487,29.02574939270504,60.83624934619196,1,2346,2342
22,2487,29.180647106320993,60.83624934619196,1,2346,2342
23,3340,30.56739629586366,61.7392687069453,1,3160,3160
24,2517,27.42992887739875,349.51057043344673,2,2196,2379
25,2517,28.274026456757188,349.51057043344673,2,2196,2379
26,2517,27.498182781988564,349.51057043344673,2,2196,2379
27,3340,36.005040003523206,61.7392687069453,1,3160,3160
28,3975,27.207326545652435,226.49427146677016,2,3899,2517
29,3975,29.909330597503086,226.49427146677016,2,3899,2517
30,3340,30.724983211919557,61.7392687069453,2,3160,3160
31,3975,25.95530292893153,226.49427146677016,2,3899,2517
32,3975,27.561598334463408,226.49427146677016,2,3899,2517
33,3340,27.723126348148302,61.7392687069453,1,3160,3160
34,3975,23.77398925771354,226.49427146677016,2,3899,2517
35,3340,25.595987290618385,61.7392687069453,1,3160,3160
36,3975,24.55796107998604,226.49427146677016,2,3899,2517
37,3975,25.032531002818835,226.49427146677016,2,3899,2517
38,3340,26.066176629575676,61.7392687069453,3,3160,3160
39,3340,24.540212685927944,61.7392687069453,3,3160,3160
40,5716,26.37662354387648,388.85467530333864,1,5301,5569
41,3340,27.950668609822788,61.7392687069453,3,3160,3160
42,5827,27.827575880579676,61.7392687069453,1,5746,3340
43,6168,24.127568444076797,332.7771796778067,1,5993,5301
44,6292,23.097679983924927,61.72972194870099,2,6133,6110
45,6292,25.039521127838416,61.72972194870099,3,6133,6110
46,6292,27.846512604855263,61.72972194870099,3,6133,6110
47,6292,25.94347790427855,61.72972194870099,3,6133,6110
48,6292,23.97557110683646,61.72972194870099,3,6133,6110
49,6946,25.26846706428463,228.1438895804372,3,6815,6606
50,7055,22.923044867007395,288.6298725358047,5,6975,6940
51,5827,31.201367365354145,61.7392687069453,4,5746,3340
52,5827,26.95251118997275,61.7392687069453,1,5746,3340
53,5827,30.00237693562954,61.7392687069453,3,5746,3340
54,5827,28.45693700879324,61.7392687069453,4,5746,3340
55,7826,28.176034103326902,59.83667914298527,4,7625,7623
56,7826,24.493642501009944,59.83667914298527,4,7625,7623
57,7826,24.765473541223166,59.83667914298527,1,7625,7623
58,7826,27.60630008029101,59.83667914298527,4,7625,7623
59,7826,23.734525262611896,59.83667914298527,1,7625,7623
60,7826,23.97398228864911,59.83667914298527,4,7625,7623
