generation,id,fitness,species,parent1,parent2
0,121,115.36405040864292,3,-1,-1
1,289,127.30233537477838,1,34,83
2,396,131.87415633594043,1,253,247
3,537,143.0790091310678,3,289,423
4,634,159.6113890015685,6,446,440
5,761,162.42186275101125,4,599,599
6,951,172.50269302443158,4,600,796
7,951,172.50269302443158,7,600,796
8,1168,189.5845894932082,6,1025,1031
9,1270,208.13285562460428,4,1083,1127
10,1469,239.4625059052849,6,1168,1168
11,1469,239.4625059052849,5,1168,1168
12,1765,245.74756093435425,5,1623,1469
13,1901,250.42341107488681,5,1765,1644
14,2049,321.2823374222683,5,1797,1888
15,2049,321.2823374222683,5,1797,1888
16,2049,321.2823374222683,5,1797,1888
17,2049,321.2823374222683,3,1797,1888
18,2049,321.2823374222683,3,1797,1888
19,2049,321.2823374222683,3,1797,1888
20,2049,321.2823374222683,5,1797,1888
21,3000,355.22561329386656,5,2859,2850
22,3000,355.22561329386656,5,2859,2850
23,3000,355.22561329386656,5,2859,2850
24,3344,380.43032475398155,5,3100,3230
25,3344,380.43032475398155,5,3100,3230
26,3642,529.7561890101045,4,3505,3513
27,3642,529.7561890101045,5,3505,3513
28,3642,529.7561890101045,7,3505,3513
29,4064,662.2246709039507,5,3344,3946
30,4064,662.2246709039507,5,3344,3946
31,4064,662.2246709039507,5,3344,3946
32,4064,662.2246709039507,5,3344,3946
33,4064,662.2246709039507,5,3344,3946
34,4064,662.2246709039507,5,3344,3946
35,4064,662.2246709039507,5,3344,3946
36,4064,662.2246709039507,5,3344,3946
37,4064,662.2246709039507,5,3344,3946
38,4064,662.2246709039507,5,3344,3946
39,4064,662.2246709039507,5,3344,3946
40,4064,662.2246709039507,5,3344,3946
41,5680,867.0330701690236,7,5552,5559
42,5680,867.0330701690236,7,5552,5559
43,5680,867.0330701690236,7,5552,5559
44,5680,867.0330701690236,7,5552,5559
45,5680,867.0330701690236,7,5552,5559
46,5680,867.0330701690236,7,5552,5559
47,5680,867.0330701690236,7,5552,5559
48,5680,867.0330701690236,7,5552,5559
49,5680,867.0330701690236,7,5552,5559
50,5680,867.0330701690236,7,5552,5559
51,5680,867.0330701690236,7,5552,5559
52,5680,867.0330701690236,7,5552,5559
53,5680,867.0330701690236,7,5552,5559
54,5680,867.0330701690236,7,5552,5559
55,5680,867.0330701690236,7,5552,5559
56,5680,867.0330701690236,7,5552,5559
57,5680,867.0330701690236,7,5552,5559
58,5680,867.0330701690236,7,5552,5559
59,8144,1028.1487947683772,7,8009,5680
60,8144,1028.1487947683772,7,8009,5680
61,8144,1028.1487947683772,7,8009,5680
62,8144,1028.1487947683772,7,8009,5680
63,8144,1028.1487947683772,7,8009,5680
64,8144,1028.1487947683772,7,8009,5680
65,8144,1028.1487947683772,7,8009,5680
66,8144,1028.1487947683772,7,8009,5680
67,8144,1028.1487947683772,7,8009,5680
68,8144,1028.1487947683772,7,8009,5680
69,8144,1028.1487947683772,7,8009,5680
70,8144,1028.1487947683772,7,8009,5680
71,8144,1028.1487947683772,7,8009,5680
72,8144,1028.1487947683772,7,8009,5680
73,8144,1028.1487947683772,7,8009,5680
74,8144,1028.1487947683772,7,8009,5680
75,8144,1028.1487947683772,7,8009,5680
76,8144,1028.1487947683772,7,8009,5680
77,8144,1028.1487947683772,7,8009,5680
78,8144,1028.1487947683772,7,8009,5680
79,8144,1028.1487947683772,7,8009,5680
80,8144,1028.1487947683772,7,8009,5680
81,8144,1028.1487947683772,7,8009,5680
82,11168,1028.1487947683772,7,11027,8144
83,8144,1028.1487947683772,7,8009,5680
84,8144,1028.1487947683772,7,8009,5680
85,8144,1028.1487947683772,7,8009,5680
86,8144,1028.1487947683772,7,8009,5680
87,8144,1028.1487947683772,7,8009,5680
88,8144,1028.1487947683772,7,8009,5680
89,8144,1028.1487947683772,7,8009,5680
90,8144,1028.1487947683772,7,8009,5680
91,8144,1028.1487947683772,7,8009,5680
92,8144,1028.1487947683772,7,8009,5680
93,8144,1028.1487947683772,7,8009,5680
94,8144,1028.1487947683772,7,8009,5680
95,8144,1028.1487947683772,7,8009,5680
96,8144,1028.1487947683772,7,8009,5680
97,8144,1028.1487947683772,7,8009,5680
98,8144,1028.1487947683772,7,8009,5680
99,8144,1028.1487947683772,7,8009,5680
100,8144,1028.1487947683772,7,8009,5680
101,8144,1028.1487947683772,7,8009,5680
102,8144,1028.1487947683772,7,8009,5680
103,8144,1028.1487947683772,7,8009,5680
104,8144,1028.1487947683772,7,8009,5680
105,8144,1028.1487947683772,7,8009,5680
106,8144,1028.1487947683772,7,8009,5680
107,8144,1028.1487947683772,7,8009,5680
108,8144,1028.1487947683772,7,8009,5680
109,8144,1028.1487947683772,7,8009,5680
110,8144,1028.1487947683772,7,8009,5680
111,8144,1028.1487947683772,7,8009,5680
112,8144,1028.1487947683772,7,8009,5680
113,8144,1028.1487947683772,7,8009,5680
114,8144,1028.1487947683772,7,8009,5680
115,8144,1028.1487947683772,7,8009,5680
116,8144,1028.1487947683772,7,8009,5680
117,8144,1028.1487947683772,7,8009,5680
118,8144,1028.1487947683772,7,8009,5680
119,8144,1028.1487947683772,7,8009,5680
120,8144,1028.1487947683772,7,8009,5680
121,8144,1028.1487947683772,7,8009,5680
122,8144,1028.1487947683772,7,8009,5680
123,11168,1028.1487947683772,7,11027,8144
124,8144,1028.1487947683772,7,8009,5680
125,8144,1028.1487947683772,7,8009,5680
126,8144,1028.1487947683772,7,8009,5680
127,8144,1028.1487947683772,7,8009,5680
128,8144,1028.1487947683772,7,8009,5680
129,17843,1267.3830870860875,7,8144,17655
130,17843,1267.3830870860875,7,8144,17655
131,17843,1267.3830870860875,7,8144,17655
132,17843,1267.3830870860875,7,8144,17655
133,17843,1267.3830870860875,7,8144,17655
134,17843,1267.3830870860875,4,8144,17655
135,17843,1267.3830870860875,4,8144,17655
136,17843,1267.3830870860875,4,8144,17655
137,17843,1267.3830870860875,4,8144,17655
138,17843,1267.3830870860875,4,8144,17655
139,17843,1267.3830870860875,4,8144,17655
140,17843,1267.3830870860875,4,8144,17655
141,17843,1267.3830870860875,4,8144,17655
142,17843,1267.3830870860875,4,8144,17655
143,17843,1267.3830870860875,4,8144,17655
144,17843,1267.3830870860875,4,8144,17655
145,17843,1267.3830870860875,4,8144,17655
146,20351,1362.7080809577706,4,17843,20185
147,20351,1362.7080809577706,4,17843,20185
148,20351,1362.7080809577706,4,17843,20185
149,20351,1362.7080809577706,4,17843,20185
150,20351,1362.7080809577706,4,17843,20185
151,21027,5018.809496632886,4,20931,20944
152,21027,5018.809496632886,4,20931,20944
153,21027,5018.809496632886,4,20931,20944
154,21027,5018.809496632886,7,20931,20944
155,21027,5018.809496632886,7,20931,20944
156,21027,5018.809496632886,7,20931,20944
157,21027,5018.809496632886,7,20931,20944
158,21027,5018.809496632886,7,20931,20944
159,21027,5018.809496632886,7,20931,20944
160,21027,5018.809496632886,7,20931,20944
161,21027,5018.809496632886,7,20931,20944
162,21027,5018.809496632886,7,20931,20944
163,21027,5018.809496632886,7,20931,20944
164,21027,5018.809496632886,7,20931,20944
165,21027,5018.809496632886,7,20931,20944
166,21027,5018.809496632886,7,20931,20944
167,21027,5018.809496632886,7,20931,20944
168,21027,5018.809496632886,4,20931,20944
169,21027,5018.809496632886,4,20931,20944
170,21027,5018.809496632886,4,20931,20944
171,21027,5018.809496632886,4,20931,20944
172,21027,5018.809496632886,4,20931,20944
173,21027,5018.809496632886,4,20931,20944
174,21027,5018.809496632886,4,20931,20944
175,21027,5018.809496632886,4,20931,20944
176,21027,5018.809496632886,4,20931,20944
177,21027,5018.809496632886,4,20931,20944
178,21027,5018.809496632886,4,20931,20944
179,21027,5018.809496632886,4,20931,20944
180,21027,5018.809496632886,4,20931,20944
181,21027,5018.809496632886,4,20931,20944
182,21027,5018.809496632886,4,20931,20944
183,21027,5018.809496632886,4,20931,20944
184,21027,5018.809496632886,4,20931,20944
185,21027,5018.809496632886,4,20931,20944
186,21027,5018.809496632886,4,20931,20944
187,21027,5018.809496632886,4,20931,20944
188,21027,5018.809496632886,4,20931,20944
189,21027,5018.809496632886,4,20931,20944
190,21027,5018.809496632886,4,20931,20944
191,21027,5018.809496632886,4,20931,20944
192,21027,5018.809496632886,4,20931,20944
193,21027,5018.809496632886,4,20931,20944
194,21027,5018.809496632886,4,20931,20944
195,21027,5018.809496632886,4,20931,20944
196,21027,5018.809496632886,4,20931,20944
197,21027,5018.809496632886,4,20931,20944
198,21027,5018.809496632886,4,20931,20944
199,21027,5018.809496632886,4,20931,20944
200,21027,5018.809496632886,4,20931,20944
201,21027,5018.809496632886,4,20931,20944
202,21027,5018.809496632886,4,20931,20944
203,21027,5018.809496632886,4,20931,20944
204,21027,5018.809496632886,4,20931,20944
205,21027,5018.809496632886,4,20931,20944
206,21027,5018.809496632886,4,20931,20944
207,21027,5018.809496632886,4,20931,20944
208,29257,8412.143614700783,4,21027,29142
209,29257,8412.143614700783,4,21027,29142
210,29257,8412.143614700783,4,21027,29142
211,29257,8412.143614700783,4,21027,29142
212,29257,8412.143614700783,4,21027,29142
213,29257,8412.143614700783,4,21027,29142
214,29257,8412.143614700783,4,21027,29142
215,29257,8412.143614700783,4,21027,29142
216,29257,8412.143614700783,4,21027,29142
217,29257,8412.143614700783,4,21027,29142
218,29257,8412.143614700783,4,21027,29142
219,29257,8412.143614700783,4,21027,29142
220,29257,8412.143614700783,4,21027,29142
221,29257,8412.143614700783,4,21027,29142
222,29257,8412.143614700783,4,21027,29142
223,29257,8412.143614700783,4,21027,29142
224,29257,8412.143614700783,4,21027,29142
225,29257,8412.143614700783,4,21027,29142
226,29257,8412.143614700783,4,21027,29142
227,29257,8412.143614700783,4,21027,29142
228,29257,8412.143614700783,4,21027,29142
229,29257,8412.143614700783,4,21027,29142
230,29257,8412.143614700783,4,21027,29142
231,29257,8412.143614700783,4,21027,29142
232,29257,8412.143614700783,4,21027,29142
