generation,id,fitness,species,parent1,parent2
0,73,153.46159184322153,4,-1,-1
1,272,184.8173375942355,4,73,94
2,272,184.8173375942355,4,73,94
3,272,184.8173375942355,4,73,94
4,272,184.8173375942355,4,73,94
5,764,189.98126845230735,1,431,659
6,934,199.79489112753413,3,808,656
7,1078,213.35906504746671,3,958,656
8,1078,213.35906504746671,1,958,656
9,1353,294.161223839666,1,1242,1228
10,1353,294.161223839666,3,1242,1228
11,1353,294.161223839666,1,1242,1228
12,1353,294.161223839666,2,1242,1228
13,1954,351.64078445234526,2,1808,1353
14,1954,351.64078445234526,2,1808,1353
15,1954,351.64078445234526,2,1808,1353
16,1954,351.64078445234526,3,1808,1353
17,1954,351.64078445234526,3,1808,1353
18,1954,351.64078445234526,3,1808,1353
19,1954,351.64078445234526,3,1808,1353
20,1954,351.64078445234526,3,1808,1353
21,3038,521.101866258661,3,2917,2943
22,3038,521.101866258661,3,2917,2943
23,3038,521.101866258661,3,2917,2943
24,3038,521.101866258661,3,2917,2943
25,3038,521.101866258661,3,2917,2943
26,3038,521.101866258661,3,2917,2943
27,3038,521.101866258661,3,2917,2943
28,3038,521.101866258661,3,2917,2943
29,3038,521.101866258661,3,2917,2943
30,3038,521.101866258661,3,2917,2943
31,3038,521.101866258661,3,2917,2943
32,3038,521.101866258661,3,2917,2943
33,3038,521.101866258661,3,2917,2943
34,3038,521.101866258661,3,2917,2943
35,3038,521.101866258661,3,2917,2943
36,3038,521.101866258661,3,2917,2943
37,3038,521.101866258661,3,2917,2943
38,3038,521.101866258661,3,2917,2943
39,3038,521.101866258661,3,2917,2943
40,3038,521.101866258661,3,2917,2943
41,3038,521.101866258661,3,2917,2943
42,3038,521.101866258661,3,2917,2943
43,3038,521.101866258661,5,2917,2943
44,3038,521.101866258661,5,2917,2943
45,3038,521.101866258661,5,2917,2943
46,3038,521.101866258661,5,2917,2943
47,3038,521.101866258661,5,2917,2943
48,3038,521.101866258661,5,2917,2943
49,3038,521.101866258661,5,2917,2943
50,3038,521.101866258661,5,2917,2943
51,3038,521.101866258661,5,2917,2943
52,3038,521.101866258661,5,2917,2943
53,3038,521.101866258661,5,2917,2943
54,3038,521.101866258661,5,2917,2943
55,3038,521.101866258661,5,2917,2943
56,3038,521.101866258661,5,2917,2943
57,3038,521.101866258661,5,2917,2943
58,3038,521.101866258661,5,2917,2943
59,3038,521.101866258661,5,2917,2943
60,3038,521.101866258661,5,2917,2943
61,3038,521.101866258661,5,2917,2943
62,3038,521.101866258661,5,2917,2943
63,3038,521.101866258661,5,2917,2943
64,3038,521.101866258661,5,2917,2943
65,3038,521.101866258661,5,2917,2943
66,3038,521.101866258661,5,2917,2943
67,3038,521.101866258661,5,2917,2943
68,3038,521.101866258661,5,2917,2943
69,3038,521.101866258661,5,2917,2943
70,3038,521.101866258661,5,2917,2943
71,3038,521.101866258661,5,2917,2943
72,3038,521.101866258661,5,2917,2943
73,3038,521.101866258661,5,2917,2943
74,3038,521.101866258661,5,2917,2943
75,3038,521.101866258661,5,2917,2943
76,3038,521.101866258661,5,2917,2943
77,3038,521.101866258661,5,2917,2943
78,3038,521.101866258661,5,2917,2943
79,3038,521.101866258661,5,2917,2943
80,3038,521.101866258661,5,2917,2943
81,3038,521.101866258661,5,2917,2943
82,3038,521.101866258661,5,2917,2943
83,3038,521.101866258661,5,2917,2943
84,3038,521.101866258661,5,2917,2943
85,3038,521.101866258661,7,2917,2943
86,3038,521.101866258661,7,2917,2943
87,3038,521.101866258661,7,2917,2943
88,3038,521.101866258661,7,2917,2943
89,3038,521.101866258661,7,2917,2943
90,3038,521.101866258661,7,2917,2943
91,3038,521.101866258661,7,2917,2943
92,3038,521.101866258661,7,2917,2943
93,3038,521.101866258661,7,2917,2943
94,3038,521.101866258661,7,2917,2943
95,3038,521.101866258661,7,2917,2943
96,3038,521.101866258661,7,2917,2943
97,3038,521.101866258661,7,2917,2943
98,3038,521.101866258661,7,2917,2943
99,3038,521.101866258661,7,2917,2943
100,3038,521.101866258661,7,2917,2943
101,3038,521.101866258661,7,2917,2943
102,3038,521.101866258661,7,2917,2943
103,3038,521.101866258661,7,2917,2943
104,3038,521.101866258661,7,2917,2943
105,3038,521.101866258661,7,2917,2943
106,3038,521.101866258661,7,2917,2943
107,3038,521.101866258661,7,2917,2943
108,3038,521.101866258661,7,2917,2943
109,3038,521.101866258661,7,2917,2943
110,3038,521.101866258661,7,2917,2943
111,3038,521.101866258661,7,2917,2943
112,3038,521.101866258661,7,2917,2943
113,3038,521.101866258661,7,2917,2943
114,3038,521.101866258661,7,2917,2943
115,3038,521.101866258661,7,2917,2943
116,3038,521.101866258661,7,2917,2943
117,3038,521.101866258661,7,2917,2943
118,3038,521.101866258661,7,2917,2943
119,3038,521.101866258661,7,2917,2943
120,3038,521.101866258661,7,2917,2943
121,3038,521.101866258661,7,2917,2943
122,3038,521.101866258661,7,2917,2943
123,3038,521.101866258661,7,2917,2943
124,3038,521.101866258661,7,2917,2943
125,3038,521.101866258661,7,2917,2943
126,3038,521.101866258661,7,2917,2943
127,3038,521.101866258661,7,2917,2943
128,3038,521.101866258661,7,2917,2943
129,3038,521.101866258661,7,2917,2943
130,3038,521.101866258661,7,2917,2943
131,3038,521.101866258661,7,2917,2943
132,3038,521.101866258661,7,2917,2943
133,3038,521.101866258661,7,2917,2943
134,3038,521.101866258661,7,2917,2943
135,3038,521.101866258661,7,2917,2943
136,3038,521.101866258661,7,2917,2943
137,19633,548.5390281068179,6,13202,19522
138,19633,548.5390281068179,6,13202,19522
139,19633,548.5390281068179,6,13202,19522
140,19633,548.5390281068179,6,13202,19522
141,19633,548.5390281068179,6,13202,19522
142,19633,548.5390281068179,6,13202,19522
143,19633,548.5390281068179,6,13202,19522
144,19633,548.5390281068179,6,13202,19522
145,19633,548.5390281068179,6,13202,19522
146,19633,548.5390281068179,6,13202,19522
147,19633,548.5390281068179,6,13202,19522
148,19633,548.5390281068179,6,13202,19522
149,19633,548.5390281068179,6,13202,19522
150,19633,548.5390281068179,6,13202,19522
151,19633,548.5390281068179,6,13202,19522
152,19633,548.5390281068179,6,13202,19522
153,19633,548.5390281068179,6,13202,19522
154,19633,548.5390281068179,6,13202,19522
155,19633,548.5390281068179,6,13202,19522
156,19633,548.5390281068179,6,13202,19522
157,19633,548.5390281068179,6,13202,19522
158,19633,548.5390281068179,6,13202,19522
159,19633,548.5390281068179,6,13202,19522
160,19633,548.5390281068179,6,13202,19522
161,23067,596.4824836899123,8,22637,22933
162,23067,596.4824836899123,8,22637,22933
163,23067,596.4824836899123,8,22637,22933
164,23067,596.4824836899123,8,22637,22933
165,23683,632.1703493449097,8,23576,23059
166,23683,632.1703493449097,8,23576,23059
167,23683,632.1703493449097,8,23576,23059
168,23683,632.1703493449097,8,23576,23059
169,23683,632.1703493449097,8,23576,23059
170,23683,632.1703493449097,8,23576,23059
171,23683,632.1703493449097,8,23576,23059
172,23683,632.1703493449097,8,23576,23059
173,23683,632.1703493449097,8,23576,23059
174,23683,632.1703493449097,8,23576,23059
175,23683,632.1703493449097,8,23576,23059
176,23683,632.1703493449097,8,23576,23059
177,23683,632.1703493449097,8,23576,23059
178,23683,632.1703493449097,8,23576,23059
179,23683,632.1703493449097,8,23576,23059
180,23683,632.1703493449097,8,23576,23059
181,23683,632.1703493449097,8,23576,23059
182,23683,632.1703493449097,8,23576,23059
183,23683,632.1703493449097,8,23576,23059
184,23683,632.1703493449097,8,23576,23059
185,23683,632.1703493449097,8,23576,23059
186,23683,632.1703493449097,8,23576,23059
187,23683,632.1703493449097,8,23576,23059
188,23683,632.1703493449097,8,23576,23059
189,23683,632.1703493449097,8,23576,23059
190,23683,632.1703493449097,8,23576,23059
191,23683,632.1703493449097,8,23576,23059
192,23683,632.1703493449097,8,23576,23059
193,23683,632.1703493449097,8,23576,23059
194,23683,632.1703493449097,8,23576,23059
195,23683,632.1703493449097,8,23576,23059
196,23683,632.1703493449097,8,23576,23059
197,23683,632.1703493449097,8,23576,23059
198,23683,632.1703493449097,8,23576,23059
199,28602,732.4689948772865,8,28463,28460
200,28602,732.4689948772865,8,28463,28460
201,28602,732.4689948772865,8,28463,28460
202,28602,732.4689948772865,8,28463,28460
203,28602,732.4689948772865,8,28463,28460
204,28602,732.4689948772865,8,28463,28460
205,29354,732.4689948772865,8,28602,28602
206,29354,732.4689948772865,8,28602,28602
207,29354,732.4689948772865,8,28602,28602
208,29354,732.4689948772865,8,28602,28602
209,29354,732.4689948772865,8,28602,28602
210,29354,732.4689948772865,8,28602,28602
211,29354,732.4689948772865,8,28602,28602
212,29354,732.4689948772865,8,28602,28602
213,29354,732.4689948772865,8,28602,28602
214,30773,814.3520468198269,8,30637,30642
215,30773,814.3520468198269,8,30637,30642
216,30773,814.3520468198269,8,30637,30642
217,30773,814.3520468198269,8,30637,30642
218,30773,814.3520468198269,8,30637,30642
219,30773,814.3520468198269,8,30637,30642
220,30773,814.3520468198269,8,30637,30642
221,30773,814.3520468198269,8,30637,30642
222,30773,814.3520468198269,8,30637,30642
223,30773,814.3520468198269,8,30637,30642
224,30773,814.3520468198269,8,30637,30642
225,30773,814.3520468198269,8,30637,30642
226,30773,814.3520468198269,8,30637,30642
227,30773,814.3520468198269,8,30637,30642
228,30773,814.3520468198269,8,30637,30642
229,30773,814.3520468198269,8,30637,30642
230,30773,814.3520468198269,8,30637,30642
231,30773,814.3520468198269,8,30637,30642
232,30773,814.3520468198269,8,30637,30642
233,30773,814.3520468198269,8,30637,30642
234,30773,814.3520468198269,8,30637,30642
235,30773,814.3520468198269,8,30637,30642
236,30773,814.3520468198269,8,30637,30642
237,30773,814.3520468198269,8,30637,30642
238,30773,814.3520468198269,8,30637,30642
239,30773,814.3520468198269,8,30637,30642
240,30773,814.3520468198269,8,30637,30642
241,30773,814.3520468198269,8,30637,30642
242,30773,814.3520468198269,8,30637,30642
243,30773,814.3520468198269,8,30637,30642
244,30773,814.3520468198269,8,30637,30642
245,30773,814.3520468198269,8,30637,30642
246,30773,814.3520468198269,8,30637,30642
247,30773,814.3520468198269,8,30637,30642
248,30773,814.3520468198269,8,30637,30642
249,30773,814.3520468198269,8,30637,30642
250,30773,814.3520468198269,8,30637,30642
251,30773,814.3520468198269,8,30637,30642
252,30773,814.3520468198269,8,30637,30642
253,30773,814.3520468198269,8,30637,30642
254,30773,814.3520468198269,8,30637,30642
255,30773,814.3520468198269,8,30637,30642
256,30773,814.3520468198269,8,30637,30642
257,30773,814.3520468198269,9,30637,30642
258,30773,814.3520468198269,8,30637,30642
259,30773,814.3520468198269,8,30637,30642
260,30773,814.3520468198269,8,30637,30642
261,30773,814.3520468198269,8,30637,30642
262,30773,814.3520468198269,8,30637,30642
263,30773,814.3520468198269,8,30637,30642
264,30773,814.3520468198269,8,30637,30642
265,30773,814.3520468198269,8,30637,30642
266,30773,814.3520468198269,8,30637,30642
267,30773,814.3520468198269,8,30637,30642
268,38650,867.0600156597329,8,38504,38536
269,38650,867.0600156597329,8,38504,38536
270,38650,867.0600156597329,8,38504,38536
271,38650,867.0600156597329,8,38504,38536
272,38650,867.0600156597329,8,38504,38536
273,39359,999.5035555731532,9,38141,38141
274,39359,999.5035555731532,9,38141,38141
275,39359,999.5035555731532,9,38141,38141
276,39359,999.5035555731532,9,38141,38141
277,39359,999.5035555731532,9,38141,38141
278,39359,999.5035555731532,9,38141,38141
279,39359,999.5035555731532,9,38141,38141
280,39359,999.5035555731532,9,38141,38141
281,39359,999.5035555731532,9,38141,38141
282,39359,999.5035555731532,9,38141,38141
283,39359,999.5035555731532,9,38141,38141
284,39359,999.5035555731532,9,38141,38141
285,39359,999.5035555731532,9,38141,38141
286,39359,999.5035555731532,9,38141,38141
287,39359,999.5035555731532,9,38141,38141
288,39359,999.5035555731532,9,38141,38141
289,39359,999.5035555731532,9,38141,38141
290,39359,999.5035555731532,9,38141,38141
291,39359,999.5035555731532,9,38141,38141
292,39359,999.5035555731532,9,38141,38141
293,39359,999.5035555731532,9,38141,38141
294,39359,999.5035555731532,9,38141,38141
295,39359,999.5035555731532,9,38141,38141
296,39359,999.5035555731532,9,38141,38141
297,39359,999.5035555731532,9,38141,38141
298,39359,999.5035555731532,9,38141,38141
299,39359,999.5035555731532,9,38141,38141
300,39359,999.5035555731532,9,38141,38141
301,39359,999.5035555731532,9,38141,38141
302,39359,999.5035555731532,9,38141,38141
