generation,id,fitness,species,parent1,parent2
0,135,101.26023133485674,3,-1,-1
1,258,121.55453323739702,2,75,14
2,416,127.24932317067153,6,210,14
3,525,139.01127087293324,2,353,416
4,687,202.17996231857884,1,490,352
5,796,221.49066609148707,4,594,614
6,796,221.49066609148707,4,594,614
7,796,221.49066609148707,4,594,614
8,796,221.49066609148707,4,594,614
9,1373,304.80215294635275,4,1237,796
10,1496,312.6377880276416,2,1361,1373
11,1619,400.0361374263247,2,1373,796
12,1619,400.0361374263247,2,1373,796
13,1619,400.0361374263247,3,1373,796
14,1619,400.0361374263247,2,1373,796
15,1619,400.0361374263247,1,1373,796
16,2306,411.5057099906668,5,1576,1619
17,2306,411.5057099906668,5,1576,1619
18,2306,411.5057099906668,5,1576,1619
19,2306,411.5057099906668,3,1576,1619
20,2849,494.151554637023,3,2711,2653
21,2849,494.151554637023,3,2711,2653
22,3129,832.1373240099362,2,2891,2977
23,3129,832.1373240099362,2,2891,2977
24,3129,832.1373240099362,3,2891,2977
25,3129,832.1373240099362,5,2891,2977
26,3129,832.1373240099362,5,2891,2977
27,3129,832.1373240099362,5,2891,2977
28,3129,832.1373240099362,5,2891,2977
29,3129,832.1373240099362,5,2891,2977
30,3129,832.1373240099362,5,2891,2977
31,3129,832.1373240099362,5,2891,2977
32,3129,832.1373240099362,3,2891,2977
33,3129,832.1373240099362,5,2891,2977
34,3129,832.1373240099362,1,2891,2977
35,3129,832.1373240099362,1,2891,2977
36,3129,832.1373240099362,1,2891,2977
37,3129,832.1373240099362,1,2891,2977
38,3129,832.1373240099362,5,2891,2977
39,3129,832.1373240099362,5,2891,2977
40,3129,832.1373240099362,5,2891,2977
41,3129,832.1373240099362,5,2891,2977
42,3129,832.1373240099362,5,2891,2977
43,3129,832.1373240099362,5,2891,2977
44,3129,832.1373240099362,5,2891,2977
45,3129,832.1373240099362,5,2891,2977
46,3129,832.1373240099362,2,2891,2977
47,3129,832.1373240099362,2,2891,2977
48,3129,832.1373240099362,2,2891,2977
49,3129,832.1373240099362,1,2891,2977
50,3129,832.1373240099362,1,2891,2977
51,3129,832.1373240099362,5,2891,2977
52,3129,832.1373240099362,1,2891,2977
53,3129,832.1373240099362,1,2891,2977
54,7441,918.8592856723195,3,7342,7352
55,7441,918.8592856723195,3,7342,7352
56,7441,918.8592856723195,3,7342,7352
57,7441,918.8592856723195,3,7342,7352
58,7441,918.8592856723195,3,7342,7352
59,7441,918.8592856723195,3,7342,7352
60,7441,918.8592856723195,5,7342,7352
61,7441,918.8592856723195,5,7342,7352
62,7441,918.8592856723195,7,7342,7352
63,7441,918.8592856723195,7,7342,7352
64,7441,918.8592856723195,7,7342,7352
65,7441,918.8592856723195,7,7342,7352
66,7441,918.8592856723195,7,7342,7352
67,7441,918.8592856723195,7,7342,7352
68,7441,918.8592856723195,7,7342,7352
69,7441,918.8592856723195,7,7342,7352
70,7441,918.8592856723195,7,7342,7352
71,7441,918.8592856723195,7,7342,7352
72,7441,918.8592856723195,7,7342,7352
73,7441,918.8592856723195,7,7342,7352
74,7441,918.8592856723195,7,7342,7352
75,7441,918.8592856723195,7,7342,7352
76,7441,918.8592856723195,7,7342,7352
77,7441,918.8592856723195,7,7342,7352
78,7441,918.8592856723195,7,7342,7352
79,7441,918.8592856723195,7,7342,7352
80,7441,918.8592856723195,7,7342,7352
81,7441,918.8592856723195,7,7342,7352
82,7441,918.8592856723195,7,7342,7352
83,7441,918.8592856723195,7,7342,7352
84,7441,918.8592856723195,7,7342,7352
85,7441,918.8592856723195,7,7342,7352
86,7441,918.8592856723195,7,7342,7352
87,7441,918.8592856723195,7,7342,7352
88,7441,918.8592856723195,7,7342,7352
89,7441,918.8592856723195,7,7342,7352
90,7441,918.8592856723195,7,7342,7352
91,7441,918.8592856723195,7,7342,7352
92,7441,918.8592856723195,7,7342,7352
93,7441,918.8592856723195,7,7342,7352
94,7441,918.8592856723195,7,7342,7352
95,7441,918.8592856723195,7,7342,7352
96,7441,918.8592856723195,7,7342,7352
97,7441,918.8592856723195,7,7342,7352
98,7441,918.8592856723195,7,7342,7352
99,7441,918.8592856723195,7,7342,7352
100,7441,918.8592856723195,7,7342,7352
101,7441,918.8592856723195,7,7342,7352
102,7441,918.8592856723195,7,7342,7352
103,7441,918.8592856723195,7,7342,7352
104,7441,918.8592856723195,7,7342,7352
105,7441,918.8592856723195,7,7342,7352
106,7441,918.8592856723195,7,7342,7352
107,7441,918.8592856723195,7,7342,7352
108,7441,918.8592856723195,7,7342,7352
109,7441,918.8592856723195,7,7342,7352
110,7441,918.8592856723195,7,7342,7352
111,7441,918.8592856723195,7,7342,7352
112,7441,918.8592856723195,7,7342,7352
113,7441,918.8592856723195,7,7342,7352
114,7441,918.8592856723195,7,7342,7352
115,7441,918.8592856723195,7,7342,7352
116,7441,918.8592856723195,7,7342,7352
117,7441,918.8592856723195,7,7342,7352
118,7441,918.8592856723195,7,7342,7352
119,7441,918.8592856723195,7,7342,7352
120,7441,918.8592856723195,7,7342,7352
121,7441,918.8592856723195,7,7342,7352
122,7441,918.8592856723195,7,7342,7352
123,7441,918.8592856723195,7,7342,7352
124,7441,918.8592856723195,7,7342,7352
125,7441,918.8592856723195,7,7342,7352
126,7441,918.8592856723195,7,7342,7352
127,7441,918.8592856723195,7,7342,7352
128,7441,918.8592856723195,7,7342,7352
129,7441,918.8592856723195,7,7342,7352
130,7441,918.8592856723195,7,7342,7352
131,7441,918.8592856723195,7,7342,7352
132,7441,918.8592856723195,7,7342,7352
133,7441,918.8592856723195,7,7342,7352
134,7441,918.8592856723195,7,7342,7352
135,7441,918.8592856723195,7,7342,7352
136,7441,918.8592856723195,7,7342,7352
137,7441,918.8592856723195,7,7342,7352
138,7441,918.8592856723195,7,7342,7352
139,7441,918.8592856723195,7,7342,7352
140,7441,918.8592856723195,7,7342,7352
141,7441,918.8592856723195,7,7342,7352
142,7441,918.8592856723195,7,7342,7352
143,7441,918.8592856723195,7,7342,7352
144,7441,918.8592856723195,7,7342,7352
145,7441,918.8592856723195,7,7342,7352
146,7441,918.8592856723195,7,7342,7352
147,7441,918.8592856723195,8,7342,7352
148,7441,918.8592856723195,8,7342,7352
149,7441,918.8592856723195,8,7342,7352
150,7441,918.8592856723195,8,7342,7352
151,7441,918.8592856723195,8,7342,7352
152,7441,918.8592856723195,8,7342,7352
153,7441,918.8592856723195,8,7342,7352
154,7441,918.8592856723195,8,7342,7352
155,7441,918.8592856723195,8,7342,7352
156,7441,918.8592856723195,8,7342,7352
157,7441,918.8592856723195,8,7342,7352
158,7441,918.8592856723195,8,7342,7352
159,7441,918.8592856723195,8,7342,7352
160,7441,918.8592856723195,8,7342,7352
161,7441,918.8592856723195,8,7342,7352
162,7441,918.8592856723195,8,7342,7352
163,7441,918.8592856723195,8,7342,7352
164,7441,918.8592856723195,8,7342,7352
165,7441,918.8592856723195,8,7342,7352
166,7441,918.8592856723195,8,7342,7352
167,7441,918.8592856723195,8,7342,7352
168,7441,918.8592856723195,8,7342,7352
169,7441,918.8592856723195,8,7342,7352
170,7441,918.8592856723195,8,7342,7352
171,7441,918.8592856723195,8,7342,7352
172,7441,918.8592856723195,8,7342,7352
173,7441,918.8592856723195,8,7342,7352
174,7441,918.8592856723195,8,7342,7352
175,7441,918.8592856723195,8,7342,7352
176,7441,918.8592856723195,8,7342,7352
177,7441,918.8592856723195,8,7342,7352
178,25036,1061.9220480083254,8,24893,7441
179,25036,1061.9220480083254,8,24893,7441
180,25036,1061.9220480083254,8,24893,7441
181,25036,1061.9220480083254,8,24893,7441
182,25642,1100.7212919899368,8,25483,25036
183,25642,1100.7212919899368,8,25483,25036
184,25642,1100.7212919899368,8,25483,25036
185,25642,1100.7212919899368,8,25483,25036
186,25642,1100.7212919899368,8,25483,25036
187,25642,1100.7212919899368,8,25483,25036
188,25642,1100.7212919899368,8,25483,25036
189,25642,1100.7212919899368,8,25483,25036
190,25642,1100.7212919899368,8,25483,25036
191,25642,1100.7212919899368,8,25483,25036
192,25642,1100.7212919899368,8,25483,25036
193,25642,1100.7212919899368,8,25483,25036
194,25642,1100.7212919899368,8,25483,25036
195,25642,1100.7212919899368,8,25483,25036
196,25642,1100.7212919899368,8,25483,25036
197,25642,1100.7212919899368,8,25483,25036
198,27934,4119.309124134878,8,27778,25036
199,27934,4119.309124134878,8,27778,25036
200,27934,4119.309124134878,8,27778,25036
201,27934,4119.309124134878,8,27778,25036
202,27934,4119.309124134878,8,27778,25036
203,27934,4119.309124134878,8,27778,25036
204,27934,4119.309124134878,8,27778,25036
205,27934,4119.309124134878,8,27778,25036
206,27934,4119.309124134878,8,27778,25036
207,27934,4119.309124134878,8,27778,25036
208,27934,4119.309124134878,8,27778,25036
209,27934,4119.309124134878,8,27778,25036
210,27934,4119.309124134878,8,27778,25036
211,27934,4119.309124134878,8,27778,25036
212,27934,4119.309124134878,8,27778,25036
213,27934,4119.309124134878,8,27778,25036
214,27934,4119.309124134878,8,27778,25036
215,27934,4119.309124134878,8,27778,25036
216,27934,4119.309124134878,8,27778,25036
217,27934,4119.309124134878,8,27778,25036
218,27934,4119.309124134878,10,27778,25036
219,27934,4119.309124134878,8,27778,25036
220,27934,4119.309124134878,10,27778,25036
221,27934,4119.309124134878,8,27778,25036
222,27934,4119.309124134878,10,27778,25036
223,27934,4119.309124134878,8,27778,25036
224,27934,4119.309124134878,10,27778,25036
225,27934,4119.309124134878,8,27778,25036
226,27934,4119.309124134878,10,27778,25036
227,27934,4119.309124134878,10,27778,25036
228,27934,4119.309124134878,10,27778,25036
229,27934,4119.309124134878,8,27778,25036
230,27934,4119.309124134878,8,27778,25036
231,27934,4119.309124134878,8,27778,25036
232,27934,4119.309124134878,8,27778,25036
233,27934,4119.309124134878,8,27778,25036
234,27934,4119.309124134878,8,27778,25036
235,27934,4119.309124134878,8,27778,25036
236,27934,4119.309124134878,8,27778,25036
237,27934,4119.309124134878,8,27778,25036
238,27934,4119.309124134878,8,27778,25036
239,27934,4119.309124134878,8,27778,25036
240,27934,4119.309124134878,8,27778,25036
241,27934,4119.309124134878,8,27778,25036
242,27934,4119.309124134878,8,27778,25036
243,27934,4119.309124134878,8,27778,25036
244,34465,6268.163971210199,8,34305,27934
245,34465,6268.163971210199,8,34305,27934
246,34465,6268.163971210199,8,34305,27934
247,34465,6268.163971210199,8,34305,27934
248,34465,6268.163971210199,8,34305,27934
249,35256,9329.212207973205,8,35094,35130
250,35256,9329.212207973205,8,35094,35130
251,35256,9329.212207973205,8,35094,35130
252,35256,9329.212207973205,8,35094,35130
