generation,id,fitness,species,parent1,parent2
0,150,157.6744214455901,6,-1,-1
1,216,192.00091769575073,1,18,105
2,216,192.00091769575073,1,18,105
3,216,192.00091769575073,6,18,105
4,216,192.00091769575073,6,18,105
5,216,192.00091769575073,1,18,105
6,216,192.00091769575073,6,18,105
7,216,192.00091769575073,2,18,105
8,216,192.00091769575073,2,18,105
9,216,192.00091769575073,3,18,105
10,216,192.00091769575073,2,18,105
11,216,192.00091769575073,2,18,105
12,216,192.00091769575073,3,18,105
13,216,192.00091769575073,3,18,105
14,216,192.00091769575073,3,18,105
15,216,192.00091769575073,3,18,105
16,2261,206.0691328080819,6,824,824
17,2418,221.97265712135294,1,2258,2132
18,2535,301.44678568206064,3,2431,2430
19,2535,301.44678568206064,3,2431,2430
20,2863,563.4348956818624,3,2697,2707
21,2863,563.4348956818624,2,2697,2707
22,2863,563.4348956818624,2,2697,2707
23,2863,563.4348956818624,2,2697,2707
24,2863,563.4348956818624,2,2697,2707
25,2863,563.4348956818624,2,2697,2707
26,2863,563.4348956818624,2,2697,2707
27,2863,563.4348956818624,2,2697,2707
28,2863,563.4348956818624,2,2697,2707
29,2863,563.4348956818624,2,2697,2707
30,2863,563.4348956818624,2,2697,2707
31,4337,762.0154890406018,2,2863,4220
32,4337,762.0154890406018,2,2863,4220
33,4337,762.0154890406018,2,2863,4220
34,4337,762.0154890406018,1,2863,4220
35,4337,762.0154890406018,1,2863,4220
36,4337,762.0154890406018,2,2863,4220
37,4337,762.0154890406018,1,2863,4220
38,4337,762.0154890406018,1,2863,4220
39,4337,762.0154890406018,1,2863,4220
40,4337,762.0154890406018,1,2863,4220
41,5634,817.169855516469,1,1045,2863
42,5634,817.169855516469,1,1045,2863
43,5960,911.8083760319942,1,4337,5848
44,6115,940.1041388161351,1,5970,5970
45,6115,940.1041388161351,1,5970,5970
46,6115,940.1041388161351,1,5970,5970
47,6115,940.1041388161351,1,5970,5970
48,6115,940.1041388161351,1,5970,5970
49,6115,940.1041388161351,1,5970,5970
50,6115,940.1041388161351,1,5970,5970
51,7094,968.637703629281,1,5960,5960
52,7094,968.637703629281,2,5960,5960
53,7094,968.637703629281,3,5960,5960
54,7094,968.637703629281,2,5960,5960
55,7636,2838.9494030250926,2,6115,7498
56,7636,2838.9494030250926,2,6115,7498
57,7636,2838.9494030250926,2,6115,7498
58,7636,2838.9494030250926,2,6115,7498
59,7636,2838.9494030250926,2,6115,7498
60,7636,2838.9494030250926,1,6115,7498
61,7636,2838.9494030250926,2,6115,7498
62,7636,2838.9494030250926,1,6115,7498
63,7636,2838.9494030250926,2,6115,7498
64,7636,2838.9494030250926,2,6115,7498
65,7636,2838.9494030250926,2,6115,7498
66,7636,2838.9494030250926,2,6115,7498
67,7636,2838.9494030250926,1,6115,7498
68,7636,2838.9494030250926,2,6115,7498
69,7636,2838.9494030250926,2,6115,7498
70,7636,2838.9494030250926,3,6115,7498
71,7636,2838.9494030250926,3,6115,7498
72,7636,2838.9494030250926,1,6115,7498
73,7636,2838.9494030250926,3,6115,7498
74,7636,2838.9494030250926,3,6115,7498
75,7636,2838.9494030250926,1,6115,7498
76,7636,2838.9494030250926,1,6115,7498
77,7636,2838.9494030250926,3,6115,7498
78,7636,2838.9494030250926,1,6115,7498
79,7636,2838.9494030250926,3,6115,7498
80,7636,2838.9494030250926,1,6115,7498
81,7636,2838.9494030250926,1,6115,7498
82,7636,2838.9494030250926,1,6115,7498
83,7636,2838.9494030250926,1,6115,7498
84,7636,2838.9494030250926,1,6115,7498
85,7636,2838.9494030250926,1,6115,7498
86,7636,2838.9494030250926,1,6115,7498
87,7636,2838.9494030250926,1,6115,7498
88,7636,2838.9494030250926,1,6115,7498
89,7636,2838.9494030250926,1,6115,7498
90,7636,2838.9494030250926,1,6115,7498
91,7636,2838.9494030250926,1,6115,7498
92,7636,2838.9494030250926,1,6115,7498
93,7636,2838.9494030250926,1,6115,7498
94,7636,2838.9494030250926,1,6115,7498
95,7636,2838.9494030250926,1,6115,7498
96,7636,2838.9494030250926,1,6115,7498
97,7636,2838.9494030250926,1,6115,7498
98,7636,2838.9494030250926,1,6115,7498
99,7636,2838.9494030250926,1,6115,7498
100,7636,2838.9494030250926,1,6115,7498
101,7636,2838.9494030250926,1,6115,7498
102,7636,2838.9494030250926,1,6115,7498
103,7636,2838.9494030250926,1,6115,7498
104,7636,2838.9494030250926,1,6115,7498
105,7636,2838.9494030250926,1,6115,7498
106,7636,2838.9494030250926,1,6115,7498
107,7636,2838.9494030250926,1,6115,7498
108,7636,2838.9494030250926,1,6115,7498
109,7636,2838.9494030250926,1,6115,7498
110,7636,2838.9494030250926,1,6115,7498
111,7636,2838.9494030250926,1,6115,7498
112,7636,2838.9494030250926,1,6115,7498
113,7636,2838.9494030250926,1,6115,7498
114,7636,2838.9494030250926,1,6115,7498
115,7636,2838.9494030250926,1,6115,7498
116,7636,2838.9494030250926,1,6115,7498
117,7636,2838.9494030250926,1,6115,7498
118,7636,2838.9494030250926,1,6115,7498
119,7636,2838.9494030250926,1,6115,7498
120,7636,2838.9494030250926,1,6115,7498
121,7636,2838.9494030250926,1,6115,7498
122,7636,2838.9494030250926,1,6115,7498
123,7636,2838.9494030250926,1,6115,7498
124,7636,2838.9494030250926,1,6115,7498
125,7636,2838.9494030250926,3,6115,7498
126,7636,2838.9494030250926,3,6115,7498
127,7636,2838.9494030250926,3,6115,7498
128,7636,2838.9494030250926,3,6115,7498
129,7636,2838.9494030250926,3,6115,7498
130,7636,2838.9494030250926,3,6115,7498
131,7636,2838.9494030250926,3,6115,7498
132,7636,2838.9494030250926,3,6115,7498
133,7636,2838.9494030250926,3,6115,7498
134,7636,2838.9494030250926,3,6115,7498
135,7636,2838.9494030250926,3,6115,7498
136,7636,2838.9494030250926,3,6115,7498
137,7636,2838.9494030250926,3,6115,7498
138,7636,2838.9494030250926,3,6115,7498
139,7636,2838.9494030250926,3,6115,7498
140,7636,2838.9494030250926,3,6115,7498
141,7636,2838.9494030250926,3,6115,7498
142,7636,2838.9494030250926,3,6115,7498
143,7636,2838.9494030250926,3,6115,7498
144,7636,2838.9494030250926,3,6115,7498
145,7636,2838.9494030250926,3,6115,7498
146,7636,2838.9494030250926,3,6115,7498
147,7636,2838.9494030250926,3,6115,7498
148,7636,2838.9494030250926,3,6115,7498
149,7636,2838.9494030250926,3,6115,7498
150,7636,2838.9494030250926,3,6115,7498
151,7636,2838.9494030250926,3,6115,7498
152,7636,2838.9494030250926,3,6115,7498
153,7636,2838.9494030250926,3,6115,7498
154,7636,2838.9494030250926,3,6115,7498
155,7636,2838.9494030250926,3,6115,7498
156,7636,2838.9494030250926,3,6115,7498
157,7636,2838.9494030250926,3,6115,7498
158,7636,2838.9494030250926,3,6115,7498
159,7636,2838.9494030250926,3,6115,7498
160,7636,2838.9494030250926,3,6115,7498
161,7636,2838.9494030250926,3,6115,7498
162,7636,2838.9494030250926,3,6115,7498
163,7636,2838.9494030250926,3,6115,7498
164,7636,2838.9494030250926,3,6115,7498
165,7636,2838.9494030250926,3,6115,7498
166,7636,2838.9494030250926,3,6115,7498
167,7636,2838.9494030250926,3,6115,7498
168,7636,2838.9494030250926,3,6115,7498
169,7636,2838.9494030250926,3,6115,7498
170,7636,2838.9494030250926,3,6115,7498
171,7636,2838.9494030250926,3,6115,7498
172,7636,2838.9494030250926,3,6115,7498
173,7636,2838.9494030250926,3,6115,7498
174,7636,2838.9494030250926,3,6115,7498
175,7636,2838.9494030250926,3,6115,7498
176,7636,2838.9494030250926,3,6115,7498
177,7636,2838.9494030250926,3,6115,7498
178,7636,2838.9494030250926,3,6115,7498
179,7636,2838.9494030250926,3,6115,7498
180,7636,2838.9494030250926,3,6115,7498
181,7636,2838.9494030250926,3,6115,7498
182,7636,2838.9494030250926,3,6115,7498
183,7636,2838.9494030250926,3,6115,7498
184,7636,2838.9494030250926,3,6115,7498
185,7636,2838.9494030250926,3,6115,7498
186,7636,2838.9494030250926,3,6115,7498
187,7636,2838.9494030250926,3,6115,7498
188,7636,2838.9494030250926,3,6115,7498
189,7636,2838.9494030250926,3,6115,7498
190,7636,2838.9494030250926,3,6115,7498
191,7636,2838.9494030250926,3,6115,7498
192,7636,2838.9494030250926,3,6115,7498
193,7636,2838.9494030250926,3,6115,7498
194,7636,2838.9494030250926,3,6115,7498
195,7636,2838.9494030250926,3,6115,7498
196,7636,2838.9494030250926,3,6115,7498
197,7636,2838.9494030250926,3,6115,7498
198,7636,2838.9494030250926,3,6115,7498
199,7636,2838.9494030250926,3,6115,7498
200,7636,2838.9494030250926,3,6115,7498
201,7636,2838.9494030250926,3,6115,7498
202,7636,2838.9494030250926,3,6115,7498
203,7636,2838.9494030250926,3,6115,7498
