generation,id,fitness,species,parent1,parent2
0,150,157.6744214455901,6,-1,-1
1,274,170.85469315870364,1,150,32
2,391,189.2840455372846,1,274,274
3,517,189.60208689231243,1,397,341
4,517,189.60208689231243,1,397,341
5,741,192.94521030099543,2,429,391
6,741,192.94521030099543,2,429,391
7,741,192.94521030099543,2,429,391
8,1240,685.5404271553953,2,741,741
9,1240,685.5404271553953,2,741,741
10,1240,685.5404271553953,2,741,741
11,1240,685.5404271553953,2,741,741
12,1240,685.5404271553953,2,741,741
13,1240,685.5404271553953,1,741,741
14,1240,685.5404271553953,2,741,741
15,1240,685.5404271553953,5,741,741
16,1240,685.5404271553953,5,741,741
17,1240,685.5404271553953,5,741,741
18,1240,685.5404271553953,5,741,741
19,1240,685.5404271553953,5,741,741
20,1240,685.5404271553953,5,741,741
21,1240,685.5404271553953,5,741,741
22,1240,685.5404271553953,5,741,741
23,1240,685.5404271553953,5,741,741
24,1240,685.5404271553953,5,741,741
25,1240,685.5404271553953,5,741,741
26,1240,685.5404271553953,5,741,741
27,1240,685.5404271553953,5,741,741
28,1240,685.5404271553953,1,741,741
29,1240,685.5404271553953,1,741,741
30,1240,685.5404271553953,5,741,741
31,4394,749.9203253842409,5,1240,1240
32,4394,749.9203253842409,1,1240,1240
33,4394,749.9203253842409,2,1240,1240
34,4394,749.9203253842409,1,1240,1240
35,4961,850.0042345274602,1,4394,4394
36,4961,850.0042345274602,1,4394,4394
37,4961,850.0042345274602,1,4394,4394
38,4961,850.0042345274602,5,4394,4394
39,4961,850.0042345274602,5,4394,4394
40,4961,850.0042345274602,5,4394,4394
41,4961,850.0042345274602,5,4394,4394
42,4961,850.0042345274602,5,4394,4394
43,4961,850.0042345274602,5,4394,4394
44,4961,850.0042345274602,5,4394,4394
45,4961,850.0042345274602,5,4394,4394
46,4961,850.0042345274602,5,4394,4394
47,4961,850.0042345274602,5,4394,4394
48,4961,850.0042345274602,5,4394,4394
49,4961,850.0042345274602,1,4394,4394
50,4961,850.0042345274602,1,4394,4394
51,4961,850.0042345274602,1,4394,4394
52,4961,850.0042345274602,1,4394,4394
53,4961,850.0042345274602,1,4394,4394
54,4961,850.0042345274602,1,4394,4394
55,4961,850.0042345274602,1,4394,4394
56,4961,850.0042345274602,1,4394,4394
57,4961,850.0042345274602,1,4394,4394
58,4961,850.0042345274602,1,4394,4394
59,4961,850.0042345274602,1,4394,4394
60,4961,850.0042345274602,1,4394,4394
61,4961,850.0042345274602,1,4394,4394
62,4961,850.0042345274602,1,4394,4394
63,4961,850.0042345274602,1,4394,4394
64,4961,850.0042345274602,1,4394,4394
65,4961,850.0042345274602,1,4394,4394
66,4961,850.0042345274602,1,4394,4394
67,9342,882.689259441829,2,4394,6413
68,9342,882.689259441829,2,4394,6413
69,9342,882.689259441829,2,4394,6413
70,9342,882.689259441829,2,4394,6413
71,9342,882.689259441829,2,4394,6413
72,9342,882.689259441829,2,4394,6413
73,9342,882.689259441829,2,4394,6413
74,9342,882.689259441829,2,4394,6413
75,9342,882.689259441829,2,4394,6413
76,9342,882.689259441829,2,4394,6413
77,9342,882.689259441829,2,4394,6413
78,9342,882.689259441829,2,4394,6413
79,9342,882.689259441829,2,4394,6413
80,9342,882.689259441829,2,4394,6413
81,9342,882.689259441829,2,4394,6413
82,9342,882.689259441829,2,4394,6413
83,9342,882.689259441829,2,4394,6413
84,9342,882.689259441829,2,4394,6413
85,9342,882.689259441829,2,4394,6413
86,9342,882.689259441829,2,4394,6413
87,9342,882.689259441829,2,4394,6413
88,9342,882.689259441829,2,4394,6413
89,9342,882.689259441829,2,4394,6413
90,9342,882.689259441829,2,4394,6413
91,9342,882.689259441829,2,4394,6413
92,9342,882.689259441829,2,4394,6413
93,9342,882.689259441829,2,4394,6413
94,9342,882.689259441829,2,4394,6413
95,9342,882.689259441829,2,4394,6413
96,9342,882.689259441829,2,4394,6413
97,9342,882.689259441829,2,4394,6413
98,9342,882.689259441829,2,4394,6413
99,9342,882.689259441829,2,4394,6413
100,9342,882.689259441829,2,4394,6413
101,9342,882.689259441829,2,4394,6413
102,9342,882.689259441829,2,4394,6413
103,9342,882.689259441829,2,4394,6413
104,9342,882.689259441829,2,4394,6413
105,9342,882.689259441829,2,4394,6413
106,9342,882.689259441829,2,4394,6413
107,9342,882.689259441829,2,4394,6413
108,14903,882.689259441829,2,11795,9342
109,14903,882.689259441829,2,11795,9342
110,14903,882.689259441829,2,11795,9342
111,14903,882.689259441829,2,11795,9342
112,14903,882.689259441829,2,11795,9342
113,14903,882.689259441829,2,11795,9342
114,15849,942.0917938296523,2,4961,4961
115,15849,942.0917938296523,2,4961,4961
116,15849,942.0917938296523,2,4961,4961
117,15849,942.0917938296523,2,4961,4961
118,15849,942.0917938296523,2,4961,4961
119,15849,942.0917938296523,2,4961,4961
120,15849,942.0917938296523,2,4961,4961
121,15849,942.0917938296523,2,4961,4961
122,15849,942.0917938296523,2,4961,4961
123,15849,942.0917938296523,2,4961,4961
124,15849,942.0917938296523,2,4961,4961
125,15849,942.0917938296523,2,4961,4961
126,15849,942.0917938296523,2,4961,4961
127,15849,942.0917938296523,2,4961,4961
128,15849,942.0917938296523,2,4961,4961
129,15849,942.0917938296523,2,4961,4961
130,15849,942.0917938296523,2,4961,4961
131,18145,942.0917938296523,2,16875,16875
132,18145,942.0917938296523,2,16875,16875
133,18145,942.0917938296523,2,16875,16875
134,18579,942.0917938296523,2,15849,18145
135,18579,942.0917938296523,2,15849,18145
136,18579,942.0917938296523,2,15849,18145
137,18579,942.0917938296523,2,15849,18145
138,18579,942.0917938296523,2,15849,18145
139,18579,942.0917938296523,2,15849,18145
140,18579,942.0917938296523,2,15849,18145
141,18579,942.0917938296523,2,15849,18145
142,18579,942.0917938296523,2,15849,18145
143,18579,942.0917938296523,2,15849,18145
144,18579,942.0917938296523,2,15849,18145
145,18579,942.0917938296523,2,15849,18145
146,18579,942.0917938296523,2,15849,18145
147,18579,942.0917938296523,2,15849,18145
148,18579,942.0917938296523,2,15849,18145
149,18579,942.0917938296523,2,15849,18145
150,18579,942.0917938296523,2,15849,18145
151,18579,942.0917938296523,2,15849,18145
152,18579,942.0917938296523,2,15849,18145
153,21432,995.2076160660733,2,18145,18145
154,21432,995.2076160660733,2,18145,18145
155,21432,995.2076160660733,2,18145,18145
156,21432,995.2076160660733,2,18145,18145
157,21432,995.2076160660733,2,18145,18145
158,21432,995.2076160660733,2,18145,18145
159,21432,995.2076160660733,2,18145,18145
160,21432,995.2076160660733,2,18145,18145
161,21432,995.2076160660733,2,18145,18145
162,21432,995.2076160660733,2,18145,18145
163,21432,995.2076160660733,2,18145,18145
164,21432,995.2076160660733,2,18145,18145
165,21432,995.2076160660733,2,18145,18145
166,21432,995.2076160660733,2,18145,18145
167,21432,995.2076160660733,2,18145,18145
168,21432,995.2076160660733,2,18145,18145
169,21432,995.2076160660733,2,18145,18145
170,21432,995.2076160660733,2,18145,18145
171,21432,995.2076160660733,2,18145,18145
172,21432,995.2076160660733,2,18145,18145
173,21432,995.2076160660733,2,18145,18145
174,21432,995.2076160660733,2,18145,18145
175,21432,995.2076160660733,2,18145,18145
176,21432,995.2076160660733,2,18145,18145
177,21432,995.2076160660733,2,18145,18145
178,21432,995.2076160660733,2,18145,18145
179,21432,995.2076160660733,2,18145,18145
180,21432,995.2076160660733,2,18145,18145
181,21432,995.2076160660733,2,18145,18145
182,21432,995.2076160660733,2,18145,18145
183,21432,995.2076160660733,2,18145,18145
184,21432,995.2076160660733,2,18145,18145
185,21432,995.2076160660733,2,18145,18145
186,21432,995.2076160660733,2,18145,18145
187,21432,995.2076160660733,2,18145,18145
188,21432,995.2076160660733,2,18145,18145
189,21432,995.2076160660733,2,18145,18145
190,21432,995.2076160660733,2,18145,18145
191,21432,995.2076160660733,2,18145,18145
192,21432,995.2076160660733,2,18145,18145
193,21432,995.2076160660733,2,18145,18145
194,21432,995.2076160660733,2,18145,18145
195,21432,995.2076160660733,2,18145,18145
196,21432,995.2076160660733,2,18145,18145
197,21432,995.2076160660733,2,18145,18145
198,21432,995.2076160660733,2,18145,18145
199,21432,995.2076160660733,2,18145,18145
200,21432,995.2076160660733,2,18145,18145
201,21432,995.2076160660733,2,18145,18145
202,21432,995.2076160660733,2,18145,18145
203,21432,995.2076160660733,2,18145,18145
204,21432,995.2076160660733,2,18145,18145
205,21432,995.2076160660733,2,18145,18145
206,21432,995.2076160660733,2,18145,18145
207,28961,995.2076160660733,2,21432,28107
208,28961,995.2076160660733,2,21432,28107
209,28961,995.2076160660733,2,21432,28107
210,28961,995.2076160660733,2,21432,28107
211,28961,995.2076160660733,2,21432,28107
212,28961,995.2076160660733,2,21432,28107
213,28961,995.2076160660733,2,21432,28107
214,28961,995.2076160660733,2,21432,28107
215,28961,995.2076160660733,2,21432,28107
216,28961,995.2076160660733,2,21432,28107
217,28961,995.2076160660733,2,21432,28107
218,28961,995.2076160660733,2,21432,28107
219,28961,995.2076160660733,2,21432,28107
220,28961,995.2076160660733,2,21432,28107
221,28961,995.2076160660733,2,21432,28107
222,28961,995.2076160660733,2,21432,28107
223,28961,995.2076160660733,2,21432,28107
224,28961,995.2076160660733,2,21432,28107
225,28961,995.2076160660733,2,21432,28107
226,28961,995.2076160660733,2,21432,28107
227,28961,995.2076160660733,2,21432,28107
228,28961,995.2076160660733,2,21432,28107
229,28961,995.2076160660733,2,21432,28107
230,28961,995.2076160660733,2,21432,28107
231,28961,995.2076160660733,2,21432,28107
232,28961,995.2076160660733,2,21432,28107
233,28961,995.2076160660733,2,21432,28107
234,28961,995.2076160660733,2,21432,28107
235,28961,995.2076160660733,2,21432,28107
236,28961,995.2076160660733,2,21432,28107
237,28961,995.2076160660733,2,21432,28107
238,28961,995.2076160660733,2,21432,28107
239,28961,995.2076160660733,2,21432,28107
240,28961,995.2076160660733,2,21432,28107
241,28961,995.2076160660733,2,21432,28107
242,28961,995.2076160660733,2,21432,28107
243,28961,995.2076160660733,2,21432,28107
244,28961,995.2076160660733,2,21432,28107
245,28961,995.2076160660733,2,21432,28107
246,28961,995.2076160660733,2,21432,28107
247,28961,995.2076160660733,2,21432,28107
248,28961,995.2076160660733,2,21432,28107
249,28961,995.2076160660733,2,21432,28107
250,28961,995.2076160660733,2,21432,28107
251,28961,995.2076160660733,2,21432,28107
252,28961,995.2076160660733,2,21432,28107
253,28961,995.2076160660733,2,21432,28107
254,28961,995.2076160660733,2,21432,28107
255,28961,995.2076160660733,2,21432,28107
256,28961,995.2076160660733,2,21432,28107
257,28961,995.2076160660733,2,21432,28107
258,28961,995.2076160660733,2,21432,28107
259,28961,995.2076160660733,2,21432,28107
