generation,id,fitness,species,parent1,parent2
0,73,153.46159184322153,4,-1,-1
1,73,153.46159184322153,4,-1,-1
2,73,153.46159184322153,4,-1,-1
3,73,153.46159184322153,4,-1,-1
4,73,153.46159184322153,4,-1,-1
5,73,153.46159184322153,4,-1,-1
6,73,153.46159184322153,4,-1,-1
7,1111,164.44267218547174,4,987,987
8,1111,164.44267218547174,4,987,987
9,1111,164.44267218547174,4,987,987
10,1461,208.90309115502623,2,1403,1403
11,1644,236.96620409553208,2,1423,1423
12,1644,236.96620409553208,2,1423,1423
13,1891,309.45039613133395,1,1756,1756
14,2093,316.12390726088927,1,1891,1891
15,2213,385.01008263027813,1,2093,2093
16,2213,385.01008263027813,1,2093,2093
17,2495,461.5816919698179,3,2351,2351
18,2495,461.5816919698179,3,2351,2351
19,2770,468.13848425872237,3,2495,2495
20,2911,501.7549731096495,3,2213,2213
21,3028,746.9906987209716,1,2609,2609
22,3028,746.9906987209716,1,2609,2609
23,3028,746.9906987209716,1,2609,2609
24,3502,853.1906082077755,1,3028,3028
25,3502,853.1906082077755,1,3028,3028
26,3502,853.1906082077755,1,3028,3028
27,3502,853.1906082077755,1,3028,3028
28,3502,853.1906082077755,1,3028,3028
29,3502,853.1906082077755,1,3028,3028
30,4339,875.7513886599376,1,3502,3502
31,4339,875.7513886599376,1,3502,3502
32,4339,875.7513886599376,1,3502,3502
33,4339,875.7513886599376,1,3502,3502
34,4339,875.7513886599376,1,3502,3502
35,4339,875.7513886599376,1,3502,3502
36,4339,875.7513886599376,1,3502,3502
37,4339,875.7513886599376,1,3502,3502
38,4339,875.7513886599376,1,3502,3502
39,4339,875.7513886599376,1,3502,3502
40,4339,875.7513886599376,1,3502,3502
41,4339,875.7513886599376,1,3502,3502
42,4339,875.7513886599376,1,3502,3502
43,4339,875.7513886599376,1,3502,3502
44,4339,875.7513886599376,1,3502,3502
45,4339,875.7513886599376,1,3502,3502
46,4339,875.7513886599376,1,3502,3502
47,4339,875.7513886599376,1,3502,3502
48,4339,875.7513886599376,1,3502,3502
49,4339,875.7513886599376,1,3502,3502
50,4339,875.7513886599376,1,3502,3502
51,4339,875.7513886599376,1,3502,3502
52,4339,875.7513886599376,1,3502,3502
53,4339,875.7513886599376,1,3502,3502
54,4339,875.7513886599376,1,3502,3502
55,4339,875.7513886599376,1,3502,3502
56,4339,875.7513886599376,1,3502,3502
57,4339,875.7513886599376,1,3502,3502
58,4339,875.7513886599376,1,3502,3502
59,4339,875.7513886599376,1,3502,3502
60,4339,875.7513886599376,1,3502,3502
61,4339,875.7513886599376,1,3502,3502
62,4339,875.7513886599376,1,3502,3502
63,4339,875.7513886599376,1,3502,3502
64,4339,875.7513886599376,1,3502,3502
65,4339,875.7513886599376,1,3502,3502
66,4339,875.7513886599376,1,3502,3502
67,4339,875.7513886599376,1,3502,3502
68,4339,875.7513886599376,1,3502,3502
69,4339,875.7513886599376,1,3502,3502
70,4339,875.7513886599376,1,3502,3502
71,4339,875.7513886599376,1,3502,3502
72,4339,875.7513886599376,1,3502,3502
73,4339,875.7513886599376,1,3502,3502
74,4339,875.7513886599376,1,3502,3502
75,4339,875.7513886599376,1,3502,3502
76,4339,875.7513886599376,1,3502,3502
77,4339,875.7513886599376,1,3502,3502
78,4339,875.7513886599376,1,3502,3502
79,11236,886.7869708125952,1,4339,4339
80,11236,886.7869708125952,1,4339,4339
81,11236,886.7869708125952,1,4339,4339
82,11236,886.7869708125952,1,4339,4339
83,11236,886.7869708125952,1,4339,4339
84,11792,886.7869708125952,1,11236,11236
85,11792,886.7869708125952,1,11236,11236
86,11792,886.7869708125952,1,11236,11236
87,11792,886.7869708125952,1,11236,11236
88,12519,931.6150965399165,1,12367,12367
89,12519,931.6150965399165,1,12367,12367
90,12519,931.6150965399165,1,12367,12367
91,12519,931.6150965399165,1,12367,12367
92,12519,931.6150965399165,1,12367,12367
93,12519,931.6150965399165,1,12367,12367
94,12519,931.6150965399165,1,12367,12367
95,12519,931.6150965399165,1,12367,12367
96,13522,931.6150965399165,1,12519,12519
97,13522,931.6150965399165,1,12519,12519
98,13522,931.6150965399165,1,12519,12519
99,13522,931.6150965399165,2,12519,12519
100,13522,931.6150965399165,1,12519,12519
101,14213,931.6150965399165,1,13522,13522
102,13522,931.6150965399165,1,12519,12519
103,14533,931.6150965399165,1,12519,12519
104,14533,931.6150965399165,1,12519,12519
105,14533,931.6150965399165,1,12519,12519
106,14533,931.6150965399165,1,12519,12519
107,14533,931.6150965399165,1,12519,12519
108,14533,931.6150965399165,1,12519,12519
109,14533,931.6150965399165,1,12519,12519
110,14533,931.6150965399165,1,12519,12519
111,14533,931.6150965399165,1,12519,12519
112,14533,931.6150965399165,1,12519,12519
113,14533,931.6150965399165,1,12519,12519
114,14533,931.6150965399165,1,12519,12519
115,14533,931.6150965399165,1,12519,12519
116,14533,931.6150965399165,1,12519,12519
117,14533,931.6150965399165,1,12519,12519
118,14533,931.6150965399165,1,12519,12519
119,14533,931.6150965399165,1,12519,12519
120,14533,931.6150965399165,1,12519,12519
121,14533,931.6150965399165,1,12519,12519
122,14533,931.6150965399165,1,12519,12519
123,14533,931.6150965399165,1,12519,12519
124,14533,931.6150965399165,1,12519,12519
125,14533,931.6150965399165,1,12519,12519
126,14533,931.6150965399165,1,12519,12519
127,14533,931.6150965399165,1,12519,12519
128,14533,931.6150965399165,1,12519,12519
129,14533,931.6150965399165,1,12519,12519
130,14533,931.6150965399165,1,12519,12519
131,14533,931.6150965399165,1,12519,12519
132,14533,931.6150965399165,1,12519,12519
133,14533,931.6150965399165,1,12519,12519
134,14533,931.6150965399165,1,12519,12519
135,14533,931.6150965399165,1,12519,12519
136,14533,931.6150965399165,1,12519,12519
137,14533,931.6150965399165,1,12519,12519
138,14533,931.6150965399165,1,12519,12519
139,14533,931.6150965399165,1,12519,12519
140,14533,931.6150965399165,1,12519,12519
141,14533,931.6150965399165,1,12519,12519
142,14533,931.6150965399165,1,12519,12519
143,14533,931.6150965399165,1,12519,12519
144,14533,931.6150965399165,1,12519,12519
145,14533,931.6150965399165,1,12519,12519
146,14533,931.6150965399165,1,12519,12519
147,14533,931.6150965399165,1,12519,12519
148,14533,931.6150965399165,1,12519,12519
149,14533,931.6150965399165,1,12519,12519
150,14533,931.6150965399165,1,12519,12519
151,14533,931.6150965399165,1,12519,12519
152,14533,931.6150965399165,1,12519,12519
153,14533,931.6150965399165,1,12519,12519
154,14533,931.6150965399165,1,12519,12519
155,14533,931.6150965399165,1,12519,12519
156,14533,931.6150965399165,1,12519,12519
157,14533,931.6150965399165,1,12519,12519
158,14533,931.6150965399165,1,12519,12519
159,14533,931.6150965399165,1,12519,12519
160,14533,931.6150965399165,1,12519,12519
161,14533,931.6150965399165,1,12519,12519
162,14533,931.6150965399165,1,12519,12519
163,14533,931.6150965399165,1,12519,12519
164,14533,931.6150965399165,1,12519,12519
165,14533,931.6150965399165,1,12519,12519
166,14533,931.6150965399165,1,12519,12519
167,14533,931.6150965399165,1,12519,12519
168,14533,931.6150965399165,1,12519,12519
169,14533,931.6150965399165,1,12519,12519
170,14533,931.6150965399165,1,12519,12519
171,14533,931.6150965399165,1,12519,12519
