generation,id,fitness,species,parent1,parent2
0,121,115.36405040864292,3,-1,-1
1,196,123.29034156447892,5,103,109
2,397,199.25143704408342,6,182,159
3,397,199.25143704408342,5,182,159
4,397,199.25143704408342,5,182,159
5,752,250.79486905050675,5,573,382
6,929,290.6152963246798,4,785,628
7,929,290.6152963246798,4,785,628
8,929,290.6152963246798,4,785,628
9,929,290.6152963246798,4,785,628
10,929,290.6152963246798,4,785,628
11,929,290.6152963246798,4,785,628
12,929,290.6152963246798,4,785,628
13,1930,305.48050648448395,4,929,929
14,2015,402.34887283960654,6,1698,1698
15,2091,407.46175225169884,2,2013,1880
16,2091,407.46175225169884,2,2013,1880
17,2091,407.46175225169884,2,2013,1880
18,2091,407.46175225169884,2,2013,1880
19,2091,407.46175225169884,2,2013,1880
20,2091,407.46175225169884,2,2013,1880
21,2091,407.46175225169884,2,2013,1880
22,2091,407.46175225169884,2,2013,1880
23,2091,407.46175225169884,2,2013,1880
24,2091,407.46175225169884,2,2013,1880
25,2091,407.46175225169884,2,2013,1880
26,3666,436.7557627401429,4,2963,2963
27,3666,436.7557627401429,5,2963,2963
28,3881,459.63689545394584,6,3387,3757
29,4081,524.6171765060677,4,3958,3958
30,4233,541.9927168931547,5,4085,4081
31,4390,4065.605082896657,5,4233,4233
32,4390,4065.605082896657,4,4233,4233
33,4390,4065.605082896657,5,4233,4233
34,4390,4065.605082896657,6,4233,4233
35,4390,4065.605082896657,5,4233,4233
36,4390,4065.605082896657,5,4233,4233
37,4390,4065.605082896657,7,4233,4233
38,4390,4065.605082896657,7,4233,4233
39,4390,4065.605082896657,7,4233,4233
40,4390,4065.605082896657,7,4233,4233
41,4390,4065.605082896657,7,4233,4233
42,4390,4065.605082896657,7,4233,4233
43,4390,4065.605082896657,7,4233,4233
44,4390,4065.605082896657,7,4233,4233
45,4390,4065.605082896657,7,4233,4233
46,4390,4065.605082896657,7,4233,4233
47,4390,4065.605082896657,7,4233,4233
48,4390,4065.605082896657,7,4233,4233
49,4390,4065.605082896657,7,4233,4233
50,4390,4065.605082896657,7,4233,4233
51,4390,4065.605082896657,7,4233,4233
52,4390,4065.605082896657,7,4233,4233
53,4390,4065.605082896657,7,4233,4233
54,4390,4065.605082896657,7,4233,4233
55,4390,4065.605082896657,7,4233,4233
56,4390,4065.605082896657,7,4233,4233
57,4390,4065.605082896657,7,4233,4233
58,4390,4065.605082896657,7,4233,4233
59,4390,4065.605082896657,7,4233,4233
60,4390,4065.605082896657,7,4233,4233
61,4390,4065.605082896657,7,4233,4233
62,4390,4065.605082896657,7,4233,4233
63,4390,4065.605082896657,7,4233,4233
64,4390,4065.605082896657,7,4233,4233
65,4390,4065.605082896657,7,4233,4233
66,4390,4065.605082896657,7,4233,4233
67,4390,4065.605082896657,7,4233,4233
68,4390,4065.605082896657,7,4233,4233
69,4390,4065.605082896657,7,4233,4233
70,4390,4065.605082896657,7,4233,4233
71,4390,4065.605082896657,7,4233,4233
72,4390,4065.605082896657,7,4233,4233
73,4390,4065.605082896657,7,4233,4233
74,4390,4065.605082896657,7,4233,4233
75,4390,4065.605082896657,7,4233,4233
76,4390,4065.605082896657,7,4233,4233
77,4390,4065.605082896657,7,4233,4233
78,4390,4065.605082896657,7,4233,4233
79,4390,4065.605082896657,7,4233,4233
80,4390,4065.605082896657,7,4233,4233
81,4390,4065.605082896657,7,4233,4233
82,4390,4065.605082896657,7,4233,4233
83,4390,4065.605082896657,7,4233,4233
84,4390,4065.605082896657,7,4233,4233
85,4390,4065.605082896657,7,4233,4233
86,4390,4065.605082896657,7,4233,4233
87,4390,4065.605082896657,7,4233,4233
88,4390,4065.605082896657,7,4233,4233
89,4390,4065.605082896657,7,4233,4233
90,4390,4065.605082896657,7,4233,4233
91,4390,4065.605082896657,7,4233,4233
92,4390,4065.605082896657,7,4233,4233
93,4390,4065.605082896657,7,4233,4233
94,4390,4065.605082896657,7,4233,4233
95,4390,4065.605082896657,7,4233,4233
96,4390,4065.605082896657,7,4233,4233
97,4390,4065.605082896657,7,4233,4233
98,4390,4065.605082896657,7,4233,4233
99,4390,4065.605082896657,7,4233,4233
100,4390,4065.605082896657,7,4233,4233
101,4390,4065.605082896657,7,4233,4233
102,4390,4065.605082896657,7,4233,4233
