generation,id,fitness,species,parent1,parent2
0,1,4.0,1,-1,-1
0,2,4.0,1,-1,-1
0,3,4.0,1,-1,-1
0,4,4.0,1,-1,-1
0,5,4.0,1,-1,-1
0,6,4.0,1,-1,-1
0,7,4.0,1,-1,-1
0,8,4.0,1,-1,-1
0,9,37.0,1,-1,-1
0,10,5.0,1,-1,-1
0,11,4.0,1,-1,-1
0,12,8.0,1,-1,-1
0,13,5.0,1,-1,-1
0,14,8.0,1,-1,-1
0,15,5.0,1,-1,-1
0,16,9.0,1,-1,-1
0,17,4.0,1,-1,-1
0,18,4.0,1,-1,-1
0,19,4.0,1,-1,-1
0,20,6.0,1,-1,-1
0,21,4.0,1,-1,-1
0,22,4.0,1,-1,-1
0,23,5.0,1,-1,-1
0,24,15.0,1,-1,-1
0,25,11.0,1,-1,-1
0,26,4.0,1,-1,-1
0,27,4.0,1,-1,-1
0,28,4.0,1,-1,-1
0,29,5.0,1,-1,-1
0,30,5.0,1,-1,-1
0,31,8.0,1,-1,-1
0,32,4.0,1,-1,-1
0,33,4.0,1,-1,-1
0,34,4.0,1,-1,-1
0,35,4.0,1,-1,-1
0,36,4.0,1,-1,-1
0,37,11.0,1,-1,-1
0,38,4.0,1,-1,-1
0,39,4.0,1,-1,-1
0,40,4.0,1,-1,-1
0,41,4.0,1,-1,-1
0,42,4.0,1,-1,-1
0,43,32.0,1,-1,-1
0,44,4.0,1,-1,-1
0,45,5.0,1,-1,-1
0,46,4.0,1,-1,-1
0,47,4.0,1,-1,-1
0,48,4.0,1,-1,-1
0,49,4.0,1,-1,-1
0,50,4.0,1,-1,-1
0,51,4.0,1,-1,-1
0,52,4.0,1,-1,-1
0,53,4.0,1,-1,-1
0,54,4.0,1,-1,-1
0,55,4.0,1,-1,-1
0,56,5.0,1,-1,-1
0,57,4.0,1,-1,-1
0,58,4.0,1,-1,-1
0,59,4.0,1,-1,-1
0,60,4.0,1,-1,-1
0,61,4.0,1,-1,-1
0,62,4.0,1,-1,-1
0,63,4.0,1,-1,-1
0,64,4.0,1,-1,-1
0,65,4.0,1,-1,-1
0,66,4.0,1,-1,-1
0,67,4.0,1,-1,-1
0,68,4.0,1,-1,-1
0,69,4.0,1,-1,-1
0,70,4.0,1,-1,-1
0,71,19.0,1,-1,-1
0,72,9.0,1,-1,-1
0,73,8.0,1,-1,-1
0,74,13.0,1,-1,-1
0,75,4.0,1,-1,-1
0,76,4.0,1,-1,-1
0,77,4.0,1,-1,-1
0,78,4.0,1,-1,-1
0,79,4.0,1,-1,-1
0,80,30.0,1,-1,-1
0,81,6.0,1,-1,-1
0,82,4.0,1,-1,-1
0,83,4.0,1,-1,-1
0,84,4.0,1,-1,-1
0,85,4.0,1,-1,-1
0,86,25.0,1,-1,-1
0,87,4.0,1,-1,-1
0,88,4.0,1,-1,-1
0,89,9.0,1,-1,-1
0,90,4.0,1,-1,-1
0,91,4.0,1,-1,-1
0,92,4.0,1,-1,-1
0,93,34.0,1,-1,-1
0,94,4.0,1,-1,-1
0,95,4.0,1,-1,-1
0,96,21.0,1,-1,-1
0,97,4.0,1,-1,-1
0,98,40.0,1,-1,-1
0,99,13.0,1,-1,-1
0,100,4.0,1,-1,-1
0,101,4.0,1,-1,-1
0,102,4.0,1,-1,-1
0,103,4.0,1,-1,-1
0,104,4.0,1,-1,-1
0,105,4.0,1,-1,-1
0,106,13.0,1,-1,-1
0,107,4.0,1,-1,-1
0,108,4.0,1,-1,-1
0,109,4.0,1,-1,-1
0,110,4.0,1,-1,-1
0,111,8.0,1,-1,-1
0,112,4.0,1,-1,-1
0,113,5.0,1,-1,-1
0,114,4.0,1,-1,-1
0,115,4.0,1,-1,-1
0,116,4.0,1,-1,-1
0,117,5.0,1,-1,-1
0,118,4.0,1,-1,-1
0,119,4.0,1,-1,-1
0,120,4.0,1,-1,-1
0,121,4.0,1,-1,-1
0,122,4.0,1,-1,-1
0,123,4.0,1,-1,-1
0,124,5.0,1,-1,-1
0,125,4.0,1,-1,-1
0,126,6.0,1,-1,-1
0,127,4.0,1,-1,-1
0,128,5.0,1,-1,-1
0,129,4.0,1,-1,-1
0,130,6.0,1,-1,-1
0,131,4.0,1,-1,-1
0,132,4.0,1,-1,-1
0,133,4.0,1,-1,-1
0,134,4.0,1,-1,-1
0,135,4.0,1,-1,-1
0,136,4.0,1,-1,-1
0,137,4.0,1,-1,-1
0,138,13.0,1,-1,-1
0,139,4.0,1,-1,-1
0,140,7.0,1,-1,-1
0,141,4.0,1,-1,-1
0,142,4.0,1,-1,-1
0,143,4.0,1,-1,-1
0,144,4.0,1,-1,-1
0,145,6.0,1,-1,-1
0,146,4.0,1,-1,-1
0,147,4.0,1,-1,-1
0,148,6.0,1,-1,-1
0,149,4.0,1,-1,-1
0,150,4.0,1,-1,-1
1,98,40.0,1,-1,-1
1,9,37.0,1,-1,-1
1,151,8.0,1,81,12
1,152,4.0,1,80,126
1,153,4.0,1,31,140
1,154,28.0,1,140,93
1,155,5.0,1,96,31
1,156,7.0,1,98,80
1,157,4.0,1,93,81
1,158,5.0,1,74,20
1,159,32.0,1,9,148
1,160,4.0,1,96,126
1,161,13.0,1,14,99
1,162,13.0,1,72,80
1,163,35.0,1,130,106
1,164,25.0,1,80,98
1,165,4.0,1,93,20
1,166,13.0,1,43,140
1,167,6.0,1,98,31
1,168,7.0,1,14,138
1,169,10.0,1,148,12
1,170,4.0,1,73,126
1,171,9.0,1,130,106
1,172,23.0,1,138,9
1,173,4.0,1,81,80
1,174,4.0,1,138,126
1,175,4.0,1,73,20
1,176,6.0,1,98,93
1,177,5.0,1,20,9
1,178,4.0,1,72,9
1,179,4.0,1,72,43
1,180,5.0,1,37,74
1,181,9.0,1,81,86
1,182,5.0,1,99,43
1,183,11.0,1,93,130
1,184,4.0,1,74,98
1,185,27.0,1,130,9
1,186,5.0,1,111,140
1,187,17.0,1,99,130
1,188,12.0,1,111,138
1,189,5.0,1,24,43
1,190,8.0,1,81,130
1,191,12.0,1,86,138
1,192,28.0,1,145,73
1,193,7.0,1,138,106
1,194,4.0,1,93,80
1,195,15.0,1,93,16
1,196,4.0,1,93,37
1,197,7.0,1,74,24
1,198,6.0,1,9,24
1,199,5.0,1,74,16
1,200,37.0,1,16,89
1,201,4.0,1,145,73
1,202,9.0,1,86,25
1,203,7.0,1,20,24
1,204,9.0,1,98,148
1,205,4.0,1,140,9
1,206,11.0,1,37,24
1,207,4.0,1,43,25
1,208,32.0,1,31,37
1,209,19.0,1,80,14
1,210,4.0,1,106,148
1,211,13.0,1,16,73
1,212,6.0,1,89,96
1,213,22.0,1,140,12
1,214,6.0,1,130,96
1,215,9.0,1,24,148
1,216,5.0,1,20,126
1,217,9.0,1,16,74
1,218,4.0,1,99,12
1,219,4.0,1,73,96
1,220,4.0,1,93,140
1,221,5.0,1,126,145
1,222,5.0,1,96,81
1,223,4.0,1,9,24
1,224,4.0,1,81,9
1,225,9.0,1,43,9
1,226,4.0,1,72,72
1,227,4.0,1,138,14
1,228,5.0,1,20,9
1,229,4.0,1,93,24
1,230,44.0,1,74,43
1,231,8.0,1,43,126
1,232,12.0,1,14,14
1,233,4.0,1,43,12
1,234,9.0,1,98,99
1,235,33.0,1,99,106
1,236,4.0,1,99,148
1,237,6.0,1,106,130
1,238,8.0,1,145,89
1,239,4.0,1,96,140
1,240,4.0,1,106,138
1,241,20.0,1,89,74
1,242,8.0,1,9,43
1,243,6.0,1,126,126
1,244,4.0,1,89,96
1,245,64.0,1,9,25
1,246,15.0,1,37,86
1,247,20.0,1,99,14
1,248,27.0,1,145,71
1,249,4.0,1,126,12
1,250,5.0,1,145,148
1,251,4.0,1,31,98
1,252,4.0,1,106,98
1,253,9.0,1,96,86
