generation,id,fitness,species,parent1,parent2
0,7,5.0,1,-1,-1
1,7,5.0,1,-1,-1
2,7,5.0,1,-1,-1
3,7,5.0,1,-1,-1
4,17,5.0,1,-1,-1
5,17,5.0,1,-1,-1
6,17,5.0,1,-1,-1
7,17,5.0,1,-1,-1
8,17,5.0,1,-1,-1
9,17,5.0,1,-1,-1
10,17,5.0,1,-1,-1
11,17,5.0,1,-1,-1
12,17,5.0,1,-1,-1
13,17,5.0,1,-1,-1
14,17,5.0,1,-1,-1
15,17,5.0,1,-1,-1
16,17,5.0,1,-1,-1
17,17,5.0,1,-1,-1
18,2667,5.0,3,2512,2512
19,2667,5.0,3,2512,2512
20,2807,5.0,3,2307,2667
21,2807,5.0,3,2307,2667
22,2807,5.0,3,2307,2667
23,2807,5.0,3,2307,2667
24,2807,5.0,3,2307,2667
25,3095,5.0,5,2953,2983
26,3095,5.0,5,2953,2983
27,3095,5.0,5,2953,2983
28,3095,5.0,5,2953,2983
29,4097,5.0,5,3939,3939
30,4097,5.0,5,3939,3939
31,4097,5.0,5,3939,3939
32,4097,5.0,5,3939,3939
33,4097,5.0,5,3939,3939
34,4097,5.0,5,3939,3939
35,4097,5.0,5,3939,3939
36,4097,5.0,5,3939,3939
37,4097,5.0,5,3939,3939
38,4097,5.0,5,3939,3939
39,4097,5.0,5,3939,3939
40,5632,5.0,5,5486,5496
41,5632,5.0,5,5486,5496
42,5632,5.0,5,5486,5496
43,5632,5.0,5,5486,5496
44,5632,5.0,5,5486,5496
45,17,5.0,1,-1,-1
46,6543,5.0,8,6405,6356
47,6665,5.0,6,6581,6528
48,6656,5.0,6,6516,6543
49,6656,5.0,6,6516,6543
50,7090,5.0,6,6941,6926
51,7090,5.0,6,6941,6926
52,7090,5.0,6,6941,6926
53,7090,5.0,6,6941,6926
54,7090,5.0,6,6941,6926
55,7090,5.0,6,6941,6926
56,7090,5.0,6,6941,6926
57,7090,5.0,6,6941,6926
58,7090,5.0,6,6941,6926
