generation,id,fitness,species,parent1,parent2
0,1,1.7,1,-1,-1
0,2,2.4,1,-1,-1
0,3,1.5,1,-1,-1
0,4,2.0,1,-1,-1
0,5,8.0,1,-1,-1
0,6,3.0,1,-1,-1
0,7,3.3,1,-1,-1
0,8,2.2,1,-1,-1
0,9,3.6,1,-1,-1
0,10,2.5,1,-1,-1
0,11,1.7,1,-1,-1
0,12,3.3,1,-1,-1
0,13,8.0,1,-1,-1
0,14,2.0,1,-1,-1
0,15,3.3,1,-1,-1
0,16,1.8,1,-1,-1
0,17,2.0,1,-1,-1
0,18,1.8,1,-1,-1
0,19,2.4,1,-1,-1
0,20,6.4,1,-1,-1
0,21,2.4,1,-1,-1
0,22,1.5,1,-1,-1
0,23,3.3,1,-1,-1
0,24,4.5,1,-1,-1
0,25,1.6,1,-1,-1
0,26,1.4,1,-1,-1
0,27,4.5,1,-1,-1
0,28,1.8,1,-1,-1
0,29,2.4,1,-1,-1
0,30,5.2,1,-1,-1
0,31,3.9,1,-1,-1
0,32,2.7,1,-1,-1
0,33,1.8,1,-1,-1
0,34,2.0,1,-1,-1
0,35,1.6,1,-1,-1
0,36,2.5,1,-1,-1
0,37,1.6,1,-1,-1
0,38,2.0,1,-1,-1
0,39,1.5,1,-1,-1
0,40,1.8,1,-1,-1
0,41,2.0,1,-1,-1
0,42,1.8,1,-1,-1
0,43,2.7,1,-1,-1
0,44,1.6,1,-1,-1
0,45,1.4,1,-1,-1
0,46,1.9,1,-1,-1
0,47,1.5,1,-1,-1
0,48,1.8,1,-1,-1
0,49,1.8,1,-1,-1
0,50,2.0,1,-1,-1
0,51,1.8,1,-1,-1
0,52,2.4,1,-1,-1
0,53,2.0,1,-1,-1
0,54,1.5,1,-1,-1
0,55,5.0,1,-1,-1
0,56,1.8,1,-1,-1
0,57,2.0,1,-1,-1
0,58,1.5,1,-1,-1
0,59,1.9,1,-1,-1
0,60,1.4,1,-1,-1
0,61,1.8,1,-1,-1
0,62,2.0,1,-1,-1
0,63,2.0,1,-1,-1
0,64,4.0,1,-1,-1
0,65,2.0,1,-1,-1
0,66,2.0,1,-1,-1
0,67,1.6,1,-1,-1
0,68,2.0,1,-1,-1
0,69,6.4,1,-1,-1
0,70,7.3,1,-1,-1
0,71,1.5,1,-1,-1
0,72,2.0,1,-1,-1
0,73,6.4,1,-1,-1
0,74,1.5,1,-1,-1
0,75,8.0,1,-1,-1
0,76,1.8,1,-1,-1
0,77,1.9,1,-1,-1
0,78,2.0,1,-1,-1
0,79,2.0,1,-1,-1
0,80,3.3,1,-1,-1
0,81,1.8,1,-1,-1
0,82,1.9,1,-1,-1
0,83,1.6,1,-1,-1
0,84,1.4,1,-1,-1
0,85,1.4,1,-1,-1
0,86,2.2,1,-1,-1
0,87,1.7,1,-1,-1
0,88,1.7,1,-1,-1
0,89,1.8,1,-1,-1
0,90,2.4,1,-1,-1
0,91,1.8,1,-1,-1
0,92,1.4,1,-1,-1
0,93,1.5,1,-1,-1
0,94,5.0,1,-1,-1
0,95,8.0,1,-1,-1
0,96,1.4,1,-1,-1
0,97,1.8,1,-1,-1
0,98,6.4,1,-1,-1
0,99,1.4,1,-1,-1
0,100,2.7,1,-1,-1
0,101,1.8,1,-1,-1
0,102,2.0,1,-1,-1
0,103,2.3,1,-1,-1
0,104,2.4,1,-1,-1
0,105,2.4,1,-1,-1
0,106,1.5,1,-1,-1
0,107,5.0,1,-1,-1
0,108,6.4,1,-1,-1
0,109,1.8,1,-1,-1
0,110,2.4,1,-1,-1
0,111,2.4,1,-1,-1
0,112,1.8,1,-1,-1
0,113,4.5,1,-1,-1
0,114,2.0,1,-1,-1
0,115,1.5,1,-1,-1
0,116,1.5,1,-1,-1
0,117,2.4,1,-1,-1
0,118,8.0,1,-1,-1
0,119,2.6,1,-1,-1
0,120,3.3,1,-1,-1
0,121,2.0,1,-1,-1
0,122,1.4,1,-1,-1
0,123,2.0,1,-1,-1
0,124,2.4,1,-1,-1
0,125,1.5,1,-1,-1
0,126,1.9,1,-1,-1
0,127,3.3,1,-1,-1
0,128,1.8,1,-1,-1
0,129,1.8,1,-1,-1
0,130,1.7,1,-1,-1
0,131,3.3,1,-1,-1
0,132,2.0,1,-1,-1
0,133,1.5,1,-1,-1
0,134,6.4,1,-1,-1
0,135,2.1,1,-1,-1
0,136,3.3,1,-1,-1
0,137,1.8,1,-1,-1
0,138,1.4,1,-1,-1
0,139,1.8,1,-1,-1
0,140,2.0,1,-1,-1
0,141,1.5,1,-1,-1
0,142,4.0,1,-1,-1
0,143,1.4,1,-1,-1
0,144,1.8,1,-1,-1
0,145,2.0,1,-1,-1
0,146,1.8,1,-1,-1
0,147,1.8,1,-1,-1
0,148,2.4,1,-1,-1
0,149,3.0,1,-1,-1
0,150,8.0,1,-1,-1
1,5,8.0,1,-1,-1
1,13,8.0,1,-1,-1
1,151,3.3,1,15,12
1,152,8.0,1,20,5
1,153,8.0,1,142,13
1,154,300.0,1,107,69
1,155,1.8,1,73,27
1,156,3.3,1,150,98
1,157,2.4,1,20,113
1,158,2.2,1,64,120
1,159,1.8,1,120,120
1,160,1.4,1,69,5
1,161,1.8,1,30,134
1,162,2.2,1,20,30
1,163,1.8,1,5,120
1,164,2.1,1,15,120
1,165,2.0,1,113,13
1,166,1.4,1,20,7
1,167,2.0,1,13,94
1,168,2.0,1,69,24
1,169,8.0,1,150,9
1,170,2.0,1,73,73
1,171,1.4,1,120,150
1,172,8.0,1,23,5
1,173,1.5,1,27,118
1,174,3.3,1,64,142
1,175,5.0,1,70,15
1,176,1.9,1,30,134
1,177,3.3,1,142,9
1,178,8.0,1,20,134
1,179,1.4,1,95,95
1,180,1.8,1,7,24
1,181,1.8,1,120,134
1,182,2.0,1,7,9
1,183,2.7,1,30,20
1,184,3.6,1,64,95
1,185,3.5,1,12,75
1,186,5.0,1,120,23
1,187,8.0,1,113,24
1,188,1.9,1,7,80
1,189,2.2,1,30,113
1,190,2.4,1,107,120
1,191,7.2,1,108,98
1,192,2.4,1,95,31
1,193,8.0,1,55,98
1,194,2.0,1,12,120
1,195,2.2,1,113,27
1,196,1.8,1,98,107
1,197,3.3,1,5,23
1,198,3.6,1,98,31
1,199,31.0,1,69,5
1,200,8.0,1,27,134
1,201,2.0,1,9,70
1,202,3.1,1,120,24
1,203,8.0,1,94,69
1,204,31.0,1,108,31
1,205,1.4,1,118,64
1,206,5.0,1,94,31
1,207,2.0,1,150,15
1,208,8.0,1,142,75
1,209,2.0,1,134,73
1,210,4.5,1,118,5
1,211,2.0,1,98,94
1,212,3.3,1,120,118
1,213,8.0,1,150,23
1,214,5.0,1,150,80
1,215,1.4,1,118,108
1,216,2.2,1,73,13
1,217,2.2,1,120,108
1,218,8.0,1,108,7
1,219,2.0,1,30,75
1,220,8.0,1,5,31
1,221,2.0,1,31,27
1,222,2.0,1,95,31
1,223,3.6,1,70,94
1,224,1.8,1,70,15
1,225,2.7,1,120,73
1,226,2.0,1,107,95
1,227,2.0,1,30,107
1,228,1.8,1,23,24
1,229,2.0,1,113,73
1,230,2.4,1,15,150
1,231,2.0,1,120,98
1,232,1.4,1,30,142
1,233,2.2,1,9,108
1,234,2.0,1,142,94
1,235,8.0,1,55,134
1,236,3.3,1,142,75
1,237,2.0,1,15,107
1,238,1.8,1,5,27
1,239,2.4,1,142,20
1,240,2.0,1,113,13
1,241,8.0,1,55,107
1,242,2.0,1,31,95
1,243,3.3,1,80,15
1,244,3.0,1,98,75
1,245,3.3,1,113,20
1,246,1.9,1,134,108
1,247,3.3,1,31,12
1,248,2.6,1,113,27
1,249,8.0,1,31,70
1,250,3.3,1,31,95
1,251,8.0,1,73,75
1,252,3.6,1,69,20
1,253,3.6,1,7,134
1,254,3.0,1,15,95
1,255,300.0,1,5,23
1,256,8.0,1,55,30
1,257,1.8,1,55,80
1,258,2.4,1,12,15
1,259,31.0,1,142,20
1,260,6.4,1,20,134
1,261,2.2,1,55,70
1,262,2.0,1,120,23
1,263,2.4,1,9,15
1,264,2.0,1,118,20
1,265,8.0,1,108,134
1,266,2.0,1,73,150
1,267,2.9,1,134,134
1,268,2.8,1,73,75
1,269,2.0,1,30,98
1,270,3.6,1,69,15
1,271,2.0,1,150,98
1,272,1.4,1,120,142
1,273,1.8,1,95,80
1,274,2.0,1,107,80
1,275,8.0,1,70,134
1,276,2.0,1,80,55
1,277,8.0,1,98,134
1,278,3.3,1,31,73
1,279,6.4,1,142,5
1,280,1.8,1,5,95
1,281,3.3,1,113,15
1,282,2.0,1,55,75
1,283,2.0,1,94,75
