generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,440,36.204856872558594,0.736481583452029,3,-1,-1,3,18,18,0
1,676,30.312227249145508,0.7503357219123562,1,124,124,3,18,18,0
2,1341,26.529226303100586,0.7539908145088429,2,214,214,3,18,18,0
3,1644,21.431987762451172,-0.10894344613073398,4,828,828,3,17,17,0
4,2055,23.058263778686523,0.7581625877241497,5,180,180,3,18,18,0
5,2892,20.91765022277832,-0.004185215075271501,4,1652,1652,2,11,11,0
6,3264,13.249470710754395,0.7545871072013752,5,1146,1146,2,13,13,0
7,3873,3.2008755207061768,-0.4358263916643372,3,3080,3080,3,19,19,0
8,4169,7.302270889282227,0.7379661691032962,1,2055,2055,3,19,19,0
9,4542,7.070992469787598,0.7321965414374368,1,3077,3077,5,23,20,3
10,5492,7.204732894897461,0.7333538589919177,1,3077,3077,3,16,15,1
11,5522,6.104154586791992,0.7507222439309155,5,5183,5183,3,19,18,1
12,6005,4.316874980926514,0.7384170406674873,5,5951,5951,4,22,21,1
13,6629,3.2558932304382324,0.7406912474433416,5,5907,5907,3,19,17,2
14,7408,3.388593912124634,0.735041787229379,5,6561,6561,2,11,11,0
15,7650,3.177548408508301,0.7452947070019852,5,6356,6356,2,13,13,0
16,8386,3.0942015647888184,0.7478587481343741,3,6906,6906,3,20,19,1
17,8735,2.8644187450408936,0.7322021082705401,3,7612,7612,4,24,21,3
18,9457,2.99550461769104,0.7462160741350106,3,4940,4940,3,19,17,2
19,9504,3.146480083465576,0.7422229250126888,4,8511,8511,2,15,15,0
20,10034,3.135793924331665,0.7488004778348439,2,8450,8450,2,15,14,1
21,10698,3.204563617706299,0.7365389130791815,3,180,180,5,21,19,2
22,11497,2.711378574371338,0.7406707796507277,2,7562,7562,2,14,14,0
23,11749,2.785052537918091,0.7410274033537748,3,9195,9195,3,12,11,1
24,12121,2.81122088432312,0.7463253459185609,5,10298,10298,2,12,11,1
25,12926,2.5430867671966553,0.745563171177901,1,1341,1341,4,21,20,1
26,13392,2.675257682800293,0.7473602857174526,1,6629,6629,3,19,19,0
27,13653,2.6527507305145264,0.7479061775770047,2,7120,7120,2,14,14,0
28,14261,2.4233505725860596,0.7462606775674331,2,12890,12890,3,15,14,1
29,14776,2.4621195793151855,0.7437112387976673,3,12745,12745,3,20,18,2
30,15401,2.518415927886963,0.7462288015166282,2,14927,14927,3,14,13,1
31,15704,2.3490424156188965,0.7425152557027663,2,6602,6602,3,14,12,2
32,16287,2.4540317058563232,0.7445977032985185,4,15110,15110,3,20,18,2
33,16576,2.505655527114868,0.7299298379696009,2,16011,16011,5,27,23,4
34,17250,2.3529090881347656,0.7398499066279608,2,16287,16287,3,19,18,1
35,17898,1.8365390300750732,0.7477897297967909,4,11919,11919,4,23,22,1
36,18198,2.3830761909484863,0.7394289236508148,2,8143,8143,5,24,22,2
37,18732,2.8188376426696777,0.7384028965065998,2,10806,10806,4,19,18,1
38,19217,2.9574992656707764,0.7331753286645752,2,11546,11546,3,14,12,2
39,19570,2.7857985496520996,0.7408454088221514,3,14799,14799,5,26,23,3
40,20300,2.2599937915802,0.7469874040077108,2,17895,17895,2,10,9,1
41,20643,2.071816921234131,0.7413674838553705,2,18943,18943,2,14,14,0
42,21220,2.4408726692199707,0.7414729855270076,2,14901,14901,4,23,22,1
43,21900,2.8870677947998047,0.7359804626261263,2,20903,20903,2,13,12,1
44,22301,2.9050867557525635,0.7402116454992148,2,14502,14502,2,13,12,1
45,22626,2.2876386642456055,0.733829865480815,1,19518,19518,2,13,12,1
46,23460,2.1583917140960693,0.7466571746743358,2,20795,20795,2,14,14,0
47,23886,2.4429962635040283,0.7352574084600889,2,22140,22140,4,24,22,2
48,24128,2.454838991165161,0.7314686475541153,2,23065,23065,3,15,13,2
49,24759,2.284865140914917,0.7408341863398694,2,24372,24372,2,16,16,0
50,25460,2.1097681522369385,0.7414411704773542,2,21138,21138,3,18,17,1
51,25715,2.2593061923980713,0.7452269577061252,2,23638,23638,2,13,12,1
52,26224,2.3003835678100586,0.7467033165281923,2,23443,23443,2,10,9,1
53,26762,2.327388286590576,0.7468974893551057,2,25314,25314,3,15,13,2
54,27291,2.1132607460021973,0.7331772980200599,2,20984,20984,4,20,18,2
55,27557,1.9634625911712646,0.7449973779374106,5,24074,24074,2,12,12,0
56,28323,1.9672541618347168,0.7449042410674769,5,9087,9087,2,10,9,1
57,28566,2.144530773162842,0.737875995667789,2,10924,10924,2,13,13,0
58,29022,2.0834743976593018,0.7365984791970416,2,18532,18532,3,19,18,1
59,29885,2.0155651569366455,0.7306095268660423,5,25655,25655,4,23,22,1
60,30381,1.8907029628753662,0.7406519971268866,2,21900,21900,2,13,12,1
61,30692,1.7201231718063354,0.7333359045969287,1,27702,27702,3,17,15,2
62,31007,2.0223653316497803,0.7439878438482227,5,27769,27769,2,13,13,0
63,31553,2.373342514038086,0.7424350475682292,2,30097,30097,3,16,15,1
64,32321,2.3287312984466553,0.7481977410261746,2,28318,28318,2,14,13,1
65,32798,2.155452251434326,0.7431274298513423,3,32020,32020,3,19,19,0
66,33028,1.9525855779647827,0.7438618716626217,5,29863,29863,2,14,13,1
67,33867,1.8223599195480347,0.7445536907736229,5,30044,30044,2,15,14,1
68,34143,1.7686411142349243,0.7458529192953525,1,29986,29986,4,25,23,2
69,34729,2.0214407444000244,0.7370329075033986,5,33140,33140,3,19,18,1
70,35027,2.3325095176696777,0.7322204643601994,5,33948,33948,2,12,10,2
71,35715,2.416900157928467,0.7372060717629152,2,23886,23886,2,14,11,3
72,36045,2.1281795501708984,0.7456768244701112,5,28318,28318,3,16,15,1
73,36690,1.871864676475525,0.7450606002487066,5,34632,34632,2,14,14,0
74,37180,1.7713494300842285,0.7371671845378684,5,30044,30044,2,15,14,1
75,37764,1.7157325744628906,0.7402166832827556,5,36600,36600,5,25,21,4
76,38096,2.01291561126709,0.744190919430452,2,37429,37429,4,21,18,3
77,38889,2.2737669944763184,0.7434746418649554,5,37206,37206,4,19,15,4
78,39308,2.1477439403533936,0.7388698521209769,5,36314,36314,2,12,11,1
79,39896,1.8244143724441528,0.7420665670855064,5,39074,39074,3,19,18,1
80,40453,1.8329532146453857,-0.43547618864129156,5,23312,23312,4,20,19,1
81,40771,2.010906934738159,0.7451868531988373,2,36519,36519,2,14,13,1
82,41329,2.2585361003875732,0.7347188663741843,5,36600,36600,2,15,15,0
83,41859,2.2052886486053467,0.7460464681552746,5,40746,40746,4,20,17,3
84,42340,1.757346272468567,0.7447993159393972,2,40694,40694,4,22,20,2
85,42776,1.8546581268310547,-0.4357316504587606,4,38873,38873,4,20,15,5
86,43344,1.9448820352554321,0.7313829800111409,2,42526,42526,2,14,14,0
87,43759,2.5203230381011963,0.7435529441964781,2,41652,41652,3,16,16,0
88,44081,2.4049320220947266,0.7369243741373633,2,43718,43718,4,20,17,3
89,44739,1.735666275024414,-0.43417047309915696,1,30884,30884,4,20,18,2
90,45149,2.6630616188049316,-0.4354428674363017,2,44994,44994,4,18,15,3
91,45623,3.1987905502319336,-0.43556974862538494,1,37113,37113,3,17,14,3
92,46377,2.8753421306610107,-0.43504807058793693,2,45819,45819,2,13,12,1
93,46966,2.218374490737915,-0.43557191292404934,1,45234,45234,2,12,11,1
94,47074,2.637892723083496,0.7350140745945257,5,45942,45942,2,14,13,1
95,47660,3.688831329345703,0.7425343299673092,5,45114,45114,2,13,13,0
96,48271,4.019715785980225,0.7473036325109486,4,46894,46894,4,22,20,2
97,48689,3.3144798278808594,0.7464601092312012,4,48171,48171,3,17,15,2
98,49141,2.214329481124878,0.7396631711460333,2,48611,48611,6,30,25,5
99,49796,2.2392237186431885,-0.4346731568480505,4,47861,47861,3,19,17,2
100,50393,2.64599347114563,-0.4356226492333458,5,49647,49647,2,14,13,1
101,50911,2.6746561527252197,-0.4352002082465855,4,49348,49348,2,12,11,1
102,51095,2.292440891265869,-0.43529829115037233,5,50650,50650,3,16,16,0
103,51908,1.8105112314224243,0.7417784456859431,3,51332,51332,6,31,26,5
104,52361,2.3592216968536377,0.7454812138064325,1,50252,50252,5,28,23,5
105,52943,2.6953015327453613,0.7438914315282893,4,52166,52166,5,24,20,4
106,53442,2.523883104324341,0.7439271957621737,3,52364,52364,2,15,15,0
107,53875,1.930309772491455,0.7428883443269619,1,52223,52223,5,30,25,5
108,54280,2.202566623687744,-0.4355363302750083,4,53268,53268,4,16,14,2
109,54869,2.4605374336242676,-0.43540878254792115,4,51453,51453,5,24,19,5
110,55314,2.1614773273468018,-0.43549429722007954,4,54572,54572,5,19,15,4
111,55911,1.5276472568511963,0.7559984210480855,3,55125,55125,4,16,13,3
112,56378,2.72489333152771,0.7359356619637054,4,52991,52991,5,24,20,4
113,56551,3.44992733001709,0.7488648070705421,4,55756,55756,4,19,16,3
114,57463,3.5418460369110107,0.7579859001840794,1,56155,56155,2,15,14,1
115,57908,5.109832286834717,0.7440619867075644,4,56675,56675,3,19,18,1
116,58064,2.3578898906707764,0.7483465917618537,2,56939,56939,2,15,13,2
117,58867,1.7854620218276978,0.7507644796748476,4,58295,58295,2,10,8,2
118,59014,1.7015624046325684,0.7456393864630902,3,58230,58230,3,16,13,3
119,59625,1.5970745086669922,0.748278787994162,4,58329,58329,4,17,13,4
120,60083,2.269850730895996,0.6503764245216194,1,57247,57247,2,14,14,0
121,60566,2.58670973777771,0.746774950192902,3,60127,60127,4,18,14,4
122,61364,3.5350420475006104,0.7417009324547551,1,59650,59650,5,18,14,4
123,61844,3.282456874847412,0.7410328552038788,4,59983,59983,5,20,16,4
124,62212,2.639955759048462,0.7409972063527106,4,61331,61331,2,11,9,2
125,62713,2.2090203762054443,0.7269971170139364,1,61364,61364,2,12,9,3
126,63374,2.6626150608062744,0.7355217779530558,1,61696,61696,5,24,20,4
127,63609,2.1840527057647705,0.6301949892444156,3,62713,62713,3,17,14,3
128,64265,3.0327374935150146,0.734428253870622,1,61696,61696,2,11,8,3
129,64765,2.674628973007202,0.7421968163766414,4,61723,61723,4,18,14,4
130,65179,2.3644115924835205,0.7439375389564766,1,64195,64195,3,12,10,2
131,65661,2.17991304397583,0.7424460104660244,4,62212,62212,5,24,20,4
132,66075,2.364166259765625,0.7359119912504192,4,65614,65614,3,15,13,2
