generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,449,9.47389030456543,0.7485901992551928,3,-1,-1,3,18,18,0
1,725,10.09528923034668,0.7599600443110163,3,490,490,3,18,18,0
2,1196,3.261476993560791,0.6684238118602377,4,360,360,3,18,17,1
3,1512,0.9128034114837646,0.7232812607229525,4,224,224,2,11,11,0
4,2149,0.22224457561969757,0.7349602484903843,1,739,739,4,21,20,1
5,2612,0.16786351799964905,0.18198714268349,2,2314,2314,2,12,11,1
6,3315,0.1759195476770401,0.7291414647447155,3,2560,2560,2,12,12,0
7,3961,0.1743895262479782,0.7615660577768248,1,1525,1525,2,11,11,0
8,4094,0.07918122410774231,0.7578885043367655,4,2253,2253,4,19,16,3
9,4962,0.06795458495616913,0.7499386790287889,2,3643,3643,2,11,11,0
10,5461,0.09396728128194809,0.7586514753717077,3,4439,4439,2,11,11,0
11,5766,0.047664202749729156,0.7396446745165978,5,5123,5123,3,13,11,2
12,6249,0.012109354138374329,0.7187311205769606,1,4629,4629,4,20,20,0
13,6796,0.008525427430868149,-0.42654178220634614,5,5641,5641,2,12,12,0
14,7281,0.008697183802723885,-0.43415265938603564,4,6303,6303,4,17,15,2
15,7651,0.008408933877944946,-0.43408833986555806,4,7150,7150,2,14,13,1
16,8458,0.006533269304782152,-0.43407055388370114,5,7162,7162,3,18,18,0
17,8588,0.003877217648550868,0.18531922919486177,2,7481,7481,3,15,14,1
18,9045,0.007283083163201809,0.7495515653083569,6,8709,8709,2,10,10,0
19,9506,0.014321139082312584,0.7398470135723464,4,7046,7046,2,14,14,0
20,10067,0.004176795948296785,0.08535312043491404,4,8424,8424,4,18,16,2
21,10782,0.012209424749016762,0.6554157327416599,5,10455,10455,3,17,16,1
22,11050,0.008993125520646572,0.7398067826419443,5,9293,9293,4,15,12,3
23,11697,0.002482328098267317,0.7269945979029211,5,10843,10843,3,20,20,0
24,12159,0.00220778351649642,0.7278761936778588,4,10293,10293,5,26,24,2
25,12972,0.00176330900285393,0.7426811659567217,4,12150,12150,2,13,12,1
26,13234,0.001879184041172266,0.754229924255046,4,12576,12576,4,17,16,1
27,13602,0.0008926131413318217,0.05619260022111805,1,10617,10617,5,19,18,1
28,14294,0.0009104337077587843,0.28384281389205623,4,10416,10416,2,14,12,2
