generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,360,9.145889282226562,0.7524927291235043,1,-1,-1,3,18,18,0
1,725,10.09528923034668,0.7599600443110163,3,490,490,3,18,18,0
2,1196,3.261476993560791,0.6684238118602377,4,360,360,3,18,17,1
3,1512,0.9128034114837646,0.7232812607229525,4,224,224,2,11,11,0
4,2117,0.18326178193092346,0.7599442204070579,4,1287,1287,4,21,20,1
5,2872,0.11697051674127579,0.7514770203354634,1,2470,2470,2,12,11,1
6,3151,0.15936754643917084,0.7590000982732311,5,2431,2431,2,12,12,0
7,3961,0.1743895262479782,0.7615660577768248,1,1525,1525,2,11,11,0
8,4094,0.07918122410774231,0.7578885043367655,4,2253,2253,4,19,16,3
9,4786,0.06566866487264633,0.7563267152044407,4,2936,2936,2,11,11,0
10,5475,0.08596162497997284,0.7594010127781998,3,2701,2701,2,11,11,0
11,5556,0.04250141233205795,0.7525331598982916,4,4768,4768,3,13,11,2
12,6107,0.0076942238956689835,0.7607645516134754,5,3151,3151,4,20,20,0
13,6964,0.006857727654278278,0.7583007935286118,4,5194,5194,2,12,12,0
14,7337,0.002146522980183363,0.7611207124444498,5,5205,5205,4,17,15,2
15,7757,0.0019489687401801348,0.7576040465613574,1,6254,6254,2,14,13,1
16,8026,0.001806710148230195,0.7595187634671284,4,6728,6728,3,18,18,0
17,8574,0.0003378843539394438,0.7543485376397204,2,8167,8167,3,15,14,1
18,9289,0.006223117932677269,0.7500201031947153,4,7731,7731,2,10,10,0
19,9613,0.014018661342561245,0.75370448268439,2,9461,9461,2,14,14,0
20,10250,0.001373864128254354,0.7569784046721011,5,9293,9293,4,18,16,2
21,10614,0.00645421864464879,0.7578532872422723,5,10444,10444,3,17,16,1
22,11049,0.008284523151814938,0.7465003241865353,3,10271,10271,4,15,12,3
23,11742,0.0008873201441019773,0.7585484423018282,4,11081,11081,3,20,20,0
24,12196,0.0010954610770568252,0.7601559075052455,5,11222,11222,5,26,24,2
25,12683,0.0015861871652305126,0.760831100978415,6,9045,9045,2,13,12,1
26,13364,0.0016128337010741234,0.7626025630375567,6,11422,11422,4,17,16,1
27,13614,0.0007607010193169117,0.7617360046181947,2,12085,12085,5,19,18,1
28,14306,0.0002834019251167774,0.7600803588535735,4,13941,13941,2,14,12,2
29,14942,0.0010270657949149609,0.7590035513962732,1,13279,13279,2,15,15,0
30,15362,0.004027301445603371,0.7605920701912185,3,14848,14848,3,18,17,1
31,15961,0.0032720589078962803,0.7595213855655248,3,14848,14848,3,23,21,2
32,16043,0.0012012971565127373,0.7617542119358885,4,15379,15379,2,14,14,0
33,16539,0.0005700020119547844,0.7602847941079219,1,12641,12641,4,17,15,2
34,17146,0.00029650828219018877,0.7600904788577256,3,15961,15961,2,16,13,3
35,17902,0.00031242729164659977,0.757014582179779,3,14848,14848,2,11,10,1
36,18050,0.00011854731565108523,0.7563676518818544,1,17068,17068,3,15,12,3
37,18706,0.0003100230824202299,0.7609126146431522,4,18059,18059,2,14,11,3
38,19245,0.0013486889656633139,0.7523304579779044,1,14443,14443,2,14,10,4
39,19868,0.001272217952646315,0.7541020210808188,1,19245,19245,3,13,11,2
40,20455,0.00047939721844159067,0.7451444942139196,5,19775,19775,2,10,9,1
41,20950,0.00026332330889999866,0.7541186885365081,6,19488,19488,3,18,15,3
42,21145,0.0003849809290841222,0.738407759346232,5,18932,18932,2,13,13,0
43,21760,0.0003436667611822486,0.7616196523216195,6,20298,20298,5,19,14,5
44,22118,8.377445919904858e-05,0.7595100781537251,2,21727,21727,2,11,9,2
45,22715,0.00019043136853724718,0.7494637914538959,2,22472,22472,3,17,15,2
46,23201,5.3234893130138516e-05,0.7598493306536956,4,22592,22592,3,15,12,3
47,23889,0.00013611349277198315,0.7608694998780862,1,18932,18932,2,12,11,1
48,24493,1.2508835425251164e-05,0.761786511911206,4,22466,22466,3,15,13,2
49,24943,9.004304592963308e-05,0.7590110013662137,5,23841,23841,7,23,19,4
50,25468,4.382830229587853e-05,0.751473580452896,3,24813,24813,2,11,10,1
51,25760,8.944337605498731e-05,0.7602105644047754,3,25202,25202,4,18,13,5
52,26282,4.5121039875084534e-05,0.7357275550710701,1,24611,24611,7,24,21,3
53,26729,1.2149233953095973e-05,0.7589560771716394,5,24749,24749,3,16,14,2
54,27241,2.1129122615093365e-05,0.7611538780226461,4,26882,26882,4,19,17,2
55,27953,4.4904569222126156e-05,0.7592747410769021,1,25834,25834,2,13,12,1
56,28055,2.2598793293582276e-05,0.7522896154529172,6,27806,27806,3,12,11,1
57,28990,6.764012141502462e-06,0.7525262489279407,3,27806,27806,2,13,12,1
58,29003,1.2990188224648591e-05,0.7535904373156864,5,26974,26974,2,10,9,1
59,29978,1.1637836905720178e-05,0.743954152711175,2,27241,27241,2,10,8,2
60,30386,2.9996740522619803e-06,0.7527212999018781,3,29278,29278,3,15,12,3
61,30744,2.7607520678429864e-05,0.758793073931026,4,30148,30148,3,14,10,4
62,31443,5.538423465623055e-06,0.7612890391843039,3,28623,28623,2,11,11,0
63,31652,1.36276339617325e-05,0.7594050816551042,3,31393,31393,3,21,16,5
64,32165,2.3214328393805772e-05,0.7489183395045178,3,31550,31550,3,14,12,2
65,32923,3.130528966721613e-06,0.7563845128477832,6,32473,32473,2,13,9,4
66,33121,5.049756509833969e-06,0.7521388302477372,5,32963,32963,2,14,11,3
67,33690,8.647802133054938e-06,0.7573608129306777,4,29662,29662,2,14,12,2
68,34049,2.782879619189771e-06,0.7619963843003845,5,31884,31884,3,18,16,2
69,34543,7.200325399026042e-06,0.7552026939792524,5,34049,34049,2,14,12,2
70,35437,3.231530718039721e-05,0.7607592953153025,2,34345,34345,3,13,12,1
71,35580,6.867468073323835e-06,0.7588859409444201,6,32513,32513,3,13,11,2
72,36230,4.3829608330270275e-05,0.7602491316729234,4,35900,35900,2,13,10,3
73,36954,0.002604725770652294,0.7586239965194806,6,35764,35764,3,15,14,1
74,37463,0.007718794979155064,0.7608789229640704,3,36820,36820,2,11,11,0
75,37829,0.015708396211266518,0.762439855883337,4,35178,35178,2,9,7,2
76,38389,0.002217564731836319,0.7626454784346087,2,36770,36770,4,20,16,4
77,38979,0.0019253246719017625,0.7623731593356656,3,37502,37502,4,14,11,3
78,39274,5.505346052814275e-05,0.759850267056018,6,38324,38324,4,14,11,3
79,39898,0.0023753629066050053,0.7606710011273629,5,39300,39300,2,14,9,5
80,40208,0.002103885868564248,0.7574299571931034,6,39791,39791,5,18,11,7
81,40652,0.001133287907578051,0.7590140157603439,2,39682,39682,2,11,11,0
82,41107,0.0004340018786024302,0.7549982630255803,4,40823,40823,3,13,13,0
83,41931,0.00010249220213154331,0.7610693093060631,6,39717,39717,6,27,20,7
84,42124,0.0008611171506345272,0.7438327584342896,5,41332,41332,2,15,15,0
85,42794,0.0010243549477308989,0.7470174036653546,4,41159,41159,3,17,15,2
86,43327,0.00017955523799173534,0.7585080281918068,6,42859,42859,2,14,12,2
87,43686,0.00023481028620153666,0.7612635111869506,6,43108,43108,2,11,8,3
88,44354,0.00017412712622899562,0.7614380771858141,5,42360,42360,3,13,11,2
89,44653,2.6810617782757618e-05,0.7615223790307054,4,44248,44248,2,12,6,6
