generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,2.729642391204834,0.7581625877241497,1,-1,-1,3,18,18,0
1,767,2.931974172592163,0.7517867844449495,5,194,194,3,19,19,0
2,1206,2.2383992671966553,0.6420530918884997,5,700,700,3,19,19,0
3,1818,2.1587440967559814,0.7521414037683529,4,180,1343,2,11,11,0
4,2299,1.944548487663269,0.7437346061262261,3,1456,1456,2,10,10,0
5,2743,1.6593902111053467,0.7369957738701365,4,492,492,2,14,14,0
6,3161,1.4541785717010498,0.7469704080712634,1,749,1181,3,18,18,0
7,3921,1.268326759338379,0.7431263124672711,1,2675,2675,2,12,12,0
8,4082,1.1364343166351318,0.7460989502429018,2,2299,2299,4,22,20,2
9,4558,1.064617395401001,0.7594578032527481,1,2546,2546,5,23,21,2
10,5372,1.00802481174469,0.7609729177493809,4,2116,1350,3,13,12,1
11,5909,0.9510349035263062,0.753251544240127,2,3796,3031,4,21,20,1
12,6006,0.8813585042953491,0.7578134621841653,5,3643,3264,2,10,10,0
13,6831,0.8264980912208557,0.7616964559858304,1,6146,5686,4,20,19,1
14,7028,0.7852340936660767,0.7616089080042483,2,5635,5635,3,18,16,2
15,7718,0.7319986820220947,0.7597028050052957,2,3461,6202,3,18,17,1
16,8456,0.709099292755127,0.760662641172614,1,7703,7703,3,12,11,1
17,8692,0.6826998591423035,0.7612630717294718,1,7785,8307,4,20,18,2
18,9136,0.6572208404541016,0.7612986240366486,6,8727,8727,2,11,11,0
19,9908,0.634205162525177,0.7618409423509483,2,5564,5892,5,24,21,3
20,10245,0.6191211938858032,0.7608894363345178,1,7035,7202,3,19,19,0
21,10779,0.5935914516448975,0.760572131917919,5,9998,9908,3,21,21,0
22,11488,0.5735599398612976,0.7619092832000313,6,10740,8647,5,22,21,1
23,11558,0.5536291003227234,0.7622991173898036,5,9800,9800,4,22,21,1
24,12358,0.5355561971664429,0.7621072081884143,1,11803,11056,4,22,18,4
25,12975,0.515504777431488,0.75424519811838,1,8307,7373,5,23,19,4
26,13061,0.4893716871738434,0.754741948772824,1,10687,8692,4,23,22,1
27,13529,0.46978700160980225,0.7558432888384512,2,11763,11977,4,22,20,2
28,14444,0.4525967240333557,0.7550594806241707,6,10066,10066,2,11,11,0
29,14616,0.43598079681396484,0.7550146418957485,5,5686,5686,3,17,16,1
