generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,2.729642391204834,0.7581625877241497,1,-1,-1,3,18,18,0
1,795,2.8639464378356934,0.7559332767435298,4,194,159,3,19,19,0
2,1406,1.8976348638534546,0.754565841527678,4,543,316,3,19,19,0
3,1574,1.9503488540649414,0.7576746909098032,2,767,767,2,11,11,0
4,2179,1.704646348953247,0.7615432553020448,5,82,82,2,10,10,0
5,2568,1.4985727071762085,0.7606679882247427,3,1025,2208,2,14,14,0
6,3094,1.320979118347168,0.762858789579687,1,1818,2429,3,18,18,0
7,3728,1.1830106973648071,0.7600487848657174,5,795,1574,2,12,12,0
8,4388,1.0934491157531738,0.7588272215640142,1,3029,3553,4,22,20,2
9,4920,1.0382565259933472,0.7607798318857888,2,4073,1818,5,23,21,2
10,5372,1.00802481174469,0.7609729177493809,4,2116,1350,3,13,12,1
11,5564,0.9394125938415527,0.7616518035880799,5,4678,4388,4,21,20,1
12,6292,0.824479341506958,0.7622413204197954,2,4920,4920,2,10,10,0
13,6944,0.7699360847473145,0.761967912945568,2,6367,5587,4,20,19,1
14,7202,0.7822004556655884,0.7623636199205427,1,6831,2568,3,18,16,2
15,7771,0.6724516153335571,0.7624021365159681,4,5422,5422,3,18,17,1
16,8428,0.67985999584198,0.7612587828888798,1,3796,6831,3,12,11,1
17,8647,0.6824970245361328,0.7618686488398279,6,8455,8455,4,20,18,2
18,9265,0.6541142463684082,0.7614036271230992,6,8408,8408,2,11,11,0
19,9534,0.5888415575027466,0.762126994432609,2,3457,7028,5,24,21,3
20,10083,0.6158424019813538,0.7621790246470221,3,6325,6106,3,19,19,0
21,10687,0.5933471918106079,0.7610709390581005,1,7103,7103,3,21,21,0
22,11332,0.5246110558509827,0.7620520534334289,2,6367,9964,5,22,21,1
23,11558,0.5536291003227234,0.7622991173898036,5,9800,9800,4,22,21,1
24,12358,0.5355561971664429,0.7621072081884143,1,11803,11056,4,22,18,4
25,12596,0.502783477306366,0.7626732673757095,2,7872,10245,5,23,19,4
26,13440,0.4860870838165283,0.7618761480210227,1,10231,10231,4,23,22,1
27,13731,0.4650406241416931,0.7615975669435352,5,13258,13258,4,22,20,2
28,14245,0.44530609250068665,0.7622057121676782,2,3029,3029,2,11,11,0
29,14574,0.43042540550231934,0.7619857811256773,2,9170,9170,3,17,16,1
