generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,137.25071716308594,0.7581625877241497,1,-1,-1,3,18,18,0
1,687,130.8529510498047,0.7588420570888528,5,180,461,3,19,19,0
2,1195,126.05223083496094,0.762048791413676,5,769,769,3,17,17,0
3,1811,127.71292114257812,0.7615961406672868,5,633,633,4,20,19,1
4,2248,114.87805938720703,0.7624210598510337,5,1081,1081,3,19,19,0
5,2745,109.60004425048828,0.7613645417412144,1,2248,2248,3,18,17,1
6,3356,108.88226318359375,0.7626840489164474,4,2216,2216,4,20,19,1
7,4000,102.3270034790039,0.7615553408957401,4,3356,3356,4,20,18,2
8,4326,98.9467544555664,0.7626038803095981,4,3356,3356,3,18,17,1
9,4597,99.12090301513672,0.762001306843422,2,3420,3420,3,18,17,1
10,5438,94.02649688720703,0.7614022388995643,1,3356,3356,3,18,17,1
11,5932,83.68828582763672,0.7623677588646559,1,3356,2928,3,18,17,1
12,6289,85.33451843261719,0.7615644848125702,1,3356,4351,3,18,17,1
13,6516,72.714111328125,0.7616918426896756,4,2738,2738,3,18,17,1
14,7014,71.63325500488281,0.761356721779738,1,3356,6851,3,12,12,0
15,7611,66.59712219238281,0.7625523703970275,2,3356,1410,3,18,17,1
16,8344,63.358009338378906,0.7625529075600462,2,3356,3994,2,10,10,0
17,8860,56.600257873535156,0.7622603145399268,1,3356,4107,3,18,17,1
18,9281,51.7038459777832,0.761357383010776,1,4509,4509,2,11,11,0
19,9572,49.12056350708008,0.7626556293740513,1,3889,3889,3,17,16,1
20,10400,46.28705596923828,0.7624404633234481,3,9504,3356,3,18,17,1
21,10898,43.28848648071289,0.7627436302871182,4,3356,3356,3,19,17,2
22,11061,40.84303283691406,0.7622738185714797,3,10172,10172,3,18,17,1
23,11660,35.24266815185547,0.7619138789887021,1,11267,11267,3,18,17,1
24,12474,32.0471076965332,0.7611771641689574,5,2099,2099,4,20,18,2
25,12845,31.400556564331055,0.762747767478009,4,10898,6199,3,18,17,1
26,13169,29.114927291870117,0.7620572907986868,4,12845,12938,3,18,17,1
27,13725,25.39914321899414,0.7605940914140749,4,12845,12938,3,18,17,1
28,14323,26.952571868896484,0.759111238726139,5,2620,2620,3,19,18,1
29,14503,24.031131744384766,0.7617995036736686,4,12845,12845,3,18,18,0
30,15449,20.865421295166016,0.7614902323588838,1,14681,8471,3,19,18,1
31,15583,20.83542251586914,0.7610204455700971,1,12845,12845,4,22,20,2
32,16353,18.76584243774414,0.7624058582701667,1,12845,12845,3,19,18,1
33,16707,17.382061004638672,0.7626279427741313,3,12845,8085,3,19,17,2
34,17274,16.013612747192383,0.7623398675234628,2,12845,12845,3,17,16,1
35,17862,15.147420883178711,0.76233051973306,4,12845,12845,3,19,18,1
36,18463,14.32025146484375,0.7620236314982689,1,17797,10540,4,15,13,2
37,18721,13.12997817993164,0.7624136032178591,1,12845,12845,4,21,19,2
38,19456,12.023676872253418,0.7617323655576501,1,12845,12845,3,18,17,1
39,19763,11.12026596069336,0.7626618194838376,5,12845,18259,3,18,17,1
40,20148,10.516351699829102,0.7612840420779596,1,19857,12845,3,18,16,2
41,20863,9.747771263122559,0.7617370591409902,2,12845,12845,3,18,15,3
42,21335,8.875560760498047,0.7623170903010767,1,20550,12845,3,17,16,1
43,21799,8.209125518798828,0.7623979425977585,3,12845,17760,3,19,17,2
44,22217,7.605408191680908,0.7625617546674106,1,12845,12845,3,17,15,2
45,22826,7.061668872833252,0.7602494857016374,4,22305,10540,3,18,17,1
46,23374,6.499405384063721,0.762747767478009,4,12845,12845,2,11,11,0
47,23817,5.972908973693848,0.7606933591699728,4,22130,22130,3,18,17,1
48,24162,5.455440521240234,0.7622620744435091,2,9681,9681,3,18,17,1
49,24529,4.98261833190918,0.762504994360716,4,11165,11165,4,19,16,3
50,25429,4.617945671081543,0.7617299778651365,1,14112,14112,3,19,17,2
51,25882,4.217720985412598,0.7599699379560415,4,23950,23950,3,20,17,3
52,26244,4.043336391448975,0.7598071648181878,1,12845,24977,4,21,19,2
53,26735,3.8834612369537354,0.7550449212628583,1,12845,12845,2,13,13,0
54,27204,3.709507942199707,0.756646272578568,1,12845,12845,2,10,9,1
55,27526,3.6370983123779297,0.7612058055780809,1,26508,26508,3,19,17,2
56,28495,3.515542507171631,0.7574984298045738,2,26612,26612,3,18,17,1
57,28911,3.3598666191101074,0.7623169992631189,1,28495,28495,2,13,12,1
58,29285,3.2034950256347656,0.7617077287147606,1,12845,12845,3,18,17,1
59,29688,2.992227554321289,0.7626463859060596,1,12845,12845,4,20,19,1
60,30327,2.7661213874816895,0.7624636866333726,1,27281,27281,3,12,11,1
61,30749,2.527377128601074,0.7605742633793752,5,29994,29994,3,20,20,0
62,31293,2.2179665565490723,0.7591955356539282,5,27261,27261,3,21,20,1
63,31678,1.9826686382293701,0.7614156829727935,1,29420,29420,3,19,18,1
64,32496,1.7631924152374268,0.7623692594765082,5,29461,29461,2,11,11,0
65,32660,1.5253398418426514,0.7616737048179653,5,30951,30951,2,11,11,0
66,33115,1.3404637575149536,0.7595823910776656,5,31560,31560,2,11,11,0
67,33902,1.1532282829284668,0.7608513077516612,1,32537,32537,2,10,10,0
68,34469,1.012790322303772,0.7618003226387323,5,29828,29828,3,20,20,0
69,34924,0.9510854482650757,0.7615935886163201,2,29828,29828,3,19,18,1
70,35483,0.8412220478057861,0.7589380582491693,3,31511,31511,3,24,24,0
71,35576,0.7136930227279663,0.7619882843440646,1,31817,31817,3,18,15,3
72,36248,0.6101315021514893,0.7617560689893403,1,12845,35216,4,19,17,2
73,36700,0.5391252040863037,0.7583007998783906,5,36500,36500,3,13,13,0
74,37308,0.6483532190322876,0.7612039755670328,1,12845,35446,2,9,8,1
75,37918,0.5769268274307251,0.7608427413576545,1,12845,36175,5,27,24,3
76,38498,0.6407550573348999,0.7601723714632981,1,36475,36475,4,18,16,2
77,38539,0.643846333026886,0.758652053764051,2,37894,37894,3,18,17,1
78,39245,0.8429933786392212,0.7623015296952601,2,38962,38962,4,21,18,3
79,39946,0.690062403678894,0.7604002250929621,2,12845,12845,5,20,17,3
80,40109,0.8333202600479126,0.7621889766936527,2,39546,39546,2,9,8,1
81,40823,0.680509090423584,0.761491277633333,5,39951,39951,2,10,10,0
82,41223,0.5036393404006958,0.7628528406582907,2,40414,12845,3,12,11,1
83,41903,0.4990215003490448,0.7607062667807174,5,41223,41223,2,10,10,0
84,42046,0.2733050286769867,0.7620758064740758,5,41223,41204,2,11,10,1
85,42822,0.19085726141929626,0.7614061997851024,5,41223,41369,5,22,18,4
86,43433,0.16882506012916565,0.7627044991106896,5,41223,41223,4,22,20,2
87,43736,0.1670728325843811,0.7616901723069717,3,39035,39035,3,18,17,1
88,44074,0.10817386209964752,0.7627595009525446,5,41223,43008,4,21,19,2
89,44711,0.09275311231613159,0.7617553516555997,5,41223,41223,3,18,17,1
90,45309,0.11504586040973663,0.7620649122284003,5,41223,43101,5,23,18,5
91,45501,0.1357998251914978,0.762133394315512,5,41223,41223,3,18,16,2
92,46043,0.18262697756290436,0.7615148580516891,5,41223,44185,4,21,20,1
93,46757,0.2242431938648224,0.7628528406582907,5,41223,41223,4,13,12,1
94,47226,0.28884369134902954,0.7622731623433138,5,41223,41223,3,18,16,2
95,47866,0.2519967555999756,0.76203460667023,4,45129,45129,3,19,17,2
96,48065,0.26458942890167236,0.7623654837241413,5,47776,41223,2,10,10,0
97,48842,0.25245463848114014,0.7625732846048248,4,41223,46170,3,18,17,1
98,49249,0.2770892083644867,0.760800169819374,1,41223,41223,3,18,17,1
99,49807,0.2558848261833191,0.7617235732627256,3,41223,41223,4,13,12,1
100,50210,0.15218739211559296,0.7622703005648671,3,41223,41223,3,15,13,2
101,50890,0.12827572226524353,0.7625970752766197,3,41223,41223,4,21,19,2
102,51434,0.10769558697938919,0.7625369892269267,5,41223,46844,3,17,15,2
103,51717,0.13959652185440063,0.7612019463790394,3,41223,41223,4,20,16,4
104,52496,0.09740135073661804,0.7628474198833711,1,45420,45420,5,20,18,2
105,52754,0.18537858128547668,0.756369310228899,5,51961,41223,5,17,15,2
106,53143,0.15506088733673096,0.759393676063114,3,41223,41223,4,20,16,4
107,53766,0.15101759135723114,0.75301050058729,3,41223,41223,3,18,15,3
108,54296,0.2174263894557953,0.7495904513894388,2,41223,51961,3,18,17,1
109,54571,0.23787829279899597,0.7625217894027851,3,54290,54290,3,19,18,1
110,55068,0.2601708769798279,0.7559974270819633,1,54661,54661,5,23,18,5
111,55659,0.2504376173019409,0.7550418447976374,5,51961,51961,5,27,23,4
112,56067,0.1930452138185501,0.7574340042786739,5,54593,54593,4,22,16,6
113,56658,0.09659746289253235,0.7626209181939559,1,41223,55739,5,23,17,6
114,57472,0.13617737591266632,0.7568823255817393,4,54122,54122,5,25,18,7
115,57949,0.06580554693937302,0.7614758688353298,3,41223,57004,4,22,17,5
116,58227,0.060028329491615295,0.7503836742841149,5,57064,57064,4,22,17,5
117,58882,0.09369675815105438,0.755972382275424,2,57940,57940,3,13,12,1
118,59195,0.08120650798082352,0.7608197370356689,2,55739,41223,2,11,10,1
119,59978,0.06587286293506622,0.7555378087664532,3,41223,41223,4,23,18,5
120,60251,0.09617233276367188,0.754532672582806,3,41223,41223,4,24,19,5
121,60602,0.08449050039052963,0.7614856093541875,3,41223,41223,2,10,9,1
122,61070,0.19875849783420563,0.7510094714074783,4,57209,57209,3,13,12,1
123,61609,0.0876200869679451,0.7615898560704466,2,41223,59229,4,21,16,5
124,62309,0.1082756370306015,0.7615044386227199,1,41223,59229,5,23,16,7
125,62757,0.07815774530172348,0.756119283476206,1,41223,41223,4,24,18,6
126,63245,0.1546306163072586,0.759079825046396,1,41223,41223,3,17,16,1
127,63807,0.10507798194885254,0.7620292110372876,3,61389,61389,3,10,9,1
128,64434,0.0729193240404129,0.759499379452774,3,41223,41223,3,18,13,5
129,64719,0.06328556686639786,0.7520657376361245,3,41223,41223,5,23,15,8
130,65378,0.05878211557865143,0.7551454085467859,1,41223,41223,4,15,14,1
131,65801,0.13306060433387756,0.7469694211221484,4,64923,64923,4,14,12,2
132,66084,0.05350212752819061,0.7505580392306936,5,65984,65984,3,19,15,4
133,66657,0.05872918292880058,0.761411778515269,1,41223,65637,2,10,8,2
134,67108,0.056936994194984436,0.7601924245408271,3,66940,66940,2,12,9,3
135,67913,0.057615213096141815,0.7620136681404889,3,65984,65984,4,17,17,0
136,68331,0.055861975997686386,0.7602575933499138,3,65984,65984,3,18,17,1
137,68789,0.05685121566057205,0.7619412591242967,3,41223,41223,3,20,13,7
138,69035,0.05904878303408623,0.7554043970582621,2,68342,68342,3,17,13,4
139,69968,0.060042329132556915,0.7613073424419102,2,67708,67708,3,19,12,7
140,70131,0.061390042304992676,0.7622105654292292,5,68955,68955,3,21,15,6
141,70782,0.06596660614013672,0.7616460190419734,3,41223,41223,3,19,13,6
142,71413,0.06538765877485275,0.7627616880261708,1,41223,41223,3,18,13,5
143,71981,0.06747493147850037,0.762762314765476,2,70573,70573,3,16,11,5
144,72123,0.07527180016040802,0.76220700517838,1,71808,71808,3,11,9,2
145,72829,0.08955590426921844,0.7599054309405192,2,72244,72244,3,21,15,6
146,73445,0.08780032396316528,0.7618726499340251,3,72798,72798,2,11,9,2
147,73892,0.0872320681810379,0.7623827639566269,5,72269,72269,2,11,10,1
148,74160,0.07585861533880234,0.758269942176461,3,41223,41223,2,11,11,0
149,74805,0.10146108269691467,0.761215673053743,2,73138,73138,5,24,21,3
150,75471,0.07585392147302628,0.7543307035916802,3,41223,41223,3,19,13,6
151,75593,0.0744345635175705,0.7618191748481588,1,41223,41223,4,22,15,7
152,76500,0.0724467933177948,0.7595010442766638,3,75924,75924,3,19,18,1
153,76574,0.057761840522289276,0.7568591190746817,1,41223,70643,5,14,13,1
154,77187,0.06413459777832031,0.7610550627161924,4,76597,76597,4,22,20,2
155,77549,0.05120532587170601,0.7626181904927006,2,41223,41223,4,22,17,5
156,78313,0.05419892817735672,0.7605645088524011,3,41223,41223,2,11,11,0
157,78925,0.07725141942501068,0.7490938025029058,2,76971,76971,3,20,17,3
158,79053,0.05312597006559372,0.7617764679915544,1,41223,41223,6,26,21,5
159,79521,0.0505242720246315,0.7474330455898501,1,73945,41223,2,11,11,0
160,80102,0.05458290874958038,0.758906462816726,5,41223,77357,2,10,8,2
161,80696,0.07886091619729996,0.7527764147359038,3,41223,73945,3,15,14,1
162,81463,0.05463194474577904,0.7599973279353028,1,41223,79375,3,15,14,1
163,81832,0.08827352523803711,0.7558603102660809,2,78307,78307,5,23,18,5
164,82018,0.05688157677650452,0.7549282809617788,1,41223,41223,4,27,21,6
