generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,230,0.95017409324646,0.6006965289520574,,-1,-1,3,18,18,0
0,291,2.57588529586792,0.22520242759574266,,-1,-1,3,18,18,0
1,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
1,969,1.579276204109192,0.36349429634248404,,230,440,3,18,18,0
2,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
2,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
3,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
3,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
4,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
4,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
5,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
5,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
6,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
6,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
7,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
7,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
8,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
8,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
9,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
9,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
10,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
10,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
11,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
11,969,1.5538768768310547,0.36349429634248404,,230,440,3,18,18,0
12,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
12,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
13,746,1.1743741035461426,0.7620325489174743,,230,230,4,20,19,1
13,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
14,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
14,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
15,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
15,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
16,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
16,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
17,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
17,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
18,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
18,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
19,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
19,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
20,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
20,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
21,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
21,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
22,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
22,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
23,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
23,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
24,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
24,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
25,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
25,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
26,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
26,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
27,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
27,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
28,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
28,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
29,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
29,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
30,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
30,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
31,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
31,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
32,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
32,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
33,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
33,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
34,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
34,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
35,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
35,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
36,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
36,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
37,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
37,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
38,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
38,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
39,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
39,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
40,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
40,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
41,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
41,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
42,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
42,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
43,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
43,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
44,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
44,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
45,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
45,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
46,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
46,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
47,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
47,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
47,23550,0.4653690755367279,0.09419001926083222,,23237,23237,2,12,10,2
48,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
48,6112,1.0694267749786377,0.3637001255043293,,969,5365,3,17,17,0
49,7434,0.9436032772064209,0.7621966543251558,,746,746,3,13,12,1
