generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,495,11.933145523071289,-0.4341823343902121,3,-1,-1,3,18,18,0
1,940,10.59288215637207,-0.4343438813511865,6,230,495,3,18,18,0
2,1285,10.405539512634277,-0.4195160488545264,5,746,218,2,13,13,0
3,1749,10.215300559997559,-0.4337233947179793,5,969,940,4,20,19,1
4,2172,9.942839622497559,-0.4354071330565724,1,174,174,3,19,19,0
5,2772,9.628995895385742,-0.4337264111016355,5,969,1812,4,20,18,2
6,3061,9.268647193908691,-0.4340676728744992,2,2282,2282,4,20,19,1
7,3640,8.869437217712402,-0.43420447845321464,5,3047,3047,4,21,20,1
8,4112,8.453734397888184,-0.4344746415951262,5,3809,3809,5,22,20,2
9,4940,8.042861938476562,-0.4335340862202846,5,3828,3828,3,12,11,1
10,5217,7.668006896972656,-0.43537424986795537,4,4382,4382,3,18,18,0
11,5676,7.316068172454834,-0.4344356813751783,5,4834,4834,4,20,19,1
12,6274,6.968601703643799,-0.4344392431267923,5,2772,2772,4,21,19,2
13,6744,6.630386829376221,-0.43552496643034283,6,4329,4329,4,20,20,0
14,7355,6.299415588378906,-0.43418482958722565,3,5954,5954,4,20,20,0
15,7751,5.979320049285889,-0.43567751100719687,6,7145,7145,3,13,12,1
16,8241,5.6559953689575195,-0.43439249345239733,2,6422,6422,3,13,12,1
17,8718,5.3475165367126465,-0.43565015858736506,2,4637,4637,2,10,9,1
18,9413,5.054759979248047,-0.43387714464443883,5,7284,7284,2,10,10,0
19,9626,4.757852077484131,-0.43422211999577975,5,5621,5621,2,9,8,1
20,10347,4.479675769805908,-0.43483655137531707,5,7678,7678,3,20,19,1
21,10744,4.234227657318115,-0.4356097283071892,3,8673,8673,3,14,13,1
22,11019,3.9806694984436035,-0.43424410945988895,6,8094,8094,3,12,11,1
23,11688,3.755058765411377,-0.4353798637035172,4,11066,11066,3,12,11,1
24,12071,3.5482680797576904,-0.4356545593017025,3,11414,11414,3,13,12,1
25,12885,3.345787286758423,-0.4355879679372561,1,9690,9690,3,14,14,0
26,13264,3.155094861984253,-0.4347556160307034,1,11740,11740,3,13,12,1
27,13698,2.979177236557007,-0.4352784713267242,4,9775,9775,3,14,13,1
28,14428,2.809056282043457,-0.4347660084099224,3,11677,11677,4,21,19,2
29,14538,2.654496908187866,-0.43515499141588565,1,10816,10816,3,13,12,1
30,15047,2.505863904953003,-0.4356067993875282,1,6349,6349,2,9,9,0
31,15706,2.3546669483184814,-0.4354577645061801,2,9775,9775,3,13,12,1
32,16444,2.2142109870910645,-0.4355243866479848,3,12594,12594,3,14,13,1
33,16571,2.080495595932007,-0.43423238042361745,3,12934,12934,3,12,11,1
34,17242,1.9501785039901733,-0.4339950170419533,6,12208,12208,3,13,12,1
35,17511,1.828275442123413,-0.4346584296152141,1,14337,14337,3,13,12,1
36,18480,1.7183198928833008,-0.43569906995243957,6,9161,9161,3,17,17,0
37,18548,1.6168254613876343,-0.4341567158478278,6,5217,5217,3,17,15,2
38,19069,1.5241535902023315,-0.4356779672466692,1,7132,7132,3,19,19,0
39,19764,1.436673641204834,-0.43569364600600835,3,12684,12684,2,9,9,0
40,20286,1.354256510734558,-0.43581669060259737,3,10484,10484,3,14,13,1
41,20532,1.2754063606262207,-0.43551221161634346,4,17088,17088,4,22,20,2
42,21373,1.2005103826522827,-0.43396712967250445,5,14521,14521,2,10,10,0
43,21550,1.1292728185653687,-0.4340245529741242,5,9983,9983,2,11,11,0
44,22393,1.061672568321228,-0.4356184156150947,5,21773,21773,4,19,16,3
45,22678,0.9962009787559509,-0.435497119563633,3,17070,17070,4,21,20,1
46,23403,0.932877779006958,-0.43563489624823154,3,20286,20286,2,10,10,0
47,23588,0.8697118759155273,-0.4354284568539381,5,20469,20469,2,11,10,1
48,24156,0.8117669820785522,-0.4356681660281192,3,22394,22394,3,12,9,3
49,24583,0.7592695355415344,-0.4350426887501765,6,20702,20702,4,21,20,1
50,25416,0.7844767570495605,0.47288632247958445,2,20532,20532,3,19,16,3
51,25669,0.7037475109100342,0.17871063207793247,6,21384,21384,2,10,10,0
52,26363,0.7360947132110596,0.4649407438857953,1,24634,24634,3,12,10,2
53,26789,0.7552560567855835,0.5744584809509437,4,26324,26324,2,12,11,1
54,27485,0.6867831349372864,0.31410592095424705,3,7434,7434,2,11,10,1
55,27944,0.6560283303260803,0.6058567743004413,4,26991,26991,2,10,9,1
56,28039,0.6054966449737549,0.1784090248836521,3,26123,26123,2,12,12,0
