generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,7.10789155960083,0.7601082949303936,5,-1,-1,3,18,18,0
1,742,4.479099750518799,0.749527298572334,6,174,174,3,18,17,1
2,1214,3.3505282402038574,0.7545433869074571,5,417,417,3,19,19,0
3,1504,2.7180335521698,0.7518910153526164,7,869,869,3,18,18,0
4,2160,2.984835624694824,0.7210258786760523,2,1789,1789,3,18,18,0
5,2971,4.8670735359191895,0.7259504572179056,4,2360,2360,2,13,11,2
6,3190,4.406489849090576,0.690483797107427,3,2264,2264,3,18,17,1
7,3948,3.5788187980651855,0.6411176706085282,6,3450,3450,4,21,21,0
8,4419,3.2272067070007324,0.7401634113369572,1,3948,3948,3,17,17,0
9,4541,3.7015676498413086,0.7429859986463427,1,2655,2655,3,18,18,0
10,5391,3.872703790664673,0.7375409313944686,3,594,594,5,24,22,2
11,5988,1.9510258436203003,0.7467565008559112,3,3397,3397,4,15,13,2
12,6128,1.940284013748169,0.4628026052209894,5,5411,5411,5,23,21,2
13,6597,1.8368209600448608,0.7214412177189974,3,6013,6013,3,19,19,0
14,7155,0.5741028189659119,0.7431072304008581,3,6648,6648,2,12,12,0
15,7551,1.273618459701538,0.6451409601615903,4,7323,7323,2,10,9,1
16,8446,0.2906794548034668,0.7480211763923299,1,7974,7974,2,12,12,0
17,8795,0.9720923900604248,0.6977613797456114,5,8399,8399,3,18,18,0
18,9381,0.5566546320915222,0.7586029535007464,3,6646,6646,4,21,19,2
19,9572,3.0340335369110107,0.7328925216678237,5,8109,8109,2,15,15,0
20,10273,0.6724607348442078,0.7541747537652856,3,8399,8399,2,10,10,0
21,10590,0.6837873458862305,0.7517227774509764,5,8399,8399,2,14,14,0
22,11477,2.77494478225708,0.7381153029999269,5,10474,10474,3,17,15,2
23,11529,1.0226110219955444,0.7530036224260831,5,8232,8232,2,13,11,2
24,12284,0.406649649143219,0.7471036998569883,1,10801,10801,2,13,10,3
25,12548,1.1816437244415283,0.730686792747745,5,8232,8232,4,21,20,1
26,13041,2.8049631118774414,0.7524914899948392,5,12529,12529,3,20,18,2
27,13675,1.4013073444366455,0.7579883472019299,3,13110,13110,3,15,13,2
28,14225,1.2060357332229614,0.7627036775526311,6,13894,13894,3,21,18,3
29,14587,0.48082804679870605,0.7483356165060706,3,14434,14434,6,26,23,3
30,15149,1.3087106943130493,0.7619109806586443,3,13623,13623,2,10,10,0
31,15605,1.4891983270645142,0.7491258363122631,5,13150,13150,3,20,17,3
32,16421,0.8110784292221069,0.7603525566380931,5,15489,15489,2,12,10,2
33,16813,0.7391924262046814,0.7586592265795292,5,15565,15565,2,13,11,2
34,17252,0.17407652735710144,0.755527483334871,3,16813,16813,3,19,16,3
35,17577,0.2510998845100403,0.677637110366014,3,16821,16821,4,21,18,3
36,18207,0.06700921058654785,0.7628013379575109,1,7706,7706,3,17,15,2
37,18785,0.1030067577958107,0.7486831914478023,5,16705,16705,2,11,10,1
38,19463,0.5903340578079224,0.7337540702278236,4,18915,18915,3,18,17,1
39,19914,0.6919248104095459,0.7316769200959946,3,18236,18236,3,18,16,2
40,20255,0.6922403573989868,0.7276481372996815,5,17918,17918,2,16,16,0
41,20753,0.0898626446723938,0.7524215521110642,7,18415,18415,3,19,18,1
42,21070,0.19881463050842285,0.7605632403344785,7,20134,20134,2,14,10,4
43,21749,0.4029350280761719,0.7324106552174378,3,16756,16756,2,10,8,2
44,22230,0.24590910971164703,0.757987636756321,7,20223,20223,3,18,17,1
45,22797,0.6332712173461914,0.6502033525712958,3,22108,22108,2,12,10,2
46,23023,0.27009695768356323,0.7571549472988535,7,21872,21872,4,22,18,4
47,23871,0.028573237359523773,0.6587983226117345,4,22630,22630,3,19,18,1
48,24244,0.22923284769058228,0.5175666623985955,7,22085,22085,4,21,19,2
49,24963,0.1981373280286789,0.7497408275244097,1,23472,23472,2,13,11,2
50,25046,0.16190391778945923,0.4577499121907668,6,24243,24243,2,14,13,1
51,25723,0.31219255924224854,0.7552937667228777,1,25437,25437,2,15,13,2
52,26412,0.044345587491989136,0.7619266401055216,8,23898,23898,4,20,19,1
53,26707,0.5439530611038208,0.5201624596050479,8,25304,25304,3,18,15,3
54,27380,0.5160931944847107,0.625868379689937,8,26836,26836,2,13,13,0
55,27753,0.1961764693260193,0.4590106046453141,8,22341,22341,2,14,13,1
56,28134,0.10109517723321915,0.6266227795366082,8,23922,23922,3,16,14,2
57,28523,0.838403046131134,0.734396487265763,1,24582,24582,2,11,10,1
58,29160,0.5090884566307068,0.5863906339934694,6,28732,28732,2,11,9,2
59,29877,0.6274923086166382,0.6181308084639803,7,29500,29500,3,19,16,3
60,30252,0.036063969135284424,0.7015308484238059,7,28619,28619,2,12,11,1
61,30826,0.20882321894168854,0.4556969533151579,1,30314,30314,4,20,19,1
62,31391,0.09578356146812439,0.6093655911192324,3,27297,27297,2,15,13,2
63,31690,0.38279736042022705,0.7513575704387077,7,31395,31395,3,18,16,2
64,32043,0.1596986949443817,0.4722750563539362,8,26404,26404,3,16,14,2
65,32717,0.4058505892753601,0.5515594299183877,7,32077,32077,3,12,11,1
66,33182,0.558356523513794,0.7386995107989888,1,32938,32938,2,13,12,1
67,33550,1.0191766023635864,0.7194371059031768,3,29562,29562,2,11,9,2
68,34035,0.22736482322216034,0.4581454152490453,4,30033,30033,2,15,15,0
69,34968,0.22550825774669647,0.48296586810857645,1,29517,29517,2,13,13,0
