generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,180,347.9005432128906,0.7581625877241497,1,-1,-1,3,18,18,0
1,676,194.46310424804688,0.7503357219123562,1,124,124,3,18,18,0
2,1242,178.189697265625,0.7341987208515617,1,982,982,3,18,17,1
3,1797,186.20263671875,0.757751467265291,1,1410,1410,3,19,19,0
4,2054,186.52182006835938,0.7593182227993879,4,1203,1203,2,11,10,1
5,2713,190.38027954101562,0.7528643098355167,1,2210,2210,3,18,18,0
6,3182,188.9830780029297,0.7542496014520074,2,1583,1583,3,18,18,0
7,3889,183.83737182617188,0.738268043958139,4,489,489,2,11,11,0
8,4112,184.1345672607422,0.7506531849494905,4,3956,3956,3,18,18,0
9,4808,178.66259765625,0.7550820227783459,4,3014,3014,3,17,17,0
10,5064,162.7964324951172,0.7530971303943842,4,4326,4326,4,22,21,1
11,5757,135.11322021484375,0.7408729971427651,2,3407,3407,4,21,19,2
12,6202,68.5762939453125,0.7524318512895125,2,1002,1002,3,19,18,1
13,6940,55.16246032714844,0.7395940119723856,4,4506,4506,3,20,19,1
14,7057,40.481712341308594,-0.2589729725772475,1,6304,6304,3,18,17,1
15,7803,41.41835021972656,-0.2641452706584497,4,6179,6179,3,20,20,0
16,8126,38.83083724975586,-0.2689199072835704,4,7667,7667,4,17,16,1
17,8662,37.13996887207031,0.6388750833115985,4,2958,2958,3,13,12,1
18,9491,38.92348098754883,0.4608969551356872,5,8924,8924,3,19,18,1
19,9908,42.613922119140625,0.7507357009318202,5,4035,4035,3,20,20,0
20,10361,58.385169982910156,0.7540297366493731,1,8896,8896,3,12,11,1
21,10666,56.07960510253906,0.7605281476344073,4,7630,7630,4,22,21,1
22,11454,61.71271514892578,0.7301679440988731,1,10358,10358,4,20,18,2
23,11670,60.72500991821289,0.7519145321749596,5,9761,9761,3,18,16,2
24,12146,54.23432159423828,0.7483136184710886,1,11260,11260,5,23,21,2
