generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,227,243.79408264160156,-0.31623990692450643,3,-1,-1,3,18,18,0
1,737,128.42335510253906,-0.42930737379922423,6,245,245,3,18,17,1
2,1247,86.42941284179688,-0.3939929948266934,4,204,204,3,18,17,1
3,1839,42.642616271972656,-0.43489842548102886,6,145,145,3,19,19,0
4,2102,16.066774368286133,-0.4346240948191546,5,513,513,2,12,12,0
5,2847,13.507074356079102,-0.4331555546183504,6,1744,1744,3,20,20,0
6,3435,7.435544013977051,-0.4338615894857381,2,2102,2102,3,18,18,0
7,3873,19.885513305664062,0.7433611519710536,6,3059,3059,3,18,18,0
8,4447,31.640113830566406,0.7325220774703086,6,2165,2165,3,21,21,0
9,4920,29.378768920898438,0.7479028226555059,7,3132,3132,3,17,17,0
10,5430,11.345695495605469,0.7509765526987395,7,4487,4487,2,13,11,2
11,5786,5.0480217933654785,0.626176448337219,3,5038,5038,2,6,5,1
12,6471,8.604890823364258,0.7081438436716895,6,5769,5769,2,9,9,0
13,6528,4.6194562911987305,0.6526108122995483,6,3957,3957,2,13,13,0
14,7360,8.881138801574707,0.745821393033233,1,5795,5795,3,18,17,1
15,7643,5.356223106384277,0.7452041065558801,3,6531,6531,2,13,13,0
16,8431,5.943633079528809,0.7433810192786722,1,7817,7817,3,20,18,2
17,8619,7.49560546875,0.7448021022509761,5,7539,7539,2,12,11,1
18,9088,1.3957655429840088,0.53320235909074,1,7300,7300,2,13,12,1
19,9985,6.8441572189331055,0.7366237189261177,5,5789,5789,2,10,9,1
20,10448,2.9610583782196045,0.6287219562399319,2,8806,8806,2,11,11,0
21,10774,3.4080405235290527,0.6741402229148027,2,7441,7441,2,9,9,0
22,11189,5.510016441345215,0.7425277160103111,3,10413,10413,3,14,11,3
23,11569,4.3565521240234375,0.746702110480189,2,10903,10903,2,13,11,2
24,12377,4.0212907791137695,0.7431919303118532,5,9985,9985,2,10,10,0
25,12897,1.078748345375061,0.7429959707296161,4,9894,9894,2,11,10,1
26,13107,4.234230995178223,0.741815741656264,4,12748,12748,3,16,14,2
27,13742,3.4415817260742188,0.7487772597454161,4,11240,11240,2,10,10,0
28,14409,3.7864179611206055,-0.4345705017539999,7,10868,10868,5,21,18,3
29,14990,3.3221514225006104,0.7407623990235749,4,13107,13107,2,12,12,0
30,15154,3.3241589069366455,0.7165760705854618,2,14377,14377,3,20,20,0
31,15892,3.152557373046875,0.7426293855981421,6,14354,14354,3,15,14,1
32,16202,3.1697778701782227,0.7422119309495185,6,15289,15289,3,19,17,2
33,16691,3.4787049293518066,0.7444879528629983,3,16489,16489,3,11,9,2
34,17325,3.1345481872558594,0.7457331108196372,4,12229,12229,3,12,10,2
35,17963,2.8569273948669434,0.7391388226431961,5,16691,16691,4,17,15,2
36,18125,3.0815329551696777,0.7441018228362891,2,17554,17554,3,15,13,2
37,18558,2.9792847633361816,0.7419615291093747,3,17625,17625,4,15,13,2
38,19480,2.5940232276916504,0.741871240399683,2,18078,18078,2,8,8,0
39,19814,2.5526962280273438,0.7370493405620339,4,14990,14990,5,20,17,3
40,20159,2.1453869342803955,0.7406060889420129,3,17283,17283,3,13,12,1
41,20624,2.245621681213379,0.7413853003944841,5,20159,20159,2,10,10,0
42,21415,1.703279972076416,0.745579605443955,4,20024,20024,3,15,13,2
43,21769,5.814792633056641,-0.43489703495277526,4,18698,18698,3,10,8,2
44,22014,1.8106472492218018,-0.43428525122702283,6,21777,21777,2,12,12,0
45,22906,1.1748204231262207,0.5455313502960177,3,19873,19873,4,18,16,2
46,23389,0.8292121887207031,0.5613403774161982,6,18233,18233,3,13,12,1
47,23893,0.8204418420791626,0.5433061746507339,6,22524,22524,2,9,9,0
48,24152,1.1330009698867798,0.5461778511344384,4,22349,22349,3,21,18,3
49,24752,0.8921077251434326,0.7447290891441328,3,24425,24425,2,10,10,0
50,25155,1.0370937585830688,-0.4331344097584212,5,6874,6874,3,14,13,1
51,25750,0.951903760433197,0.550820559979298,1,15892,15892,2,12,12,0
52,26016,1.0176451206207275,0.551428362723633,5,23852,23852,2,12,9,3
53,26805,0.9400066137313843,0.7410542541108353,5,23010,23010,3,13,12,1
54,27043,0.9721676111221313,0.7444947164047037,6,26986,26986,4,18,14,4
55,27797,0.8224470615386963,0.5595788006227339,2,14309,14309,3,17,15,2
56,28243,0.846173107624054,0.5550171773194534,3,27678,27678,3,16,15,1
57,28578,1.101129174232483,0.7444049551615565,6,26059,26059,3,14,13,1
58,29201,0.8264709115028381,0.7451978992184787,3,28443,28443,4,16,15,1
59,29761,0.6443008184432983,0.7396577057333812,3,29016,29016,2,10,10,0
60,30064,0.7172388434410095,0.550232634758814,5,17254,17254,3,17,14,3
61,30834,0.6523412466049194,0.5508070393182559,2,29547,29547,4,23,20,3
62,31330,0.7782047986984253,0.7425349164549878,6,22376,22376,5,24,20,4
63,31936,1.0452406406402588,-0.33874193019776033,3,28001,28001,3,14,12,2
64,32169,1.080737590789795,0.7421886702430585,3,24294,24294,4,24,20,4
65,32667,2.3359861373901367,-0.4313712149847104,4,16307,16307,3,14,12,2
66,33191,1.276167869567871,-0.4238808622717101,4,32736,32736,2,9,9,0
67,33942,0.7871824502944946,0.5511518471938084,4,33259,33259,2,12,11,1
68,34216,0.7078666090965271,0.5602758029304757,2,33066,33066,3,21,17,4
69,34833,0.758549153804779,0.7421122370031293,9,32490,32490,2,11,9,2
70,35235,0.8328171968460083,0.745093818567338,9,17325,17325,4,20,18,2
71,35844,0.805020272731781,0.7431664246228259,4,35475,35475,2,12,10,2
72,36025,0.8619856834411621,0.7426726216682911,9,35126,35126,3,14,12,2
73,36769,0.7997481822967529,0.5623252080791763,2,35220,35220,4,21,15,6
74,37217,0.7660564184188843,0.5661995416295043,2,34485,34485,5,24,18,6
75,37913,0.9438745975494385,0.7432898396598778,3,37035,37035,2,11,10,1
76,38404,0.7669525146484375,-0.38213958258674596,2,17136,17136,2,12,11,1
77,38521,0.7956922054290771,0.5599552634373303,7,34216,34216,5,25,24,1
78,39209,7.957742214202881,-0.157135652335635,8,38606,38606,5,25,19,6
79,39545,9.015280723571777,-0.4350954081335855,7,37825,37825,3,13,11,2
80,40397,2.341266632080078,-0.43372942855860813,8,39707,39707,3,15,13,2
81,40914,1.0074328184127808,0.7374535458795268,1,39130,39130,4,23,17,6
82,41446,0.980640172958374,0.7452285785535722,1,40233,40233,2,12,11,1
83,41917,1.046156406402588,-0.43237806453661537,7,41156,41156,3,21,16,5
84,42116,1.0304926633834839,0.7404157349486276,1,41627,41627,2,10,8,2
85,42778,1.1847200393676758,0.745193977299342,3,41616,41616,3,15,13,2
86,43471,1.1775648593902588,0.7447411136825524,4,41761,41761,2,10,10,0
87,43701,1.4256863594055176,-0.4351336998938535,7,41498,41498,4,18,15,3
88,44184,0.9473757147789001,0.7431016260382177,1,41850,41850,2,11,9,2
89,44805,0.95466148853302,0.7433041634330071,10,42224,42224,4,17,14,3
90,45137,0.7448778748512268,0.7449636000609852,1,44457,44457,2,10,9,1
91,45574,0.8186386227607727,0.5490623141904108,5,43710,43710,2,9,7,2
92,46180,0.6989355087280273,0.560690342327855,6,43770,43770,3,12,9,3
93,46753,0.682877242565155,0.7453704345516949,1,44979,44979,2,10,10,0
94,47292,0.7816129922866821,0.5542297864233544,5,42178,42178,3,15,12,3
95,47532,0.6844133138656616,0.5490945136236087,2,45360,45360,2,11,10,1
96,48479,0.8353387117385864,0.7446425922600503,4,45051,45051,3,11,10,1
97,48982,0.7911465764045715,0.5487157581690751,5,44833,44833,2,9,8,1
98,49069,0.976062536239624,0.387908382522865,7,45327,45327,3,14,11,3
99,49517,1.4625096321105957,-0.3150606190690529,1,42795,42795,5,21,18,3
100,50042,0.6999803781509399,0.560862865202502,5,46712,46712,5,17,12,5
101,50659,1.0152174234390259,0.5527008040426629,2,50270,50270,4,27,22,5
102,51044,0.7044497728347778,0.7445701447190988,10,46190,46190,2,10,8,2
103,51867,0.8338305950164795,0.7441436936521415,10,47738,47738,4,20,16,4
104,52405,0.6643592119216919,0.5542421775472613,5,49580,49580,3,12,9,3
105,52783,0.7173959016799927,0.5649529306406079,8,52181,52181,4,19,15,4
106,53260,0.7041889429092407,0.7426456260913197,1,46213,46213,4,18,15,3
107,53620,0.7990527153015137,-0.37352984532194833,7,45456,45456,2,10,8,2
108,54434,0.5752299427986145,0.5542478033940764,7,53839,53839,4,19,15,4
109,54730,0.693082332611084,0.7441913469350575,10,54087,54087,3,14,12,2
110,55488,0.720558226108551,-0.3270583703525038,5,51525,51525,3,16,12,4
111,55606,0.6433283686637878,0.5618206182531915,8,49984,49984,3,13,12,1
112,56054,0.9127522110939026,-0.4274451576310157,8,55079,55079,4,17,15,2
113,56991,0.8937678337097168,0.7448626586644983,10,55916,55916,3,12,9,3
114,57423,1.0898842811584473,-0.41554535833162815,5,51245,51245,4,19,15,4
115,57743,0.7639431953430176,0.5520725378032035,5,54738,54738,2,13,11,2
116,58205,2.5786283016204834,-0.4313854855763354,8,57710,57710,2,10,7,3
117,58771,0.6011609435081482,0.7403334336715806,1,58405,58405,3,14,12,2
118,59165,1.04153573513031,-0.388249140895347,8,58504,58504,2,10,8,2
119,59846,0.6859275102615356,0.7453261312169627,9,47109,47109,4,17,13,4
120,60477,0.8560124635696411,-0.1195406796813671,9,59431,59431,3,17,15,2
121,60653,0.6459790468215942,0.5595445589308816,8,60228,60228,4,28,22,6
122,61378,0.6248130202293396,0.5514911465444413,5,60806,60806,4,18,16,2
123,61555,0.8756969571113586,-0.3820882586995292,5,51190,51190,2,9,6,3
124,62040,1.1756285429000854,-0.41896664516120946,2,57350,57350,2,10,8,2
125,62932,0.5626857876777649,0.20949336839366048,2,60024,60024,2,11,8,3
126,63286,1.2163203954696655,0.3070436258685574,1,60733,60733,3,13,9,4
127,63901,1.0971547365188599,-0.365017930210282,5,59663,59663,3,14,12,2
128,64180,2.053025007247925,0.24681364343356305,3,63659,63659,5,17,13,4
129,64767,1.0042234659194946,-0.34331984245678643,5,64302,64302,3,13,12,1
130,65122,0.7990485429763794,0.744094365401294,10,64560,64560,3,11,11,0
131,65769,0.847745418548584,-0.3825155883655831,7,46621,46621,4,19,17,2
132,66060,1.3753688335418701,0.7434722060281056,10,64877,64877,3,22,18,4
133,66998,0.9882912635803223,-0.4222027646922131,8,58114,58114,2,11,8,3
134,67027,0.8984429836273193,0.7456221503198742,10,64096,64096,5,19,16,3
135,67592,0.9766495823860168,-0.38703235744443804,5,65970,65970,6,24,20,4
136,68051,0.7041806578636169,0.7456775774266743,1,67587,67587,4,18,16,2
137,68821,0.6351140737533569,0.7433369055701653,10,64560,64560,2,11,10,1
138,69255,0.956087589263916,0.7277875365572224,8,50659,50659,5,18,14,4
139,69626,0.6220417022705078,0.7320589518662803,2,53268,53268,2,12,11,1
140,70209,1.1049139499664307,0.02544416791086119,3,66126,66126,5,19,16,3
141,70878,1.6516586542129517,-0.41228088972055643,8,68876,68876,2,13,11,2
142,71026,1.5589194297790527,0.7456286358339201,1,70129,70129,5,20,18,2
143,71765,1.406745433807373,0.7331202673678993,1,70454,70454,2,12,8,4
144,72086,1.6428821086883545,0.7390370936431532,1,71716,71716,5,19,15,4
145,72902,1.1709463596343994,0.745380649017626,4,71448,71448,4,22,20,2
146,73165,1.4054937362670898,0.7438211855809345,1,71903,71903,3,13,12,1
147,73551,0.8365671038627625,0.7427125087619583,1,73153,73153,4,19,17,2
148,74107,1.0281392335891724,0.7459167995299452,6,73990,73990,3,16,13,3
149,74823,1.5364952087402344,-0.3845518179361741,9,73619,73619,3,16,13,3
150,75279,0.633694052696228,0.5621489936340585,2,61378,61378,2,13,11,2
151,75732,0.6040281057357788,0.7317458586843004,8,47292,47292,4,16,13,3
152,76178,1.1545510292053223,0.7432473020280279,10,75926,75926,4,19,17,2
153,76699,0.7724883556365967,0.7449312748536738,4,74108,74108,3,17,14,3
154,77307,12.339574813842773,-0.3260827929073939,5,68663,68663,3,15,14,1
155,77764,1.8714773654937744,0.7459050693073707,10,77433,77433,3,15,11,4
156,78452,10.528079986572266,-0.4327299189596158,7,77029,77029,3,18,12,6
157,78945,16.491008758544922,-0.36972310811343007,9,78455,78455,3,15,12,3
158,79040,3.1096630096435547,0.16214289300513565,8,78990,78990,2,13,10,3
159,79769,1.0014667510986328,-0.4231566996399758,8,78824,78824,3,16,12,4
160,80356,1.4120688438415527,0.7402227935705661,3,79866,79866,2,11,9,2
161,80569,0.9866500496864319,-0.34741403262903997,8,80131,80131,4,17,12,5
162,81168,0.9524815678596497,0.7443095887486122,3,79642,79642,4,18,14,4
163,81952,0.8895263075828552,0.7359913160838774,3,79080,79080,2,14,10,4
164,82050,0.9852898716926575,0.7359669444344752,4,81200,81200,3,15,11,4
165,82876,1.104220986366272,0.7436292798132522,2,81871,81871,3,18,13,5
166,83369,1.2378935813903809,0.741532930098701,3,82627,82627,2,14,10,4
167,83736,1.2327642440795898,0.7363352121039003,2,82627,82627,2,13,9,4
168,84245,1.138883352279663,0.7452195858945034,4,79080,79080,3,15,10,5
169,84925,1.3980257511138916,0.7364847125371848,4,82050,82050,3,18,14,4
170,85315,0.7533251643180847,0.5538024660733684,3,82358,82358,2,13,9,4
171,85769,1.2589656114578247,0.7418520545348884,1,84120,84120,3,16,11,5
172,86416,1.1488492488861084,0.7454022434197402,8,84820,84820,3,21,19,2
173,86511,1.7521636486053467,0.7454691905012979,1,86380,86380,2,12,11,1
174,87113,0.7990899085998535,0.5505589157935397,3,80739,80739,3,17,13,4
175,87835,1.017987847328186,0.7444663252153557,3,84396,84396,3,14,12,2
176,88433,1.0072942972183228,0.7455129948486597,1,87612,87612,3,17,13,4
