generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,48.312984466552734,0.7601082949303936,5,-1,-1,3,18,18,0
1,742,26.364103317260742,0.749527298572334,6,174,174,3,18,17,1
2,1380,17.57554054260254,0.7530719096306815,5,417,417,3,18,17,1
3,1871,5.774029731750488,0.7533703926219224,3,1221,1221,3,19,19,0
4,2074,2.0831751823425293,0.7519827552265155,7,1647,1647,2,12,12,0
5,2695,1.0205049514770508,0.7573401711649296,6,2241,2241,3,20,20,0
6,3138,1.2013049125671387,0.733454988549383,7,1649,1649,3,18,18,0
7,3548,8.303879737854004,0.7625044100553005,7,2007,2007,3,18,18,0
8,4447,31.640113830566406,0.7325220774703086,6,2165,2165,3,21,21,0
9,4554,8.268460273742676,0.7536712674699703,2,3499,3499,3,17,17,0
10,5430,11.345695495605469,0.7509765526987395,7,4487,4487,2,13,11,2
11,5724,2.416987657546997,0.762102554707691,5,3548,3548,2,6,5,1
12,6188,5.333700180053711,0.7552606911058275,3,5624,5624,2,9,9,0
13,6770,0.40622591972351074,0.7139800513312252,1,4920,4920,2,13,13,0
14,7280,5.052366733551025,0.7503031685272308,6,81,81,3,18,17,1
15,7643,5.356223106384277,0.7452041065558801,3,6531,6531,2,13,13,0
16,8350,1.1138473749160767,0.7623903630200627,7,7833,7833,3,20,18,2
17,8582,0.7838804125785828,0.7530291419756446,7,6188,6188,2,12,11,1
18,9362,0.5958682894706726,0.75885963996804,1,7539,7539,2,13,12,1
19,9838,0.4260938763618469,0.760393503668122,2,7723,7723,2,10,9,1
20,10020,0.3819321095943451,0.7619203163021163,1,9570,9570,2,11,11,0
21,10530,0.49800539016723633,0.762322735143217,6,8350,8350,2,9,9,0
22,11015,0.2950933873653412,0.7622281284864353,4,5789,5789,3,14,11,3
23,11554,0.1392025500535965,0.7587031891474463,5,8798,8798,2,13,11,2
24,12330,0.15773482620716095,0.7615581725908193,5,7574,7574,2,10,10,0
25,12516,0.1453896164894104,0.7584089746303784,5,12179,12179,2,11,10,1
26,13483,0.1487295925617218,0.7619033469896246,4,8798,8798,3,16,14,2
27,13832,0.08509477972984314,0.7558696562120909,7,3873,3873,2,10,10,0
28,14361,0.0792444497346878,0.7608396949771882,6,12897,12897,5,21,18,3
29,14528,0.19797831773757935,0.7627574845786436,2,14377,14377,2,12,12,0
30,15096,0.16664284467697144,0.7601431379280917,4,11257,11257,3,20,20,0
