generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,494,144.9543914794922,-0.3817235413397433,4,-1,-1,3,18,18,0
1,965,98.66771697998047,-0.43478042931245575,7,478,478,3,18,18,0
2,1166,89.06918334960938,-0.4324177384978682,7,227,227,4,19,18,1
3,1561,83.61933898925781,-0.43470983530630253,3,339,339,2,9,9,0
4,2387,73.0896224975586,-0.435116059295727,6,1898,1898,3,18,18,0
5,2545,49.601078033447266,-0.4352543019283,6,1852,1852,3,18,18,0
6,3260,27.714210510253906,-0.435580965734221,6,2831,2831,3,19,18,1
7,3556,17.54207992553711,0.6876256623705957,5,3375,3375,2,12,12,0
8,4125,21.328842163085938,-0.028635228436053966,5,3523,3523,3,17,17,0
9,4777,19.63079833984375,0.11863289593374002,2,3567,3567,5,23,18,5
10,5301,15.911063194274902,0.7328271459039654,4,4967,4967,3,20,19,1
11,5543,12.222938537597656,0.7309133897941948,6,5499,5499,2,12,12,0
12,6157,16.551406860351562,-0.43462963665029736,6,5626,5626,2,12,12,0
13,6965,12.138851165771484,-0.43567199313745836,1,6017,6017,6,26,22,4
14,7229,11.159418106079102,-0.43540245722775983,4,6891,6891,3,14,13,1
15,7630,10.047747611999512,0.7230323060705746,1,7229,7229,3,15,14,1
16,8023,13.577442169189453,0.7331929730038887,4,7909,7909,5,23,19,4
17,8787,13.928345680236816,0.7325934388432033,3,7927,7927,5,23,20,3
18,9414,13.495621681213379,0.042344129355624205,3,7652,7652,2,12,10,2
19,9507,11.878007888793945,0.7327123185940281,7,8302,8302,3,19,17,2
20,10496,9.363493919372559,0.7323360392680927,7,9549,9549,6,28,24,4
21,10751,8.871756553649902,-0.4355048372396595,2,10476,10476,4,23,23,0
22,11167,7.969948768615723,0.7311028649816931,2,10297,10297,6,29,25,4
23,11803,10.51696491241455,0.7332838830892902,3,11167,11167,5,27,23,4
24,12240,14.916154861450195,0.10971971999997433,3,11776,11776,8,32,26,6
25,12991,12.906999588012695,0.02553405274513424,3,12240,12240,6,29,23,6
26,13153,13.718451499938965,0.1593411939015655,6,12668,12668,6,30,25,5
27,13546,11.113368034362793,0.10486815621694151,2,12668,12668,7,28,22,6
28,14289,8.780338287353516,0.14887994757097386,4,13153,13153,7,31,26,5
29,14697,9.008543014526367,-0.4353624614320657,5,13835,13835,4,15,14,1
30,15004,8.046406745910645,0.7332838769947336,4,14446,14446,7,30,24,6
31,15553,10.881028175354004,0.732168573461645,7,15485,15485,8,30,24,6
32,16183,12.283295631408691,0.7324925655939794,3,15501,15501,7,30,23,7
33,16926,11.421737670898438,0.7315873175253623,2,16158,16158,6,32,27,5
34,17076,10.375243186950684,0.7327381184469784,2,16244,16244,7,31,25,6
35,17559,8.199007987976074,0.7330974924712593,6,17229,17229,6,29,25,4
36,18090,9.443025588989258,-0.4351458097762486,2,16796,16796,8,29,23,6
37,18664,9.601396560668945,-0.4351918225962217,1,18389,18389,2,11,7,4
38,19398,7.433006763458252,0.7307138653939838,8,18931,18931,9,36,27,9
39,19786,11.29569149017334,0.7333324015266603,8,18684,18684,8,33,25,8
40,20336,11.972078323364258,0.7317414067735778,8,19082,19082,8,33,27,6
41,20905,11.398193359375,0.7333390674602227,8,20336,20336,9,33,25,8
42,21448,9.988374710083008,0.733360294592022,2,20430,20430,8,33,26,7
43,21880,9.580700874328613,0.18809299074163058,2,21098,21098,8,36,29,7
