generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,417,39.86407470703125,0.7601082949303936,5,-1,-1,3,18,18,0
1,570,24.630390167236328,0.7394592419757798,3,81,81,3,18,18,0
2,1028,36.26451110839844,0.7219894225264434,7,555,555,4,19,18,1
3,1941,33.634071350097656,0.731098699682357,4,642,642,2,9,9,0
4,2292,7.522639274597168,0.46364261507501514,4,1670,1670,3,18,18,0
5,2660,12.673211097717285,0.7433362780948122,7,965,965,3,18,18,0
6,3425,16.075794219970703,0.7290464746764245,4,2244,2244,3,19,18,1
7,3853,15.842180252075195,0.7566514894870725,6,3309,3309,2,12,12,0
8,4108,18.0286865234375,0.7534008662491636,4,3810,3810,3,17,17,0
9,4947,15.782880783081055,0.7577370591401392,2,4316,4316,5,23,18,5
10,5275,11.608475685119629,0.7619079444115975,5,4558,4558,3,20,19,1
11,5994,8.61301040649414,0.7617006404659127,5,5275,5275,2,12,12,0
12,6413,6.274582862854004,0.76127223197391,3,5728,5728,2,12,12,0
13,6607,5.219965934753418,0.7551455738642089,1,6242,6242,6,26,22,4
14,7267,6.097896575927734,0.7507399979687095,6,6510,6510,3,14,13,1
15,7630,10.047747611999512,0.7230323060705746,1,7229,7229,3,15,14,1
16,8431,12.089126586914062,0.7560007829359202,1,7644,7644,5,23,19,4
17,8737,11.972841262817383,0.7580089098205408,7,7797,7797,5,23,20,3
18,9229,11.856040000915527,0.7515327938257987,4,8901,8901,2,12,10,2
19,9714,8.539458274841309,0.7605133589524414,3,8883,8883,3,19,17,2
20,10045,7.798127174377441,0.7581112510375441,4,8901,8901,6,28,24,4
21,10802,6.639055252075195,0.7618009481234304,2,8688,8688,4,23,23,0
22,11194,7.535962104797363,0.7480627623394605,6,10661,10661,6,29,25,4
23,11678,9.507394790649414,0.7485657070843236,2,10690,10690,5,27,23,4
24,12396,11.829819679260254,0.7579976743637158,6,11910,11910,8,32,26,6
25,12790,10.93557357788086,0.7593226644193907,1,12396,12396,6,29,23,6
26,13107,9.286348342895508,0.7612619259303315,1,12651,12651,6,30,25,5
27,13792,7.734195709228516,0.76049863965875,2,12652,12652,7,28,22,6
28,14346,6.525737285614014,0.7600186204741277,3,13792,13792,7,31,26,5
29,14874,6.126578330993652,0.7446069758708808,3,14122,14122,4,15,14,1
30,15095,7.917448043823242,0.7350227662478538,3,14427,14427,7,30,24,6
31,15810,8.209949493408203,0.7445757504767977,7,14857,14857,8,30,24,6
32,16201,10.464116096496582,0.7596877303625084,3,15556,15556,7,30,23,7
33,16765,8.98297119140625,0.7598603947701145,6,16269,16269,6,32,27,5
34,17102,7.805188179016113,0.7615253117246302,2,16926,16926,7,31,25,6
35,17961,6.211123466491699,0.761222236340913,2,16373,16373,6,29,25,4
36,18147,4.984495162963867,0.7611001948016943,2,16653,16653,8,29,23,6
37,18899,5.600258827209473,0.7328894554950875,2,18451,18451,2,11,7,4
38,19398,7.433006763458252,0.7307138653939838,8,18931,18931,9,36,27,9
39,19972,11.29443359375,0.7334075327395608,8,18574,18574,8,33,25,8
40,20256,9.927864074707031,0.7618087224123399,7,19682,19682,8,33,27,6
41,20656,9.201115608215332,0.7471363538853536,8,20112,20112,9,33,25,8
42,21001,7.426136493682861,0.75925998810274,8,20563,20563,8,33,26,7
43,21944,6.342085838317871,0.7581116766322247,8,21488,21488,8,36,29,7
44,22166,4.969383239746094,0.7578733151751784,7,20768,20768,8,35,30,5
45,22505,4.410213947296143,0.74940539207164,7,22176,22176,9,35,25,10
46,23200,6.524721622467041,0.732803828151272,8,22519,22519,8,35,27,8
47,23673,7.748104095458984,0.7537140843354034,1,23408,23408,7,23,21,2
48,24220,6.7095160484313965,0.7539147051775665,8,23673,23673,9,36,31,5
49,24908,7.9184651374816895,0.7603499580045249,4,23673,23673,8,34,25,9
50,25035,6.700212001800537,0.7592676167697332,7,24596,24596,8,36,29,7
51,25647,5.506488800048828,0.761960736045759,8,24596,24596,8,37,27,10
52,26396,4.284872055053711,0.7578617420098452,7,25845,25845,7,34,25,9
53,26686,3.239252805709839,0.7615507642048844,8,26065,26065,9,40,31,9
54,27155,4.345846652984619,0.7331966747962112,4,26575,26575,7,34,27,7
55,27576,6.021822929382324,0.73446411717967,7,26936,26936,8,30,24,6
56,28173,6.280186653137207,0.7611780048935862,4,27787,27787,6,27,21,6
57,28615,7.60109806060791,0.7577366742497068,7,28173,28173,9,42,33,9
58,29023,7.1254730224609375,0.7574149386941793,8,28615,28615,8,31,26,5
59,29549,6.893238067626953,0.7599229267639239,4,29473,29473,5,19,18,1
60,30295,5.571890830993652,0.7605756625683682,4,29415,29415,8,38,30,8
61,30685,3.86051607131958,0.7617474418458626,8,30095,30095,7,33,25,8
62,31386,2.857235908508301,0.761734891028806,4,30678,30678,7,32,26,6
63,31922,2.380889415740967,0.7621432551021037,7,31062,31062,6,31,26,5
64,32089,4.540910720825195,0.7329775926542745,5,31616,31616,6,24,20,4
65,32917,6.902954578399658,0.7328246335291917,1,31445,31445,7,30,25,5
66,33265,7.182870388031006,0.7329099390627603,1,32882,32882,5,29,25,4
67,33958,7.610931396484375,0.7320816468525825,2,32795,32795,7,35,26,9
68,34297,3.7999093532562256,0.7550115726310042,3,32976,32976,4,15,13,2
69,34918,2.691558599472046,0.7570747092947112,2,33203,33203,6,29,23,6
70,35296,2.5318896770477295,0.7341728920215127,8,33860,33860,8,30,25,5
71,35717,4.093551158905029,0.7381203224583588,4,35059,35059,6,32,28,4
72,36308,5.239140510559082,0.7582287837976495,1,35971,35971,6,31,24,7
73,36863,3.962599992752075,0.7578437965829854,3,36469,36469,5,29,25,4
74,37096,3.896327018737793,0.7587649449816116,5,36627,36627,5,31,26,5
75,37563,3.190431833267212,0.759299574915479,4,36278,36278,6,24,22,2
76,38433,3.8567686080932617,0.7333414650983502,5,37516,37516,5,24,22,2
77,38588,1.561623454093933,0.7548339651260568,3,38281,38281,5,28,23,5
78,39032,1.594293475151062,0.7606035615676927,3,38281,38281,5,28,21,7
79,39633,1.9628374576568604,0.7591475578721144,3,39223,39223,5,22,22,0
80,40148,3.034860610961914,0.7565593326205874,3,39223,39223,4,18,16,2
81,40742,3.5662384033203125,0.7617467768934123,8,39867,39867,6,33,26,7
82,41038,4.8152642250061035,0.7592791152303451,3,40824,40824,4,18,16,2
83,41818,4.630035400390625,0.7615440262962865,5,41409,41409,3,16,14,2
84,42369,3.9747228622436523,0.7607509137074769,8,40527,40527,6,33,27,6
85,42959,2.231966257095337,0.7613962358588688,8,40886,40886,6,29,24,5
86,43077,2.2342872619628906,0.7554471831926436,2,42998,42998,6,30,24,6
87,43838,1.7205257415771484,0.7487361261836276,1,39867,39867,6,32,28,4
88,44355,2.7519631385803223,0.7327804459526043,7,43954,43954,6,33,26,7
89,44793,2.7072560787200928,0.7337774950955023,1,44253,44253,5,20,17,3
90,45371,2.201845169067383,0.7614397365511432,5,44878,44878,4,17,15,2
91,45914,2.939408540725708,0.7607730183207388,4,45120,45120,4,21,17,4
92,46021,5.1648969650268555,0.6219763642438867,4,45680,45680,4,22,18,4
93,46641,4.500127792358398,0.7615340283885889,3,45683,45683,4,18,16,2
94,47279,4.9938178062438965,0.7612775197105045,6,46228,46228,4,20,17,3
95,47689,3.250706195831299,0.762380635735898,2,45986,45986,4,19,17,2
96,48301,4.68442440032959,0.731097243941825,1,47338,47338,2,12,10,2
97,48565,1.9800996780395508,0.7606675633462057,2,46981,46981,4,19,17,2
98,49479,0.8536174893379211,0.3977073718487506,2,48394,48394,4,16,13,3
99,49592,1.8502161502838135,0.6248341105605915,4,48206,48206,2,14,12,2
100,50139,2.851898193359375,0.7496315658625212,3,49702,49702,5,23,20,3
101,50508,2.2999117374420166,0.5303154632663137,4,49798,49798,3,18,14,4
102,51320,1.5040699243545532,0.454278294808872,1,50541,50541,5,21,14,7
103,51914,1.6440136432647705,0.46120683576334875,8,51362,51362,3,15,13,2
104,52274,1.7738744020462036,0.6168719985509905,5,51913,51913,5,22,19,3
105,52937,4.628520488739014,0.6886598117410264,2,52372,52372,7,23,18,5
106,53271,3.582484722137451,0.6387836319159128,2,52937,52937,4,21,18,3
107,53773,2.1691040992736816,0.7422851581097323,5,53416,53416,5,19,16,3
108,54498,1.0754951238632202,0.4619335048879167,5,53760,53760,5,19,16,3
109,54759,4.082048416137695,0.7439927267231876,4,53589,53589,6,26,19,7
110,55180,1.3665958642959595,0.463099877730696,1,54785,54785,6,27,18,9
111,55844,1.1254909038543701,0.4623012658242309,8,55013,55013,3,17,14,3
112,56437,1.1567885875701904,0.46332655428136194,8,55413,55413,4,19,15,4
113,56544,3.8901729583740234,0.5587722929692406,6,55711,55711,7,27,20,7
114,57119,3.2259819507598877,0.6363941311861588,4,56716,56716,4,21,15,6
115,57521,3.9789834022521973,0.7201550046913203,4,54902,54902,7,26,18,8
116,58385,2.4911904335021973,0.6829212770329798,4,54985,54985,4,21,17,4
117,58552,2.113309860229492,0.45301630646974184,8,58158,58158,2,9,6,3
118,59318,3.906440258026123,0.7313160808257587,4,58714,58714,5,22,15,7
